time,GFDL-CM3,CANESM2,CCSM4,CSIRO-MK3-6-0,NORESM1-M,IPSL-CM5A-LR,CESM1-CAM5,MPI-ESM-LR,GFDL-ESM2G,GISS-E2-R,CNRM-CM5
2054.0,21858079000.0,41273352000.0,61359735000.0,47135916000.0,46914150000.0,39621810000.0,45880865000.0,44598673000.0,61419336000.0,59747490000.0,51241665000.0
2055.0,21007570000.0,40603370000.0,60183843000.0,45540710000.0,45605290000.0,39570070000.0,45133240000.0,43872430000.0,62275910000.0,59951722000.0,50287923000.0
2056.0,20299153000.0,39723160000.0,59312160000.0,44874720000.0,44693450000.0,38397997000.0,44552000000.0,42756350000.0,62599844000.0,60256408000.0,49302053000.0
2057.0,19417300000.0,38716430000.0,58861380000.0,44177314000.0,43828580000.0,37856220000.0,42594484000.0,42847932000.0,63258590000.0,60201693000.0,48385690000.0
2058.0,18850212000.0,37453746000.0,57590387000.0,43345610000.0,42674475000.0,36806922000.0,41740104000.0,42217402000.0,62606340000.0,59859470000.0,48523702000.0
2059.0,18208936000.0,37141120000.0,57815020000.0,43066704000.0,41439093000.0,36355650000.0,40505975000.0,41594487000.0,62490620000.0,59286536000.0,47533384000.0
2060.0,17734870000.0,35443864000.0,56503054000.0,42382127000.0,40867955000.0,35887088000.0,39594780000.0,41013154000.0,62099608000.0,58152250000.0,46642080000.0
2061.0,17249303000.0,34507460000.0,55624167000.0,41253675000.0,40050754000.0,35177996000.0,38951960000.0,40465470000.0,61424260000.0,58344784000.0,45889982000.0
2062.0,16518879000.0,33139910000.0,55562306000.0,40484030000.0,39081550000.0,34693214000.0,38105810000.0,39981930000.0,60869690000.0,57408440000.0,44891210000.0
2063.0,16145716000.0,32429877000.0,55528450000.0,39497732000.0,38862660000.0,34102153000.0,37523284000.0,38923346000.0,60801286000.0,56862024000.0,44823118000.0
2064.0,15574844000.0,31601787000.0,54807437000.0,39186830000.0,37751734000.0,33621213000.0,36441290000.0,37982870000.0,60478853000.0,55985820000.0,44282780000.0
2065.0,15197839000.0,31275753000.0,54081330000.0,38311318000.0,37202020000.0,33108593000.0,35840070000.0,37883440000.0,60494870000.0,55372222000.0,43581817000.0
2066.0,14478088000.0,30380564000.0,52765086000.0,37703130000.0,36852904000.0,32823431000.0,34908668000.0,37900165000.0,60419355000.0,54949114000.0,42855326000.0
2067.0,14059807000.0,29693559000.0,52860465000.0,37713020000.0,36213805000.0,32040174000.0,34290290000.0,37310358000.0,58758926000.0,53612180000.0,42019320000.0
2068.0,13705777000.0,29234776000.0,52470790000.0,36626743000.0,35784300000.0,30655638000.0,33653428000.0,37119050000.0,59401298000.0,52627570000.0,41590630000.0
2069.0,13352383000.0,28764922000.0,51193130000.0,36491817000.0,35440020000.0,30493268000.0,33743989000.0,36935713000.0,58452943000.0,52161233000.0,40529388000.0
2070.0,13011690000.0,28230744000.0,50578326000.0,35884093000.0,35070340000.0,29922664000.0,32520475000.0,36558197000.0,57748580000.0,51827233000.0,40090595000.0
2071.0,12883365000.0,28069415000.0,50596626000.0,35490927000.0,34663055000.0,29263890000.0,32028158000.0,36542194000.0,57674813000.0,52246385000.0,39743885000.0
2072.0,12731256000.0,28149135000.0,50678813000.0,34681586000.0,34686330000.0,29062443000.0,31641264000.0,36293610000.0,57472900000.0,51747484000.0,39620317000.0
2073.0,12421027000.0,28097680000.0,49922170000.0,34894220000.0,34321488000.0,28845390000.0,31199842000.0,36988790000.0,57214130000.0,51682650000.0,38977098000.0
2074.0,12321203000.0,27669017000.0,49191950000.0,34589240000.0,33673169000.0,28763800000.0,30688340000.0,36700280000.0,57324392000.0,51031290000.0,38503530000.0
2075.0,12105123000.0,27402183000.0,48870445000.0,34523780000.0,33096772000.0,28587964000.0,30590228000.0,36512002000.0,57024230000.0,50530860000.0,37536223000.0
2076.0,11899140000.0,27269673000.0,47999730000.0,34284814000.0,32502024000.0,28580567000.0,30408145000.0,36182938000.0,57198244000.0,49584353000.0,36810965000.0
2077.0,11897526000.0,26933737000.0,47367102000.0,33264415000.0,32210393000.0,28320588000.0,29883288000.0,36044526000.0,56441490000.0,49333860000.0,36233105000.0
2078.0,11735690000.0,26702758000.0,47735410000.0,33252405000.0,31858995000.0,28288950000.0,29747900000.0,35609985000.0,56229240000.0,49198930000.0,35899780000.0
