time,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4
2200.0,1544736042952.913,21775295061310.7,8807263750646.0
2201.0,1446488252026.0,21612054273867.56,8641810715030.0
2202.0,1368073409845.0,21426842789846.6,8475515992736.0
2203.0,1294023305914.0,21253866269075.34,8269606310164.0
2204.0,1234492611610.5,21055831510021.72,8103936462702.0
2205.0,1180149549723.0,20925426226373.39,7947393268294.0
2206.0,1134507059279.0,20761225610980.45,7787330215120.0
2207.0,1088897530072.0,20610274864349.54,7564476185058.0
2208.0,1049971282751.0,20452424262036.0,7357976047498.0
2209.0,1016345055764.0,20305200820778.0,7175898353282.0
2210.0,988864856298.0,20181564144487.0,7003023608822.0
2211.0,961309454411.2,20065054506396.0,6860238358888.0
2212.0,934678390100.0,19934451789314.0,6725734377544.0
2213.0,905366199440.5,19794010338073.0,6573957077840.0
2214.0,875889487627.8,19709289806409.0,6437670489150.0
2215.0,852274522089.8,19596658739614.0,6260756520562.0
2216.0,829668195334.2,19504881102734.18,6106495149714.0
2217.0,805449496043.5,19407679456861.0,5974951234164.0
2218.0,787391451764.2,19299197597245.0,5846312376986.0
2219.0,764233277078.2,19196116591195.0,5693060553779.0
2220.0,747049542954.8,19109320883058.0,5575935081114.0
2221.0,732213226044.9,19005505998648.0,5438901837860.0
2222.0,718157357906.2,18910571160390.0,5333689418847.0
2223.0,702939535209.8,18840092769973.0,5234017554917.0
2224.0,688281517663.1,18754100069506.0,5118191022708.0
2225.0,677228202924.8,18677388948982.0,5007824422180.0
2226.0,662706243808.2,18592434469708.0,4879403994092.0
2227.0,649865995189.6,18519442000882.0,4744760944171.0
2228.0,637394308065.2,18446080304154.0,4632710358514.0
2229.0,626020685580.0,18384522185576.0,4512681355325.0
2230.0,616345307425.5,18322520914309.0,4382206085391.0
2231.0,604521726658.4,18256492837326.0,4268449244851.0
2232.0,593691774187.9,18208296327130.0,4199254878239.0
2233.0,579699804508.0,18144193108935.0,4102530193352.0
2234.0,569180649972.4,18073571848640.0,3998679021154.0
2235.0,561481086741.1,18003057194112.0,3890268786260.0
2236.0,554204707482.4,17954541192647.0,3762238856705.0
2237.0,543103096491.9,17878911240695.0,3660720619065.0
2238.0,531670485681.0,17826381820728.0,3547395137917.0
2239.0,521737073684.8,17780905280108.0,3462247737992.5
2240.0,512133664807.4,17733235331251.0,3382273144782.5
2241.0,505248332741.8,17692091542878.0,3289219754386.5
2242.0,496383054950.4,17656235506888.0,3212657893067.0
2243.0,486851097520.8,17608015558629.0,3121768347876.5
2244.0,479840046521.4,17558613175337.0,3038052658602.5
2245.0,472034468238.4,17526425329406.0,2948998105405.0
2246.0,459279152352.9,17484461527974.0,2893220499595.0
2247.0,452950990186.4,17455267359122.0,2815974036829.0
2248.0,445183989391.5,17396850760330.0,2732540946034.0
2249.0,438556044860.9,17362739098978.0,2661700719276.0
2250.0,431148686498.9,17330715988088.0,2596713676134.5
2251.0,422791891821.4,17299391074121.0,2530342172971.0
2252.0,418618894729.9,17267602366668.0,2449902049561.5
2253.0,412783634952.5,17241665026319.0,2389505400886.5
2254.0,406113805715.9,17187417478801.0,2328439021393.5
2255.0,398598027331.7,17140318746652.0,2254033549893.5
2256.0,391174830531.5,17127712484654.0,2192909088320.0
2257.0,383895687487.1,17103174269198.0,2138813839236.0
2258.0,377196935893.9,17070006689274.0,2093645747156.2
2259.0,373777116200.5,17046992973425.0,2032048161037.8
2260.0,368919583054.0,17014724270687.0,1987427898982.0
2261.0,363049381959.5,16998581523570.0,1942538800609.0
2262.0,355696657826.6,16969738441060.0,1897982926642.2
2263.0,348956621583.6,16929552837170.0,1844421997128.2
2264.0,344752719401.8,16909493615414.0,1803845799477.2
2265.0,337760781803.2,16894529825747.0,1737328023116.2
2266.0,331323933891.5,16848317941488.0,1695496437215.5
2267.0,326150851642.2,16813647887205.0,1639042717858.0
2268.0,322400886775.4,16788190014912.0,1592787712610.2
2269.0,316141204234.1,16758563205764.0,1557407965455.2
2270.0,309158008247.1,16727045925960.0,1520430527482.8
2271.0,302474949582.0,16683806102261.0,1469977524137.2
2272.0,298535542725.7,16652239434375.0,1424825825509.0
2273.0,292954511642.8,16626164141510.0,1379221404476.2
2274.0,289272584339.1,16616890781097.0,1343158062428.2
2275.0,283676199240.0,16601452327780.0,1277127643668.2
2276.0,278588074888.4,16590543383612.0,1236833520629.8
2277.0,275681916811.9,16581639152386.0,1200203127527.0
2278.0,271256133819.9,16562482084144.0,1167223011497.5
2279.0,265311961406.0,16555414357430.0,1131486170318.0
2280.0,258403350585.7,16545090647689.0,1102238897108.5
2281.0,254599044044.4,16514038297616.0,1074289301079.5
2282.0,250598585929.2,16526283856266.0,1038373805658.8
2283.0,246142783274.5,16509096857788.0,1007946859173.5
2284.0,240970206332.0,16504449052620.0,981323397740.0
2285.0,234561727968.1,16486245314943.0,953704742128.5
2286.0,229322743025.0,16477419614912.0,920070077170.5
2287.0,221987384527.9,16471927229574.0,891941206279.0
2288.0,216150168516.3,16481100825030.0,866331825776.5
2289.0,208394457826.1,16470167404701.0,844125944914.8
2290.0,203420328403.1,16462380857338.0,819518228234.8
2291.0,199168077654.7,16458720889970.0,798551257710.2
2292.0,194142620104.7,16439325246604.0,775364336212.0
2293.0,190174647206.4,16425572193845.0,755340925932.0
2294.0,185165674755.7,16421486957121.0,740987349919.0
2295.0,181028928863.6,16424691219571.0,723219055712.9
2296.0,175637272002.3,16415864478422.0,703328281641.5
2297.0,170540283722.3,16403522809120.0,680302393740.2
2298.0,163723515228.2,16386528802912.0,657576452743.0
2299.0,160805181491.7,16380582385259.0,643908009069.8
2300.0,157707722941.1,16377651081407.0,628790073794.2
