time,CSIRO-MK3-6-0,IPSL-CM5A-LR,GISS-E2-R,CCSM4,GFDL-CM3,CESM1-CAM5,CNRM-CM5,NORESM1-M,GFDL-ESM2G,MPI-ESM-LR,CANESM2
2087.0,5137849300.0,10002438000.0,18180176000.0,12205154000.0,2165248300.0,10636560000.0,15623671000.0,12554217000.0,30075732000.0,25950534000.0,7800529400.0
2088.0,4860531000.0,9811514000.0,18369681000.0,11946682000.0,2128653800.0,10691646000.0,14910061000.0,11700603000.0,29635369000.0,25873005000.0,7577626000.0
2089.0,4793939500.0,9633242000.0,18245644000.0,12009631000.0,2155226400.0,10062354000.0,14658266000.0,11565083000.0,29623640000.0,24209040000.0,7625816600.0
2090.0,4542831600.0,9526345000.0,18640118000.0,11852839000.0,2176727000.0,10223966000.0,14640905000.0,11398080000.0,30325020000.0,23411223000.0,7718256600.0
2091.0,4138273800.0,10278454000.0,17714815000.0,11946544000.0,2103468400.0,9664414000.0,14544905000.0,11667990000.0,30795760000.0,22643517000.0,7993533000.0
2092.0,4382444500.0,10106602000.0,17187762000.0,11733930000.0,2130732000.0,9119488000.0,14887819000.0,11537212000.0,29319180000.0,21193087000.0,7902504000.0
2093.0,4292323000.0,9982642000.0,16633719000.0,11844809000.0,2162406000.0,9129211000.0,14420767000.0,11014959000.0,28480821000.0,19860070000.0,7312612000.0
2094.0,4405660700.0,9524446000.0,16304108000.0,11977952000.0,2070695000.0,9245157000.0,13641628000.0,10782983000.0,28476238000.0,19574061000.0,7335284000.0
2095.0,4347464700.0,9543046000.0,16128008000.0,12124368000.0,2146292600.0,9218396000.0,12790971000.0,10581917000.0,28922784000.0,18989780000.0,7250860000.0
2096.0,4043304000.0,8987700000.0,16222241000.0,11986832000.0,2184351000.0,8752948000.0,12553199000.0,10324028000.0,29092390000.0,18993072000.0,7114502000.0
2097.0,3839235600.0,8263150000.0,16357410000.0,11472946000.0,2224070700.0,8499230700.0,12343543000.0,9827924000.0,29902040000.0,18511841000.0,6916800000.0
2098.0,3841204700.0,8580708000.0,16300480000.0,11163206000.0,2184752600.0,8110124500.0,12582559000.0,9706328000.0,30117343000.0,17686118000.0,6659687400.0
2099.0,3579674400.0,8482961400.0,16235566000.0,11490729000.0,2182209300.0,7936163000.0,12496442000.0,10017212000.0,29649648000.0,17768274000.0,6687978500.0
2100.0,3337993200.0,8031699500.0,16432564000.0,11008588000.0,2124724200.0,7858072600.0,12648892000.0,9734917000.0,30584332000.0,16360554000.0,6776819000.0
