time,CCSM4,GISS-E2-R,GFDL-CM3,IPSL-CM5A-LR,CSIRO-MK3-6-0,CANESM2,GFDL-ESM2G,NORESM1-M,MPI-ESM-LR,CNRM-CM5,CESM1-CAM5
2087.0,26487097000.0,39159845000.0,9924414000.0,22765371000.0,21227377000.0,22515476000.0,46729860000.0,24956154000.0,28076513000.0,30439426000.0,21149640000.0
2088.0,27677532000.0,39569700000.0,9563170000.0,22752280000.0,20651930000.0,21362592000.0,46647108000.0,24817281000.0,28929577000.0,30428895000.0,21790536000.0
2089.0,27406230000.0,39977087000.0,9454887000.0,23200592000.0,20563087000.0,20982915000.0,46236914000.0,25559523000.0,27900674000.0,31426960000.0,21316676000.0
2090.0,27802292000.0,39227630000.0,9281018000.0,23828926000.0,19537160000.0,20336024000.0,46588190000.0,25577224000.0,28459799000.0,31636785000.0,22031374000.0
2091.0,28312715000.0,38556420000.0,9398762000.0,24319867000.0,19170703000.0,19698250000.0,48696783000.0,25972814000.0,28238537000.0,30783640000.0,21371195000.0
2092.0,27428334000.0,38156104000.0,8904906000.0,24906838000.0,18825404000.0,19509330000.0,49777844000.0,26051844000.0,27358497000.0,31264395000.0,21590757000.0
2093.0,27524485000.0,38492353000.0,9082877000.0,24478495000.0,18900894000.0,20097726000.0,48638235000.0,27042060000.0,27477187000.0,31785327000.0,21563478000.0
2094.0,26849157000.0,38300100000.0,9149650000.0,23872524000.0,18788840000.0,20227686000.0,48290116000.0,27792652000.0,29027054000.0,32363033000.0,22274097000.0
2095.0,28613736000.0,38433964000.0,9390964000.0,24443955000.0,18528547000.0,20260196000.0,48970355000.0,27530110000.0,28355826000.0,31540990000.0,22299249000.0
2096.0,28618383000.0,39344796000.0,9372044000.0,24792330000.0,17972914000.0,20481518000.0,49578880000.0,26774465000.0,30013575000.0,31340005000.0,22215447000.0
2097.0,29508110000.0,39903314000.0,9733851000.0,24505043000.0,17924583000.0,20030122000.0,49875410000.0,27799386000.0,28737788000.0,31511095000.0,21929085000.0
2098.0,29341830000.0,40181866000.0,9468611000.0,25021618000.0,18824050000.0,19795829000.0,50236023000.0,27729383000.0,29052770000.0,31175707000.0,21933810000.0
2099.0,30118455000.0,39613200000.0,9387143000.0,25113725000.0,18784098000.0,19583412000.0,51922190000.0,27890768000.0,29284311000.0,30915475000.0,22443942000.0
2100.0,29589232000.0,39666213000.0,9740618000.0,24861067000.0,18103034000.0,19769320000.0,52540203000.0,27719662000.0,29294692000.0,31011578000.0,22469229000.0
