time,MPI-ESM-LR,CESM1-CAM5,CANESM2
2230.0,7126371500000.0,2521675000000.0,5553709000000.0
2231.0,7122765500000.0,2510899600000.0,5538696000000.0
2232.0,7141901500000.0,2492154800000.0,5524535400000.0
2233.0,7141453700000.0,2488711000000.0,5526088300000.0
2234.0,7140787000000.0,2477671800000.0,5528952000000.0
2235.0,7139169400000.0,2478644400000.0,5534030000000.0
2236.0,7143045000000.0,2471568600000.0,5537125000000.0
2237.0,7127992600000.0,2465290300000.0,5533162000000.0
2238.0,7130189400000.0,2448801700000.0,5522720000000.0
2239.0,7101737300000.0,2448007400000.0,5495101000000.0
2240.0,7089274500000.0,2457063000000.0,5465122500000.0
2241.0,7080285600000.0,2455520400000.0,5467750300000.0
2242.0,7066343700000.0,2458498600000.0,5448271000000.0
2243.0,7036658500000.0,2441304900000.0,5431275000000.0
2244.0,7022435000000.0,2430839800000.0,5414434000000.0
2245.0,7024421600000.0,2420359800000.0,5442281000000.0
2246.0,7004350300000.0,2399500800000.0,5440635000000.0
2247.0,7001814000000.0,2381328000000.0,5466470500000.0
2248.0,6994247300000.0,2366925700000.0,5473342300000.0
2249.0,6987987300000.0,2373428200000.0,5432094000000.0
2250.0,6991082000000.0,2366489200000.0,5419601000000.0
2251.0,6988643700000.0,2357642700000.0,5414270300000.0
2252.0,6970909700000.0,2359334300000.0,5410320300000.0
2253.0,6970777000000.0,2354365000000.0,5399945700000.0
2254.0,6960441700000.0,2357355000000.0,5410394700000.0
2255.0,6973427300000.0,2351304300000.0,5408585000000.0
2256.0,6967240700000.0,2350238400000.0,5400793400000.0
2257.0,6959673000000.0,2347591800000.0,5393817000000.0
2258.0,6946174300000.0,2339714600000.0,5417430700000.0
2259.0,6937321000000.0,2334022400000.0,5401466600000.0
2260.0,6914076000000.0,2334744400000.0,5390432500000.0
2261.0,6895986300000.0,2322064200000.0,5430517000000.0
2262.0,6886297400000.0,2323753500000.0,5421258500000.0
2263.0,6905895300000.0,2316583800000.0,5397662000000.0
2264.0,6908408000000.0,2309137000000.0,5378939000000.0
2265.0,6915802300000.0,2302021200000.0,5387308000000.0
2266.0,6916686000000.0,2318268600000.0,5414472600000.0
2267.0,6915979000000.0,2329898400000.0,5415449400000.0
2268.0,6910669500000.0,2324536000000.0,5380661300000.0
2269.0,6908611000000.0,2309456400000.0,5363940000000.0
2270.0,6927047700000.0,2300639200000.0,5357151000000.0
2271.0,6927037000000.0,2292558900000.0,5335289000000.0
2272.0,6928779000000.0,2300574000000.0,5325989000000.0
2273.0,6932065700000.0,2286409500000.0,5332415300000.0
2274.0,6911298000000.0,2281694600000.0,5304789000000.0
2275.0,6905725500000.0,2298007300000.0,5295958000000.0
2276.0,6921267400000.0,2295720000000.0,5280802000000.0
2277.0,6918901300000.0,2284460400000.0,5279637000000.0
2278.0,6930015700000.0,2279810000000.0,5289247000000.0
2279.0,6924988000000.0,2271354300000.0,5244143000000.0
