time,MPI-ESM-LR,CSIRO-MK3-6-0,CCSM4
2174.0,1041801000000.0,911391800000.0,1701861100000.0
2175.0,1017926400000.0,823178040000.0,1663940300000.0
2176.0,991195100000.0,748154800000.0,1628622400000.0
2177.0,964018800000.0,682273540000.0,1591059000000.0
2178.0,938443740000.0,618502700000.0,1558993300000.0
2179.0,916629300000.0,559148200000.0,1522715300000.0
2180.0,895235200000.0,501264320000.0,1484380700000.0
2181.0,874461600000.0,450199130000.0,1438598700000.0
2182.0,854059200000.0,395531000000.0,1398493800000.0
2183.0,836116940000.0,357821840000.0,1365388700000.0
2184.0,819398840000.0,323075300000.0,1324869400000.0
2185.0,801491900000.0,296701100000.0,1287494400000.0
2186.0,785471200000.0,265375380000.0,1246517800000.0
2187.0,768451200000.0,237595120000.0,1203664800000.0
2188.0,752513500000.0,211875550000.0,1164430800000.0
2189.0,740558960000.0,186582840000.0,1123494500000.0
2190.0,724988850000.0,161565030000.0,1083411330000.0
2191.0,708990200000.0,137458650000.0,1053453000000.0
2192.0,693546100000.0,113213850000.0,1014576100000.0
2193.0,681375500000.0,89176736000.0,977285300000.0
2194.0,666521000000.0,71831320000.0,946861300000.0
2195.0,654211600000.0,56493445000.0,905884860000.0
2196.0,643225940000.0,42799390000.0,869636000000.0
2197.0,629953270000.0,30341695000.0,835916460000.0
2198.0,617708700000.0,18427181000.0,807481800000.0
2199.0,603878850000.0,8050713600.0,776548650000.0
2200.0,591306200000.0,1677014300.0,743008700000.0
2201.0,580275540000.0,666530400.0,716890960000.0
2202.0,568005300000.0,620848400.0,691025000000.0
2203.0,555764940000.0,577641150.0,664222560000.0
2204.0,543167050000.0,532911100.0,640896700000.0
2205.0,533559350000.0,486914530.0,616077260000.0
2206.0,527205730000.0,450255650.0,597949150000.0
2207.0,520360130000.0,407663000.0,578103150000.0
2208.0,512182030000.0,368045820.0,557365600000.0
2209.0,504258070000.0,332703700.0,536777030000.0
2210.0,498778670000.0,307150750.0,518063130000.0
2211.0,492389800000.0,279709660.0,501390900000.0
