time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,ACCESS-ESM1-5,CESM2-WACCM,ACCESS-CM2
2069.0,1345474700000.0,1087036300000.0,1476376300000.0,1462401100000.0,1471193500000.0,1530192900000.0
2070.0,1324285600000.0,1062319360000.0,1440688000000.0,1429594700000.0,1433362800000.0,1494761500000.0
2071.0,1292127200000.0,1033062840000.0,1408994200000.0,1393121700000.0,1404718800000.0,1461252100000.0
2072.0,1266673300000.0,1007657000000.0,1380305900000.0,1362147800000.0,1373454100000.0,1430153100000.0
2073.0,1253825700000.0,975661900000.0,1344697700000.0,1337128300000.0,1342086000000.0,1395492000000.0
2074.0,1237358200000.0,959381000000.0,1314001300000.0,1306486100000.0,1310044600000.0,1360169100000.0
2075.0,1211460200000.0,934341400000.0,1284295900000.0,1271005000000.0,1278944900000.0,1328426500000.0
2076.0,1182044900000.0,907238640000.0,1250448600000.0,1223244500000.0,1260972900000.0,1285562000000.0
2077.0,1161489700000.0,881389140000.0,1214983800000.0,1186732200000.0,1231745800000.0,1255326400000.0
2078.0,1136957000000.0,862974700000.0,1184730000000.0,1160729600000.0,1201602300000.0,1218422100000.0
2079.0,1109190800000.0,840241700000.0,1146872300000.0,1131107800000.0,1171329000000.0,1187403900000.0
2080.0,1084590850000.0,817534340000.0,1105028000000.0,1095596800000.0,1148468200000.0,1160978900000.0
2081.0,1068026300000.0,804124900000.0,1069599950000.0,1065854000000.0,1133222400000.0,1123595800000.0
2082.0,1045982740000.0,789257060000.0,1027154800000.0,1042597350000.0,1101830600000.0,1096300400000.0
2083.0,1035286800000.0,759033100000.0,988332950000.0,1012936540000.0,1067948700000.0,1061572600000.0
2084.0,1004234900000.0,734208100000.0,955301600000.0,979699560000.0,1045946600000.0,1033707100000.0
2085.0,985275300000.0,715353800000.0,924824300000.0,952166900000.0,1022609800000.0,1008991600000.0
2086.0,960023760000.0,694810250000.0,885157200000.0,923028550000.0,998886100000.0,974821200000.0
2087.0,939868700000.0,665274700000.0,853014600000.0,903952700000.0,973530330000.0,948882300000.0
2088.0,923875700000.0,647748100000.0,813299660000.0,880748900000.0,948956700000.0,932781700000.0
