time,CESM2-WACCM,ACCESS-CM2,MRI-ESM2-0,CANESM5,ACCESS-ESM1-5,IPSL-CM6A-LR
2242.0,9760099000000.0,14885737000000.0,22721170000000.0,14819737000000.0,18517894000000.0,14740673000000.0
2243.0,9792802000000.0,14884128000000.0,22722285000000.0,14818490000000.0,18493504000000.0,14698587000000.0
2244.0,9703450000000.0,14847902000000.0,22769878000000.0,14775969000000.0,18473745000000.0,14704203000000.0
2245.0,9699422000000.0,14849119000000.0,22792701000000.0,14763054000000.0,18457572000000.0,14691738000000.0
2246.0,9613196000000.0,14857534000000.0,22803273000000.0,14748338000000.0,18448660000000.0,14688730000000.0
2247.0,9568869000000.0,14826944000000.0,22802745000000.0,14690660000000.0,18425192000000.0,14669773000000.0
2248.0,9535192000000.0,14813038000000.0,22839657000000.0,14645320000000.0,18409975000000.0,14663513000000.0
2249.0,9478105000000.0,14769382000000.0,22869579000000.0,14616621000000.0,18399598000000.0,14642389000000.0
2250.0,9521395000000.0,14739487000000.0,22880492000000.0,14580170000000.0,18359420000000.0,14630080000000.0
2251.0,9478453000000.0,14746828000000.0,22859395000000.0,14572159000000.0,18367015000000.0,14630874000000.0
2252.0,9454189000000.0,14720159000000.0,22926525000000.0,14545049000000.0,18363450000000.0,14577883000000.0
2253.0,9465997000000.0,14700607000000.0,22937338000000.0,14535394000000.0,18343694000000.0,14580307000000.0
2254.0,9358182000000.0,14651737000000.0,22951169000000.0,14536822000000.0,18333378000000.0,14542057000000.0
2255.0,9336882000000.0,14611651000000.0,22958892000000.0,14523578000000.0,18331487000000.0,14544042000000.0
2256.0,9394080000000.0,14603650000000.0,22964118000000.0,14477813000000.0,18328555000000.0,14567553000000.0
2257.0,9353172000000.0,14614961000000.0,23006103000000.0,14435724000000.0,18336318000000.0,14541921000000.0
2258.0,9355530000000.0,14581958000000.0,23027574000000.0,14435566000000.0,18316781000000.0,14533254000000.0
2259.0,9297646000000.0,14589584000000.0,23050477000000.0,14387140000000.0,18321483000000.0,14514202000000.0
