time,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5
2255.0,4639589.0,5946228.0,3029948700000.0,531688030000.0,464856450.0,107601950.0
2256.0,4523663.0,5913955.0,3016004200000.0,522476700000.0,270170780.0,97122750.0
2257.0,4581324.0,5567750.5,3002116600000.0,517166900000.0,156235680.0,82384980.0
2258.0,4607647.0,5490469.5,2991372400000.0,511307940000.0,104106350.0,72223336.0
2259.0,4660324.0,5641210.0,2968938000000.0,503226700000.0,95479170.0,67072480.0
2260.0,4636578.5,5641693.0,2943730000000.0,496681800000.0,88533250.0,60484560.0
2261.0,4526220.0,5683379.0,2933352300000.0,486504760000.0,82610024.0,52477070.0
2262.0,4551508.5,5655253.0,2913406300000.0,478280480000.0,74598130.0,47258628.0
2263.0,4598014.5,5821787.0,2902906600000.0,470874900000.0,74364800.0,42625530.0
2264.0,4641414.5,5685825.0,2879606000000.0,463015280000.0,66201800.0,38189668.0
2265.0,4671384.0,5733788.0,2862594000000.0,456046900000.0,60490450.0,34169490.0
2266.0,4722299.0,5762530.0,2840701400000.0,450383840000.0,55148476.0,30540148.0
2267.0,4684696.5,5862092.5,2814153900000.0,446536350000.0,50117176.0,28275990.0
2268.0,4650161.0,5834299.0,2791944700000.0,441530220000.0,51355524.0,27838022.0
2269.0,4667420.0,5698481.0,2778961300000.0,435843300000.0,40735816.0,26964068.0
2270.0,4635472.5,5553027.5,2759382000000.0,427941360000.0,33655080.0,39436630.0
2271.0,4615915.0,5622009.5,2740278800000.0,421576440000.0,27604704.0,26418920.0
