time,MPI-ESM1-2-HR,ACCESS-CM2,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,NORESM2-MM,CANESM5,GFDL-ESM4,EC-EARTH3,EC-EARTH3-VEG,ACCESS-ESM1-5,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MRI-ESM2-0,CESM2,TAIESM1,CESM2-WACCM,CAMS-CSM1-0
2052.0,25638352000000.0,24643510000000.0,23783850000000.0,25228992000000.0,24997651000000.0,24985079000000.0,24471780000000.0,24991685000000.0,22980875000000.0,23396677000000.0,25401210000000.0,25052700000000.0,25215105000000.0,24737110000000.0,24686633000000.0,24137423000000.0,21481270000000.0,24864767000000.0,25535256000000.0
2053.0,25594962000000.0,24527547000000.0,23699147000000.0,25154468000000.0,24930490000000.0,24878862000000.0,24343503000000.0,24927873000000.0,22764484000000.0,23225229000000.0,25312310000000.0,25009613000000.0,25134132000000.0,24669920000000.0,24622180000000.0,23933479000000.0,21213089000000.0,24754956000000.0,25473143000000.0
2054.0,25532582000000.0,24413950000000.0,23466700000000.0,25106357000000.0,24807035000000.0,24721236000000.0,24249828000000.0,24884634000000.0,22484892000000.0,22967006000000.0,25291990000000.0,24992990000000.0,25092394000000.0,24578360000000.0,24472363000000.0,23793007000000.0,20867952000000.0,24689570000000.0,25447763000000.0
2055.0,25496767000000.0,24356061000000.0,23276689000000.0,25055388000000.0,24735864000000.0,24677844000000.0,24134935000000.0,24777427000000.0,22187493000000.0,22762974000000.0,25197190000000.0,24929532000000.0,25044500000000.0,24502463000000.0,24330828000000.0,23600590000000.0,20532238000000.0,24540464000000.0,25368392000000.0
2056.0,25407886000000.0,24175022000000.0,23048680000000.0,24987384000000.0,24719150000000.0,24642381000000.0,24048363000000.0,24699050000000.0,21976255000000.0,22541232000000.0,25140941000000.0,24796218000000.0,24973119000000.0,24384914000000.0,24177631000000.0,23468310000000.0,20277535000000.0,24471545000000.0,25290504000000.0
2057.0,25365900000000.0,24064786000000.0,22837511000000.0,24946740000000.0,24576891000000.0,24534830000000.0,23980648000000.0,24607772000000.0,21803905000000.0,22347631000000.0,25072110000000.0,24724256000000.0,24924146000000.0,24190812000000.0,23964390000000.0,23271690000000.0,19896124000000.0,24377874000000.0,25303177000000.0
2058.0,25303687000000.0,23928756000000.0,22698103000000.0,24881717000000.0,24526016000000.0,24481542000000.0,23925447000000.0,24487750000000.0,21569766000000.0,22122217000000.0,24976770000000.0,24632657000000.0,24885196000000.0,24103442000000.0,23900723000000.0,23123480000000.0,19737013000000.0,24233302000000.0,25239673000000.0
2059.0,25244890000000.0,23795098000000.0,22519583000000.0,24785600000000.0,24368050000000.0,24378180000000.0,23824900000000.0,24411904000000.0,21297319000000.0,21874094000000.0,24929278000000.0,24510130000000.0,24818722000000.0,23972459000000.0,23821449000000.0,22976647000000.0,19497128000000.0,24018967000000.0,25198320000000.0
2060.0,25189962000000.0,23680489000000.0,22426476000000.0,24690380000000.0,24260578000000.0,24368348000000.0,23721423000000.0,24339190000000.0,21084248000000.0,21658268000000.0,24848942000000.0,24391216000000.0,24800280000000.0,23819348000000.0,23685782000000.0,22758264000000.0,19300010000000.0,23854227000000.0,25188517000000.0
2061.0,25044829000000.0,23588808000000.0,22413630000000.0,24638510000000.0,24063007000000.0,24319392000000.0,23698720000000.0,24285968000000.0,20866383000000.0,21427506000000.0,24794345000000.0,24324025000000.0,24724841000000.0,23762790000000.0,23550980000000.0,22743565000000.0,19002322000000.0,23658857000000.0,25151714000000.0
