time,INM-CM4-8,INM-CM5-0,EC-EARTH3-VEG,EC-EARTH3,CAMS-CSM1-0,CESM2-WACCM,CESM2,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4,NORESM2-MM,BCC-CSM2-MR,FGOALS-F3-L
2061.0,24878055000000.0,24886863000000.0,21828915000000.0,21630938000000.0,25196407000000.0,24558241000000.0,21987280000000.0,23893518000000.0,24608846000000.0,25347520000000.0,24482679000000.0,24363932000000.0,24485814000000.0
2062.0,24789760000000.0,24826857000000.0,21736000000000.0,21433583000000.0,25177985000000.0,24377435000000.0,21955739000000.0,23861540000000.0,24612675000000.0,25275656000000.0,24431324000000.0,24314520000000.0,24339000000000.0
2063.0,24752030000000.0,24755262000000.0,21569230000000.0,21157745000000.0,25150129000000.0,24257331000000.0,21686710000000.0,23740054000000.0,24597924000000.0,25168896000000.0,24349352000000.0,24223376000000.0,24237086000000.0
2064.0,24700309000000.0,24666746000000.0,21331517000000.0,20997642000000.0,25076520000000.0,24124317000000.0,21556552000000.0,23629656000000.0,24520834000000.0,25133650000000.0,24252762000000.0,24152296000000.0,24180395000000.0
2065.0,24633636000000.0,24631190000000.0,21123136000000.0,20779735000000.0,25036266000000.0,24043230000000.0,21458303000000.0,23538474000000.0,24529338000000.0,25074283000000.0,24162066000000.0,24059176000000.0,24079407000000.0
2066.0,24602458000000.0,24567051000000.0,20893650000000.0,20468830000000.0,25025892000000.0,23968543000000.0,21323760000000.0,23485227000000.0,24509883000000.0,25048283000000.0,24039911000000.0,23980500000000.0,24032859000000.0
2067.0,24548050000000.0,24483121000000.0,20779347000000.0,20182580000000.0,24958734000000.0,23841076000000.0,21149851000000.0,23417447000000.0,24452550000000.0,24953395000000.0,23953087000000.0,23919944000000.0,23958485000000.0
2068.0,24434616000000.0,24417915000000.0,20631030000000.0,19943427000000.0,24873122000000.0,23634888000000.0,21006043000000.0,23241850000000.0,24378673000000.0,24919142000000.0,23924132000000.0,23850006000000.0,23786110000000.0
2069.0,24385633000000.0,24396060000000.0,20427737000000.0,19665863000000.0,24784335000000.0,23522523000000.0,20864725000000.0,23217805000000.0,24288403000000.0,24813727000000.0,23840850000000.0,23686373000000.0,23673840000000.0
2070.0,24300864000000.0,24349720000000.0,20221832000000.0,19433253000000.0,24765098000000.0,23333406000000.0,20568974000000.0,23037966000000.0,24188648000000.0,24780630000000.0,23735770000000.0,23551740000000.0,23566842000000.0
2071.0,24232497000000.0,24268943000000.0,19976956000000.0,19155007000000.0,24765253000000.0,23210043000000.0,20390504000000.0,22885444000000.0,24107040000000.0,24720582000000.0,23613795000000.0,23456370000000.0,23528940000000.0
2072.0,24169855000000.0,24248198000000.0,19725654000000.0,18970644000000.0,24748113000000.0,23132738000000.0,20297323000000.0,22738123000000.0,23981540000000.0,24668203000000.0,23507600000000.0,23372304000000.0,23481549000000.0
2073.0,24111070000000.0,24206037000000.0,19495380000000.0,18698874000000.0,24686130000000.0,22845840000000.0,20109404000000.0,22694595000000.0,23897490000000.0,24621603000000.0,23378910000000.0,23225266000000.0,23385847000000.0
2074.0,24027656000000.0,24128445000000.0,19245115000000.0,18479172000000.0,24663740000000.0,22750077000000.0,19905022000000.0,22565228000000.0,23786034000000.0,24561452000000.0,23241769000000.0,23156460000000.0,23301443000000.0
2075.0,23945374000000.0,24090016000000.0,19068082000000.0,18255144000000.0,24613390000000.0,22610251000000.0,19806116000000.0,22522477000000.0,23692761000000.0,24469026000000.0,23157237000000.0,22975068000000.0,23147668000000.0
2076.0,23845960000000.0,24070520000000.0,18751343000000.0,17981176000000.0,24546975000000.0,22418060000000.0,19612880000000.0,22405670000000.0,23631360000000.0,24435155000000.0,23006900000000.0,22845418000000.0,23037989000000.0
2077.0,23747851000000.0,23978268000000.0,18451272000000.0,17728810000000.0,24474286000000.0,22312739000000.0,19401011000000.0,22333870000000.0,23547504000000.0,24348983000000.0,22946072000000.0,22716686000000.0,22988617000000.0
2078.0,23658823000000.0,23901743000000.0,18229892000000.0,17442898000000.0,24459320000000.0,22174700000000.0,19292666000000.0,22199409000000.0,23475780000000.0,24271062000000.0,22859122000000.0,22635606000000.0,22906908000000.0
2079.0,23568950000000.0,23876092000000.0,17928928000000.0,17180558000000.0,24406926000000.0,22059097000000.0,18976399000000.0,22039373000000.0,23344565000000.0,24217546000000.0,22795950000000.0,22567677000000.0,22791932000000.0
2080.0,23496852000000.0,23839757000000.0,17707520000000.0,16789848000000.0,24311692000000.0,21848614000000.0,18616462000000.0,21927756000000.0,23304260000000.0,24060946000000.0,22784487000000.0,22440840000000.0,22739358000000.0
2081.0,23412628000000.0,23838618000000.0,17368881000000.0,16546584000000.0,24239713000000.0,21625292000000.0,18435734000000.0,21798490000000.0,23298323000000.0,24020620000000.0,22735112000000.0,22322107000000.0,22660503000000.0
2082.0,23350030000000.0,23779009000000.0,17041014000000.0,16272000000000.0,24212075000000.0,21447953000000.0,18193144000000.0,21717255000000.0,23254046000000.0,23965777000000.0,22619926000000.0,22272406000000.0,22571332000000.0
2083.0,23269883000000.0,23697165000000.0,16696965000000.0,16023322000000.0,24195384000000.0,21369568000000.0,17920390000000.0,21632934000000.0,23188656000000.0,23963500000000.0,22512855000000.0,22167333000000.0,22467108000000.0
2084.0,23183640000000.0,23647750000000.0,16399771000000.0,15769154000000.0,24138347000000.0,21131753000000.0,17623085000000.0,21519768000000.0,23101046000000.0,23885339000000.0,22446900000000.0,22047002000000.0,22459219000000.0
2085.0,23125000000000.0,23606508000000.0,16117085000000.0,15547770000000.0,24074978000000.0,21015750000000.0,17410921000000.0,21393484000000.0,23070973000000.0,23797694000000.0,22314456000000.0,21905782000000.0,22421130000000.0
2086.0,23050028000000.0,23492366000000.0,15807397000000.0,15235753000000.0,24050831000000.0,20743587000000.0,17238235000000.0,21262968000000.0,23016415000000.0,23727184000000.0,22263808000000.0,21765780000000.0,22349718000000.0
2087.0,22955537000000.0,23388802000000.0,15503394000000.0,14991996000000.0,24014930000000.0,20537863000000.0,16995089000000.0,21173142000000.0,22922878000000.0,23584253000000.0,22121305000000.0,21747630000000.0,22266503000000.0
2088.0,22883790000000.0,23319217000000.0,15208964000000.0,14747781000000.0,23982844000000.0,20323188000000.0,16788716000000.0,21059336000000.0,22878920000000.0,23483824000000.0,21982639000000.0,21525592000000.0,22119600000000.0
2089.0,22743080000000.0,23239477000000.0,14887540000000.0,14445806000000.0,23906878000000.0,20008032000000.0,16606448000000.0,20966535000000.0,22790202000000.0,23456427000000.0,21846010000000.0,21347520000000.0,22064226000000.0
2090.0,22641117000000.0,23180868000000.0,14614287000000.0,14110682000000.0,23845927000000.0,19791327000000.0,16284771000000.0,20819158000000.0,22702272000000.0,23517435000000.0,21722953000000.0,21118948000000.0,21973906000000.0
2091.0,22570825000000.0,23104875000000.0,14240698000000.0,13799234000000.0,23755917000000.0,19525733000000.0,15951827000000.0,20735890000000.0,22622190000000.0,23459084000000.0,21579254000000.0,21055303000000.0,21875344000000.0
2092.0,22457858000000.0,23021073000000.0,13922669000000.0,13486583000000.0,23714823000000.0,19417574000000.0,15743259000000.0,20513552000000.0,22521705000000.0,23369390000000.0,21422966000000.0,20961422000000.0,21703267000000.0
2093.0,22393372000000.0,22967422000000.0,13672395000000.0,13119397000000.0,23644420000000.0,19172640000000.0,15460353000000.0,20215019000000.0,22449475000000.0,23282514000000.0,21363784000000.0,20834130000000.0,21584677000000.0
2094.0,22282180000000.0,22921525000000.0,13308789000000.0,12800785000000.0,23600587000000.0,18835099000000.0,15329206000000.0,20090754000000.0,22404875000000.0,23192463000000.0,21243164000000.0,20652575000000.0,21493614000000.0
2095.0,22173553000000.0,22869843000000.0,12951310000000.0,12581571000000.0,23554210000000.0,18651873000000.0,15166335000000.0,19913314000000.0,22379154000000.0,23045744000000.0,21095718000000.0,20444298000000.0,21402845000000.0
2096.0,22099255000000.0,22864542000000.0,12604018000000.0,12307631000000.0,23488505000000.0,18421717000000.0,14984351000000.0,19637270000000.0,22333134000000.0,22994536000000.0,20921146000000.0,20191250000000.0,21318712000000.0
2097.0,22035302000000.0,22832407000000.0,12168844000000.0,11916419000000.0,23433132000000.0,18183760000000.0,14779255000000.0,19480359000000.0,22304630000000.0,22912778000000.0,20753366000000.0,20143930000000.0,21186004000000.0
2098.0,21928167000000.0,22785817000000.0,11730697000000.0,11654829000000.0,23351196000000.0,17900027000000.0,14335128000000.0,19343922000000.0,22204849000000.0,22788184000000.0,20644874000000.0,19959755000000.0,21085788000000.0
2099.0,21853379000000.0,22744427000000.0,11370740000000.0,11299396000000.0,23304084000000.0,17676989000000.0,14192047000000.0,19320890000000.0,22088788000000.0,22688142000000.0,20516590000000.0,19883954000000.0,20981496000000.0
2100.0,21756832000000.0,22668733000000.0,11087589000000.0,10927065000000.0,23194245000000.0,17581862000000.0,13953768000000.0,19313240000000.0,21985812000000.0,22623640000000.0,20350337000000.0,19674566000000.0,20859245000000.0
