time,MPI-ESM-LR,NORESM1-M,CSIRO-MK3-6-0,CESM1-CAM5
2187.0,1901093300000.0,784598100000.0,2431374300000.0,434768380000.0
2188.0,1895436400000.0,776154800000.0,2426083700000.0,424376800000.0
2189.0,1891069500000.0,766139300000.0,2405886000000.0,416337130000.0
2190.0,1890368400000.0,759585000000.0,2380438400000.0,405376200000.0
2191.0,1889988900000.0,752186360000.0,2363652800000.0,397048640000.0
2192.0,1887633800000.0,744946300000.0,2347039200000.0,387230920000.0
2193.0,1882603300000.0,739134800000.0,2343291800000.0,377739540000.0
2194.0,1879732100000.0,735279050000.0,2325101400000.0,369415620000.0
2195.0,1880057200000.0,729057460000.0,2302152800000.0,359335850000.0
2196.0,1877074800000.0,713400800000.0,2288820000000.0,349510000000.0
2197.0,1867398100000.0,706932600000.0,2276138400000.0,341038330000.0
2198.0,1862900300000.0,701197700000.0,2250165500000.0,333043630000.0
2199.0,1858956000000.0,692787500000.0,2225998700000.0,323092680000.0
2200.0,1859110200000.0,686605000000.0,2203824200000.0,316519220000.0
2201.0,1854086200000.0,680358050000.0,2182843600000.0,307628080000.0
2202.0,1853864500000.0,670827000000.0,2166216300000.0,299041880000.0
2203.0,1849724000000.0,664427400000.0,2154328200000.0,291369980000.0
2204.0,1845480500000.0,656538700000.0,2149636500000.0,283288500000.0
2205.0,1838037000000.0,649235300000.0,2146715000000.0,274458150000.0
2206.0,1833642400000.0,645237600000.0,2137488800000.0,265827350000.0
2207.0,1830304700000.0,637820860000.0,2124046100000.0,258639040000.0
2208.0,1827260700000.0,631967450000.0,2106172000000.0,250205180000.0
2209.0,1825884700000.0,622097300000.0,2099752900000.0,240088190000.0
2210.0,1821682700000.0,614107700000.0,2091440700000.0,230643370000.0
2211.0,1822139000000.0,609600900000.0,2069509200000.0,223661000000.0
2212.0,1820019700000.0,606392700000.0,2043142200000.0,214226080000.0
2213.0,1823131600000.0,600549750000.0,2017401500000.0,205931950000.0
2214.0,1822226900000.0,595397300000.0,2012876600000.0,198005230000.0
2215.0,1817963300000.0,588944240000.0,2007309600000.0,189678910000.0
2216.0,1815515600000.0,585543700000.0,1991359300000.0,183758420000.0
2217.0,1815072900000.0,580629700000.0,1996227000000.0,177097700000.0
2218.0,1813543800000.0,576776200000.0,1983967100000.0,169869480000.0
2219.0,1810428900000.0,568750240000.0,1976865100000.0,162449620000.0
2220.0,1809150200000.0,562871660000.0,1962105000000.0,154957970000.0
2221.0,1807587300000.0,556406900000.0,1948593300000.0,148348980000.0
2222.0,1806688500000.0,553851700000.0,1934829400000.0,142934790000.0
2223.0,1803170000000.0,549356960000.0,1934331300000.0,136874510000.0
