time,CESM1-CAM5,CSIRO-MK3-6-0,NORESM1-M,MPI-ESM-LR
2132.0,363630460000.0,3234427300000.0,1509304800000.0,3322863200000.0
2133.0,344183470000.0,3195218400000.0,1464497100000.0,3290469000000.0
2134.0,326129550000.0,3153543600000.0,1416523000000.0,3249011200000.0
2135.0,310358200000.0,3114522000000.0,1362339200000.0,3215256500000.0
2136.0,293670300000.0,3080949900000.0,1314686200000.0,3173848200000.0
2137.0,281346200000.0,3045234300000.0,1280759700000.0,3130234800000.0
2138.0,267930580000.0,3005883600000.0,1242714200000.0,3087080000000.0
2139.0,255137380000.0,2974304400000.0,1205986300000.0,3058248200000.0
2140.0,244042240000.0,2941959500000.0,1171519600000.0,3028783200000.0
2141.0,233043840000.0,2914175700000.0,1135153400000.0,2999066600000.0
2142.0,220259400000.0,2881834500000.0,1098566500000.0,2963612400000.0
2143.0,210866210000.0,2841364400000.0,1063362700000.0,2930840200000.0
2144.0,200318880000.0,2802398500000.0,1027404660000.0,2883517400000.0
2145.0,189993120000.0,2766595000000.0,1003044860000.0,2846611200000.0
2146.0,181015500000.0,2735967000000.0,983359750000.0,2815148000000.0
2147.0,173513280000.0,2700691600000.0,951455700000.0,2779798800000.0
2148.0,165078760000.0,2657518000000.0,925431200000.0,2745988000000.0
2149.0,158675160000.0,2623861000000.0,898232350000.0,2717435600000.0
2150.0,152979650000.0,2587439100000.0,870919500000.0,2679267100000.0
2151.0,147083180000.0,2549075400000.0,842738960000.0,2635607800000.0
2152.0,142720830000.0,2512004300000.0,818025270000.0,2600138000000.0
2153.0,136965840000.0,2477346000000.0,790723170000.0,2561818500000.0
2154.0,131202420000.0,2445212000000.0,766144200000.0,2531504200000.0
2155.0,126308820000.0,2404694000000.0,741265800000.0,2496870700000.0
2156.0,121020130000.0,2366617400000.0,716057740000.0,2473550000000.0
2157.0,116408240000.0,2342285500000.0,692971700000.0,2445375400000.0
2158.0,111666040000.0,2313817400000.0,668441800000.0,2415292000000.0
2159.0,106861460000.0,2284756000000.0,644758100000.0,2377744000000.0
2160.0,102159114000.0,2246274000000.0,623179140000.0,2349206900000.0
2161.0,97724040000.0,2222416000000.0,599911760000.0,2315730600000.0
2162.0,94016840000.0,2193518200000.0,582549640000.0,2288160000000.0
2163.0,90766590000.0,2167928300000.0,560035600000.0,2257467000000.0
2164.0,87903480000.0,2140911400000.0,542767580000.0,2231263800000.0
2165.0,84417010000.0,2114533600000.0,527500540000.0,2207371500000.0
2166.0,81268875000.0,2082485200000.0,509921950000.0,2178777400000.0
2167.0,78734560000.0,2052768700000.0,492133420000.0,2147461200000.0
2168.0,76325320000.0,2029510100000.0,480817220000.0,2120390700000.0
2169.0,74057290000.0,2005543600000.0,463388380000.0,2092819700000.0
2170.0,70827920000.0,1981657100000.0,447189780000.0,2066126600000.0
2171.0,67633816000.0,1961170700000.0,433886860000.0,2036109300000.0
2172.0,64751400000.0,1932688500000.0,419899800000.0,2015469200000.0
2173.0,62451483000.0,1905185100000.0,405528640000.0,1989268200000.0
2174.0,60014800000.0,1882377300000.0,391659520000.0,1965091200000.0
2175.0,58314080000.0,1861113300000.0,378678050000.0,1941907400000.0
2176.0,56159146000.0,1836160300000.0,365732100000.0,1919413000000.0
2177.0,54143670000.0,1812235300000.0,355502900000.0,1895457200000.0
2178.0,52003676000.0,1789139700000.0,343520380000.0,1873937600000.0
2179.0,50318135000.0,1769460600000.0,333793030000.0,1853957300000.0
2180.0,48228040000.0,1745254700000.0,323829630000.0,1832757400000.0
2181.0,46062477000.0,1728471500000.0,313051970000.0,1805291200000.0
2182.0,43918393000.0,1702565000000.0,301657360000.0,1789115500000.0
2183.0,42156450000.0,1677453700000.0,290855300000.0,1772310900000.0
2184.0,40407708000.0,1655658500000.0,283478720000.0,1748808900000.0
2185.0,38664757000.0,1632422300000.0,276463700000.0,1728433900000.0
2186.0,36614080000.0,1609955500000.0,268603400000.0,1710367200000.0
2187.0,35124630000.0,1588130500000.0,263122670000.0,1690235200000.0
2188.0,33703502000.0,1567693000000.0,255412200000.0,1673000800000.0
2189.0,31893815000.0,1539299100000.0,246785850000.0,1654616800000.0
2190.0,30163128000.0,1517667900000.0,238799260000.0,1635861100000.0
2191.0,28501790000.0,1491227200000.0,231621080000.0,1614565200000.0
2192.0,26895071000.0,1467902900000.0,228361670000.0,1594097400000.0
2193.0,25616267000.0,1444475000000.0,220926030000.0,1576313400000.0
2194.0,24142301000.0,1426010500000.0,214228200000.0,1557958100000.0
2195.0,22508507000.0,1405835700000.0,208644180000.0,1533828100000.0
2196.0,21084640000.0,1390855700000.0,203130980000.0,1515299500000.0
2197.0,19740557000.0,1373426700000.0,198218890000.0,1499085100000.0
2198.0,18725020000.0,1351454000000.0,193716800000.0,1483290000000.0
2199.0,17530780000.0,1332330000000.0,189772870000.0,1468765200000.0
2200.0,16301040000.0,1312023400000.0,184949870000.0,1449970400000.0
2201.0,15288665000.0,1296599400000.0,179056210000.0,1435780600000.0
2202.0,14108855000.0,1279806000000.0,174872600000.0,1420060500000.0
2203.0,13261153000.0,1259707400000.0,171475910000.0,1406989000000.0
2204.0,12331720000.0,1240098800000.0,166990990000.0,1391270800000.0
2205.0,11535277000.0,1224171000000.0,163123430000.0,1373924100000.0
2206.0,10427433000.0,1206066900000.0,157343970000.0,1363827900000.0
2207.0,9397813000.0,1188681400000.0,153937820000.0,1346421100000.0
2208.0,8507577300.0,1176202200000.0,149902180000.0,1335506200000.0
2209.0,7594084400.0,1156436200000.0,145585900000.0,1318793900000.0
2210.0,6760110600.0,1138430700000.0,142005300000.0,1303286300000.0
2211.0,5976699400.0,1121984200000.0,139818140000.0,1291033400000.0
2212.0,5299986400.0,1107173800000.0,136102110000.0,1274569800000.0
2213.0,4601541600.0,1092752050000.0,133114660000.0,1258511900000.0
2214.0,3963286000.0,1076555100000.0,129792060000.0,1245969800000.0
2215.0,3381675300.0,1062126160000.0,127030750000.0,1232847400000.0
2216.0,2903162400.0,1048209500000.0,123315530000.0,1220525000000.0
2217.0,2471661800.0,1037247200000.0,120097120000.0,1204343300000.0
2218.0,2158276000.0,1025378400000.0,116733990000.0,1195343900000.0
2219.0,1932727600.0,1010965350000.0,113264710000.0,1186428700000.0
2220.0,1757815000.0,994530560000.0,110610250000.0,1172254600000.0
2221.0,1592789600.0,974944700000.0,107936170000.0,1161343400000.0
2222.0,1466470300.0,962959200000.0,104388580000.0,1147506900000.0
2223.0,1365924400.0,949953040000.0,100545400000.0,1137415200000.0
2224.0,1260259600.0,937891800000.0,97429020000.0,1130160300000.0
2225.0,1154031700.0,924958900000.0,95056130000.0,1120224000000.0
2226.0,1029854340.0,911607900000.0,93560226000.0,1109623400000.0
2227.0,944793400.0,898336600000.0,91331740000.0,1103192700000.0
2228.0,881841540.0,882136250000.0,88696226000.0,1093713100000.0
2229.0,819660100.0,868170140000.0,86847240000.0,1084597300000.0
2230.0,762194900.0,856935560000.0,84070560000.0,1073115300000.0
2231.0,721878900.0,844111540000.0,82035400000.0,1065017900000.0
2232.0,687672100.0,830154600000.0,79747150000.0,1053326300000.0
2233.0,654940400.0,820396360000.0,78590430000.0,1043112660000.0
2234.0,633364350.0,809132160000.0,77383030000.0,1031997750000.0
2235.0,613565060.0,794868060000.0,75234280000.0,1025569500000.0
2236.0,598060540.0,787024000000.0,72654000000.0,1015069740000.0
2237.0,578610940.0,776716100000.0,70388870000.0,1006366800000.0
2238.0,562770400.0,764259400000.0,68782830000.0,997801700000.0
2239.0,550546700.0,750941040000.0,67189240000.0,988629300000.0
2240.0,544221300.0,745071500000.0,65429360000.0,980717540000.0
2241.0,528119840.0,735319000000.0,63263260000.0,972086800000.0
2242.0,521793600.0,723538900000.0,61727216000.0,966908100000.0
2243.0,507532350.0,711629000000.0,60288310000.0,960332900000.0
2244.0,500215870.0,698526400000.0,58461290000.0,957888000000.0
2245.0,495887070.0,690634000000.0,57202110000.0,953232900000.0
2246.0,489434780.0,681769100000.0,55795855000.0,948987400000.0
2247.0,487898720.0,670974000000.0,54625767000.0,941202540000.0
2248.0,481087100.0,663502500000.0,53042360000.0,934679400000.0
2249.0,473553860.0,654837600000.0,52090778000.0,928312600000.0
2250.0,466123620.0,642527130000.0,51472265000.0,920929440000.0
2251.0,461886750.0,633229930000.0,50218580000.0,916127500000.0
2252.0,461182140.0,625236900000.0,48882127000.0,911481500000.0
2253.0,458824700.0,617498400000.0,48652677000.0,908660240000.0
2254.0,458182270.0,608579100000.0,47106044000.0,905688600000.0
2255.0,457245730.0,602099600000.0,46044010000.0,901053150000.0
2256.0,454343420.0,595539500000.0,45040337000.0,895865000000.0
2257.0,451700380.0,587896200000.0,44990906000.0,891027850000.0
2258.0,450991870.0,579801900000.0,44100313000.0,885769100000.0
2259.0,445296400.0,571201100000.0,42816510000.0,880282240000.0
2260.0,443174530.0,565028500000.0,41843070000.0,873138200000.0
2261.0,437452960.0,558632900000.0,41107497000.0,869871300000.0
2262.0,435291870.0,554516100000.0,39870170000.0,864811200000.0
2263.0,438360900.0,547427100000.0,39062737000.0,863357570000.0
2264.0,440891230.0,543256000000.0,38598150000.0,858808200000.0
2265.0,437149300.0,537200560000.0,37405164000.0,851725000000.0
2266.0,435252100.0,531449000000.0,36515086000.0,848198960000.0
2267.0,429548960.0,524534870000.0,36114727000.0,846318340000.0
2268.0,426527460.0,518977800000.0,35321135000.0,842120760000.0
2269.0,423304350.0,512121440000.0,34424324000.0,837300300000.0
2270.0,416086530.0,504044420000.0,33544428000.0,835094100000.0
2271.0,415115330.0,496841100000.0,33009099000.0,832812800000.0
2272.0,417826940.0,490473460000.0,32572277000.0,827345140000.0
2273.0,410763520.0,485678100000.0,31821740000.0,824142460000.0
2274.0,412666800.0,481287600000.0,31346393000.0,819366460000.0
2275.0,406810600.0,474232420000.0,30954746000.0,815947200000.0
2276.0,403415040.0,467037900000.0,30556207000.0,812018760000.0
2277.0,401296000.0,462943450000.0,29985071000.0,808745900000.0
2278.0,398763170.0,456527450000.0,29682137000.0,804508140000.0
2279.0,394646800.0,451423700000.0,29075335000.0,801508900000.0
2280.0,392869800.0,445143940000.0,28475568000.0,798473260000.0
2281.0,388240600.0,439668150000.0,28057182000.0,797831500000.0
2282.0,385794750.0,435866960000.0,27506900000.0,796110700000.0
2283.0,386065700.0,429232130000.0,27278078000.0,791787540000.0
2284.0,386569020.0,424380070000.0,26794207000.0,789847900000.0
2285.0,382523840.0,420388960000.0,26329550000.0,786583000000.0
2286.0,377297000.0,415829260000.0,25597522000.0,781866570000.0
2287.0,373142340.0,412166700000.0,25028305000.0,779348150000.0
2288.0,372603600.0,408360550000.0,24663462000.0,777131460000.0
2289.0,370823000.0,406517020000.0,24221039000.0,772746100000.0
2290.0,371198800.0,402965200000.0,23944946000.0,768559000000.0
2291.0,366585800.0,398421800000.0,23820464000.0,763716200000.0
2292.0,365991520.0,394766450000.0,23597748000.0,762254400000.0
2293.0,365398980.0,392331800000.0,23197704000.0,757921600000.0
2294.0,366264220.0,388483680000.0,22536059000.0,754704500000.0
2295.0,363153000.0,384934840000.0,21764375000.0,753203300000.0
2296.0,361045500.0,380434480000.0,21293021000.0,750762500000.0
2297.0,359373280.0,377658400000.0,21088354000.0,747726640000.0
2298.0,359420350.0,374553000000.0,20748112000.0,745396500000.0
2299.0,360127460.0,371257250000.0,20328130000.0,742719600000.0
2300.0,357525980.0,366745880000.0,19947151000.0,738790870000.0
