time,CCSM4,MPI-ESM-LR,CSIRO-MK3-6-0
2171.0,1024127100.0,1684566000.0,565614700.0
2172.0,1003455800.0,1650348800.0,530059650.0
2173.0,978518700.0,1582913500.0,491989100.0
2174.0,946513300.0,1518665600.0,439988480.0
2175.0,907850700.0,1457892900.0,415052800.0
2176.0,864406600.0,1412250000.0,379328000.0
2177.0,820410300.0,1352826100.0,339698500.0
2178.0,785466050.0,1313417100.0,308584500.0
2179.0,756584600.0,1276426500.0,276778880.0
2180.0,723397440.0,1258677100.0,244436370.0
2181.0,702122100.0,1245051100.0,217884900.0
2182.0,679405400.0,1209668600.0,195463460.0
2183.0,651484800.0,1154616300.0,173638080.0
2184.0,622214700.0,1088117500.0,151019650.0
2185.0,599264830.0,1031054600.0,134926300.0
2186.0,573660900.0,1010681700.0,118111624.0
2187.0,549529150.0,977282560.0,109223770.0
2188.0,525679300.0,972882800.0,94753360.0
2189.0,513097120.0,909603700.0,90837000.0
2190.0,495225470.0,876704600.0,80271016.0
2191.0,484400900.0,818953200.0,73518430.0
2192.0,474687600.0,772271800.0,65042652.0
2193.0,451037540.0,755257860.0,56456240.0
2194.0,442651300.0,731707200.0,48446704.0
2195.0,427655040.0,707453500.0,39233190.0
2196.0,417396030.0,687685300.0,34525410.0
2197.0,409556900.0,676869000.0,28885736.0
2198.0,392516740.0,661645900.0,22532362.0
2199.0,379817250.0,646332350.0,20106982.0
2200.0,368607800.0,618031500.0,17305312.0
2201.0,358853060.0,587888900.0,14706482.0
2202.0,340523700.0,581012800.0,11748696.0
2203.0,338735500.0,572446340.0,11500658.0
2204.0,329595900.0,562150140.0,10697987.0
2205.0,318615100.0,549785700.0,9131563.0
2206.0,292716540.0,527649920.0,6561383.0
2207.0,274514620.0,526339680.0,5796577.0
2208.0,275353000.0,526720580.0,5872890.0
2209.0,270955520.0,510974340.0,4701116.0
2210.0,255692800.0,491119200.0,4223527.0
2211.0,244187260.0,483114340.0,3358114.2
2212.0,240318430.0,484608400.0,3054508.0
2213.0,238062750.0,466893950.0,2740174.5
2214.0,228674110.0,444450620.0,2673414.8
2215.0,223588100.0,433655840.0,2697756.8
2216.0,221626080.0,410640960.0,2675978.2
2217.0,223138560.0,397830600.0,2579537.5
2218.0,220601250.0,382621570.0,2464766.2
2219.0,219099400.0,368020220.0,2395996.2
2220.0,212410900.0,348477950.0,2199879.8
2221.0,204837220.0,331827260.0,2068525.9
2222.0,198823790.0,325115900.0,2046479.2
2223.0,198842100.0,313648930.0,2018387.8
2224.0,200601950.0,302289060.0,1993368.1
2225.0,194365000.0,282877150.0,1884086.8
2226.0,191844160.0,281637200.0,1832509.2
2227.0,182925200.0,274701020.0,1814587.6
2228.0,180842580.0,257977280.0,1781505.2
2229.0,177435920.0,243393180.0,1811288.8
2230.0,171626770.0,234670180.0,1794020.5
2231.0,168343680.0,232448830.0,1795801.4
2232.0,160304270.0,227226780.0,1764709.9
2233.0,154718190.0,224540100.0,1728687.0
2234.0,151386180.0,224275420.0,1698527.4
2235.0,151248100.0,217832880.0,1716211.1
2236.0,145547250.0,215693700.0,1719285.4
2237.0,140823200.0,207280130.0,1751084.4
2238.0,142612020.0,194997660.0,1739444.0
2239.0,139499970.0,184710350.0,1727420.8
2240.0,135185660.0,181128320.0,1698941.4
2241.0,131735200.0,179040740.0,1682311.8
2242.0,124793704.0,171221730.0,1680890.4
2243.0,122941850.0,169285280.0,1650431.8
2244.0,121237500.0,170612320.0,1649842.9
2245.0,121535710.0,165984820.0,1620951.4
2246.0,122634580.0,156119150.0,1597902.9
2247.0,119731630.0,159334980.0,1541749.4
2248.0,116815464.0,159828200.0,1536201.0
2249.0,115650610.0,157351280.0,1522323.9
2250.0,109699690.0,158371980.0,1511870.9
2251.0,108912344.0,159208860.0,1571568.9
2252.0,107070060.0,155343090.0,1493316.4
2253.0,104982130.0,149505390.0,1493052.0
2254.0,101168620.0,149934000.0,1488746.4
2255.0,100255010.0,150395250.0,1495479.2
2256.0,97134440.0,144698100.0,1504041.5
2257.0,93012664.0,143244860.0,1504948.1
2258.0,92495304.0,139511660.0,1498971.4
2259.0,93207896.0,136820000.0,1506992.5
2260.0,91800820.0,133588770.0,1522299.5
2261.0,92201460.0,132227360.0,1514269.0
2262.0,93135590.0,131983900.0,1517150.1
2263.0,87315040.0,130822710.0,1522977.6
2264.0,84465970.0,129406510.0,1529263.8
2265.0,82529304.0,130233780.0,1508240.2
2266.0,77540180.0,125166344.0,1523336.5
2267.0,77860670.0,127389740.0,1516112.2
2268.0,77991150.0,122583656.0,1514589.2
2269.0,74306830.0,119091410.0,1515422.1
2270.0,71944104.0,117707976.0,1520014.4
2271.0,69200540.0,114602536.0,1512455.8
2272.0,70527870.0,114874440.0,1507271.5
2273.0,71701430.0,114156190.0,1497080.8
2274.0,69260830.0,112885464.0,1538790.6
2275.0,67333860.0,114268250.0,1513358.0
2276.0,66175316.0,116325800.0,1498168.4
2277.0,63455676.0,112406300.0,1483661.1
2278.0,61310064.0,115553920.0,1472344.9
2279.0,60553660.0,110200300.0,1477451.8
2280.0,59691876.0,107901070.0,1522614.9
2281.0,56541276.0,107410880.0,1468652.6
2282.0,57168336.0,104795470.0,1464694.0
2283.0,54457450.0,105099680.0,1466686.0
2284.0,51725384.0,102280400.0,1473261.5
2285.0,50319824.0,101198344.0,1457796.1
2286.0,51494276.0,101468930.0,1441525.0
2287.0,50888424.0,102675600.0,1417375.2
2288.0,50663360.0,101763304.0,1391453.5
2289.0,48779260.0,100920350.0,1412057.9
2290.0,47858280.0,100583340.0,1416647.9
2291.0,48197170.0,97100540.0,1392082.5
2292.0,49301464.0,95546450.0,1390090.2
2293.0,48815664.0,93418340.0,1398645.9
2294.0,48468148.0,88756530.0,1398231.9
2295.0,48566900.0,88586420.0,1400775.6
2296.0,47641516.0,86396750.0,1386941.5
2297.0,47497770.0,83316670.0,1380968.6
2298.0,47162692.0,80749600.0,1390719.5
2299.0,47795148.0,79150590.0,1380383.4
2300.0,47001184.0,75923590.0,1400007.1
