time,GFDL-ESM2G,NORESM1-M,CSIRO-MK3-6-0,CCSM4,CESM1-CAM5,IPSL-CM5A-LR,GISS-E2-R,GFDL-CM3
2057.0,376748440000.0,431921800000.0,420769460000.0,396376700000.0,337943270000.0,348619050000.0,495237430000.0,258608040000.0
2058.0,368448470000.0,424924500000.0,412090660000.0,386071400000.0,319141180000.0,344243400000.0,483900060000.0,251121840000.0
2059.0,362196340000.0,410152930000.0,404285650000.0,376986270000.0,305504850000.0,322650100000.0,466020140000.0,242081640000.0
2060.0,357952400000.0,400416740000.0,389599230000.0,365914850000.0,296259880000.0,312682940000.0,458458700000.0,232058700000.0
2061.0,356375630000.0,384818300000.0,377868220000.0,359509850000.0,288312430000.0,306700030000.0,445590080000.0,221923020000.0
2062.0,349862500000.0,367307900000.0,372203320000.0,348063200000.0,279392500000.0,297136360000.0,435768400000.0,214601120000.0
2063.0,343104320000.0,363880220000.0,369660600000.0,343391470000.0,269508920000.0,286022500000.0,421189780000.0,207125450000.0
2064.0,336522870000.0,358322270000.0,365744650000.0,331454840000.0,249597020000.0,276285950000.0,411521940000.0,199479120000.0
2065.0,332163320000.0,344009570000.0,358830470000.0,321925450000.0,234139980000.0,267187700000.0,403768440000.0,186903100000.0
2066.0,322774560000.0,326123980000.0,347815200000.0,316916000000.0,221618230000.0,263752930000.0,393453800000.0,182438100000.0
2067.0,318645400000.0,309837560000.0,343301700000.0,311036280000.0,208533780000.0,253943550000.0,386009630000.0,172242100000.0
2068.0,311672900000.0,296282160000.0,330621500000.0,299199070000.0,196575950000.0,245871660000.0,372543600000.0,164721360000.0
2069.0,303568030000.0,287730930000.0,315714340000.0,289869660000.0,183253020000.0,237724190000.0,362554230000.0,154861340000.0
2070.0,296513370000.0,279769380000.0,309131600000.0,280554570000.0,172341790000.0,231779940000.0,353621600000.0,147786420000.0
2071.0,292187400000.0,267262770000.0,297482100000.0,274828620000.0,159754730000.0,221142680000.0,346339440000.0,139346790000.0
2072.0,288492850000.0,257895890000.0,287666100000.0,265559300000.0,147444220000.0,213422650000.0,338711900000.0,133141960000.0
2073.0,282141820000.0,242535630000.0,272460990000.0,255302940000.0,138093790000.0,206654700000.0,336953970000.0,125301700000.0
2074.0,278517840000.0,231509230000.0,263558270000.0,241922200000.0,130570740000.0,198835980000.0,330436120000.0,118255790000.0
2075.0,268073450000.0,225106620000.0,256764430000.0,231030010000.0,121962670000.0,194908600000.0,324875600000.0,111087140000.0
2076.0,262581520000.0,211121860000.0,247797380000.0,225360200000.0,113333690000.0,188144880000.0,320750400000.0,108247940000.0
2077.0,257027130000.0,200811720000.0,233705210000.0,216958710000.0,105262080000.0,182810310000.0,311895030000.0,101218450000.0
2078.0,251507880000.0,191843270000.0,222699700000.0,212656050000.0,96236470000.0,173907800000.0,304790860000.0,94922000000.0
2079.0,245105660000.0,187334130000.0,210731480000.0,206006530000.0,88912110000.0,165554180000.0,294663620000.0,88973110000.0
2080.0,239404520000.0,180157170000.0,200800710000.0,202782130000.0,82363820000.0,158801820000.0,294540200000.0,81970970000.0
2081.0,231722500000.0,175164880000.0,192059880000.0,199426470000.0,75112450000.0,149992640000.0,291810900000.0,78021394000.0
2082.0,224771200000.0,167133940000.0,186641480000.0,191086130000.0,66842993000.0,143215740000.0,287685380000.0,73827746000.0
2083.0,218889730000.0,160030280000.0,178633540000.0,184741660000.0,60318093000.0,135593690000.0,283638070000.0,68319965000.0
2084.0,215204870000.0,153929400000.0,169643500000.0,175825650000.0,56159680000.0,132936240000.0,276456240000.0,63194090000.0
2085.0,210209830000.0,142777800000.0,161423570000.0,168404290000.0,52097663000.0,127743754000.0,270582890000.0,58581017000.0
2086.0,204249020000.0,136079030000.0,151973020000.0,160107760000.0,47613190000.0,121155740000.0,265679270000.0,53422600000.0
2087.0,195431740000.0,129154760000.0,141487620000.0,151180820000.0,42821046000.0,113101190000.0,260826630000.0,50124788000.0
2088.0,188032630000.0,121771516000.0,137480110000.0,144792110000.0,38305210000.0,105417160000.0,257074410000.0,46615960000.0
2089.0,181890530000.0,115562220000.0,130665865000.0,136158810000.0,35224072000.0,98928480000.0,254175950000.0,43231910000.0
2090.0,171410870000.0,105647325000.0,124178020000.0,127474390000.0,31508433000.0,91625775000.0,251190310000.0,39606903000.0
2091.0,168125510000.0,99101210000.0,114923430000.0,122674230000.0,28030806000.0,84677660000.0,246797030000.0,36845360000.0
2092.0,160704090000.0,91904870000.0,108883160000.0,118566216000.0,25477607000.0,77640794000.0,239637510000.0,33283873000.0
2093.0,152563190000.0,85192320000.0,103882180000.0,113204040000.0,23068152000.0,71931980000.0,237811740000.0,30713151000.0
2094.0,148951350000.0,80322404000.0,95336250000.0,108939650000.0,20414683000.0,68055077000.0,232379240000.0,28898048000.0
2095.0,141045630000.0,75263680000.0,90423160000.0,104048935000.0,18480292000.0,63449227000.0,232038320000.0,27227873000.0
2096.0,132491360000.0,71514880000.0,85887664000.0,98625210000.0,17115587000.0,59303743000.0,229730420000.0,25272160000.0
2097.0,122096796000.0,67454067000.0,81780000000.0,93945210000.0,15754255000.0,55075234000.0,225478700000.0,23682206000.0
2098.0,119609540000.0,63974478000.0,75300790000.0,92455020000.0,14346878000.0,52343198000.0,223320340000.0,22010309000.0
2099.0,115885260000.0,59876815000.0,71323610000.0,89892830000.0,13261401000.0,47709217000.0,219530920000.0,20331844000.0
2100.0,109397066000.0,55018463000.0,67362110000.0,88471180000.0,12508696000.0,45080380000.0,219690400000.0,19185056000.0
