time,ACCESS-CM2,CESM2-WACCM,ACCESS-ESM1-5,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0
2087.0,4118972200000.0,5539364000000.0,5253364700000.0,4550381500000.0,1515667600000.0,3470839800000.0
2088.0,4069356200000.0,5512533400000.0,5221742300000.0,4513087400000.0,1477377400000.0,3429866700000.0
2089.0,4031889300000.0,5480285000000.0,5196025000000.0,4474217000000.0,1440334500000.0,3386393000000.0
2090.0,3975868800000.0,5454061000000.0,5155741000000.0,4446112700000.0,1404164100000.0,3356713000000.0
2091.0,3920378500000.0,5416746500000.0,5133113500000.0,4414882000000.0,1364065900000.0,3312942600000.0
2092.0,3862399300000.0,5348445000000.0,5104748000000.0,4378984200000.0,1327991200000.0,3288311500000.0
2093.0,3774951500000.0,5319112000000.0,5082070000000.0,4334397700000.0,1288553400000.0,3261585700000.0
2094.0,3693490000000.0,5265228300000.0,5045107000000.0,4297674200000.0,1246158500000.0,3224672000000.0
2095.0,3603794500000.0,5212132000000.0,5005354000000.0,4267747300000.0,1208978500000.0,3197468400000.0
2096.0,3546099000000.0,5159282300000.0,4987952000000.0,4234752000000.0,1165532100000.0,3157473400000.0
2097.0,3471504600000.0,5129015000000.0,4954523700000.0,4193913100000.0,1129678900000.0,3110790200000.0
2098.0,3414512600000.0,5077011000000.0,4920053300000.0,4162176400000.0,1092111200000.0,3083499500000.0
2099.0,3369304300000.0,4999935000000.0,4881303000000.0,4137650200000.0,1052567200000.0,3052338400000.0
2100.0,3333988500000.0,4936252000000.0,4849535000000.0,4106847800000.0,1018632540000.0,3017118600000.0
2101.0,3257548400000.0,4915134000000.0,4823348000000.0,4064347200000.0,981209700000.0,2996148000000.0
2102.0,3215364500000.0,4885557000000.0,4780771500000.0,4038308100000.0,943965100000.0,2976232800000.0
2103.0,3166779500000.0,4861686400000.0,4762170300000.0,4000649800000.0,912529360000.0,2958275400000.0
2104.0,3093541000000.0,4822828000000.0,4737042000000.0,3978292400000.0,877203900000.0,2924478700000.0
2105.0,3023830800000.0,4777457500000.0,4689363000000.0,3938834200000.0,844270200000.0,2907231500000.0
2106.0,2958656300000.0,4737003000000.0,4670202300000.0,3909025000000.0,815534800000.0,2896812000000.0
2107.0,2895678500000.0,4689751000000.0,4646731500000.0,3873737800000.0,787280600000.0,2879198900000.0
2108.0,2830299000000.0,4646926500000.0,4623227000000.0,3840104700000.0,764716200000.0,2861025700000.0
2109.0,2801799000000.0,4615928500000.0,4588860600000.0,3812495700000.0,741012900000.0,2837028000000.0
2110.0,2759743500000.0,4583784000000.0,4566794000000.0,3791692800000.0,720422300000.0,2809343500000.0
2111.0,2721566700000.0,4536297600000.0,4545154000000.0,3762654800000.0,700913940000.0,2786009000000.0
2112.0,2685289600000.0,4502289600000.0,4515728700000.0,3730339800000.0,683916200000.0,2755227000000.0
2113.0,2655416200000.0,4464865000000.0,4472057000000.0,3696039300000.0,670205350000.0,2737928000000.0
2114.0,2602617500000.0,4436375600000.0,4448910000000.0,3654470300000.0,653641300000.0,2722258700000.0
2115.0,2568746200000.0,4416978600000.0,4426010500000.0,3630555500000.0,639319540000.0,2713551600000.0
2116.0,2529834000000.0,4388353000000.0,4395894300000.0,3601604500000.0,625634000000.0,2696127200000.0
2117.0,2459679600000.0,4368743000000.0,4366284000000.0,3568302800000.0,611142800000.0,2679974000000.0
2118.0,2406528600000.0,4357407600000.0,4343720000000.0,3544673400000.0,599181500000.0,2658203300000.0
2119.0,2358540800000.0,4331080300000.0,4302482200000.0,3518382000000.0,586457100000.0,2639592000000.0
2120.0,2308154600000.0,4306913500000.0,4275659300000.0,3476246500000.0,573690400000.0,2618275100000.0
2121.0,2260083000000.0,4270099000000.0,4231916700000.0,3458268000000.0,561810830000.0,2606539700000.0
2122.0,2227031500000.0,4240522600000.0,4198567200000.0,3432347600000.0,548994500000.0,2584395600000.0
2123.0,2145330900000.0,4222840200000.0,4155901700000.0,3407487000000.0,538257200000.0,2575171300000.0
2124.0,2073014600000.0,4180591800000.0,4128585500000.0,3374131700000.0,526728270000.0,2575243100000.0
2125.0,1995818800000.0,4145471800000.0,4097316000000.0,3345791800000.0,519025000000.0,2567831000000.0
2126.0,1943429200000.0,4096295400000.0,4054873300000.0,3327088700000.0,508889430000.0,2560847200000.0
2127.0,1876372800000.0,4062814400000.0,4014674800000.0,3303421800000.0,497571530000.0,2558464600000.0
2128.0,1834516900000.0,4023900700000.0,3976520500000.0,3281892400000.0,487921650000.0,2550276800000.0
2129.0,1793574700000.0,4000350700000.0,3943351200000.0,3258160500000.0,479053480000.0,2547385600000.0
2130.0,1762944400000.0,3970391600000.0,3896126000000.0,3231872500000.0,470602350000.0,2537408000000.0
2131.0,1727559200000.0,3938961900000.0,3848112400000.0,3201894700000.0,461892060000.0,2540535500000.0
2132.0,1690393900000.0,3926372600000.0,3784613800000.0,3188305200000.0,453717600000.0,2531398300000.0
2133.0,1666362600000.0,3892675000000.0,3744378000000.0,3164703300000.0,444648000000.0,2524198700000.0
2134.0,1640577100000.0,3840137800000.0,3699507200000.0,3134877600000.0,435434720000.0,2524836800000.0
2135.0,1622729400000.0,3806990200000.0,3664602000000.0,3135636500000.0,426715400000.0,2526544100000.0
2136.0,1594713700000.0,3791015400000.0,3612414300000.0,3121776000000.0,418741130000.0,2526154600000.0
2137.0,1575672000000.0,3764466500000.0,3578161300000.0,3099112200000.0,413346200000.0,2516562700000.0
2138.0,1535369500000.0,3741343300000.0,3540427200000.0,3080595700000.0,404993930000.0,2518290800000.0
2139.0,1513162500000.0,3717332500000.0,3508351000000.0,3055776200000.0,398605500000.0,2524242200000.0
2140.0,1499112900000.0,3687521000000.0,3456511200000.0,3031082200000.0,391483560000.0,2517688400000.0
2141.0,1488967000000.0,3666897800000.0,3411498200000.0,3005844000000.0,383958800000.0,2516523400000.0
2142.0,1467516700000.0,3652629000000.0,3374292100000.0,2992131500000.0,377124800000.0,2518833400000.0
2143.0,1451067200000.0,3604301000000.0,3347808000000.0,2967904000000.0,371694140000.0,2521467700000.0
