time,MRI-ESM2-0,CANESM5,CESM2-WACCM,IPSL-CM6A-LR
2148.0,1910425500000.0,187949060000.0,4364680800000.0,2706273700000.0
2149.0,1910021000000.0,185803780000.0,4360883100000.0,2701693300000.0
2150.0,1909131400000.0,183065950000.0,4352056800000.0,2685664200000.0
2151.0,1909968500000.0,180769080000.0,4343401500000.0,2675474000000.0
2152.0,1909718400000.0,178267470000.0,4331369400000.0,2666900000000.0
2153.0,1905200500000.0,176301490000.0,4326568800000.0,2653640500000.0
2154.0,1906889900000.0,174902530000.0,4320701000000.0,2651357700000.0
2155.0,1904990500000.0,173411090000.0,4302146600000.0,2640712300000.0
2156.0,1910341400000.0,171937120000.0,4298716000000.0,2628646000000.0
2157.0,1912773000000.0,170562170000.0,4306083500000.0,2617909000000.0
2158.0,1918808100000.0,168780220000.0,4298505500000.0,2603415200000.0
2159.0,1913596800000.0,167036340000.0,4283149000000.0,2584619800000.0
2160.0,1918884900000.0,165503220000.0,4271980200000.0,2574593000000.0
2161.0,1917671300000.0,163698050000.0,4265223400000.0,2561157400000.0
2162.0,1919334100000.0,162483140000.0,4247315500000.0,2551152600000.0
2163.0,1917391000000.0,161124160000.0,4236137200000.0,2544921200000.0
2164.0,1916842800000.0,160510230000.0,4229428000000.0,2534591000000.0
2165.0,1922674700000.0,159811760000.0,4226997000000.0,2525598800000.0
2166.0,1927874500000.0,159092800000.0,4228489400000.0,2516357500000.0
2167.0,1932490200000.0,157852060000.0,4214260500000.0,2509886700000.0
2168.0,1932723100000.0,156622680000.0,4217368000000.0,2504679200000.0
2169.0,1938136100000.0,155716400000.0,4201285200000.0,2501077600000.0
2170.0,1938020000000.0,154680750000.0,4186912000000.0,2490045300000.0
2171.0,1949034600000.0,153324240000.0,4189142400000.0,2482283500000.0
2172.0,1953737000000.0,153412800000.0,4186716000000.0,2478434700000.0
2173.0,1955065000000.0,152316430000.0,4185796600000.0,2481860600000.0
2174.0,1963796200000.0,152546400000.0,4174025300000.0,2475125600000.0
2175.0,1965916700000.0,151672240000.0,4172068200000.0,2471268500000.0
2176.0,1972058500000.0,150778510000.0,4166005000000.0,2465428100000.0
2177.0,1977439900000.0,150304640000.0,4158256300000.0,2458166500000.0
2178.0,1981190800000.0,149129500000.0,4161350400000.0,2455026800000.0
2179.0,1982915000000.0,147986100000.0,4157911300000.0,2446869000000.0
2180.0,1992164500000.0,147064230000.0,4144417500000.0,2439230300000.0
2181.0,2002457300000.0,146162700000.0,4134621200000.0,2427376600000.0
2182.0,2005035000000.0,145195780000.0,4108405400000.0,2416665000000.0
2183.0,2008532400000.0,144889280000.0,4090544000000.0,2411096000000.0
2184.0,2009108600000.0,143959560000.0,4095403400000.0,2405984600000.0
2185.0,2010903900000.0,142925860000.0,4087881700000.0,2403865200000.0
2186.0,2016654400000.0,142467330000.0,4090029700000.0,2398871000000.0
2187.0,2025280400000.0,141359460000.0,4094732300000.0,2394327600000.0
2188.0,2030079300000.0,140510630000.0,4097055000000.0,2387866000000.0
2189.0,2034376000000.0,139568740000.0,4091084000000.0,2380310200000.0
2190.0,2042946500000.0,138698050000.0,4066581200000.0,2374415700000.0
2191.0,2044983900000.0,137889460000.0,4066016500000.0,2362726000000.0
2192.0,2047539300000.0,137748190000.0,4063642800000.0,2354032000000.0
2193.0,2051192800000.0,137649470000.0,4055125700000.0,2353579000000.0
2194.0,2054838800000.0,136666890000.0,4060733000000.0,2347377000000.0
2195.0,2061114800000.0,136015440000.0,4064368000000.0,2346328500000.0
2196.0,2067107000000.0,135123510000.0,4069866900000.0,2343333500000.0
2197.0,2070541800000.0,135099250000.0,4066371000000.0,2337165000000.0
2198.0,2074154900000.0,135317860000.0,4061801500000.0,2328957300000.0
2199.0,2080221300000.0,135707300000.0,4042713200000.0,2323136400000.0
2200.0,2087733400000.0,135337810000.0,4038121200000.0,2318031700000.0
2201.0,2089675900000.0,135652205000.0,4026445300000.0,2307576300000.0
2202.0,2095741500000.0,135296960000.0,4039201300000.0,2310618500000.0
