time,CESM2-WACCM,CanESM5,IPSL-CM6A-LR,MRI-ESM2-0
2226,27206277833.4041,15358748839.143328,15838909727.374557,56808543762.61529
2227,27048098165.982014,15373932179.79849,16012916738.690056,57151874421.788536
2228,26951168061.453156,15346457897.556189,16072807678.746805,57439199613.67293
2229,26757892045.40268,15505018966.130375,16236927603.812923,57779969883.67665
2230,26435867726.838287,15508326186.325123,16439670784.830824,58088168311.969574
2231,26423941959.646694,15480712605.387098,16389841092.447783,58042829268.318275
2232,26169023565.29134,15416584654.645617,16442709208.225147,58314769845.49308
2233,25793441528.679245,15369085586.56533,16341534915.237621,58205213296.662285
2234,25819637487.487354,15334301499.436932,16326042110.647144,58608876580.061424
2235,25646273167.958633,15324850343.538855,16107421774.834341,59016317298.73333
2236,25420792209.440147,15318865923.960901,15937749172.633566,59277582964.70394
2237,25350779155.23727,15320522815.222986,15965330161.187778,58926329656.20624
2238,25278781116.455734,15476152280.33888,15837867571.798178,59381287468.70953
2239,25236592443.715725,15410507660.660032,15794517110.173882,59506738195.8408
2240,24945984472.938976,15403307552.388659,15715412227.795744,59889170378.81942
2241,24704396098.65356,15416901671.172878,15652463097.135542,60331667883.1458
2242,24582875656.703068,15323252105.454348,15833461928.07509,59935948527.16266
2243,24455475783.79734,15331767849.341217,16064262286.702795,60536177977.578445
2244,24085674240.482723,15208208340.7832,15951505911.489082,60491456925.072945
2245,23902894227.430534,15200677611.763405,15936788188.279676,60332341919.80313
2246,23733960766.992893,15101837168.5114,16015455143.384846,60628067522.27465
2247,23721468510.482307,15135837098.481812,15952421293.369839,60719264381.85709
2248,23461416696.675182,15096876592.030104,15736442591.039602,61508749914.16276
2249,23251296458.69918,15162676816.81578,15778454516.547998,62051548286.95604
2250,23375228675.096565,15207209552.416172,15724318932.189293,62692266585.00391
2251,23388814865.217,15303388200.813591,15670307698.894669,62845929135.29639
2252,23140370090.837517,15365272961.091702,15722317708.506758,63104685439.727615
2253,23328720080.788677,15330340521.415127,15774245455.891174,63450541024.2655
2254,23595169568.535313,15566734503.234062,15749774330.272348,64035305244.46934
