time,CESM2,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,CMCC-CM2-SR5,INM-CM5-0,INM-CM4-8,NORESM2-MM,EC-EARTH3,GFDL-ESM4,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,MRI-ESM2-0
2010.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0
2011.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0
2012.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0
2013.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0
2014.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0
2015.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0
2016.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0
2017.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0
2018.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0
2019.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0
2020.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0
2021.0,3054472300000.0,3078295400000.0,3068147300000.0,3077851000000.0,3075676000000.0,3063398000000.0,3079169400000.0,3054693300000.0,3041555400000.0,3045897800000.0,3055455000000.0,3065268100000.0,3076121200000.0,3057572400000.0
2022.0,3015181900000.0,3062067400000.0,3036949300000.0,3083978400000.0,3071121600000.0,3028019800000.0,3055478400000.0,3027364500000.0,3016418100000.0,3021433200000.0,3040125400000.0,3054407000000.0,3061705000000.0,3022157800000.0
2023.0,2975999200000.0,3028930300000.0,3009109000000.0,3060347700000.0,3050934600000.0,3005107700000.0,3043447300000.0,3005049500000.0,2982153600000.0,2996200300000.0,3022843000000.0,3023497000000.0,3042042400000.0,2994062000000.0
2024.0,2932316800000.0,3002029300000.0,2988294300000.0,3031397600000.0,3028699600000.0,2977966300000.0,3025568300000.0,2965828300000.0,2948871500000.0,2979207300000.0,3007309700000.0,2978012000000.0,3021083200000.0,2966606000000.0
2025.0,2907832800000.0,2982639800000.0,3014846600000.0,3012622300000.0,3027984200000.0,2946221700000.0,2971177300000.0,2933955500000.0,2907207000000.0,2953049800000.0,3011704800000.0,2938968500000.0,2974851800000.0,2924222000000.0
2026.0,2872739400000.0,2962480000000.0,2990530000000.0,2993373000000.0,3017500800000.0,2916826200000.0,2937032000000.0,2906035800000.0,2871292000000.0,2923725300000.0,3004395400000.0,2904707000000.0,2942208800000.0,2889022700000.0
2027.0,2847583000000.0,2940490500000.0,2973638900000.0,2967531000000.0,2986310600000.0,2891735000000.0,2920227300000.0,2884171500000.0,2824114500000.0,2896215700000.0,2991985000000.0,2893664500000.0,2921456500000.0,2864130800000.0
2028.0,2821447700000.0,2906242700000.0,2931576800000.0,2918182000000.0,2961640300000.0,2857278600000.0,2896586300000.0,2856409400000.0,2783164000000.0,2882323300000.0,2985624900000.0,2869926600000.0,2885387300000.0,2825715400000.0
2029.0,2796808000000.0,2905400400000.0,2931062000000.0,2905322800000.0,2937008200000.0,2818308000000.0,2861921700000.0,2823908500000.0,2731296400000.0,2862805400000.0,2947261400000.0,2846929700000.0,2855201100000.0,2787423000000.0
2030.0,2755297000000.0,2884634100000.0,2919298000000.0,2902159300000.0,2906418300000.0,2773997800000.0,2821320000000.0,2802915200000.0,2691005000000.0,2838273000000.0,2938371800000.0,2819507600000.0,2817562200000.0,2765244300000.0
2031.0,2726824800000.0,2854216000000.0,2903940300000.0,2885107600000.0,2883623800000.0,2745464500000.0,2793930800000.0,2787799500000.0,2645128000000.0,2820771400000.0,2913036400000.0,2800303000000.0,2770679000000.0,2723332200000.0
2032.0,2689730300000.0,2820773500000.0,2899453700000.0,2858568000000.0,2856870500000.0,2707915000000.0,2762677200000.0,2756602000000.0,2603312200000.0,2797363000000.0,2887092300000.0,2757448400000.0,2735673700000.0,2688274100000.0
2033.0,2655248700000.0,2798655600000.0,2858744500000.0,2828206300000.0,2818949500000.0,2654079300000.0,2742412000000.0,2726976600000.0,2567474200000.0,2773720200000.0,2875501300000.0,2729370700000.0,2696820300000.0,2654727300000.0
2034.0,2613975700000.0,2758810000000.0,2845601400000.0,2808692000000.0,2799845800000.0,2623486300000.0,2700533800000.0,2711314800000.0,2525597500000.0,2753786500000.0,2838181700000.0,2706482100000.0,2668945200000.0,2610576500000.0
2035.0,2587212000000.0,2749870400000.0,2836164800000.0,2815808800000.0,2784171000000.0,2594234400000.0,2648710800000.0,2677830300000.0,2496458000000.0,2738088000000.0,2817482600000.0,2672379000000.0,2623423000000.0,2580455000000.0
2036.0,2555206000000.0,2712935600000.0,2810691000000.0,2786619800000.0,2753975800000.0,2575180200000.0,2629832800000.0,2640746000000.0,2468925100000.0,2716246200000.0,2793500000000.0,2647009300000.0,2588851800000.0,2536595800000.0
2037.0,2518870700000.0,2677548800000.0,2783284600000.0,2748598500000.0,2743672200000.0,2526438000000.0,2616776000000.0,2611598600000.0,2426560300000.0,2690229000000.0,2782173000000.0,2617474800000.0,2574567900000.0,2480826500000.0
2038.0,2480723000000.0,2664200100000.0,2759094700000.0,2710329600000.0,2730054400000.0,2491730000000.0,2600344700000.0,2594434000000.0,2392786700000.0,2662008600000.0,2754472000000.0,2584407400000.0,2535372600000.0,2446672300000.0
2039.0,2453411700000.0,2643833000000.0,2739194300000.0,2680062500000.0,2712757300000.0,2453958300000.0,2575774800000.0,2564316200000.0,2354791600000.0,2625667600000.0,2735300700000.0,2562292000000.0,2504948200000.0,2408288600000.0
2040.0,2418375700000.0,2611747700000.0,2723606200000.0,2651837000000.0,2684353800000.0,2428086000000.0,2532476000000.0,2526286400000.0,2322443300000.0,2604865000000.0,2719910700000.0,2524825500000.0,2477457100000.0,2375283400000.0
2041.0,2395391000000.0,2583951600000.0,2694643200000.0,2621787900000.0,2643239400000.0,2389946700000.0,2493708800000.0,2480874200000.0,2284600200000.0,2580845700000.0,2701186000000.0,2489993700000.0,2433674600000.0,2329877000000.0
2042.0,2357339000000.0,2547341600000.0,2664269000000.0,2589649500000.0,2634444400000.0,2356298000000.0,2461233800000.0,2446086600000.0,2258109500000.0,2553092500000.0,2660724400000.0,2445298600000.0,2389429500000.0,2283841000000.0
2043.0,2320672500000.0,2519602000000.0,2632638300000.0,2560173500000.0,2609418600000.0,2330214800000.0,2425024400000.0,2413635800000.0,2224278700000.0,2541942000000.0,2613684200000.0,2411171400000.0,2364211000000.0,2250825800000.0
2044.0,2296937400000.0,2489034700000.0,2615141200000.0,2530442000000.0,2591774200000.0,2309830700000.0,2405929300000.0,2382331400000.0,2175796600000.0,2539028000000.0,2585421700000.0,2378493300000.0,2340170200000.0,2218226000000.0
2045.0,2265837200000.0,2457914300000.0,2595369000000.0,2470130000000.0,2588570300000.0,2283755800000.0,2384613600000.0,2348729000000.0,2138004500000.0,2518574200000.0,2572586800000.0,2339165200000.0,2290389000000.0,2183546700000.0
2046.0,2232789200000.0,2440064700000.0,2558163700000.0,2442622000000.0,2545579700000.0,2258763800000.0,2349946000000.0,2309648000000.0,2112675600000.0,2494676000000.0,2555842000000.0,2298060700000.0,2258640800000.0,2144479300000.0
2047.0,2218500800000.0,2409406000000.0,2532302400000.0,2427916000000.0,2520905400000.0,2221030500000.0,2325295000000.0,2281629800000.0,2096468600000.0,2465234400000.0,2525600200000.0,2252400500000.0,2247891000000.0,2115629500000.0
2048.0,2185154900000.0,2379248600000.0,2497821000000.0,2429108600000.0,2502690900000.0,2188166600000.0,2288418800000.0,2230845700000.0,2066307100000.0,2440550000000.0,2503798400000.0,2212336200000.0,2207819200000.0,2079228400000.0
2049.0,2153617600000.0,2336499000000.0,2474884200000.0,2389859600000.0,2481379000000.0,2148554200000.0,2257423700000.0,2206932100000.0,2040194400000.0,2434631000000.0,2478415500000.0,2177164000000.0,2167740600000.0,2045763100000.0
2050.0,2126795000000.0,2291381600000.0,2451702000000.0,2358365000000.0,2447095400000.0,2114467300000.0,2237506300000.0,2165440000000.0,1999422200000.0,2406950400000.0,2453772400000.0,2138520300000.0,2119464400000.0,2005097500000.0
2051.0,2102540500000.0,2255605500000.0,2421161000000.0,2323116700000.0,2403571600000.0,2073833500000.0,2212973200000.0,2124989300000.0,1966580700000.0,2371231000000.0,2414733000000.0,2103620800000.0,2074005100000.0,1958327000000.0
2052.0,2078732000000.0,2213026500000.0,2390099000000.0,2306394800000.0,2358549000000.0,2038006000000.0,2172978000000.0,2086342400000.0,1933278600000.0,2344293000000.0,2385321100000.0,2072556300000.0,2042784600000.0,1921142800000.0
2053.0,2045102100000.0,2173563700000.0,2358826000000.0,2275425600000.0,2317914700000.0,1994233200000.0,2146717100000.0,2053063400000.0,1899191600000.0,2317656300000.0,2357395500000.0,2035626300000.0,2004585400000.0,1887943700000.0
2054.0,2022821300000.0,2136106900000.0,2313924400000.0,2247257200000.0,2295316000000.0,1958321000000.0,2115214600000.0,2007622900000.0,1875329700000.0,2300835500000.0,2319276800000.0,1997983200000.0,1971940800000.0,1842967700000.0
2055.0,2001391700000.0,2102157000000.0,2272688000000.0,2205759000000.0,2262694600000.0,1928912400000.0,2097946000000.0,1966783200000.0,1839999200000.0,2266889500000.0,2277684000000.0,1950902400000.0,1935622700000.0,1808469500000.0
2056.0,1964150200000.0,2077758200000.0,2236518200000.0,2173541800000.0,2215650000000.0,1881631200000.0,2068727700000.0,1934114000000.0,1803153600000.0,2256338700000.0,2252745700000.0,1908731200000.0,1903442100000.0,1783146600000.0
2057.0,1926076300000.0,2057142400000.0,2198212800000.0,2132723000000.0,2183227800000.0,1847776000000.0,2041172100000.0,1895524300000.0,1771978500000.0,2237842000000.0,2212897800000.0,1866551500000.0,1855308700000.0,1750557100000.0
2058.0,1899431500000.0,2019725100000.0,2166184600000.0,2113711900000.0,2129692900000.0,1822750900000.0,1996212800000.0,1861067600000.0,1732405900000.0,2193810000000.0,2176644700000.0,1815003000000.0,1831585400000.0,1716836600000.0
2059.0,1866806700000.0,1982381800000.0,2142093600000.0,2089986300000.0,2093423400000.0,1804723000000.0,1957395300000.0,1831989000000.0,1700440000000.0,2167617900000.0,2138375200000.0,1765065500000.0,1803100600000.0,1683032200000.0
2060.0,1849209900000.0,1947100400000.0,2090669600000.0,2071731200000.0,2051980400000.0,1782455100000.0,1930881800000.0,1804691700000.0,1675764200000.0,2129059000000.0,2113800400000.0,1728619100000.0,1784444700000.0,1648202700000.0
2061.0,1829573100000.0,1928463900000.0,2049075300000.0,2024454600000.0,2020483000000.0,1750554200000.0,1911592600000.0,1772580400000.0,1643691500000.0,2091251100000.0,2086261200000.0,1680652600000.0,1766652200000.0,1613462500000.0
2062.0,1798784800000.0,1900778600000.0,2024966300000.0,1988217400000.0,1997499800000.0,1734961800000.0,1892117100000.0,1747289600000.0,1616251000000.0,2050995000000.0,2055178800000.0,1642551000000.0,1742327600000.0,1580084800000.0
2063.0,1762956300000.0,1870171000000.0,2001192200000.0,1945887800000.0,1974811800000.0,1705324600000.0,1862641900000.0,1725200100000.0,1587970600000.0,2020293900000.0,2019967900000.0,1598844200000.0,1721552700000.0,1549525800000.0
2064.0,1723628400000.0,1838213100000.0,1976354600000.0,1929180600000.0,1927273500000.0,1670267800000.0,1845153000000.0,1692810900000.0,1555783400000.0,1983406800000.0,1990782600000.0,1553586000000.0,1707313600000.0,1513734000000.0
2065.0,1697859100000.0,1807494800000.0,1952638600000.0,1893592700000.0,1881316300000.0,1647167300000.0,1814010300000.0,1663504600000.0,1530144400000.0,1957882200000.0,1942747900000.0,1514464500000.0,1684292400000.0,1484192000000.0
2066.0,1669160600000.0,1777359900000.0,1920235700000.0,1871598600000.0,1849659600000.0,1618689800000.0,1782489300000.0,1635882200000.0,1501086400000.0,1934309600000.0,1909630600000.0,1485866800000.0,1661720300000.0,1458007700000.0
2067.0,1644307800000.0,1737302100000.0,1894737900000.0,1843217200000.0,1813104200000.0,1595439700000.0,1763224000000.0,1606482900000.0,1483463900000.0,1915375700000.0,1882346600000.0,1444262000000.0,1638178200000.0,1431958300000.0
2068.0,1612405500000.0,1718786300000.0,1852871100000.0,1827437800000.0,1770415200000.0,1569692700000.0,1758360600000.0,1581291300000.0,1454031400000.0,1880521800000.0,1855155900000.0,1396279900000.0,1609782100000.0,1402391800000.0
2069.0,1580613000000.0,1696983000000.0,1814958700000.0,1795929900000.0,1741146200000.0,1546157700000.0,1726554800000.0,1556217500000.0,1429042800000.0,1856285000000.0,1821922700000.0,1363286700000.0,1596290200000.0,1375801000000.0
2070.0,1554384400000.0,1670490500000.0,1788444300000.0,1758611400000.0,1698586300000.0,1519236400000.0,1693612600000.0,1538305600000.0,1402661000000.0,1828022300000.0,1795962700000.0,1336242700000.0,1586430300000.0,1352301500000.0
2071.0,1527460300000.0,1647665600000.0,1767421600000.0,1722049600000.0,1664745500000.0,1504062500000.0,1668501700000.0,1513472700000.0,1386347100000.0,1805264400000.0,1762823800000.0,1304834500000.0,1550673500000.0,1322852000000.0
2072.0,1498687900000.0,1623426000000.0,1746288900000.0,1704676700000.0,1622697300000.0,1487889500000.0,1641966500000.0,1485245100000.0,1359056200000.0,1775243800000.0,1737672500000.0,1276182700000.0,1525857800000.0,1304182000000.0
2073.0,1472652600000.0,1583958500000.0,1714952600000.0,1678237000000.0,1583423400000.0,1480818800000.0,1628080200000.0,1457805600000.0,1336783500000.0,1754187300000.0,1709090100000.0,1240449700000.0,1500965500000.0,1281665300000.0
2074.0,1452634900000.0,1557386600000.0,1688541500000.0,1664704200000.0,1540358400000.0,1460810200000.0,1606409400000.0,1433586500000.0,1309056200000.0,1720881300000.0,1686927700000.0,1200447300000.0,1473369500000.0,1266302800000.0
2075.0,1418943400000.0,1535086800000.0,1664018500000.0,1638156200000.0,1505398200000.0,1436890400000.0,1585491000000.0,1402386100000.0,1288620900000.0,1693832200000.0,1660344000000.0,1172286300000.0,1452105000000.0,1246623400000.0
2076.0,1397449000000.0,1513410800000.0,1637263000000.0,1606551500000.0,1476043500000.0,1421778700000.0,1566859500000.0,1380216600000.0,1269001100000.0,1664446400000.0,1621681500000.0,1151829400000.0,1439741000000.0,1234690600000.0
2077.0,1377137600000.0,1492053400000.0,1618649000000.0,1568123800000.0,1437517600000.0,1395493400000.0,1541718900000.0,1368625500000.0,1243198400000.0,1637694300000.0,1566723300000.0,1127122500000.0,1416792600000.0,1215951000000.0
2078.0,1364649700000.0,1466046000000.0,1591072100000.0,1522821100000.0,1404360500000.0,1372657000000.0,1522442600000.0,1347052000000.0,1218267700000.0,1615656900000.0,1540334000000.0,1104857300000.0,1396736400000.0,1190144400000.0
2079.0,1335164400000.0,1443673800000.0,1563414400000.0,1482123900000.0,1363506400000.0,1344505400000.0,1508354400000.0,1321789000000.0,1201134100000.0,1596758700000.0,1516543100000.0,1085403370000.0,1369315600000.0,1167229500000.0
2080.0,1308145700000.0,1423634900000.0,1551308800000.0,1458308100000.0,1327543400000.0,1331465200000.0,1491116500000.0,1310420100000.0,1178332700000.0,1588562600000.0,1491572600000.0,1066118740000.0,1351594100000.0,1152727100000.0
2081.0,1289763600000.0,1401031000000.0,1525209200000.0,1428015400000.0,1311359800000.0,1305457600000.0,1465662600000.0,1288968100000.0,1160068300000.0,1567288900000.0,1455367400000.0,1043279200000.0,1324857000000.0,1138227800000.0
2082.0,1270787500000.0,1388730500000.0,1504742100000.0,1408504300000.0,1282701400000.0,1287957000000.0,1450957700000.0,1262846500000.0,1139962700000.0,1549715600000.0,1416001900000.0,1023109500000.0,1306480900000.0,1127228600000.0
2083.0,1258720900000.0,1376460100000.0,1488975300000.0,1383175800000.0,1259756800000.0,1266216200000.0,1436710500000.0,1246993200000.0,1118728000000.0,1525889600000.0,1385546800000.0,1003801900000.0,1272254300000.0,1113778600000.0
2084.0,1243137300000.0,1369926000000.0,1484637200000.0,1352919500000.0,1228317300000.0,1254105700000.0,1411955600000.0,1222444300000.0,1094286600000.0,1505794500000.0,1362356600000.0,983286300000.0,1245272100000.0,1101012000000.0
2085.0,1228185000000.0,1343907000000.0,1485352100000.0,1330203700000.0,1203390300000.0,1238791600000.0,1389860400000.0,1207246400000.0,1073769900000.0,1490002200000.0,1337341000000.0,968170700000.0,1231772300000.0,1088099700000.0
2086.0,1208866700000.0,1319257900000.0,1466962700000.0,1308146900000.0,1174810500000.0,1217563100000.0,1383965400000.0,1191911900000.0,1053692900000.0,1471204000000.0,1306884000000.0,954064700000.0,1212743800000.0,1075570000000.0
2087.0,1193489100000.0,1302652800000.0,1444380400000.0,1281977900000.0,1150297400000.0,1208647500000.0,1377743400000.0,1175559300000.0,1035123000000.0,1445928100000.0,1273088400000.0,935241500000.0,1197508100000.0,1061087940000.0
2088.0,1177489200000.0,1291658300000.0,1427037200000.0,1265389900000.0,1128212500000.0,1182445000000.0,1359863600000.0,1155167300000.0,1011026900000.0,1426105700000.0,1248471400000.0,913261660000.0,1181704400000.0,1046526750000.0
2089.0,1160594300000.0,1271724000000.0,1425948100000.0,1239467000000.0,1097060800000.0,1164281900000.0,1349882100000.0,1144220000000.0,992283000000.0,1408823600000.0,1226772600000.0,899565160000.0,1158147600000.0,1029985100000.0
2090.0,1141208000000.0,1253702600000.0,1427255100000.0,1224267800000.0,1070158400000.0,1160770200000.0,1336357800000.0,1131001300000.0,972262500000.0,1384745700000.0,1208924200000.0,883740100000.0,1141023000000.0,1016892700000.0
2091.0,1127386600000.0,1230952200000.0,1409705300000.0,1206337700000.0,1039421400000.0,1148656500000.0,1327909600000.0,1120271500000.0,957490140000.0,1372097300000.0,1195016200000.0,860627700000.0,1123345500000.0,1000374400000.0
2092.0,1117524900000.0,1209173300000.0,1389027900000.0,1193177900000.0,1016140000000.0,1128987800000.0,1317601000000.0,1104741000000.0,939035600000.0,1359892800000.0,1175240200000.0,844811530000.0,1110492000000.0,987400500000.0
2093.0,1108267600000.0,1183561400000.0,1375403100000.0,1173827600000.0,990177260000.0,1113616300000.0,1305243500000.0,1095326500000.0,926942170000.0,1343351700000.0,1154442100000.0,830836300000.0,1088194940000.0,973469450000.0
2094.0,1101820300000.0,1173423300000.0,1372407700000.0,1152717400000.0,966458540000.0,1104365100000.0,1291902800000.0,1077929800000.0,913505260000.0,1322540900000.0,1134562500000.0,808858000000.0,1071320400000.0,969813600000.0
2095.0,1079876300000.0,1152550600000.0,1365593300000.0,1135543600000.0,943374340000.0,1093962300000.0,1278460400000.0,1061618200000.0,888111240000.0,1303750100000.0,1117936700000.0,799962700000.0,1053515300000.0,954671370000.0
2096.0,1058782300000.0,1149944000000.0,1355431800000.0,1117256200000.0,918547900000.0,1081242700000.0,1264967200000.0,1046976100000.0,874418300000.0,1290420700000.0,1102921300000.0,778962670000.0,1041785360000.0,938432140000.0
2097.0,1046767200000.0,1127445800000.0,1339240900000.0,1100520400000.0,895046060000.0,1069917400000.0,1246317100000.0,1032368400000.0,854490150000.0,1274239400000.0,1082207900000.0,764889660000.0,1029993270000.0,930536360000.0
2098.0,1032256550000.0,1114684500000.0,1323736400000.0,1094807000000.0,874337140000.0,1053719400000.0,1236811900000.0,1015021100000.0,830436400000.0,1262998700000.0,1058520040000.0,749235340000.0,1013355100000.0,919616160000.0
2099.0,1011538800000.0,1103736600000.0,1310955900000.0,1081450200000.0,856829000000.0,1041666340000.0,1221869000000.0,1004185800000.0,812177800000.0,1243387000000.0,1037255050000.0,734165500000.0,998601100000.0,911428600000.0
2100.0,999661000000.0,1094774300000.0,1309994000000.0,1061730800000.0,839518400000.0,1032009150000.0,1214274100000.0,999104400000.0,801697800000.0,1231194000000.0,1024634450000.0,718255000000.0,991162340000.0,906356800000.0
