time,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3-VEG,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR,IPSL-CM6A-LR,CANESM5,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,CESM2,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,MPI-ESM1-2-HR
2036.0,2523759000000.0,2545951700000.0,2706572000000.0,2656226800000.0,2670634700000.0,2750769300000.0,2733989000000.0,2327960000000.0,2658903000000.0,2687006100000.0,2543727700000.0,2419431000000.0,2569032400000.0,2471308300000.0,2801745500000.0,2602660800000.0,2779376500000.0
2037.0,2489892200000.0,2505149000000.0,2683205800000.0,2639529000000.0,2644911600000.0,2747515800000.0,2713619000000.0,2290235200000.0,2632745500000.0,2670931700000.0,2506645800000.0,2381816000000.0,2516033000000.0,2420139600000.0,2795250400000.0,2585376300000.0,2756946400000.0
2038.0,2446585500000.0,2464854300000.0,2665103200000.0,2628810400000.0,2618666000000.0,2722528000000.0,2685706200000.0,2243879800000.0,2625049500000.0,2647267000000.0,2476608800000.0,2340574700000.0,2487313500000.0,2385082600000.0,2774885000000.0,2559839300000.0,2740139900000.0
2039.0,2413958800000.0,2445986000000.0,2637244100000.0,2602690000000.0,2607211300000.0,2701866600000.0,2660710200000.0,2207386000000.0,2597303600000.0,2619548400000.0,2424962800000.0,2294305300000.0,2436071400000.0,2351026100000.0,2750630300000.0,2520311000000.0,2705644000000.0
2040.0,2371371000000.0,2406344600000.0,2599229000000.0,2573205000000.0,2577567000000.0,2666697300000.0,2618149800000.0,2159127400000.0,2559287800000.0,2602161400000.0,2391713000000.0,2249520300000.0,2380338600000.0,2307210600000.0,2748956500000.0,2479575800000.0,2693855200000.0
2041.0,2331149600000.0,2354848200000.0,2576383000000.0,2571592500000.0,2549789200000.0,2631266500000.0,2584118800000.0,2104570000000.0,2543097200000.0,2574008200000.0,2365815500000.0,2205331200000.0,2343136400000.0,2271784700000.0,2733042800000.0,2447973800000.0,2674519000000.0
2042.0,2295236700000.0,2324616700000.0,2572946800000.0,2561882200000.0,2509789500000.0,2613512200000.0,2562203300000.0,2056436600000.0,2513414400000.0,2557017800000.0,2327577400000.0,2163905800000.0,2300898700000.0,2235099500000.0,2712904100000.0,2421673200000.0,2656357600000.0
2043.0,2262261800000.0,2279437200000.0,2554084700000.0,2554517000000.0,2477876600000.0,2588296000000.0,2540834400000.0,2007755400000.0,2489833800000.0,2519135200000.0,2295822000000.0,2116538300000.0,2257857800000.0,2201269800000.0,2708567500000.0,2372414000000.0,2633913300000.0
2044.0,2233958700000.0,2232250000000.0,2536184000000.0,2535009600000.0,2441823600000.0,2560012300000.0,2522141000000.0,1964736100000.0,2462369700000.0,2500673400000.0,2250360500000.0,2084245500000.0,2222815400000.0,2156798400000.0,2675183700000.0,2359378300000.0,2601080300000.0
2045.0,2205849700000.0,2191325100000.0,2518431800000.0,2518418000000.0,2432709200000.0,2547098300000.0,2488884300000.0,1899556800000.0,2420304800000.0,2467505400000.0,2218027400000.0,2047150100000.0,2187728000000.0,2118597300000.0,2676162300000.0,2321819600000.0,2561717300000.0
