time,ACCESS-ESM1-5,GFDL-ESM4,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0,CESM2,TAIESM1,CESM2-WACCM,CAMS-CSM1-0,ACCESS-CM2,MPI-ESM1-2-HR,CMCC-CM2-SR5,INM-CM4-8,INM-CM5-0,NORESM2-MM,EC-EARTH3
2010.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0
2011.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0
2012.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0
2013.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0
2014.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0
2015.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0
2016.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0
2017.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0
2018.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0
2019.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0
2020.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0
2021.0,3068159600000.0,3051256300000.0,3073403500000.0,3060205600000.0,3073883200000.0,3050888800000.0,3082314800000.0,3060189600000.0,3065468200000.0,3068645000000.0,3067336000000.0,3068929500000.0,3067732600000.0,3059339500000.0,3078844000000.0,3059382700000.0,3066097600000.0,3068955200000.0,3048972500000.0
2022.0,3032308000000.0,3044019300000.0,3062264200000.0,3037283500000.0,3051303500000.0,3005693000000.0,3066229200000.0,3039517200000.0,3033431800000.0,3037069300000.0,3032350700000.0,3060537200000.0,3030100700000.0,3047112800000.0,3056589000000.0,3030118600000.0,3036057000000.0,3039724000000.0,3037293700000.0
2023.0,2988139600000.0,3017237300000.0,3053627600000.0,3021293200000.0,3021761700000.0,2946724500000.0,3059727700000.0,2989592700000.0,2996555200000.0,2994776300000.0,2990403000000.0,3052765200000.0,2994920800000.0,3013088600000.0,3033374700000.0,2994499000000.0,3024767000000.0,3010626600000.0,3014531500000.0
2024.0,2964604300000.0,2990712800000.0,3064498000000.0,3003707300000.0,3005063600000.0,2888642300000.0,3027527500000.0,2950874300000.0,2978635800000.0,2982311400000.0,2956843300000.0,3032868000000.0,2961107800000.0,2977176200000.0,3017485600000.0,2991525500000.0,2995435600000.0,2983794300000.0,2980611600000.0
2025.0,2928000400000.0,2973736000000.0,3058584800000.0,2973996400000.0,2985605200000.0,2832681100000.0,3009544200000.0,2910597400000.0,2952959000000.0,2946210500000.0,2924448300000.0,3029880500000.0,2917841200000.0,2939695000000.0,3002582700000.0,2953956600000.0,2961331500000.0,2939872300000.0,2944001000000.0
2026.0,2887138000000.0,2958713700000.0,3021207500000.0,2946620700000.0,2960639000000.0,2760465400000.0,2987074800000.0,2884221300000.0,2923839600000.0,2909617800000.0,2879909800000.0,3015349400000.0,2883993000000.0,2912212700000.0,3006666600000.0,2926452400000.0,2936383500000.0,2906404000000.0,2925297000000.0
2027.0,2837764400000.0,2937978600000.0,2975653200000.0,2923663700000.0,2928082200000.0,2706512000000.0,2957387200000.0,2838634700000.0,2881915200000.0,2894150000000.0,2859034000000.0,2986662200000.0,2846880200000.0,2875542000000.0,2990598800000.0,2897748200000.0,2899957300000.0,2868635800000.0,2900250300000.0
2028.0,2786772000000.0,2913411500000.0,2962395200000.0,2899637700000.0,2918055700000.0,2656455400000.0,2940956300000.0,2801622800000.0,2844304600000.0,2868138500000.0,2816524000000.0,2962147500000.0,2836838200000.0,2843864000000.0,2945578000000.0,2870326000000.0,2862122800000.0,2834339200000.0,2866963500000.0
2029.0,2746141000000.0,2898034000000.0,2924294200000.0,2894689200000.0,2898517800000.0,2589643200000.0,2914280000000.0,2754358000000.0,2802136400000.0,2836100300000.0,2788016300000.0,2933603200000.0,2782036200000.0,2802346000000.0,2909931000000.0,2825754000000.0,2828445400000.0,2803029800000.0,2826234800000.0
2030.0,2723187800000.0,2856832000000.0,2899843200000.0,2862808800000.0,2842208000000.0,2527979400000.0,2888844400000.0,2718547000000.0,2758862700000.0,2791439300000.0,2747055000000.0,2900050800000.0,2741983200000.0,2779288000000.0,2884204800000.0,2790395200000.0,2776133000000.0,2772412400000.0,2758525000000.0
2031.0,2678261500000.0,2838347400000.0,2853510300000.0,2844604800000.0,2816597000000.0,2459653000000.0,2871254300000.0,2688144400000.0,2713168400000.0,2746318000000.0,2726109000000.0,2888517600000.0,2697937600000.0,2776630600000.0,2861633400000.0,2758214000000.0,2713106000000.0,2728961500000.0,2714126500000.0
2032.0,2633300000000.0,2804227500000.0,2832355000000.0,2831390300000.0,2797207000000.0,2403033400000.0,2842177300000.0,2654846600000.0,2676374000000.0,2693383800000.0,2694527800000.0,2868015800000.0,2650714000000.0,2735847000000.0,2838222900000.0,2730968500000.0,2658733400000.0,2700897200000.0,2684271000000.0
2033.0,2579853200000.0,2769582000000.0,2799678300000.0,2808982500000.0,2777424000000.0,2343175500000.0,2796867300000.0,2608585800000.0,2632884000000.0,2646990700000.0,2653745600000.0,2825513900000.0,2612352800000.0,2704314200000.0,2816548000000.0,2711207000000.0,2611875400000.0,2660524600000.0,2655149600000.0
2034.0,2528003500000.0,2740079000000.0,2772974700000.0,2776195100000.0,2735042700000.0,2283768000000.0,2747706000000.0,2567462500000.0,2580796100000.0,2608779000000.0,2630055600000.0,2789366300000.0,2586724000000.0,2659404700000.0,2779636800000.0,2665974600000.0,2578801200000.0,2623744200000.0,2607591500000.0
2035.0,2472865400000.0,2697848200000.0,2744477000000.0,2752494000000.0,2687820000000.0,2214038900000.0,2705655600000.0,2524587800000.0,2541908700000.0,2583155400000.0,2601618200000.0,2775792700000.0,2550439600000.0,2651520800000.0,2734767000000.0,2655643200000.0,2553626500000.0,2598817500000.0,2556343600000.0
2036.0,2429994400000.0,2658518700000.0,2716219700000.0,2709276600000.0,2633041000000.0,2166541000000.0,2671078000000.0,2477999000000.0,2488884800000.0,2528868600000.0,2569566000000.0,2750520200000.0,2507493000000.0,2631916800000.0,2695631200000.0,2626731600000.0,2506538600000.0,2565779200000.0,2492786800000.0
2037.0,2389376800000.0,2625757200000.0,2693355800000.0,2687155600000.0,2579712000000.0,2094188300000.0,2645942300000.0,2434115000000.0,2428734800000.0,2466871800000.0,2539697000000.0,2740876500000.0,2468429700000.0,2600331000000.0,2642668200000.0,2585998000000.0,2453675700000.0,2512279000000.0,2447070500000.0
2038.0,2334002500000.0,2600408200000.0,2661224500000.0,2657933000000.0,2541095200000.0,2032078600000.0,2623288600000.0,2382726000000.0,2384091700000.0,2407478300000.0,2500291700000.0,2712499400000.0,2422289500000.0,2559356000000.0,2593169300000.0,2560867400000.0,2405611600000.0,2471779000000.0,2398031700000.0
2039.0,2300705200000.0,2557499000000.0,2637203800000.0,2623193200000.0,2518018700000.0,1958905800000.0,2577573300000.0,2315301700000.0,2342469000000.0,2354224800000.0,2451863200000.0,2675361000000.0,2377921900000.0,2544074800000.0,2559419000000.0,2519363700000.0,2370495000000.0,2436861800000.0,2339912500000.0
2040.0,2251513000000.0,2528068200000.0,2577215000000.0,2579982000000.0,2489012500000.0,1913832300000.0,2537235700000.0,2275533000000.0,2297520200000.0,2301109200000.0,2401110600000.0,2666925700000.0,2338596300000.0,2506465200000.0,2506764000000.0,2487721100000.0,2328084000000.0,2388725000000.0,2276418700000.0
2041.0,2201614500000.0,2497564400000.0,2528231300000.0,2552811700000.0,2455099700000.0,1852355200000.0,2489630900000.0,2229809700000.0,2249109000000.0,2257251500000.0,2343089000000.0,2643955800000.0,2303812400000.0,2458214700000.0,2475062700000.0,2451921000000.0,2286133000000.0,2360747200000.0,2236756000000.0
2042.0,2152719800000.0,2460350000000.0,2486836100000.0,2500642500000.0,2430326500000.0,1791134700000.0,2449728600000.0,2198780100000.0,2204466700000.0,2225693300000.0,2310971000000.0,2614050000000.0,2260594600000.0,2435132400000.0,2431714900000.0,2408060600000.0,2246541600000.0,2325540500000.0,2191469300000.0
2043.0,2093241500000.0,2432439400000.0,2453532600000.0,2459271700000.0,2382396400000.0,1726487300000.0,2404697800000.0,2146508700000.0,2165465000000.0,2174220800000.0,2262010400000.0,2575411400000.0,2209746500000.0,2403714500000.0,2417399200000.0,2369305000000.0,2210963000000.0,2280362000000.0,2123892100000.0
2044.0,2042056700000.0,2398519000000.0,2436397300000.0,2414511400000.0,2330268300000.0,1659179200000.0,2323203800000.0,2101398500000.0,2114325800000.0,2117808600000.0,2212668600000.0,2556330200000.0,2167771400000.0,2372841000000.0,2389146900000.0,2329225500000.0,2163365500000.0,2236938000000.0,2070790800000.0
2045.0,1994334300000.0,2373539600000.0,2410673000000.0,2375490200000.0,2276223400000.0,1612919500000.0,2252161700000.0,2053244200000.0,2068105400000.0,2069820200000.0,2169707400000.0,2517557800000.0,2120494100000.0,2346413500000.0,2353296600000.0,2294079300000.0,2125446500000.0,2198518100000.0,2012778600000.0
2046.0,1945305100000.0,2327414300000.0,2354512700000.0,2326835500000.0,2229448700000.0,1560089900000.0,2199173200000.0,2005266700000.0,2021024700000.0,2018281400000.0,2133584500000.0,2476587600000.0,2080511500000.0,2317732000000.0,2311913700000.0,2267327800000.0,2104537400000.0,2157253900000.0,1954571700000.0
2047.0,1912829100000.0,2292801600000.0,2312687800000.0,2272203000000.0,2189164000000.0,1496739300000.0,2138537000000.0,1955076000000.0,1985914100000.0,1963788100000.0,2075864900000.0,2449423700000.0,2004446300000.0,2292602600000.0,2266581000000.0,2222288500000.0,2068500600000.0,2110671700000.0,1909109400000.0
2048.0,1850492000000.0,2261425800000.0,2267481400000.0,2220036700000.0,2134933600000.0,1436509000000.0,2079866900000.0,1913999700000.0,1938819500000.0,1903106600000.0,2038751200000.0,2413738900000.0,1961206700000.0,2250708000000.0,2216716000000.0,2187644100000.0,2033301000000.0,2070058600000.0,1867390800000.0
2049.0,1797220000000.0,2239072300000.0,2212559300000.0,2170334600000.0,2101737800000.0,1372563700000.0,2008266600000.0,1864813800000.0,1878588100000.0,1851258600000.0,1998407100000.0,2371599200000.0,1921456400000.0,2210903600000.0,2164725900000.0,2155740300000.0,1996500500000.0,2031305500000.0,1811594600000.0
2050.0,1759332500000.0,2196600700000.0,2158329200000.0,2129013900000.0,2061391000000.0,1320417400000.0,1936395300000.0,1823482400000.0,1835100000000.0,1806298400000.0,1957258500000.0,2346776000000.0,1867545300000.0,2178690600000.0,2126964700000.0,2116073800000.0,1954823700000.0,1987126600000.0,1760641400000.0
2051.0,1716971800000.0,2155807600000.0,2090347400000.0,2086587900000.0,2009738900000.0,1277283500000.0,1868263300000.0,1781661700000.0,1784380100000.0,1756374400000.0,1920019200000.0,2300724400000.0,1816761100000.0,2135876600000.0,2081824700000.0,2083985200000.0,1914920400000.0,1938237000000.0,1719497500000.0
2052.0,1677049500000.0,2104605700000.0,2043570300000.0,2032515000000.0,1947454500000.0,1223125100000.0,1815116100000.0,1742421200000.0,1726925800000.0,1702469200000.0,1860188000000.0,2258608300000.0,1766712800000.0,2089610000000.0,2024961900000.0,2049239400000.0,1855219300000.0,1894835200000.0,1677984100000.0
2053.0,1635550800000.0,2061017500000.0,1989696300000.0,1978095600000.0,1909874900000.0,1171601800000.0,1751871400000.0,1694892200000.0,1682053100000.0,1656478000000.0,1806357800000.0,2224366300000.0,1733529600000.0,2047831400000.0,1972644300000.0,2018704800000.0,1828127800000.0,1873930400000.0,1647227000000.0
2054.0,1593854800000.0,2029925200000.0,1933632600000.0,1926005000000.0,1886793600000.0,1119656700000.0,1689785300000.0,1668718800000.0,1637193500000.0,1598922700000.0,1778234700000.0,2188269300000.0,1696377500000.0,1996711800000.0,1917219600000.0,1979210300000.0,1793869600000.0,1836163300000.0,1608923200000.0
2055.0,1554715500000.0,2001537000000.0,1896541600000.0,1873827500000.0,1834490500000.0,1069519300000.0,1637893800000.0,1624565700000.0,1594323400000.0,1560115200000.0,1723021800000.0,2145727300000.0,1644220900000.0,1964709800000.0,1863104300000.0,1940027500000.0,1755836600000.0,1794964000000.0,1557790900000.0
2056.0,1522565600000.0,1963949300000.0,1840608300000.0,1811432200000.0,1808707400000.0,1019605550000.0,1583212900000.0,1585819200000.0,1550492600000.0,1522870400000.0,1673873700000.0,2107522700000.0,1594485500000.0,1915462400000.0,1820961500000.0,1907477400000.0,1720322900000.0,1740691500000.0,1510265200000.0
2057.0,1480732400000.0,1925236900000.0,1788447200000.0,1760328500000.0,1757904000000.0,975181400000.0,1531739500000.0,1548507700000.0,1507717300000.0,1466599000000.0,1643540800000.0,2069381600000.0,1563317800000.0,1874883800000.0,1763571400000.0,1871809500000.0,1684563300000.0,1696442200000.0,1476351100000.0
2058.0,1441319100000.0,1889238000000.0,1745815700000.0,1698339400000.0,1718699700000.0,931385000000.0,1484038600000.0,1508832200000.0,1455292700000.0,1414066700000.0,1605482800000.0,2017418300000.0,1515070600000.0,1847360600000.0,1711170900000.0,1829166500000.0,1653175500000.0,1659851600000.0,1438249800000.0
2059.0,1398433900000.0,1847420500000.0,1698286100000.0,1634273300000.0,1675570600000.0,884425950000.0,1428560700000.0,1468809100000.0,1408524400000.0,1366042700000.0,1554556100000.0,1972159100000.0,1474401100000.0,1803230800000.0,1657158000000.0,1787671100000.0,1611987200000.0,1626612700000.0,1405454900000.0
2060.0,1362403300000.0,1803139400000.0,1657075400000.0,1586210900000.0,1640195700000.0,841882400000.0,1378793700000.0,1430126200000.0,1356179600000.0,1314802900000.0,1514595200000.0,1926147200000.0,1438963900000.0,1765820700000.0,1604075300000.0,1753835200000.0,1578365000000.0,1582272700000.0,1372903400000.0
2061.0,1324925600000.0,1759562000000.0,1604075900000.0,1528225600000.0,1596742000000.0,799518600000.0,1338529400000.0,1388433400000.0,1315500200000.0,1265077700000.0,1463997700000.0,1884248500000.0,1392985600000.0,1736477100000.0,1557556000000.0,1697186800000.0,1547304400000.0,1541753300000.0,1329374000000.0
2062.0,1279807300000.0,1734549200000.0,1544634400000.0,1467801800000.0,1550571100000.0,759176230000.0,1298368700000.0,1344330400000.0,1269883600000.0,1222400100000.0,1423831100000.0,1842710200000.0,1345956700000.0,1696038900000.0,1512364700000.0,1672846500000.0,1509626700000.0,1503381700000.0,1282703900000.0
2063.0,1246364200000.0,1708485200000.0,1508186300000.0,1417916200000.0,1529540900000.0,728750750000.0,1253969600000.0,1306663600000.0,1237189100000.0,1178758400000.0,1392919800000.0,1801172000000.0,1306534900000.0,1646002700000.0,1466303100000.0,1641428000000.0,1465703000000.0,1458756500000.0,1243146600000.0
2064.0,1211617900000.0,1681907400000.0,1466466800000.0,1359358200000.0,1490592200000.0,692297500000.0,1213706500000.0,1260583100000.0,1189428200000.0,1136783700000.0,1353732000000.0,1758406200000.0,1272936500000.0,1593931200000.0,1415343000000.0,1615248400000.0,1434481300000.0,1418620400000.0,1209155200000.0
2065.0,1175163200000.0,1655879800000.0,1424603500000.0,1314015800000.0,1448183200000.0,656592400000.0,1171648300000.0,1232330700000.0,1142455900000.0,1090140700000.0,1323132100000.0,1741068700000.0,1218812200000.0,1543069900000.0,1354507100000.0,1581455200000.0,1393341400000.0,1379263000000.0,1174726800000.0
2066.0,1136117700000.0,1621012300000.0,1383888300000.0,1261457900000.0,1410717800000.0,615445600000.0,1132961300000.0,1200131100000.0,1112033100000.0,1049007900000.0,1293238400000.0,1698602200000.0,1170193600000.0,1522111100000.0,1304191400000.0,1544054600000.0,1356375000000.0,1347709300000.0,1139527900000.0
2067.0,1087860300000.0,1590124700000.0,1346828900000.0,1201339100000.0,1371927500000.0,583543400000.0,1098363800000.0,1170388400000.0,1076174650000.0,1014780200000.0,1253779000000.0,1656868600000.0,1135269100000.0,1486492500000.0,1254529200000.0,1515753600000.0,1325834800000.0,1317176200000.0,1102460000000.0
2068.0,1053381170000.0,1559715600000.0,1303631000000.0,1148945300000.0,1320558000000.0,553923050000.0,1058458900000.0,1129410900000.0,1042476300000.0,965655300000.0,1212425200000.0,1621197600000.0,1088589400000.0,1441047900000.0,1204496000000.0,1485109500000.0,1289673400000.0,1287262200000.0,1075965500000.0
2069.0,1018361300000.0,1527620200000.0,1273831900000.0,1096434060000.0,1288843600000.0,519130380000.0,1021104160000.0,1103090300000.0,1003815440000.0,928663340000.0,1183129700000.0,1585115700000.0,1048757700000.0,1408403000000.0,1162568800000.0,1455800000000.0,1264183700000.0,1251840900000.0,1038813900000.0
2070.0,980834600000.0,1502669300000.0,1236115500000.0,1052459860000.0,1257156800000.0,488176250000.0,979308400000.0,1071620160000.0,972333250000.0,896008000000.0,1145979000000.0,1549326400000.0,1008867930000.0,1383259000000.0,1121190000000.0,1399594200000.0,1225499600000.0,1220173500000.0,1008905100000.0
2071.0,941540700000.0,1476561700000.0,1193840600000.0,1002393300000.0,1219282700000.0,459239400000.0,943212460000.0,1040914000000.0,934786200000.0,861660500000.0,1110752000000.0,1510942200000.0,966914500000.0,1349563600000.0,1084519600000.0,1363594600000.0,1191395700000.0,1182298100000.0,974217940000.0
2072.0,905154900000.0,1441853900000.0,1148187800000.0,960409300000.0,1178222300000.0,432865020000.0,906956000000.0,1010402260000.0,904184700000.0,829561400000.0,1076430700000.0,1473652000000.0,928988000000.0,1306663700000.0,1048330200000.0,1335530200000.0,1159969100000.0,1145037300000.0,938958500000.0
2073.0,868752950000.0,1410963500000.0,1119928800000.0,907849100000.0,1147758300000.0,405066400000.0,869808500000.0,985760100000.0,879199300000.0,798686900000.0,1042655350000.0,1438349700000.0,886101970000.0,1274528400000.0,1008444640000.0,1314692400000.0,1128589800000.0,1118806200000.0,905300100000.0
2074.0,838911260000.0,1387922800000.0,1089264400000.0,872266100000.0,1110363500000.0,383865200000.0,837876600000.0,959492100000.0,851372540000.0,769425400000.0,1006621200000.0,1418913300000.0,851470300000.0,1247202000000.0,974666300000.0,1277792000000.0,1097603700000.0,1091191700000.0,872550760000.0
2075.0,805655740000.0,1366261800000.0,1040443000000.0,824583400000.0,1065153270000.0,358819430000.0,805775800000.0,932059400000.0,822818800000.0,741547970000.0,971513500000.0,1397142300000.0,821898100000.0,1204215600000.0,931858500000.0,1239108000000.0,1071376100000.0,1055818650000.0,838152100000.0
2076.0,767028800000.0,1340457600000.0,1008181100000.0,783559000000.0,1028598460000.0,337794630000.0,771165100000.0,898499150000.0,793219370000.0,711603000000.0,940232200000.0,1366228600000.0,787550960000.0,1164090000000.0,892558800000.0,1202406200000.0,1043195600000.0,1026068600000.0,812941640000.0
2077.0,736317150000.0,1314811700000.0,973737700000.0,745034100000.0,997376100000.0,319175660000.0,739640600000.0,876123200000.0,767362600000.0,679565660000.0,908796500000.0,1336790500000.0,758105050000.0,1131015700000.0,853785440000.0,1179820900000.0,1014880100000.0,995162850000.0,784650900000.0
2078.0,711285150000.0,1289536500000.0,943485550000.0,712633500000.0,967618800000.0,305123920000.0,710782940000.0,846750500000.0,744362200000.0,654044760000.0,872671150000.0,1298757500000.0,728305400000.0,1094363600000.0,812343800000.0,1157307600000.0,988055100000.0,968519600000.0,757355050000.0
2079.0,679558500000.0,1255504200000.0,909647700000.0,687073700000.0,938960400000.0,288576140000.0,678858400000.0,815558400000.0,715404740000.0,632448200000.0,842805400000.0,1275770000000.0,698191900000.0,1060649440000.0,781545000000.0,1131076000000.0,955579430000.0,938238740000.0,724692040000.0
2080.0,648773400000.0,1222434500000.0,881564000000.0,651354300000.0,896776000000.0,273273770000.0,646941640000.0,790179100000.0,694814440000.0,608004730000.0,815407760000.0,1258433300000.0,671629500000.0,1020996100000.0,749335200000.0,1100419300000.0,930876700000.0,907830600000.0,697845000000.0
2081.0,623272000000.0,1193317600000.0,843029900000.0,620925940000.0,860824700000.0,263361460000.0,617866660000.0,765904700000.0,669387700000.0,580723700000.0,794195660000.0,1233719700000.0,638630100000.0,991659160000.0,711881200000.0,1075965300000.0,901087900000.0,884249460000.0,668004100000.0
2082.0,599214200000.0,1161895900000.0,802256300000.0,590175700000.0,827078500000.0,251812770000.0,585066300000.0,741414800000.0,649706500000.0,562023600000.0,759956400000.0,1204348900000.0,610435660000.0,959573000000.0,680926800000.0,1049062150000.0,878038600000.0,857176900000.0,637445140000.0
2083.0,573783930000.0,1129824100000.0,769023150000.0,559730850000.0,795568500000.0,234789500000.0,555772000000.0,724555140000.0,625510900000.0,537517300000.0,727324100000.0,1174250200000.0,579659960000.0,933901400000.0,645723700000.0,1022409240000.0,852436700000.0,829728500000.0,615584240000.0
2084.0,548406230000.0,1095342400000.0,733242500000.0,531147600000.0,758418000000.0,222728600000.0,529700100000.0,695058000000.0,603058100000.0,512109540000.0,702867800000.0,1139738800000.0,552044700000.0,897732700000.0,616384100000.0,995602300000.0,828306550000.0,801112500000.0,588017760000.0
2085.0,525069320000.0,1063610200000.0,705722450000.0,504549150000.0,730151900000.0,211486160000.0,505671900000.0,672681750000.0,579795000000.0,487721530000.0,676913600000.0,1105188200000.0,528986770000.0,868766300000.0,588403800000.0,971142860000.0,807818700000.0,777246900000.0,558535300000.0
2086.0,502939520000.0,1040637900000.0,671591700000.0,485130830000.0,704646350000.0,201138590000.0,479228600000.0,649521800000.0,555037750000.0,463760260000.0,651106900000.0,1075254100000.0,499002500000.0,835506800000.0,566388650000.0,950869600000.0,784510350000.0,748708800000.0,527465450000.0
2087.0,484315920000.0,1014602800000.0,638348950000.0,464007800000.0,678900660000.0,188070660000.0,455496070000.0,626050470000.0,535450320000.0,440517330000.0,623694300000.0,1043647500000.0,475111300000.0,813822100000.0,536868420000.0,934439500000.0,762293260000.0,726528100000.0,502756770000.0
