time,CESM1-CAM5,CANESM2,MPI-ESM-LR
2257.0,1005017040000.0,4026029800000.0,3198028000000.0
2258.0,1006249400000.0,4036001300000.0,3200908800000.0
2259.0,1005577900000.0,4048214000000.0,3200070000000.0
2260.0,1005758250000.0,4046526000000.0,3191569000000.0
2261.0,1002040200000.0,4049142500000.0,3182874300000.0
2262.0,999610900000.0,4054239200000.0,3176823300000.0
2263.0,992531500000.0,4055287000000.0,3175162800000.0
2264.0,988918640000.0,4068938600000.0,3183029000000.0
2265.0,989272870000.0,4067124800000.0,3182326200000.0
2266.0,986458700000.0,4067726000000.0,3180219300000.0
2267.0,985170900000.0,4080598300000.0,3173272800000.0
2268.0,984019960000.0,4076256600000.0,3167908000000.0
2269.0,981364970000.0,4084029500000.0,3157863700000.0
2270.0,980294960000.0,4101158700000.0,3164366700000.0
2271.0,976593200000.0,4096256000000.0,3159585200000.0
2272.0,976286650000.0,4102652700000.0,3155240200000.0
2273.0,974748650000.0,4115360400000.0,3153271500000.0
2274.0,972491300000.0,4115057900000.0,3153444200000.0
2275.0,971208900000.0,4117916800000.0,3146732000000.0
2276.0,967898600000.0,4116114300000.0,3148970500000.0
2277.0,971270200000.0,4115348600000.0,3150592000000.0
2278.0,971971300000.0,4118681000000.0,3149039400000.0
2279.0,971628000000.0,4125360700000.0,3138758000000.0
2280.0,968158350000.0,4128420000000.0,3127026600000.0
2281.0,966633460000.0,4132024400000.0,3126532200000.0
2282.0,966191300000.0,4142336300000.0,3135032800000.0
2283.0,960196700000.0,4139761300000.0,3131702800000.0
2284.0,958551950000.0,4139099400000.0,3130943900000.0
2285.0,955938600000.0,4132647000000.0,3133907400000.0
2286.0,953004260000.0,4137425800000.0,3130381300000.0
2287.0,946760000000.0,4135938400000.0,3140475400000.0
2288.0,945710100000.0,4131859000000.0,3141435000000.0
2289.0,943198700000.0,4119382700000.0,3140155300000.0
2290.0,938422570000.0,4114532300000.0,3141128400000.0
2291.0,937251240000.0,4118472000000.0,3148653500000.0
2292.0,934694000000.0,4120934000000.0,3147022200000.0
2293.0,931169570000.0,4124886700000.0,3156068000000.0
2294.0,926801500000.0,4124026900000.0,3159957400000.0
2295.0,924778950000.0,4122967000000.0,3169149000000.0
2296.0,922081500000.0,4124966600000.0,3180925600000.0
2297.0,920366600000.0,4139248000000.0,3181878000000.0
2298.0,917093600000.0,4146295700000.0,3180341200000.0
2299.0,912678800000.0,4143661400000.0,3185639400000.0
2300.0,913564400000.0,4143874800000.0,3187116900000.0
