time,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4,BCC-CSM2-MR,FGOALS-F3-L,INM-CM4-8,INM-CM5-0,EC-EARTH3-VEG,MRI-ESM2-0,EC-EARTH3,CESM2,CESM2-WACCM,CAMS-CSM1-0
2090.0,100760718517500.0,107135644839900.0,105076233669300.0,85314379762600.0,93319629381300.0,105058879832500.0,108316127658000.0,68094043821300.0,88158204960000.0,67305536703700.0,81626875651500.0,86161872127100.0,114508883789000.0
2091.0,99763011144900.0,106498071305700.0,104239818526300.0,84480090243800.0,92338807269500.0,104351616704600.0,107650404487300.0,66517101226000.0,87129009515700.0,65544213010500.0,80017405917700.0,84691775549900.0,113824150393000.0
2092.0,98659034722300.0,105711520815000.0,103399727990100.0,83548431617900.0,91385158417600.0,103528277159500.0,106988851345700.0,64842151326300.0,85967883819000.0,63969267691500.0,78550332739200.0,83275121739100.0,113206639203000.0
2093.0,97801407377400.0,104931403444900.0,102505105001700.0,82548802968100.0,90239428826700.0,102792285157700.0,106381405071600.0,63303141088700.0,84465673329300.0,62337660771800.0,77023206651200.0,81749708145200.0,112449164022000.0
2094.0,96917880880300.0,104104914708800.0,101679239196100.0,81418572166100.0,89443862762600.0,101911516195100.0,105651532994700.0,61569540578400.0,83249831797300.0,60741996224200.0,75782197688900.0,80217101744000.0,111717042137000.0
2095.0,95921914315500.0,103416407581700.0,100617680095300.0,80122260848700.0,88749328300600.0,101109219085000.0,104996859351700.0,59951654193300.0,82174809146300.0,59285005070000.0,74564201542600.0,78816560778500.0,111078724139000.0
2096.0,94870617270400.0,102660980634500.0,99838500080900.0,78861817411600.0,87786618637000.0,100363206774600.0,104286715092700.0,58341653350200.0,81001070352500.0,57807867743600.0,73192120654800.0,77450381414800.0,110563571584300.0
2097.0,93775602989200.0,101900006037500.0,99030394149000.0,77975665552860.0,86824239908000.0,99565251355900.0,103739685296300.0,56767578714200.0,79805332798600.0,56275761843140.0,71829443536800.0,75963717350100.0,109911295669000.0
2098.0,92893889397800.0,101103051505100.0,98197690234800.0,76876283352940.0,85750925774200.0,98737523244800.0,103083700075000.0,54885908497200.0,78738070254200.0,54925687025050.0,70302687610300.0,74587501777300.0,109255377045000.0
2099.0,91911111744900.0,100377962268900.0,97338046888000.0,75918920289640.0,84923288250300.0,97899687935000.0,102306649525900.0,53364804813840.0,77839927096500.0,53414537638600.0,68877698648400.0,73092568834000.0,108676534645000.0
2100.0,90805347965500.0,99484895771100.0,96469090339500.0,74891185806200.0,83997916449400.0,97175413465300.0,101704995027800.0,51839437111640.0,77015675432900.0,51771909168000.0,67458419802000.0,71979650977800.0,108035738941400.0
