time,CANESM5,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0,ACCESS-CM2,ACCESS-ESM1-5
2077.0,837121340000.0,2260627000000.0,2094701100000.0,1919768500000.0,1843684800000.0,2501155500000.0
2078.0,788647700000.0,2220392700000.0,2065034800000.0,1906815100000.0,1801276900000.0,2467007800000.0
2079.0,742040300000.0,2199125000000.0,2027009700000.0,1883528200000.0,1759165300000.0,2442707000000.0
2080.0,699974300000.0,2161462600000.0,1989630000000.0,1871331500000.0,1719195000000.0,2421992500000.0
2081.0,657021400000.0,2134757200000.0,1956908800000.0,1855406700000.0,1685296100000.0,2396934000000.0
2082.0,615516600000.0,2093238000000.0,1920381000000.0,1841426500000.0,1652931000000.0,2377653200000.0
2083.0,572322100000.0,2060739400000.0,1882470900000.0,1825237100000.0,1612682600000.0,2353440800000.0
2084.0,530374700000.0,2028050600000.0,1861641400000.0,1811675900000.0,1574169700000.0,2327786000000.0
2085.0,488620030000.0,1989741800000.0,1830479700000.0,1792540800000.0,1537822300000.0,2295256800000.0
2086.0,453193170000.0,1958130700000.0,1802954600000.0,1765242700000.0,1497678700000.0,2256199500000.0
2087.0,419289370000.0,1930088700000.0,1774330700000.0,1746396300000.0,1458344400000.0,2225282500000.0
2088.0,386792160000.0,1893556700000.0,1742502800000.0,1725410400000.0,1421839800000.0,2190508600000.0
2089.0,353373000000.0,1866128600000.0,1716265700000.0,1699390700000.0,1392771500000.0,2140701600000.0
2090.0,322218100000.0,1832576500000.0,1690395300000.0,1677110400000.0,1355157300000.0,2107351400000.0
2091.0,293483940000.0,1796833000000.0,1657088000000.0,1654738000000.0,1315328900000.0,2092739600000.0
2092.0,267713220000.0,1758056700000.0,1618380200000.0,1631641700000.0,1283055800000.0,2063740700000.0
2093.0,242270180000.0,1719780600000.0,1579149200000.0,1607518100000.0,1253735300000.0,2028672900000.0
2094.0,218278100000.0,1683569600000.0,1548962500000.0,1596338500000.0,1220612800000.0,1997474600000.0
2095.0,193099370000.0,1653925900000.0,1515160900000.0,1575663700000.0,1183888600000.0,1956884100000.0
2096.0,172059750000.0,1619424700000.0,1477396900000.0,1562605900000.0,1146225200000.0,1915283300000.0
2097.0,151493700000.0,1582419500000.0,1440143000000.0,1544787500000.0,1109490800000.0,1877386100000.0
2098.0,131173350000.0,1538061000000.0,1410608700000.0,1521849600000.0,1080420660000.0,1831605600000.0
2099.0,111495560000.0,1495873400000.0,1377452000000.0,1501491000000.0,1040295600000.0,1799961400000.0
2100.0,94386620000.0,1458744200000.0,1341258700000.0,1485507700000.0,1006943540000.0,1757363700000.0
2101.0,79462450000.0,1415764900000.0,1305959600000.0,1472209600000.0,977822350000.0,1728403700000.0
2102.0,65436410000.0,1370735500000.0,1265047200000.0,1452522500000.0,946095800000.0,1698891600000.0
2103.0,53119080000.0,1320902500000.0,1229044400000.0,1428502700000.0,910600000000.0,1659285500000.0
2104.0,42913300000.0,1279375000000.0,1194166000000.0,1405629400000.0,883076000000.0,1632701900000.0
2105.0,34228736000.0,1239443200000.0,1155576600000.0,1387014500000.0,849422200000.0,1602725700000.0
2106.0,26930352000.0,1197194900000.0,1122907800000.0,1363642700000.0,816442700000.0,1579231300000.0
2107.0,20812570000.0,1152705200000.0,1086218300000.0,1336843300000.0,780532300000.0,1554870200000.0
2108.0,16297846000.0,1112572700000.0,1048663300000.0,1312696300000.0,740648160000.0,1523515100000.0
2109.0,13486346000.0,1072818400000.0,1019781900000.0,1284345000000.0,705896450000.0,1492350400000.0
2110.0,11903396000.0,1030730600000.0,986830800000.0,1261330600000.0,671691700000.0,1460370500000.0
2111.0,10777447000.0,989370000000.0,950811750000.0,1234028200000.0,639553900000.0,1415542500000.0
2112.0,9848023000.0,940274350000.0,916381300000.0,1201070800000.0,610171700000.0,1370626600000.0
2113.0,9156312000.0,892526500000.0,884597650000.0,1177093100000.0,575421700000.0,1330998500000.0
2114.0,8397134300.0,849922400000.0,852178960000.0,1151293600000.0,543907380000.0,1293188200000.0
2115.0,7777757700.0,807740640000.0,821195400000.0,1117503900000.0,513298400000.0,1254411000000.0
2116.0,7214129000.0,767030260000.0,788632800000.0,1087216900000.0,483455200000.0,1216777800000.0
2117.0,6759154700.0,726881340000.0,754400360000.0,1061141150000.0,456009020000.0,1189385600000.0
2118.0,6370728000.0,685757800000.0,722174900000.0,1036964800000.0,430017900000.0,1154378900000.0
2119.0,5792252400.0,645505700000.0,691499240000.0,1011149770000.0,404559070000.0,1120080200000.0
2120.0,5181605000.0,608408900000.0,660793400000.0,984250900000.0,376504940000.0,1088643200000.0
2121.0,4719942000.0,569225100000.0,635091100000.0,956512400000.0,351163500000.0,1054095400000.0
2122.0,4106408000.0,533560070000.0,607272570000.0,927219840000.0,326586700000.0,1015147270000.0
2123.0,3580030000.0,495996300000.0,581371040000.0,900356300000.0,300956580000.0,974439500000.0
2124.0,3166055400.0,461147500000.0,555925440000.0,870031300000.0,275717620000.0,940314460000.0
2125.0,2788664000.0,429364250000.0,529895700000.0,840924000000.0,251481060000.0,913101700000.0
2126.0,2479999000.0,400943740000.0,508968830000.0,813804550000.0,230519080000.0,880578500000.0
2127.0,2198517200.0,373103560000.0,487046250000.0,783743060000.0,209854870000.0,839627440000.0
2128.0,1895685900.0,345075300000.0,463018600000.0,753624800000.0,188625390000.0,799050900000.0
2129.0,1797896700.0,315719100000.0,438309100000.0,722837440000.0,170230610000.0,758776660000.0
2130.0,1718652400.0,292370500000.0,417004600000.0,690830970000.0,152507420000.0,721103000000.0
2131.0,1661440000.0,270285930000.0,396227640000.0,661432200000.0,135202530000.0,686962500000.0
2132.0,1604941000.0,249362450000.0,375881530000.0,630129560000.0,119964370000.0,646771640000.0
2133.0,1534837200.0,228096560000.0,355304240000.0,603065800000.0,105557250000.0,610490250000.0
2134.0,1476975000.0,207878520000.0,336059830000.0,576773700000.0,90998240000.0,576610000000.0
2135.0,1441007400.0,188361880000.0,317223340000.0,549667440000.0,77984285000.0,542289040000.0
2136.0,1370010000.0,167948520000.0,299884200000.0,525082170000.0,66169740000.0,510563250000.0
2137.0,1287606400.0,147985430000.0,283254700000.0,502451080000.0,55021210000.0,484039000000.0
2138.0,1251096600.0,129738160000.0,266065350000.0,479817370000.0,45670350000.0,452501340000.0
2139.0,1188689900.0,114313380000.0,249810350000.0,457363800000.0,37329230000.0,425580800000.0
2140.0,1158984700.0,100134460000.0,235952870000.0,434531500000.0,29830748000.0,402486430000.0
2141.0,1117933300.0,86654870000.0,221174300000.0,415105400000.0,23249408000.0,376367020000.0
2142.0,1051740200.0,73785140000.0,207304130000.0,392206200000.0,17229115000.0,351888240000.0
2143.0,1000173250.0,62352170000.0,192698320000.0,377257430000.0,12287134000.0,329489250000.0
2144.0,961734700.0,52641407000.0,179057920000.0,358853280000.0,8440416000.0,309547240000.0
2145.0,907204200.0,44066107000.0,166094670000.0,342100480000.0,5300855000.0,289389870000.0
2146.0,863047230.0,36140524000.0,153871350000.0,328575840000.0,2796125200.0,270523660000.0
2147.0,809843500.0,29031715000.0,141576700000.0,311668600000.0,1424002300.0,251595650000.0
2148.0,753916540.0,22070323000.0,130079736000.0,295399360000.0,819336900.0,233716780000.0
2149.0,711171200.0,15990622000.0,119622510000.0,281954300000.0,512294500.0,216879090000.0
2150.0,662340350.0,11436536000.0,110282340000.0,266331960000.0,339640060.0,201941160000.0
2151.0,634272960.0,7821961700.0,101031330000.0,252038410000.0,233362420.0,189169800000.0
2152.0,591601860.0,4820008000.0,92061070000.0,235185270000.0,149225730.0,174144450000.0
2153.0,549835650.0,2806823700.0,83567395000.0,221561290000.0,86064090.0,161107050000.0
2154.0,489458900.0,1938517100.0,75601805000.0,208305720000.0,44914360.0,147544110000.0
2155.0,441874240.0,1668474900.0,68225335000.0,192511970000.0,27490814.0,135744070000.0
2156.0,406740930.0,1460934500.0,60966690000.0,178883720000.0,12262214.0,123427260000.0
