time,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M,GFDL-CM3,CCSM4,CNRM-CM5,GISS-E2-R,CANESM2,CSIRO-MK3-6-0,IPSL-CM5A-LR
2063.0,5685008400000.0,5520232000000.0,5209622300000.0,5301203400000.0,5974000000000.0,4232252800000.0,6067899600000.0,5565675700000.0,6008804000000.0,3756257000000.0
2064.0,5618823300000.0,5461865000000.0,5103166700000.0,5192992000000.0,5914621400000.0,4087016000000.0,6027548300000.0,5492116600000.0,5958419300000.0,3575985700000.0
2065.0,5539563000000.0,5402586500000.0,5024731600000.0,5112707700000.0,5860028000000.0,3937327600000.0,5989658000000.0,5428411400000.0,5900564000000.0,3438823600000.0
2066.0,5489237700000.0,5346118600000.0,4926344000000.0,5053256000000.0,5800258000000.0,3826293000000.0,5963694000000.0,5343014300000.0,5820495000000.0,3301655200000.0
2067.0,5427465600000.0,5290988000000.0,4865819000000.0,4966527300000.0,5730842000000.0,3698716300000.0,5936832000000.0,5255023000000.0,5769748500000.0,3145208400000.0
2068.0,5370598000000.0,5238353000000.0,4786671300000.0,4886699700000.0,5668410000000.0,3578869300000.0,5872353000000.0,5166665300000.0,5713135000000.0,2960936100000.0
2069.0,5317339000000.0,5176417600000.0,4687975000000.0,4799758000000.0,5570120600000.0,3461513000000.0,5839727400000.0,5074506500000.0,5628954000000.0,2799134800000.0
2070.0,5254192000000.0,5109251600000.0,4617431000000.0,4714942400000.0,5481515500000.0,3344500500000.0,5797412000000.0,4995977600000.0,5567939000000.0,2672108800000.0
2071.0,5183677000000.0,5058078400000.0,4522501500000.0,4610760600000.0,5418491000000.0,3227267400000.0,5727049000000.0,4928516400000.0,5504646000000.0,2517965700000.0
2072.0,5125865000000.0,5004746000000.0,4433738500000.0,4525371000000.0,5366167000000.0,3098496200000.0,5687311600000.0,4848262000000.0,5380106600000.0,2383125700000.0
2073.0,5044557600000.0,4958394500000.0,4326874400000.0,4455671000000.0,5293571300000.0,2946018600000.0,5639888000000.0,4772966000000.0,5303909000000.0,2277804900000.0
2074.0,4970693000000.0,4883855000000.0,4219845200000.0,4380924300000.0,5221045500000.0,2801137000000.0,5593389000000.0,4696334000000.0,5153138700000.0,2162738700000.0
2075.0,4901799000000.0,4815183000000.0,4110513300000.0,4302781500000.0,5135279300000.0,2675119800000.0,5550449400000.0,4635064000000.0,5058758400000.0,2076193200000.0
