time,CCSM4,GFDL-CM3,MPI-ESM-LR,GFDL-ESM2G,NORESM1-M,IPSL-CM5A-LR,CSIRO-MK3-6-0,CESM1-CAM5,GISS-E2-R,CANESM2,CNRM-CM5
2079.0,5928717000000.0,4977770000000.0,5561488000000.0,6397985000000.0,5368885300000.0,4716975000000.0,5798054300000.0,4517470400000.0,6360977600000.0,5739323000000.0,5397581700000.0
2080.0,5889392000000.0,4923810400000.0,5537344000000.0,6377377400000.0,5315345500000.0,4684778000000.0,5762415300000.0,4474080000000.0,6343458600000.0,5708647500000.0,5361338700000.0
2081.0,5877569400000.0,4875944500000.0,5512439500000.0,6354314000000.0,5272025000000.0,4652644400000.0,5735868000000.0,4432805000000.0,6333032000000.0,5657600000000.0,5313306600000.0
2082.0,5863318000000.0,4823475000000.0,5474305400000.0,6338949700000.0,5239663000000.0,4632867000000.0,5695844000000.0,4386820000000.0,6323165500000.0,5616394300000.0,5291927000000.0
2083.0,5837202000000.0,4798443000000.0,5459632000000.0,6323181700000.0,5204038600000.0,4599169000000.0,5677249000000.0,4350662100000.0,6300541400000.0,5594255700000.0,5250887000000.0
2084.0,5822620000000.0,4757986000000.0,5423518000000.0,6309823400000.0,5151876700000.0,4557177400000.0,5649604000000.0,4302121700000.0,6299347600000.0,5571671000000.0,5210388300000.0
2085.0,5806919500000.0,4710251600000.0,5400397600000.0,6285689000000.0,5110152300000.0,4521926000000.0,5617023500000.0,4260664000000.0,6280539300000.0,5539369000000.0,5155458600000.0
2086.0,5785680000000.0,4665742000000.0,5386081000000.0,6271420300000.0,5077382000000.0,4494592600000.0,5577011000000.0,4213866500000.0,6272134000000.0,5495637000000.0,5091495500000.0
2087.0,5773007000000.0,4636596000000.0,5360871500000.0,6257907000000.0,5034757600000.0,4442767000000.0,5549111400000.0,4184299500000.0,6262379500000.0,5456509500000.0,5050900000000.0
2088.0,5753590000000.0,4587564000000.0,5339334000000.0,6240365000000.0,4990550700000.0,4408028000000.0,5519977000000.0,4138229300000.0,6249375000000.0,5410267300000.0,5030355000000.0
2089.0,5729406700000.0,4546164700000.0,5333057500000.0,6224999400000.0,4937995500000.0,4394118500000.0,5459690400000.0,4101026000000.0,6231070600000.0,5363507000000.0,5006055000000.0
2090.0,5688405300000.0,4504352700000.0,5314375000000.0,6217709000000.0,4896915000000.0,4356381600000.0,5452428500000.0,4079760400000.0,6207414700000.0,5333259400000.0,4979974000000.0
2091.0,5667074000000.0,4467806700000.0,5284454000000.0,6198109700000.0,4852952000000.0,4308263200000.0,5421441500000.0,4039234300000.0,6196850300000.0,5298749700000.0,4931376400000.0
2092.0,5630433700000.0,4423432000000.0,5261224000000.0,6182805700000.0,4821047300000.0,4283229000000.0,5393909500000.0,4005316800000.0,6175764000000.0,5286614000000.0,4884905600000.0
2093.0,5594853000000.0,4368324000000.0,5242781400000.0,6163154000000.0,4799986700000.0,4258245000000.0,5356919500000.0,3961781500000.0,6149501400000.0,5268647000000.0,4855265000000.0
2094.0,5572666600000.0,4333066800000.0,5219477400000.0,6158232300000.0,4755792000000.0,4229268800000.0,5322077400000.0,3932835500000.0,6147134000000.0,5254997000000.0,4820675000000.0
2095.0,5540126000000.0,4290505900000.0,5197000600000.0,6132332500000.0,4714479500000.0,4212919000000.0,5302517000000.0,3890082200000.0,6136859000000.0,5234072500000.0,4790085000000.0
2096.0,5514726000000.0,4240408800000.0,5169278400000.0,6119059000000.0,4673983000000.0,4170373400000.0,5279673500000.0,3851822000000.0,6111674500000.0,5208849500000.0,4746673000000.0
2097.0,5501430000000.0,4186291000000.0,5132656000000.0,6116412500000.0,4663559600000.0,4129912300000.0,5250647300000.0,3814928700000.0,6079146600000.0,5185608000000.0,4705003000000.0
2098.0,5489226700000.0,4147211100000.0,5103576700000.0,6114424000000.0,4641333400000.0,4119138000000.0,5213005500000.0,3762017500000.0,6041818400000.0,5155208600000.0,4661566000000.0
2099.0,5466937000000.0,4112008000000.0,5078648000000.0,6095552600000.0,4623398000000.0,4102790600000.0,5151593600000.0,3735616500000.0,6032650700000.0,5129564000000.0,4609922000000.0
2100.0,5453899000000.0,4072653200000.0,5054400600000.0,6082500000000.0,4606397000000.0,4079652400000.0,5118187000000.0,3696611600000.0,6013841000000.0,5115749000000.0,4595390000000.0
