time,CESM1-CAM5,CCSM4,CNRM-CM5,GISS-E2-R,CSIRO-MK3-6-0,MPI-ESM-LR,GFDL-ESM2G,NORESM1-M,CANESM2,GFDL-CM3,IPSL-CM5A-LR
2087.0,7658510000000.0,12528248000000.0,10864256000000.0,12110286000000.0,12172079000000.0,9924020000000.0,12171115000000.0,9993849000000.0,9679359000000.0,7873826000000.0,10064984000000.0
2088.0,7568179000000.0,12557067000000.0,10823692000000.0,12074160000000.0,12171110000000.0,9879642000000.0,12141490000000.0,9932653000000.0,9643396000000.0,7816320400000.0,10006268000000.0
2089.0,7454193600000.0,12543246000000.0,10697867000000.0,12059797000000.0,12145858000000.0,9854405000000.0,12135516000000.0,9840677000000.0,9562821000000.0,7752194700000.0,9970804000000.0
2090.0,7351207000000.0,12534487000000.0,10618533000000.0,12074704000000.0,12125631000000.0,9816754000000.0,12112167000000.0,9776481000000.0,9519067000000.0,7690573600000.0,9979102000000.0
2091.0,7280173500000.0,12522359000000.0,10526421000000.0,12057807000000.0,12103811000000.0,9779819000000.0,12102357000000.0,9711713000000.0,9415007000000.0,7645086000000.0,9949754000000.0
2092.0,7192060600000.0,12562708000000.0,10485345000000.0,12035992000000.0,12071318000000.0,9734792000000.0,12062516000000.0,9609660000000.0,9338645000000.0,7593364300000.0,9900848000000.0
2093.0,7089555000000.0,12547310000000.0,10434372000000.0,11983455000000.0,12020982000000.0,9701538000000.0,12031303000000.0,9484421000000.0,9245762000000.0,7509469300000.0,9862641000000.0
2094.0,7005487000000.0,12521094000000.0,10392615000000.0,11951984000000.0,11980217000000.0,9648802000000.0,11981685000000.0,9443577000000.0,9209730000000.0,7469131000000.0,9868563000000.0
2095.0,6939545700000.0,12474379000000.0,10319169000000.0,11963595000000.0,11967779000000.0,9628827000000.0,11974571000000.0,9392585000000.0,9138005000000.0,7404334000000.0,9797883000000.0
2096.0,6873470000000.0,12477276000000.0,10216022000000.0,11943103000000.0,11932453000000.0,9578786000000.0,11930256000000.0,9355724000000.0,9072539000000.0,7369757000000.0,9748376000000.0
2097.0,6799263500000.0,12502632000000.0,10152693000000.0,11903566000000.0,11871818000000.0,9545133000000.0,11920751000000.0,9274323000000.0,9032656000000.0,7295599600000.0,9676038000000.0
2098.0,6730778000000.0,12525743000000.0,10061190000000.0,11893970000000.0,11803808000000.0,9495076000000.0,11892410000000.0,9203993000000.0,8979093000000.0,7228637000000.0,9632281000000.0
2099.0,6641394000000.0,12478863000000.0,10001263000000.0,11878069000000.0,11771762000000.0,9481896000000.0,11905122000000.0,9133592000000.0,8937994000000.0,7165414000000.0,9597350000000.0
2100.0,6580669000000.0,12489263000000.0,9949168000000.0,11849274000000.0,11738070000000.0,9460145000000.0,11868461000000.0,9079684000000.0,8870278000000.0,7111776000000.0,9558657000000.0
