time,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,CESM2,EC-EARTH3,NORESM2-MM,INM-CM4-8,INM-CM5-0
2059.0,1765084900000.0,1765605500000.0,2066858900000.0,2079261600000.0,1836616600000.0,2049890200000.0,2132890900000.0,1977409900000.0,1989700200000.0,1351974500000.0,2071107700000.0,2138657500000.0,1903627100000.0
2060.0,1727765700000.0,1711958300000.0,2033495800000.0,2066407800000.0,1812341600000.0,2048472400000.0,2107442100000.0,1962404700000.0,1965957000000.0,1308857500000.0,2027103200000.0,2117694400000.0,1872162300000.0
2061.0,1697195100000.0,1669945600000.0,2010740600000.0,2020919500000.0,1777402500000.0,2022930600000.0,2080153800000.0,1931224500000.0,1934116300000.0,1274872200000.0,2013734400000.0,2086480200000.0,1827273800000.0
2062.0,1671935800000.0,1630843300000.0,1973003200000.0,1980270900000.0,1755124000000.0,1981231100000.0,2067635200000.0,1906897000000.0,1906501500000.0,1245376500000.0,1974652900000.0,2062246500000.0,1808173500000.0
2063.0,1633035600000.0,1589938200000.0,1955844200000.0,1955470100000.0,1732875800000.0,1951123000000.0,2044303600000.0,1878928000000.0,1894149400000.0,1219972400000.0,1930039100000.0,2043440000000.0,1784145800000.0
2064.0,1598825400000.0,1545021400000.0,1947560200000.0,1914179600000.0,1699099600000.0,1904805700000.0,2007710700000.0,1838906500000.0,1865580500000.0,1185258000000.0,1891246300000.0,2036468700000.0,1759090000000.0
2065.0,1563268200000.0,1503526000000.0,1911149000000.0,1887321000000.0,1677483000000.0,1872420900000.0,1990434500000.0,1799131500000.0,1835589000000.0,1153015100000.0,1865463900000.0,2017545300000.0,1729139200000.0
2066.0,1534874900000.0,1459177300000.0,1886790700000.0,1851838400000.0,1641929400000.0,1825630600000.0,1974421300000.0,1768687300000.0,1821835300000.0,1122814800000.0,1836544800000.0,1990667000000.0,1703833000000.0
2067.0,1515366100000.0,1424923300000.0,1863454300000.0,1823231800000.0,1612029200000.0,1787339500000.0,1943465500000.0,1745608900000.0,1794449100000.0,1089768260000.0,1818940500000.0,1968861900000.0,1690909700000.0
2068.0,1488239500000.0,1387283600000.0,1839195200000.0,1788018300000.0,1586953000000.0,1756860100000.0,1919889800000.0,1725348200000.0,1768231800000.0,1060004800000.0,1802129500000.0,1950159600000.0,1675631700000.0
