time,GFDL-ESM4,MPI-ESM1-2-HR,BCC-CSM2-MR,FGOALS-F3-L,CMCC-CM2-SR5,MRI-ESM2-0,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3-VEG,INM-CM5-0,INM-CM4-8,NORESM2-MM,EC-EARTH3,CESM2
2049.0,2421318500000.0,2355068000000.0,2040741800000.0,2252133600000.0,2451790400000.0,2109561500000.0,2279344400000.0,2477852200000.0,2194985600000.0,2242340500000.0,2324778200000.0,2267528800000.0,1935462100000.0,2322190800000.0
2050.0,2409526000000.0,2346830000000.0,2006407000000.0,2202854500000.0,2444109000000.0,2082483200000.0,2252371100000.0,2455881600000.0,2175894600000.0,2218967400000.0,2319787800000.0,2250489500000.0,1902903700000.0,2307556400000.0
2051.0,2386843700000.0,2323327700000.0,1965525000000.0,2171694900000.0,2411501000000.0,2046464600000.0,2229900400000.0,2437623000000.0,2139877000000.0,2200113800000.0,2307771300000.0,2221132500000.0,1878577300000.0,2290297900000.0
2052.0,2366412700000.0,2321709300000.0,1935837400000.0,2147142200000.0,2387001700000.0,2018032700000.0,2211862500000.0,2427654000000.0,2108120500000.0,2171106000000.0,2283170400000.0,2189811500000.0,1853765000000.0,2271366600000.0
2053.0,2352962300000.0,2305436200000.0,1901217200000.0,2118051600000.0,2360781300000.0,1985159200000.0,2187243000000.0,2407688600000.0,2087897500000.0,2140235000000.0,2268770300000.0,2173241700000.0,1827726600000.0,2252368200000.0
2054.0,2337669000000.0,2281575500000.0,1870457300000.0,2095220100000.0,2350584400000.0,1953819500000.0,2160002900000.0,2381018800000.0,2063462300000.0,2116277000000.0,2250812400000.0,2144107500000.0,1800540700000.0,2243278700000.0
2055.0,2310298000000.0,2254746000000.0,1852628300000.0,2067233200000.0,2323050700000.0,1924781600000.0,2126547600000.0,2348579800000.0,2030792600000.0,2093391200000.0,2245767700000.0,2107890000000.0,1768556300000.0,2240084000000.0
2056.0,2300283700000.0,2233497300000.0,1814421300000.0,2045633900000.0,2289144200000.0,1905913900000.0,2109036800000.0,2328770600000.0,2006415600000.0,2060698400000.0,2229347300000.0,2082871300000.0,1738072300000.0,2219795300000.0
2057.0,2283174600000.0,2202618800000.0,1782703300000.0,2010256100000.0,2277464900000.0,1885046000000.0,2101102500000.0,2301343300000.0,1973504300000.0,2035747800000.0,2214111000000.0,2059534900000.0,1707565400000.0,2202023500000.0
2058.0,2250261400000.0,2184200000000.0,1732389600000.0,1999063600000.0,2248509500000.0,1871975200000.0,2077078200000.0,2289442800000.0,1947532800000.0,2013823800000.0,2193512100000.0,2033625600000.0,1673482900000.0,2192767500000.0
2059.0,2228368700000.0,2163917300000.0,1684874700000.0,1976807600000.0,2242766200000.0,1840244500000.0,2044265500000.0,2281147700000.0,1921949400000.0,1998280300000.0,2179159200000.0,2010364600000.0,1648623200000.0,2167539400000.0
2060.0,2202435300000.0,2157886600000.0,1649195600000.0,1961336400000.0,2222171600000.0,1807314500000.0,2022609600000.0,2249217800000.0,1897628700000.0,1978516000000.0,2161896600000.0,1994313200000.0,1627283400000.0,2150605800000.0
2061.0,2177874000000.0,2131380300000.0,1603437100000.0,1952376300000.0,2190968900000.0,1780544200000.0,2004612500000.0,2221092600000.0,1874751800000.0,1955802300000.0,2151846600000.0,1979967500000.0,1596506100000.0,2137874900000.0
2062.0,2139201900000.0,2101540400000.0,1573321200000.0,1934301100000.0,2164887100000.0,1759341600000.0,1983143300000.0,2207485800000.0,1844905800000.0,1944846000000.0,2131827200000.0,1959781900000.0,1572501800000.0,2107835400000.0
2063.0,2107975400000.0,2062746600000.0,1526030800000.0,1917307600000.0,2152660200000.0,1734737300000.0,1958482500000.0,2199967000000.0,1810487700000.0,1920156800000.0,2116793700000.0,1943020800000.0,1546742900000.0,2081469200000.0
2064.0,2081571000000.0,2044442300000.0,1478939600000.0,1900741700000.0,2111208600000.0,1700680800000.0,1930553700000.0,2173424800000.0,1784467600000.0,1883108100000.0,2104720000000.0,1917509800000.0,1524592000000.0,2049906800000.0
2065.0,2053253500000.0,2024281500000.0,1456452100000.0,1882860600000.0,2088665100000.0,1670257000000.0,1914928200000.0,2157059600000.0,1750028100000.0,1870261500000.0,2086942500000.0,1895723600000.0,1502048600000.0,2031923800000.0
2066.0,2026504600000.0,2027887100000.0,1437357700000.0,1870084400000.0,2070994200000.0,1641050800000.0,1898226500000.0,2132540900000.0,1736245800000.0,1858378100000.0,2061623200000.0,1867443500000.0,1475410400000.0,2007835600000.0
2067.0,2006960300000.0,2006424500000.0,1400704300000.0,1857547800000.0,2035102100000.0,1615641300000.0,1858089600000.0,2118992000000.0,1711813400000.0,1835070900000.0,2049054900000.0,1848270500000.0,1459627100000.0,1982276300000.0
2068.0,1976022700000.0,1982615800000.0,1362696900000.0,1828883500000.0,2002292700000.0,1586527200000.0,1845272000000.0,2079692800000.0,1695175400000.0,1810450500000.0,2042416200000.0,1821329900000.0,1428119000000.0,1959360500000.0
2069.0,1948758000000.0,1956565500000.0,1334131700000.0,1817827600000.0,1978486900000.0,1568805500000.0,1831556200000.0,2054390300000.0,1669102300000.0,1795002200000.0,2023533700000.0,1808727800000.0,1404719700000.0,1929424300000.0
