time,CESM2-WACCM,ACCESS-CM2,CAMS-CSM1-0,CANESM5,EC-EARTH3-VEG,ACCESS-ESM1-5,IPSL-CM6A-LR,INM-CM4-8,NORESM2-MM,INM-CM5-0,EC-EARTH3,CESM2,GFDL-ESM4,MPI-ESM1-2-HR,TAIESM1,BCC-CSM2-MR,FGOALS-F3-L,CMCC-CM2-SR5,MRI-ESM2-0
2037.0,2456958000000.0,2526189000000.0,2587305400000.0,2174500600000.0,2449048300000.0,2376980800000.0,2489681700000.0,2590991000000.0,2465709200000.0,2399013000000.0,2142894400000.0,2408484200000.0,2529098200000.0,2457350400000.0,2374563000000.0,2430852100000.0,2483865300000.0,2501042800000.0,2393149800000.0
2038.0,2433343800000.0,2515074500000.0,2570223000000.0,2139660900000.0,2423298200000.0,2352164400000.0,2473266500000.0,2579707200000.0,2450219300000.0,2377056300000.0,2090009200000.0,2379402200000.0,2522021600000.0,2427129400000.0,2326477000000.0,2418517200000.0,2461792200000.0,2476279000000.0,2349571200000.0
2039.0,2404174500000.0,2488131600000.0,2544226800000.0,2078003600000.0,2395956000000.0,2346411400000.0,2446713200000.0,2555536200000.0,2423916000000.0,2348335500000.0,2046097200000.0,2363728300000.0,2491246200000.0,2412668500000.0,2287687700000.0,2379537700000.0,2450978000000.0,2455380700000.0,2307372000000.0
2040.0,2368693300000.0,2447515800000.0,2535164500000.0,2084388300000.0,2334319200000.0,2321451600000.0,2421497500000.0,2533015700000.0,2400854200000.0,2323436300000.0,1990163200000.0,2337456000000.0,2475580500000.0,2381662400000.0,2251356000000.0,2339342400000.0,2428603000000.0,2421150200000.0,2290095800000.0
2041.0,2323212000000.0,2426607500000.0,2524523000000.0,2052180800000.0,2307334000000.0,2302253200000.0,2384703800000.0,2506921000000.0,2385151300000.0,2289639600000.0,1954782200000.0,2305996400000.0,2452105700000.0,2349879500000.0,2231279000000.0,2319319300000.0,2417118400000.0,2393011700000.0,2253906800000.0
2042.0,2303070800000.0,2394771700000.0,2515296600000.0,2007012900000.0,2264889800000.0,2285897000000.0,2356514000000.0,2480504800000.0,2369720000000.0,2263561500000.0,1923730900000.0,2278214900000.0,2430855000000.0,2336122500000.0,2217517800000.0,2279661400000.0,2404765400000.0,2362997700000.0,2221716500000.0
2043.0,2267912000000.0,2363670700000.0,2485413200000.0,1959347200000.0,2224494000000.0,2248785300000.0,2328600000000.0,2459202200000.0,2342895200000.0,2231045700000.0,1863064500000.0,2244791500000.0,2401939500000.0,2316416600000.0,2185297100000.0,2240628700000.0,2376504700000.0,2362926700000.0,2192509400000.0
2044.0,2235195500000.0,2332403700000.0,2467987200000.0,1929959800000.0,2201208500000.0,2228617700000.0,2308145400000.0,2444179300000.0,2318653200000.0,2201701000000.0,1814274800000.0,2195327000000.0,2374088000000.0,2294330400000.0,2141766500000.0,2200889000000.0,2353594400000.0,2356475000000.0,2160641400000.0
2045.0,2201729400000.0,2301998400000.0,2439352000000.0,1934719800000.0,2168961800000.0,2203420500000.0,2279235000000.0,2433424000000.0,2292991400000.0,2178912500000.0,1771020400000.0,2175262700000.0,2362846200000.0,2269145000000.0,2103709800000.0,2161660400000.0,2317391500000.0,2325170400000.0,2122302200000.0
2046.0,2175489800000.0,2274270400000.0,2416978700000.0,1917845100000.0,2110283700000.0,2177131000000.0,2256673200000.0,2429472500000.0,2272236100000.0,2167207600000.0,1741322500000.0,2154518000000.0,2342752400000.0,2244282400000.0,2072916700000.0,2138720800000.0,2283978600000.0,2282712500000.0,2083748200000.0
2047.0,2140763500000.0,2219805500000.0,2403482500000.0,1863629800000.0,2064387900000.0,2156765500000.0,2228327800000.0,2403995700000.0,2245057800000.0,2141384600000.0,1698543200000.0,2127814700000.0,2320500300000.0,2217814300000.0,2030080500000.0,2088420100000.0,2260749000000.0,2250078700000.0,2047111200000.0
2048.0,2116841000000.0,2183834800000.0,2384763300000.0,1831555600000.0,2026841400000.0,2112066000000.0,2197019200000.0,2382615000000.0,2211907600000.0,2116509500000.0,1667783100000.0,2099667900000.0,2306369700000.0,2187193200000.0,1986025100000.0,2041845900000.0,2222950200000.0,2225530700000.0,2011682600000.0
2049.0,2091408300000.0,2158434500000.0,2359496300000.0,1784075100000.0,1979961400000.0,2074379200000.0,2170340500000.0,2380985500000.0,2190158900000.0,2094158600000.0,1626760400000.0,2043099600000.0,2291816500000.0,2159779500000.0,1953659600000.0,2003602000000.0,2195574900000.0,2182880200000.0,1971493300000.0
2050.0,2068356300000.0,2131766300000.0,2339721700000.0,1753897100000.0,1938025700000.0,2047840100000.0,2138620400000.0,2356574400000.0,2162333800000.0,2075272800000.0,1579986700000.0,2018929400000.0,2266406800000.0,2128200900000.0,1932026800000.0,1965568200000.0,2164568100000.0,2173769500000.0,1940794900000.0
2051.0,2035183000000.0,2084851400000.0,2309335800000.0,1718514900000.0,1895778700000.0,2011390400000.0,2097053700000.0,2331195000000.0,2128585000000.0,2046149100000.0,1546630700000.0,1979955400000.0,2238505500000.0,2093612700000.0,1893228200000.0,1923264800000.0,2124877400000.0,2133811000000.0,1909163800000.0
2052.0,1991745900000.0,2048987200000.0,2290533500000.0,1682329000000.0,1833338800000.0,1982756300000.0,2066536000000.0,2307179400000.0,2090120800000.0,2006372300000.0,1499324400000.0,1930408200000.0,2209739400000.0,2063558100000.0,1854348100000.0,1877062600000.0,2073220200000.0,2100050700000.0,1880146800000.0
2053.0,1946225700000.0,2033488000000.0,2268566700000.0,1644987400000.0,1778311400000.0,1951395900000.0,2031078100000.0,2286265000000.0,2080296000000.0,1980452200000.0,1465633700000.0,1899464400000.0,2179240800000.0,2027201900000.0,1823542000000.0,1832410800000.0,2047814900000.0,2054902600000.0,1830958500000.0
2054.0,1922879600000.0,2002959000000.0,2252821500000.0,1592325000000.0,1730104300000.0,1925251500000.0,1992176300000.0,2275152000000.0,2057525500000.0,1965373100000.0,1426311100000.0,1864276500000.0,2162093200000.0,1998030800000.0,1778802500000.0,1784638100000.0,2034069800000.0,2011627700000.0,1810006300000.0
2055.0,1888501400000.0,1967470400000.0,2232294300000.0,1548665000000.0,1683068700000.0,1899970200000.0,1956201600000.0,2260358700000.0,2022877600000.0,1944286700000.0,1377338500000.0,1840331200000.0,2132428200000.0,1977903500000.0,1745953900000.0,1740889800000.0,1990289300000.0,1971843200000.0,1768918600000.0
2056.0,1845833400000.0,1931678600000.0,2199559300000.0,1507094000000.0,1640983800000.0,1879973800000.0,1920109900000.0,2236500100000.0,1986521300000.0,1917340400000.0,1334343200000.0,1809020600000.0,2109378300000.0,1938989300000.0,1725597000000.0,1686676600000.0,1964567800000.0,1949020200000.0,1737429400000.0
2057.0,1836777000000.0,1908753400000.0,2182123100000.0,1471129800000.0,1583981000000.0,1847890300000.0,1889685900000.0,2213098000000.0,1956255400000.0,1894692400000.0,1307715000000.0,1771483600000.0,2085680800000.0,1907881300000.0,1673750600000.0,1638184000000.0,1927352200000.0,1913799200000.0,1712640500000.0
2058.0,1804465100000.0,1881781200000.0,2142242200000.0,1442528200000.0,1536795900000.0,1818668200000.0,1846954000000.0,2183524600000.0,1919131500000.0,1870059900000.0,1267453400000.0,1726459700000.0,2066167400000.0,1885555700000.0,1628691500000.0,1590868200000.0,1892868600000.0,1863911600000.0,1679876800000.0
2059.0,1764844900000.0,1851616400000.0,2116825000000.0,1407542600000.0,1501937000000.0,1779609600000.0,1802486200000.0,2166087700000.0,1889330000000.0,1841071300000.0,1235957600000.0,1679589200000.0,2018045700000.0,1867009500000.0,1582931100000.0,1532419400000.0,1862852000000.0,1825606100000.0,1647204600000.0
2060.0,1733293600000.0,1826072000000.0,2090165700000.0,1374949200000.0,1454087900000.0,1761915400000.0,1759079000000.0,2139291300000.0,1864495400000.0,1811002400000.0,1196083100000.0,1637202000000.0,1977865100000.0,1848335800000.0,1539104000000.0,1487249300000.0,1834393700000.0,1786465900000.0,1615998000000.0
2061.0,1700104200000.0,1794344400000.0,2063200400000.0,1345743000000.0,1408285900000.0,1728571500000.0,1734975600000.0,2108155400000.0,1836565400000.0,1795323700000.0,1154803800000.0,1618608300000.0,1936181700000.0,1828155700000.0,1499355700000.0,1436321600000.0,1806999900000.0,1754059200000.0,1584991000000.0
2062.0,1677313700000.0,1761224700000.0,2035944800000.0,1309228400000.0,1365745500000.0,1690696700000.0,1699950500000.0,2095634000000.0,1805795200000.0,1768420900000.0,1108497000000.0,1591397000000.0,1912072800000.0,1796121400000.0,1465205000000.0,1386659800000.0,1770068900000.0,1718338700000.0,1549194400000.0
2063.0,1656540400000.0,1728927900000.0,2009710700000.0,1287917100000.0,1327570100000.0,1664126800000.0,1667515700000.0,2066873500000.0,1767669400000.0,1735520800000.0,1067922800000.0,1567520300000.0,1892400100000.0,1763965300000.0,1431922100000.0,1339736900000.0,1755201100000.0,1682960200000.0,1515961500000.0
2064.0,1622192000000.0,1705908900000.0,1973882000000.0,1250459000000.0,1293326200000.0,1635432100000.0,1636886600000.0,2045366800000.0,1737919600000.0,1712677800000.0,1036184500000.0,1525864500000.0,1862446600000.0,1736396100000.0,1386682800000.0,1295952500000.0,1729710500000.0,1643156100000.0,1471190300000.0
2065.0,1593297200000.0,1668262400000.0,1958024600000.0,1218232500000.0,1245773800000.0,1605290600000.0,1601650700000.0,2023882200000.0,1707600600000.0,1675006700000.0,997096800000.0,1480542300000.0,1840432400000.0,1698177100000.0,1339388900000.0,1254181600000.0,1703362400000.0,1600163000000.0,1449365300000.0
2066.0,1568324800000.0,1629922700000.0,1930866000000.0,1172441900000.0,1201493900000.0,1573164400000.0,1564241000000.0,2001622900000.0,1683720800000.0,1647651600000.0,961270640000.0,1449793400000.0,1815895300000.0,1682560400000.0,1304438800000.0,1211736400000.0,1676114700000.0,1555583900000.0,1427653400000.0
2067.0,1538214200000.0,1600573000000.0,1894650900000.0,1144430500000.0,1170298200000.0,1529763300000.0,1537709800000.0,1972642800000.0,1649224700000.0,1620996400000.0,924269800000.0,1415632100000.0,1789892900000.0,1656168100000.0,1268076500000.0,1159762100000.0,1637345000000.0,1513468100000.0,1399342600000.0
2068.0,1496067300000.0,1555924600000.0,1865153200000.0,1119358300000.0,1125123800000.0,1496779700000.0,1506464400000.0,1952646700000.0,1622096700000.0,1594189800000.0,901227200000.0,1381350200000.0,1752421800000.0,1629951100000.0,1222667500000.0,1115796900000.0,1585317800000.0,1479714000000.0,1365931500000.0
2069.0,1471193500000.0,1530192900000.0,1839293800000.0,1087036300000.0,1092846550000.0,1462401100000.0,1476376300000.0,1926261900000.0,1581902900000.0,1573257000000.0,865037800000.0,1345382500000.0,1715695900000.0,1614524200000.0,1191062300000.0,1075543930000.0,1559326400000.0,1451725200000.0,1345474700000.0
2070.0,1433362800000.0,1494761500000.0,1807594700000.0,1062319360000.0,1058764800000.0,1429594700000.0,1440688000000.0,1875368000000.0,1556528400000.0,1543921200000.0,837636650000.0,1314850200000.0,1691222300000.0,1591229700000.0,1160881200000.0,1040528500000.0,1528757200000.0,1418826000000.0,1324285600000.0
2071.0,1404718800000.0,1461252100000.0,1785872500000.0,1033062840000.0,1015972040000.0,1393121700000.0,1408994200000.0,1852009700000.0,1521028400000.0,1513415500000.0,804186700000.0,1281216700000.0,1665826800000.0,1572737000000.0,1131516100000.0,998175340000.0,1495739400000.0,1382226200000.0,1292127200000.0
2072.0,1373454100000.0,1430153100000.0,1756584200000.0,1007657000000.0,970414360000.0,1362147800000.0,1380305900000.0,1839026000000.0,1493124400000.0,1486669200000.0,776247200000.0,1248084100000.0,1645061700000.0,1534345900000.0,1104023900000.0,962227700000.0,1457765100000.0,1346450500000.0,1266673300000.0
2073.0,1342086000000.0,1395492000000.0,1726500300000.0,975661900000.0,935147700000.0,1337128300000.0,1344697700000.0,1826253800000.0,1470374200000.0,1468922600000.0,744182840000.0,1226651900000.0,1618605200000.0,1507285000000.0,1071295700000.0,914698000000.0,1426109500000.0,1310004700000.0,1253825700000.0
2074.0,1310044600000.0,1360169100000.0,1705676000000.0,959381000000.0,906860500000.0,1306486100000.0,1314001300000.0,1787967800000.0,1449555900000.0,1444186400000.0,712326300000.0,1201389000000.0,1597536700000.0,1484510100000.0,1041220000000.0,885835900000.0,1389612100000.0,1285540400000.0,1237358200000.0
2075.0,1278944900000.0,1328426500000.0,1694833800000.0,934341400000.0,862984140000.0,1271005000000.0,1284295900000.0,1763391400000.0,1417574100000.0,1427799100000.0,682182840000.0,1166644300000.0,1579607400000.0,1448966600000.0,1018441400000.0,844690550000.0,1345281700000.0,1243663700000.0,1211460200000.0
2076.0,1260972900000.0,1285562000000.0,1672030600000.0,907238640000.0,826976600000.0,1223244500000.0,1250448600000.0,1736766900000.0,1385607900000.0,1401412000000.0,654529400000.0,1143485900000.0,1545282300000.0,1414258000000.0,990430950000.0,811842340000.0,1312216400000.0,1208373100000.0,1182044900000.0
2077.0,1231745800000.0,1255326400000.0,1643596700000.0,881389140000.0,794926060000.0,1186732200000.0,1214983800000.0,1717615900000.0,1359960100000.0,1374026000000.0,632419000000.0,1110852800000.0,1520154600000.0,1384338800000.0,958897260000.0,777292400000.0,1287044100000.0,1168261900000.0,1161489700000.0
2078.0,1201602300000.0,1218422100000.0,1608590700000.0,862974700000.0,766364900000.0,1160729600000.0,1184730000000.0,1699229600000.0,1338803500000.0,1353143400000.0,606604750000.0,1082838000000.0,1495101100000.0,1360337700000.0,930138000000.0,750672100000.0,1255382500000.0,1126213900000.0,1136957000000.0
2079.0,1171329000000.0,1187403900000.0,1582585600000.0,840241700000.0,727151800000.0,1131107800000.0,1146872300000.0,1675186800000.0,1313918700000.0,1323915000000.0,577593340000.0,1050801860000.0,1460642500000.0,1330191700000.0,907301750000.0,725302840000.0,1226747300000.0,1095225600000.0,1109190800000.0
2080.0,1148468200000.0,1160978900000.0,1567403900000.0,817534340000.0,694772100000.0,1095596800000.0,1105028000000.0,1638966600000.0,1280278900000.0,1300946000000.0,555202640000.0,1027680440000.0,1428331000000.0,1293890100000.0,881475800000.0,698673140000.0,1185247900000.0,1065198400000.0,1084590850000.0
2081.0,1133222400000.0,1123595800000.0,1540174100000.0,804124900000.0,657673950000.0,1065854000000.0,1069599950000.0,1616278000000.0,1254724000000.0,1280779900000.0,528323480000.0,1001453000000.0,1395227900000.0,1268485500000.0,852481300000.0,672190600000.0,1143517300000.0,1020291800000.0,1068026300000.0
2082.0,1101830600000.0,1096300400000.0,1518414300000.0,789257060000.0,622401800000.0,1042597350000.0,1027154800000.0,1585429900000.0,1231948300000.0,1262058500000.0,499368100000.0,979096040000.0,1366847100000.0,1248225800000.0,831362560000.0,645383700000.0,1108725700000.0,982215800000.0,1045982740000.0
2083.0,1067948700000.0,1061572600000.0,1489745900000.0,759033100000.0,592877650000.0,1012936540000.0,988332950000.0,1557875500000.0,1209622500000.0,1238669900000.0,480459600000.0,953230300000.0,1338960600000.0,1223751000000.0,805080330000.0,619446140000.0,1082563300000.0,947673240000.0,1035286800000.0
2084.0,1045946600000.0,1033707100000.0,1455304100000.0,734208100000.0,558358700000.0,979699560000.0,955301600000.0,1530772500000.0,1184284500000.0,1213410600000.0,455441450000.0,930672350000.0,1303668000000.0,1192597400000.0,776154500000.0,593841200000.0,1049064000000.0,920431170000.0,1004234900000.0
2085.0,1022609800000.0,1008991600000.0,1421436100000.0,715353800000.0,530592070000.0,952166900000.0,924824300000.0,1518117800000.0,1166831300000.0,1196104700000.0,429171500000.0,905958400000.0,1276812700000.0,1171617900000.0,748014530000.0,572883530000.0,1023245400000.0,893017800000.0,985275300000.0
