time,FGOALS-F3-L,BCC-CSM2-MR,EC-EARTH3-VEG,ACCESS-ESM1-5,ACCESS-CM2,CANESM5,CESM2,GFDL-ESM4,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,MPI-ESM1-2-HR,IPSL-CM6A-LR,CESM2-WACCM,CAMS-CSM1-0,MRI-ESM2-0
2058.0,152601920000.0,132499100000.0,129207590000.0,189271330000.0,110083334000.0,88624325000.0,149995340000.0,154470830000.0,146022060000.0,173877280000.0,145988340000.0,109787800000.0,160399770000.0,127812070000.0,138451270000.0,141419380000.0,144509850000.0
2059.0,150125510000.0,130187354000.0,127731480000.0,190347100000.0,107456260000.0,85791450000.0,149188210000.0,151148990000.0,144816650000.0,170150170000.0,142726730000.0,108494790000.0,157940730000.0,123874520000.0,136925990000.0,139629410000.0,142101770000.0
2060.0,148960260000.0,126925140000.0,123569530000.0,187846360000.0,103169910000.0,82357600000.0,148011000000.0,150564140000.0,141939640000.0,169285000000.0,138023860000.0,106440000000.0,153068010000.0,121699920000.0,135372130000.0,136602124000.0,139787290000.0
2061.0,148005190000.0,124574335000.0,119613180000.0,184157110000.0,99851485000.0,80371974000.0,146759570000.0,148389200000.0,140125140000.0,167236260000.0,134899474000.0,103960870000.0,150574370000.0,119796410000.0,134786420000.0,133208570000.0,137335360000.0
2062.0,144604510000.0,120702350000.0,119082205000.0,182786700000.0,97703910000.0,77059920000.0,144590860000.0,146379800000.0,137204605000.0,165286310000.0,132286770000.0,101845565000.0,147306630000.0,117071830000.0,133025554000.0,130200125000.0,134313690000.0
2063.0,143983000000.0,117701780000.0,116044160000.0,182216400000.0,94857570000.0,73999830000.0,141436010000.0,145025960000.0,135462740000.0,164581770000.0,129697130000.0,99957310000.0,146179690000.0,113972060000.0,131595160000.0,127242110000.0,133056954000.0
2064.0,141669240000.0,114901690000.0,113450450000.0,182992180000.0,90350150000.0,70817776000.0,137913400000.0,143947150000.0,132200130000.0,159885770000.0,127682740000.0,97478390000.0,143320500000.0,110038974000.0,130572640000.0,124871090000.0,132629410000.0
2065.0,139961570000.0,111934380000.0,111199440000.0,181682730000.0,86254210000.0,67792638000.0,138198880000.0,141517470000.0,126316200000.0,155492910000.0,125962880000.0,96249120000.0,140774490000.0,108890650000.0,128837840000.0,122754605000.0,131857875000.0
2066.0,136656810000.0,110265980000.0,110068570000.0,181188280000.0,84443220000.0,65700467000.0,138822250000.0,138416230000.0,123396560000.0,153466770000.0,124194070000.0,94883510000.0,139224170000.0,105765260000.0,126142760000.0,120309680000.0,131729970000.0
2067.0,138505450000.0,108307830000.0,109225830000.0,179156830000.0,81187970000.0,63198044000.0,139110730000.0,135827550000.0,120710630000.0,151615680000.0,121278070000.0,92902180000.0,138065310000.0,103908220000.0,124822310000.0,119085190000.0,130442084000.0
2068.0,138181790000.0,106572734000.0,105405350000.0,174801170000.0,78651320000.0,60748304000.0,137782350000.0,132908700000.0,119202005000.0,150704100000.0,117540870000.0,89967460000.0,134541450000.0,102519890000.0,122735260000.0,119953670000.0,128291060000.0
2069.0,136437150000.0,103722990000.0,103465440000.0,172607360000.0,75052520000.0,58414993000.0,138121760000.0,131037405000.0,117298620000.0,148417680000.0,113238640000.0,86812656000.0,132749525000.0,100369916000.0,121281360000.0,118620830000.0,126680150000.0
2070.0,133514980000.0,101559770000.0,102629120000.0,169700520000.0,73430280000.0,55918645000.0,137280430000.0,129084480000.0,115884610000.0,146819330000.0,110914920000.0,83481666000.0,130115035000.0,96919175000.0,120095690000.0,116813365000.0,124050285000.0
2071.0,131054770000.0,99157710000.0,99566370000.0,166190810000.0,70975280000.0,53192413000.0,134381445000.0,127285670000.0,114993810000.0,145879520000.0,108974950000.0,81447530000.0,128415210000.0,93015820000.0,121435310000.0,115211640000.0,124523990000.0
2072.0,129938890000.0,96453060000.0,97363845000.0,163041430000.0,68852490000.0,51145785000.0,134569250000.0,126953300000.0,113688100000.0,144572430000.0,106388920000.0,79179830000.0,126132110000.0,89683526000.0,120196900000.0,113649460000.0,122677390000.0
2073.0,128633090000.0,95094990000.0,96322355000.0,160941280000.0,67530756000.0,49329005000.0,132936696000.0,125323895000.0,111478210000.0,143618060000.0,104731910000.0,78121930000.0,125319600000.0,87058150000.0,119224290000.0,109594620000.0,122059640000.0
2074.0,127953520000.0,92278096000.0,94209170000.0,156723610000.0,66053304000.0,47505953000.0,132182220000.0,121783600000.0,110890730000.0,142622590000.0,102927160000.0,75875070000.0,123804434000.0,84673770000.0,116968090000.0,107902710000.0,121340010000.0
2075.0,125862220000.0,90220356000.0,92291070000.0,152678900000.0,64252305000.0,44952790000.0,131129420000.0,120534024000.0,109014426000.0,140733660000.0,101000240000.0,73071740000.0,122769790000.0,83605780000.0,115573710000.0,106421305000.0,119705820000.0
2076.0,125079910000.0,88976440000.0,89782360000.0,148886910000.0,62589100000.0,43111408000.0,131077080000.0,119209670000.0,107079385000.0,137671430000.0,98823406000.0,70910130000.0,120711094000.0,81163350000.0,114131680000.0,105723770000.0,119009370000.0
2077.0,123272780000.0,87540160000.0,87609340000.0,146755500000.0,60654870000.0,41582420000.0,128489790000.0,117357820000.0,105857890000.0,136547630000.0,97219990000.0,68757070000.0,118390920000.0,78673050000.0,112834110000.0,104447730000.0,117872440000.0
2078.0,122346450000.0,86245050000.0,85056430000.0,141558970000.0,59204060000.0,39979803000.0,128202010000.0,117910380000.0,105909215000.0,133578530000.0,94683390000.0,67427602000.0,116901750000.0,77233140000.0,110460470000.0,102304350000.0,117795760000.0
2079.0,120241010000.0,84845800000.0,84006240000.0,139794700000.0,57054310000.0,38187057000.0,127164916000.0,116359080000.0,104997380000.0,131838000000.0,92383175000.0,65361990000.0,113690845000.0,75955430000.0,112268890000.0,100409070000.0,116574355000.0
2080.0,118448560000.0,83114280000.0,81740070000.0,138407330000.0,55700083000.0,37046870000.0,128708166000.0,115495540000.0,103193936000.0,129575130000.0,91868010000.0,63817208000.0,110980506000.0,75214630000.0,111181530000.0,98147030000.0,116405920000.0
2081.0,117607190000.0,80580640000.0,81095790000.0,135502496000.0,54189572000.0,35600724000.0,126529100000.0,115485940000.0,102375970000.0,128875086000.0,89078776000.0,62752997000.0,109248840000.0,74185560000.0,110107100000.0,96616250000.0,115065770000.0
2082.0,116117230000.0,78907440000.0,79674400000.0,132249120000.0,52233232000.0,34737955000.0,124999150000.0,112765360000.0,102690144000.0,127487885000.0,87819380000.0,60725776000.0,109194010000.0,71603340000.0,111628300000.0,94718214000.0,114180030000.0
2083.0,115747180000.0,77154090000.0,77151660000.0,129821780000.0,50417336000.0,32855017000.0,124859990000.0,110369860000.0,101476350000.0,127604000000.0,86308176000.0,59437375000.0,107505410000.0,70104010000.0,109075290000.0,92681370000.0,113432560000.0
2084.0,116401110000.0,75988820000.0,74108215000.0,127925640000.0,49437680000.0,31379048000.0,124587160000.0,108603910000.0,99004760000.0,126187460000.0,84177540000.0,57854660000.0,105689416000.0,68251242000.0,108388180000.0,91911880000.0,114686970000.0
2085.0,116312826000.0,74951100000.0,72353910000.0,125561020000.0,48140657000.0,30476116000.0,124463560000.0,107517200000.0,97918616000.0,123225180000.0,82145810000.0,56120046000.0,103717540000.0,67070845000.0,108065360000.0,90258380000.0,114879190000.0
2086.0,114310250000.0,74363900000.0,70436870000.0,125679480000.0,45283680000.0,28900182000.0,125513380000.0,106369990000.0,97057776000.0,120536080000.0,79961910000.0,54547698000.0,102046380000.0,65182167000.0,107536910000.0,89208690000.0,114205835000.0
2087.0,112268304000.0,72490580000.0,67925840000.0,124866494000.0,43823608000.0,27691373000.0,122179680000.0,104265466000.0,95921490000.0,117256590000.0,78233800000.0,54014120000.0,100209140000.0,62905057000.0,105614810000.0,87403090000.0,114098995000.0
