time,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,UKESM1-0-LL,IPSL-CM6A-LR
2065.0,281137600000.0,251993200000.0,239062200000.0,153042500000.0,180360330000.0
2066.0,279177300000.0,241600840000.0,229301680000.0,146990530000.0,170593220000.0
2067.0,272864230000.0,235321070000.0,216408440000.0,137170756000.0,163247460000.0
2068.0,268537920000.0,231478170000.0,209548070000.0,132664615000.0,155068270000.0
2069.0,258192100000.0,225471730000.0,202979180000.0,127923310000.0,151712150000.0
2070.0,247214420000.0,220378230000.0,200395050000.0,121907134000.0,149525640000.0
2071.0,239192980000.0,211379000000.0,190575080000.0,119426440000.0,145336160000.0
2072.0,233081160000.0,204420840000.0,186792460000.0,115493620000.0,141381290000.0
2073.0,226380450000.0,196851940000.0,182109390000.0,112535560000.0,136065150000.0
2074.0,219060360000.0,187845120000.0,174581600000.0,111231710000.0,131287340000.0
2075.0,209098640000.0,181038810000.0,168247310000.0,108602270000.0,125858320000.0
2076.0,207170080000.0,174403390000.0,163900620000.0,105210920000.0,121943065000.0
2077.0,200233500000.0,169555670000.0,161630470000.0,100720650000.0,116654400000.0
2078.0,197758390000.0,161614360000.0,159198300000.0,97926410000.0,110462706000.0
2079.0,190222800000.0,154418220000.0,157050210000.0,94863000000.0,102946950000.0
2080.0,185743340000.0,148680030000.0,151010770000.0,90309000000.0,96846094000.0
2081.0,183038560000.0,144009950000.0,145340240000.0,86039840000.0,93574390000.0
2082.0,178060020000.0,137883860000.0,141580620000.0,80572400000.0,89193880000.0
2083.0,176656880000.0,131517070000.0,134690870000.0,75420720000.0,83185650000.0
2084.0,174130280000.0,128472924000.0,128975730000.0,72247380000.0,80174620000.0
2085.0,171463800000.0,122499530000.0,128172010000.0,68799250000.0,75870790000.0
2086.0,165102780000.0,121528566000.0,125147720000.0,64629158000.0,71693120000.0
2087.0,154904760000.0,117221106000.0,122926770000.0,60988592000.0,67278010000.0
2088.0,151249680000.0,113973570000.0,119214190000.0,59451376000.0,64735896000.0
2089.0,150048640000.0,110126410000.0,113605755000.0,58519090000.0,60822696000.0
2090.0,150813330000.0,106930995000.0,109199700000.0,56893383000.0,57839428000.0
2091.0,148323370000.0,107453650000.0,108671360000.0,55204786000.0,52612010000.0
2092.0,144587880000.0,105870115000.0,106532360000.0,52062030000.0,48638476000.0
2093.0,143336570000.0,104478286000.0,104429390000.0,49872396000.0,47296850000.0
2094.0,140189100000.0,104033200000.0,101464924000.0,48640102000.0,45436010000.0
2095.0,137708860000.0,100841070000.0,101348520000.0,48293245000.0,44988540000.0
2096.0,133059040000.0,98471900000.0,100260220000.0,45607707000.0,43784315000.0
2097.0,131562360000.0,95534690000.0,99082500000.0,44412890000.0,43293495000.0
2098.0,128649090000.0,92327910000.0,96603950000.0,44364448000.0,41312910000.0
2099.0,124170790000.0,90576870000.0,92366750000.0,43804025000.0,40282202000.0
2100.0,121457320000.0,86713230000.0,94030690000.0,42842804000.0,38234472000.0
