time,MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR,UKESM1-0-LL,IPSL-CM6A-LR
2054.0,46645910000.0,44285526000.0,32995099000.0,26276403000.0,38117822000.0
2055.0,45866578000.0,44136420000.0,34252520000.0,26162534000.0,36088246000.0
2056.0,47208980000.0,44723980000.0,33485040000.0,26329723000.0,35166896000.0
2057.0,46694154000.0,44052190000.0,33460593000.0,26680631000.0,34887150000.0
2058.0,44875540000.0,44303510000.0,34102254000.0,26100110000.0,34407930000.0
2059.0,42785165000.0,44441526000.0,33823803000.0,26025800000.0,33585598000.0
2060.0,40293740000.0,44893350000.0,33812179000.0,25696885000.0,31971822000.0
2061.0,39565443000.0,44764600000.0,33700573000.0,25490194000.0,31441801000.0
2062.0,38427664000.0,44071383000.0,32773448000.0,24517093000.0,31164193000.0
2063.0,37063172000.0,44620788000.0,32283314000.0,24340142000.0,32094771000.0
2064.0,35895480000.0,43379106000.0,34472366000.0,23726710000.0,31623377000.0
2065.0,35975574000.0,42540030000.0,34609156000.0,23200907000.0,31156810000.0
2066.0,36287095000.0,42288830000.0,33872466000.0,22732118000.0,31328223000.0
2067.0,34886470000.0,42954150000.0,32864530000.0,22845753000.0,30899765000.0
2068.0,34688733000.0,42665320000.0,33972920000.0,22697218000.0,30621426000.0
2069.0,34897547000.0,43691725000.0,34328365000.0,21931948000.0,29686614000.0
2070.0,35520053000.0,43725226000.0,33906088000.0,22067188000.0,29497735000.0
2071.0,34383237000.0,44443380000.0,34819400000.0,23328578000.0,28418257000.0
2072.0,33670689000.0,43806114000.0,35103293000.0,23042521000.0,26947131000.0
2073.0,34573545000.0,43123356000.0,35933670000.0,23426839000.0,27285262000.0
2074.0,35054154000.0,42244260000.0,35910990000.0,22857384000.0,26995616000.0
2075.0,35261750000.0,42320617000.0,35986907000.0,23101549000.0,26039026000.0
2076.0,35415003000.0,42449660000.0,36914176000.0,22602088000.0,26011415000.0
2077.0,35242226000.0,42383528000.0,36965530000.0,22556380000.0,25696560000.0
2078.0,34572270000.0,42389630000.0,36433280000.0,22807677000.0,25119873000.0
2079.0,33197865000.0,41696346000.0,36845270000.0,23238963000.0,24317470000.0
2080.0,31597015000.0,41344025000.0,36046545000.0,23240684000.0,24949475000.0
2081.0,31263613000.0,42017743000.0,36113043000.0,23400927000.0,25176988000.0
2082.0,30069832000.0,44665168000.0,35277935000.0,24633027000.0,25205838000.0
2083.0,28654280000.0,43292877000.0,34692555000.0,25355045000.0,27171320000.0
2084.0,27750285000.0,44204620000.0,34824704000.0,25952390000.0,27703726000.0
2085.0,28269535000.0,43178220000.0,35448910000.0,25643629000.0,27643520000.0
2086.0,29061974000.0,43588076000.0,35832360000.0,25976443000.0,27388377000.0
2087.0,29529303000.0,43786780000.0,35489880000.0,26195319000.0,26716588000.0
2088.0,29622760000.0,41806713000.0,34441073000.0,25614002000.0,27686244000.0
2089.0,29437415000.0,40374497000.0,34047085000.0,25173383000.0,29546328000.0
2090.0,30407412000.0,40032970000.0,33982325000.0,24817846000.0,29960114000.0
2091.0,29744732000.0,40647066000.0,34228705000.0,24390035000.0,29891901000.0
2092.0,29507381000.0,39925637000.0,33906233000.0,24535400000.0,29653772000.0
2093.0,29887826000.0,40450023000.0,33389060000.0,24456112000.0,29835920000.0
2094.0,29227856000.0,41782637000.0,33333709000.0,24467397000.0,30561434000.0
2095.0,30364203000.0,40959894000.0,32953235000.0,24845394000.0,30525740000.0
2096.0,31133862000.0,41160094000.0,32861917000.0,24828600000.0,29263223000.0
2097.0,32328767000.0,40509407000.0,33668254000.0,25010831000.0,29325386000.0
2098.0,31560829000.0,40579113000.0,33044507000.0,24591948000.0,30139283000.0
2099.0,31542667000.0,40474030000.0,33611821000.0,24013214000.0,30865625000.0
2100.0,31910506000.0,40447510000.0,32550260000.0,24077652000.0,31740344000.0
