time,EC-EARTH3,INM-CM4-8,INM-CM5-0,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,EC-EARTH3-VEG,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,CESM2,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4
2033.0,3096261400000.0,3259536200000.0,3146592000000.0,3133362700000.0,3262778000000.0,3157014000000.0,3220848500000.0,3331256000000.0,3316053700000.0,3157231100000.0,3350359000000.0,3392057000000.0,3264278200000.0,3216148800000.0
2034.0,3069970000000.0,3243392600000.0,3117915800000.0,3107053600000.0,3243507700000.0,3136031600000.0,3186986600000.0,3318803300000.0,3302354000000.0,3134043000000.0,3354268800000.0,3379743400000.0,3245783600000.0,3187252700000.0
2035.0,3038801600000.0,3219425300000.0,3083480000000.0,3084908200000.0,3236251000000.0,3113364500000.0,3177551000000.0,3300521000000.0,3281128500000.0,3119657800000.0,3341981000000.0,3371290600000.0,3229653100000.0,3179857800000.0
2036.0,3004789400000.0,3201397400000.0,3050132700000.0,3051881800000.0,3211823700000.0,3080293700000.0,3157308200000.0,3277630000000.0,3273117100000.0,3098521600000.0,3340562300000.0,3360872000000.0,3205088100000.0,3163297400000.0
2037.0,2980342000000.0,3183905600000.0,3023126700000.0,3019305000000.0,3191263200000.0,3048043000000.0,3142777600000.0,3253042000000.0,3271105200000.0,3071488000000.0,3333779000000.0,3341262800000.0,3190039500000.0,3145884200000.0
2038.0,2951867800000.0,3157560100000.0,2983041400000.0,3001256800000.0,3167592400000.0,3014902000000.0,3124442400000.0,3224695200000.0,3243412600000.0,3032419700000.0,3334968700000.0,3332304300000.0,3169500500000.0,3138846700000.0
2039.0,2924722800000.0,3134095400000.0,2967001000000.0,2990835200000.0,3147854800000.0,2982450300000.0,3115974000000.0,3203833300000.0,3237425400000.0,2998333900000.0,3328189100000.0,3321136000000.0,3157371400000.0,3118875500000.0
2040.0,2896199000000.0,3108820700000.0,2936860600000.0,2983289400000.0,3141757600000.0,2953087000000.0,3093235000000.0,3187340200000.0,3222684600000.0,2967450400000.0,3310492800000.0,3312820400000.0,3148801600000.0,3099433600000.0
2041.0,2866346500000.0,3083578600000.0,2909018300000.0,2963309900000.0,3120995800000.0,2924001600000.0,3071161400000.0,3170454000000.0,3205508600000.0,2939472000000.0,3307626300000.0,3301062500000.0,3131277300000.0,3085479400000.0
2042.0,2840790300000.0,3062866000000.0,2880880000000.0,2954165200000.0,3104946500000.0,2890619000000.0,3051306400000.0,3149213000000.0,3176290300000.0,2908886000000.0,3288511000000.0,3289181000000.0,3114693600000.0,3082116700000.0
