time,GFDL-ESM4,MPI-ESM1-2-HR,NORESM2-MM,CANESM5,BCC-CSM2-MR,IPSL-CM6A-LR,FGOALS-F3-L,ACCESS-CM2,CESM2,EC-EARTH3-VEG,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3,CESM2-WACCM,CAMS-CSM1-0,INM-CM5-0,INM-CM4-8
2051.0,3070353500000.0,2969959400000.0,3115833000000.0,2162545800000.0,2871945600000.0,3022664000000.0,2924319600000.0,2744550200000.0,3006803700000.0,2810456800000.0,2680931200000.0,3222141700000.0,2444847700000.0,2832656000000.0,2652188000000.0,2676900200000.0,3082447700000.0
2052.0,3055101100000.0,2949795000000.0,3098750500000.0,2132415300000.0,2840064700000.0,3005051800000.0,2903097700000.0,2712316000000.0,2991852600000.0,2793820000000.0,2662066800000.0,3225255000000.0,2420117900000.0,2820375300000.0,2642330800000.0,2658230900000.0,3059508000000.0
2053.0,3050274800000.0,2935811500000.0,3086812400000.0,2095822300000.0,2812409000000.0,2983841200000.0,2871499400000.0,2681190200000.0,2977986200000.0,2769704700000.0,2639934000000.0,3208949000000.0,2390434000000.0,2804675500000.0,2625498300000.0,2630387000000.0,3050373000000.0
2054.0,3033080500000.0,2928925200000.0,3082576000000.0,2056684800000.0,2789072400000.0,2969467400000.0,2848151800000.0,2644340400000.0,2955169200000.0,2744405000000.0,2617902000000.0,3199884900000.0,2359966300000.0,2796606200000.0,2607650400000.0,2615750200000.0,3024696000000.0
2055.0,3027285000000.0,2914248000000.0,3063056000000.0,2012164100000.0,2765294100000.0,2957151600000.0,2825357000000.0,2621105000000.0,2948276400000.0,2719374400000.0,2600267000000.0,3193775800000.0,2330264600000.0,2791304600000.0,2597128000000.0,2590006800000.0,2993662500000.0
2056.0,3019339500000.0,2897091500000.0,3053677700000.0,1970129500000.0,2745529300000.0,2944207200000.0,2798898000000.0,2596227000000.0,2934458500000.0,2702317700000.0,2586957300000.0,3194181600000.0,2302714800000.0,2778621300000.0,2574186200000.0,2572353500000.0,2976851400000.0
2057.0,3006090400000.0,2882963000000.0,3033324000000.0,1929915900000.0,2722523000000.0,2921592300000.0,2785369000000.0,2566502200000.0,2918550600000.0,2680459400000.0,2569738600000.0,3207769000000.0,2275423600000.0,2767784800000.0,2563488000000.0,2555801800000.0,2957410300000.0
2058.0,2997593000000.0,2880109500000.0,3024573000000.0,1888583700000.0,2695914300000.0,2911110000000.0,2767971200000.0,2543841200000.0,2914591000000.0,2658749000000.0,2549561400000.0,3224448300000.0,2242130500000.0,2758475300000.0,2545167000000.0,2539210700000.0,2946293600000.0
2059.0,2993235200000.0,2872833000000.0,3010899700000.0,1847150600000.0,2675166200000.0,2893127600000.0,2744655500000.0,2519829600000.0,2903323700000.0,2633394000000.0,2533357500000.0,3233070200000.0,2224262000000.0,2747967700000.0,2528213500000.0,2528692100000.0,2927503600000.0
2060.0,2987275600000.0,2852539000000.0,2997247800000.0,1803512300000.0,2655370600000.0,2877631200000.0,2725914600000.0,2492557700000.0,2895191200000.0,2605764300000.0,2526162000000.0,3240298000000.0,2202925300000.0,2745447000000.0,2508174700000.0,2506983200000.0,2916126000000.0
2061.0,2969209700000.0,2837281800000.0,2987347400000.0,1773597600000.0,2638445800000.0,2861992000000.0,2705937100000.0,2468174600000.0,2883103800000.0,2574045400000.0,2505074800000.0,3242132000000.0,2179700400000.0,2745064800000.0,2496259700000.0,2490495000000.0,2898090500000.0
2062.0,2959485400000.0,2821452700000.0,2973361000000.0,1739989000000.0,2612331500000.0,2845774700000.0,2676629700000.0,2445226500000.0,2880406600000.0,2557105400000.0,2486136500000.0,3255271400000.0,2160728000000.0,2734785600000.0,2476188400000.0,2474683000000.0,2874665300000.0
2063.0,2946728500000.0,2812057500000.0,2958539000000.0,1704509400000.0,2591917000000.0,2828603000000.0,2654773700000.0,2425043600000.0,2862518400000.0,2539125500000.0,2468535600000.0,3267648600000.0,2138652400000.0,2731062900000.0,2455915200000.0,2456048000000.0,2857620500000.0
2064.0,2935525200000.0,2799629800000.0,2948797800000.0,1669977000000.0,2570146500000.0,2804190300000.0,2634051700000.0,2383580200000.0,2851143700000.0,2514344500000.0,2452743500000.0,3285561400000.0,2116858500000.0,2730904800000.0,2432896600000.0,2441096000000.0,2832379700000.0
