time,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0,CESM2-WACCM
2054.0,2029179600000.0,2804898600000.0,2461259800000.0,2852697000000.0
2055.0,1970918800000.0,2776928600000.0,2436627200000.0,2831703000000.0
2056.0,1924306600000.0,2756347000000.0,2407107000000.0,2813490600000.0
2057.0,1867897400000.0,2731132600000.0,2388953700000.0,2797846100000.0
2058.0,1816985600000.0,2702074000000.0,2364458000000.0,2782037000000.0
2059.0,1762028000000.0,2679947100000.0,2339146800000.0,2760352700000.0
2060.0,1708320600000.0,2662306700000.0,2316640200000.0,2746433700000.0
2061.0,1667219500000.0,2641990800000.0,2295332300000.0,2728654800000.0
2062.0,1626814700000.0,2611436300000.0,2275626500000.0,2707724000000.0
2063.0,1585867800000.0,2590854300000.0,2252500400000.0,2697911000000.0
2064.0,1545307800000.0,2564661200000.0,2236246700000.0,2678535700000.0
2065.0,1500639900000.0,2542270700000.0,2225256800000.0,2660347200000.0
2066.0,1458666300000.0,2525320400000.0,2211927800000.0,2646619000000.0
2067.0,1416177500000.0,2502196700000.0,2201030000000.0,2642107400000.0
2068.0,1370929900000.0,2486713700000.0,2187414600000.0,2633385600000.0
2069.0,1330921700000.0,2467873000000.0,2187440800000.0,2623431500000.0
2070.0,1290257300000.0,2445183800000.0,2181732100000.0,2617216300000.0
2071.0,1248473500000.0,2422497300000.0,2174693300000.0,2611634500000.0
2072.0,1207887200000.0,2397333400000.0,2162322700000.0,2611445500000.0
2073.0,1167639700000.0,2379505700000.0,2153957400000.0,2609379000000.0
2074.0,1130169000000.0,2359434100000.0,2141011200000.0,2599183500000.0
2075.0,1094489100000.0,2343299200000.0,2131139400000.0,2594917800000.0
2076.0,1055777600000.0,2329607100000.0,2121561300000.0,2590015200000.0
2077.0,1016152200000.0,2317154300000.0,2108322300000.0,2585093200000.0
2078.0,979870150000.0,2298371600000.0,2107064000000.0,2579164600000.0
2079.0,947433600000.0,2283614200000.0,2101328900000.0,2576472600000.0
2080.0,917612860000.0,2271976400000.0,2092650200000.0,2568345000000.0
2081.0,885000800000.0,2257645500000.0,2083591800000.0,2569870500000.0
2082.0,855233600000.0,2240795600000.0,2080166100000.0,2573237200000.0
2083.0,825905900000.0,2228453400000.0,2073188000000.0,2571405400000.0
2084.0,798228900000.0,2215439200000.0,2068175700000.0,2574091300000.0
2085.0,766043360000.0,2206693600000.0,2066171600000.0,2575697000000.0
2086.0,735170400000.0,2202338300000.0,2067574200000.0,2574661700000.0
2087.0,703542400000.0,2191960000000.0,2067925200000.0,2580376000000.0
2088.0,672419940000.0,2182985300000.0,2066188700000.0,2582022200000.0
2089.0,640422450000.0,2166523400000.0,2071674500000.0,2583475300000.0
2090.0,612448200000.0,2156858200000.0,2067193500000.0,2581514000000.0
2091.0,587711840000.0,2143084200000.0,2062204300000.0,2584243900000.0
2092.0,565166500000.0,2131563900000.0,2063291300000.0,2589181300000.0
2093.0,545934600000.0,2119662800000.0,2059396000000.0,2590742000000.0
2094.0,519007500000.0,2106114400000.0,2064785700000.0,2589154300000.0
2095.0,496659530000.0,2093324800000.0,2072535600000.0,2586714800000.0
2096.0,475657830000.0,2081113400000.0,2068126500000.0,2590524800000.0
2097.0,457220460000.0,2061786000000.0,2065337300000.0,2592617000000.0
2098.0,439266800000.0,2056577000000.0,2065800900000.0,2589653700000.0
2099.0,423905920000.0,2043314400000.0,2071046800000.0,2597944800000.0
2100.0,410855240000.0,2037742600000.0,2075837900000.0,2601547200000.0
