time,NORESM1-M,CESM1-CAM5,CSIRO-MK3-6-0,MPI-ESM-LR
2160.0,617640360000.0,830806300000.0,794788230000.0,730674100000.0
2161.0,613294700000.0,829344100000.0,786605700000.0,730478350000.0
2162.0,611225900000.0,825214240000.0,787748100000.0,733301500000.0
2163.0,612692800000.0,821426600000.0,785891700000.0,730976600000.0
2164.0,606503500000.0,810947250000.0,783468400000.0,727084960000.0
2165.0,606214750000.0,807638900000.0,781899330000.0,728563100000.0
2166.0,600774600000.0,813288700000.0,777776300000.0,725153800000.0
2167.0,594874140000.0,802724400000.0,771442600000.0,719886940000.0
2168.0,587249800000.0,795442200000.0,771399900000.0,716836960000.0
2169.0,581800560000.0,790931640000.0,759434500000.0,719208700000.0
2170.0,579457700000.0,789183300000.0,744799860000.0,715057400000.0
2171.0,584235550000.0,792465200000.0,731306200000.0,719091900000.0
2172.0,584904700000.0,789920400000.0,727926200000.0,722863300000.0
2173.0,578237000000.0,792483660000.0,718460700000.0,722361450000.0
2174.0,574516170000.0,790751000000.0,712259860000.0,717166200000.0
2175.0,565448500000.0,777369350000.0,711939850000.0,715799660000.0
2176.0,562310200000.0,774067300000.0,712128500000.0,705564000000.0
2177.0,560687000000.0,765362800000.0,716258700000.0,700571500000.0
2178.0,563743500000.0,760777540000.0,708126640000.0,695765240000.0
2179.0,560256900000.0,760870000000.0,702024650000.0,697450230000.0
2180.0,557376600000.0,759782200000.0,698855800000.0,692916450000.0
2181.0,560623200000.0,749166700000.0,695025400000.0,690677500000.0
2182.0,557463240000.0,745351350000.0,693443000000.0,685912300000.0
2183.0,550116900000.0,744682160000.0,687352050000.0,684205100000.0
2184.0,548718580000.0,734811650000.0,685426200000.0,680837250000.0
2185.0,545063040000.0,727958300000.0,680647900000.0,674548550000.0
2186.0,542419520000.0,728013600000.0,676151900000.0,678143200000.0
2187.0,544445500000.0,724726300000.0,676170900000.0,672860400000.0
2188.0,545705030000.0,717501760000.0,672722650000.0,672888000000.0
2189.0,543339500000.0,711367000000.0,674019600000.0,671283400000.0
2190.0,537820200000.0,712911550000.0,667373300000.0,671843550000.0
2191.0,534164050000.0,708580000000.0,667818460000.0,664333600000.0
2192.0,536446530000.0,700636460000.0,668338950000.0,663104000000.0
2193.0,535875220000.0,700979740000.0,663838300000.0,663724100000.0
2194.0,536839650000.0,696180700000.0,653499600000.0,662402900000.0
2195.0,534678100000.0,684420800000.0,659283100000.0,667902900000.0
2196.0,531437980000.0,681988650000.0,658757800000.0,663275770000.0
2197.0,536048170000.0,681114700000.0,666025600000.0,653968100000.0
2198.0,533831020000.0,671546340000.0,659309100000.0,647617050000.0
2199.0,533587000000.0,663834400000.0,669331800000.0,634867100000.0
2200.0,531165680000.0,654243700000.0,659913500000.0,634182500000.0
2201.0,530114480000.0,649535800000.0,648352400000.0,631340800000.0
2202.0,528677340000.0,650802040000.0,640605600000.0,624546800000.0
2203.0,524111150000.0,647054700000.0,639414800000.0,620861700000.0
2204.0,521301230000.0,640922400000.0,636779800000.0,618721300000.0
2205.0,521130080000.0,631449100000.0,637678450000.0,614262100000.0
2206.0,517645930000.0,630895540000.0,637074900000.0,609974160000.0
2207.0,513305000000.0,629114700000.0,645798600000.0,610185250000.0
2208.0,508922100000.0,622874900000.0,643240000000.0,606779600000.0
2209.0,506289750000.0,617629750000.0,632020600000.0,606724300000.0
2210.0,506299840000.0,614625600000.0,627086000000.0,604029500000.0
2211.0,505411700000.0,606705700000.0,623931560000.0,603632440000.0
2212.0,504138960000.0,601565230000.0,628328100000.0,598178660000.0
2213.0,506821840000.0,598505300000.0,631284200000.0,596167000000.0
2214.0,502400500000.0,594771900000.0,642279200000.0,592327900000.0
2215.0,502297100000.0,589172600000.0,642491700000.0,592994440000.0
2216.0,501023540000.0,583094960000.0,638882600000.0,588949360000.0
2217.0,498694200000.0,579908100000.0,634649800000.0,583455800000.0
2218.0,497843500000.0,576741100000.0,629988900000.0,581206500000.0
2219.0,494318350000.0,573690700000.0,622786000000.0,582699200000.0
2220.0,493588550000.0,567988300000.0,620877900000.0,580025300000.0
2221.0,491632230000.0,561606030000.0,620502200000.0,570146360000.0
2222.0,494729560000.0,556497800000.0,619186400000.0,566462000000.0
2223.0,498069730000.0,552139900000.0,618767650000.0,557609400000.0
2224.0,493997360000.0,548777230000.0,612738200000.0,552194340000.0
2225.0,492728650000.0,543907100000.0,612774800000.0,562807440000.0
2226.0,491839750000.0,537596950000.0,611799470000.0,560830150000.0
2227.0,489439950000.0,535001830000.0,603971060000.0,556540100000.0
2228.0,485482430000.0,534665130000.0,599239600000.0,554218000000.0
2229.0,486208630000.0,525364400000.0,597635900000.0,553105400000.0
2230.0,486845870000.0,518782500000.0,605615700000.0,548330000000.0
2231.0,489328400000.0,514318430000.0,617027500000.0,544875020000.0
2232.0,487140300000.0,521691430000.0,612621700000.0,546322900000.0
2233.0,485975200000.0,516850250000.0,610181000000.0,546028880000.0
2234.0,488640840000.0,511682400000.0,611762300000.0,543075700000.0
2235.0,490656800000.0,510409700000.0,607843900000.0,544962670000.0
2236.0,493157940000.0,513655000000.0,599067500000.0,552875900000.0
2237.0,490621400000.0,508827370000.0,592863700000.0,551081000000.0
2238.0,493408200000.0,505659560000.0,584404900000.0,551860960000.0
2239.0,498163350000.0,505205300000.0,576258100000.0,554191800000.0
2240.0,494762520000.0,505971930000.0,571764000000.0,556575600000.0
2241.0,493247300000.0,503486300000.0,570251300000.0,563414100000.0
2242.0,490087550000.0,500208370000.0,567909550000.0,561198700000.0
2243.0,486958760000.0,494508240000.0,561035900000.0,557387500000.0
2244.0,491516950000.0,495620880000.0,560643440000.0,558293250000.0
2245.0,492305870000.0,496564760000.0,560430840000.0,560391000000.0
2246.0,494318420000.0,493319880000.0,555011740000.0,563284700000.0
2247.0,494330540000.0,494952220000.0,557735700000.0,560716900000.0
2248.0,492421970000.0,495236200000.0,549637950000.0,565697640000.0
2249.0,491104760000.0,491424870000.0,549658330000.0,561530800000.0
2250.0,486890700000.0,489070170000.0,545095100000.0,559823060000.0
2251.0,484835900000.0,488518500000.0,539721040000.0,561450700000.0
2252.0,488478570000.0,492457750000.0,541934000000.0,553535730000.0
2253.0,489479050000.0,490082860000.0,544580270000.0,553536000000.0
2254.0,490922480000.0,483948950000.0,543019660000.0,553115450000.0
2255.0,492438160000.0,480661540000.0,538548140000.0,565824260000.0
2256.0,490154330000.0,485775150000.0,537984830000.0,562505200000.0
2257.0,491872120000.0,482577250000.0,530457130000.0,548370680000.0
2258.0,494105070000.0,483036860000.0,534354200000.0,534998480000.0
2259.0,492786550000.0,482767600000.0,534880700000.0,533891380000.0
2260.0,490037580000.0,483515560000.0,530865950000.0,536966630000.0
2261.0,489302520000.0,488204570000.0,528000320000.0,534446830000.0
2262.0,493006500000.0,485947180000.0,533768600000.0,533055770000.0
2263.0,495794980000.0,480678150000.0,538755830000.0,531085720000.0
2264.0,492758530000.0,482622540000.0,532004340000.0,527771760000.0
2265.0,491759630000.0,482754040000.0,525089370000.0,530852000000.0
2266.0,488256930000.0,478251220000.0,522984230000.0,529939000000.0
2267.0,488710770000.0,478939250000.0,515856040000.0,530777240000.0
2268.0,490838230000.0,479514260000.0,502348680000.0,526154600000.0
2269.0,489272150000.0,480973030000.0,495851630000.0,526284130000.0
2270.0,488477400000.0,485792450000.0,489647800000.0,529572270000.0
2271.0,489544940000.0,484838900000.0,489728400000.0,530752180000.0
2272.0,491349570000.0,485330780000.0,494197400000.0,522448730000.0
2273.0,486568600000.0,485697950000.0,495861730000.0,524348880000.0
2274.0,486097100000.0,485715540000.0,492428720000.0,519399640000.0
2275.0,479771800000.0,491528650000.0,491276730000.0,525207540000.0
2276.0,479357200000.0,491336530000.0,488585360000.0,533040100000.0
2277.0,477561200000.0,493998640000.0,486341600000.0,530828750000.0
2278.0,476778730000.0,494646660000.0,485379960000.0,530519230000.0
2279.0,474528580000.0,494901400000.0,489077000000.0,529996300000.0
2280.0,470510340000.0,496543560000.0,501425930000.0,526962560000.0
2281.0,468249970000.0,499213240000.0,503963520000.0,526507180000.0
2282.0,468076270000.0,498571180000.0,497633720000.0,522492440000.0
2283.0,468469500000.0,497437870000.0,503109450000.0,522672470000.0
2284.0,467686330000.0,500304940000.0,499001460000.0,521230300000.0
2285.0,469061600000.0,502332360000.0,508421640000.0,515597470000.0
2286.0,467890000000.0,506793430000.0,502038950000.0,512969570000.0
2287.0,467231930000.0,505818740000.0,506799550000.0,513834940000.0
2288.0,468714300000.0,506055660000.0,506389360000.0,510213000000.0
2289.0,465562860000.0,505084540000.0,504440400000.0,506545600000.0
2290.0,463314700000.0,504637200000.0,509984240000.0,504928500000.0
2291.0,459407230000.0,505861960000.0,508386900000.0,506947930000.0
2292.0,462421360000.0,513105200000.0,509606230000.0,504040130000.0
2293.0,459072570000.0,511948520000.0,514571830000.0,503293180000.0
2294.0,458542740000.0,524621940000.0,516391930000.0,507535800000.0
2295.0,460118100000.0,521088860000.0,548223320000.0,506762300000.0
2296.0,461792020000.0,521318040000.0,531914060000.0,501132460000.0
2297.0,466766900000.0,520778740000.0,527780150000.0,500716930000.0
2298.0,466504420000.0,519225200000.0,526062550000.0,504865100000.0
2299.0,465172960000.0,520987340000.0,529802070000.0,506321960000.0
2300.0,462311420000.0,517054230000.0,528386460000.0,511111600000.0
