time,CESM1-CAM5,MPI-ESM-LR,CANESM2
2191.0,1170326000000.0,2242698800000.0,1233483700000.0
2192.0,1164469600000.0,2246383500000.0,1235320000000.0
2193.0,1177051000000.0,2257360300000.0,1235477200000.0
2194.0,1171099200000.0,2254488000000.0,1231814800000.0
2195.0,1159868300000.0,2245270400000.0,1222713500000.0
2196.0,1160788400000.0,2232254500000.0,1218683600000.0
2197.0,1167063900000.0,2215533000000.0,1219182600000.0
2198.0,1168475000000.0,2210892000000.0,1226450700000.0
2199.0,1175508600000.0,2204245700000.0,1227466500000.0
2200.0,1177244900000.0,2203484700000.0,1229551800000.0
2201.0,1168596500000.0,2202789000000.0,1228217600000.0
2202.0,1165800400000.0,2194878900000.0,1248217000000.0
2203.0,1169182700000.0,2195956700000.0,1235184100000.0
2204.0,1178649900000.0,2189022700000.0,1231662500000.0
2205.0,1177349100000.0,2210280500000.0,1231696400000.0
2206.0,1173826200000.0,2194475500000.0,1243104700000.0
2207.0,1173933000000.0,2189316300000.0,1269244500000.0
2208.0,1176222300000.0,2191282700000.0,1274301600000.0
2209.0,1175809300000.0,2175826400000.0,1274277900000.0
2210.0,1175339700000.0,2174252900000.0,1280387700000.0
2211.0,1170911700000.0,2167954500000.0,1278350900000.0
2212.0,1172178100000.0,2170405900000.0,1281296400000.0
2213.0,1178322600000.0,2176314600000.0,1276949700000.0
2214.0,1176269500000.0,2183207700000.0,1284050300000.0
2215.0,1175493400000.0,2197619700000.0,1296349900000.0
2216.0,1181663000000.0,2199551700000.0,1301486500000.0
2217.0,1179868100000.0,2201374400000.0,1294284500000.0
2218.0,1175304100000.0,2205088000000.0,1298174800000.0
2219.0,1164004400000.0,2221206100000.0,1302392500000.0
2220.0,1176181000000.0,2216533700000.0,1322732600000.0
2221.0,1179429400000.0,2213190000000.0,1329769000000.0
2222.0,1173186700000.0,2224519000000.0,1340125300000.0
2223.0,1175193400000.0,2242838300000.0,1338341300000.0
2224.0,1180517800000.0,2258679000000.0,1328715800000.0
2225.0,1176528500000.0,2270848000000.0,1339034700000.0
2226.0,1168671200000.0,2269839400000.0,1340738000000.0
2227.0,1172417300000.0,2292833600000.0,1338728400000.0
2228.0,1173984100000.0,2298857000000.0,1332768900000.0
2229.0,1170359200000.0,2301819400000.0,1359338500000.0
2230.0,1165862500000.0,2311856000000.0,1367951800000.0
2231.0,1165070400000.0,2322891500000.0,1351542200000.0
2232.0,1166358200000.0,2336501500000.0,1342742200000.0
2233.0,1165567000000.0,2359809000000.0,1348482400000.0
2234.0,1164548000000.0,2358713500000.0,1352003000000.0
2235.0,1172619800000.0,2370078000000.0,1347633500000.0
2236.0,1175026000000.0,2370357700000.0,1352987600000.0
2237.0,1171915400000.0,2366237000000.0,1362421600000.0
2238.0,1168548300000.0,2374575800000.0,1356454700000.0
2239.0,1160257600000.0,2407323400000.0,1354371000000.0
2240.0,1155692100000.0,2417943600000.0,1358360000000.0
2241.0,1156613400000.0,2415106700000.0,1357804200000.0
2242.0,1151837400000.0,2419091000000.0,1348829400000.0
2243.0,1151383000000.0,2422650400000.0,1339407600000.0
2244.0,1155924200000.0,2433402500000.0,1341657000000.0
2245.0,1157303000000.0,2428896000000.0,1347834200000.0
2246.0,1152708600000.0,2432859600000.0,1356957400000.0
2247.0,1151972700000.0,2425708000000.0,1360759900000.0
2248.0,1149821400000.0,2444418600000.0,1373244500000.0
2249.0,1149192200000.0,2448645700000.0,1381206200000.0
2250.0,1153761400000.0,2449304200000.0,1375989700000.0
2251.0,1160678900000.0,2455690000000.0,1401242900000.0
2252.0,1155926900000.0,2438837300000.0,1405352000000.0
2253.0,1164203500000.0,2439829300000.0,1390824000000.0
2254.0,1176103300000.0,2454095400000.0,1387179500000.0
2255.0,1175155500000.0,2463036600000.0,1382145700000.0
2256.0,1159603800000.0,2467255800000.0,1384275800000.0
2257.0,1162219400000.0,2473104500000.0,1397819700000.0
2258.0,1165781000000.0,2478458000000.0,1396719500000.0
2259.0,1162112300000.0,2475760300000.0,1391419900000.0
2260.0,1162139900000.0,2463095800000.0,1392981000000.0
2261.0,1169727800000.0,2468658800000.0,1398200700000.0
2262.0,1176444700000.0,2463380300000.0,1406444200000.0
2263.0,1169631700000.0,2486886200000.0,1414978700000.0
2264.0,1173728500000.0,2490082000000.0,1404017300000.0
2265.0,1191134600000.0,2489386300000.0,1408001000000.0
2266.0,1185959600000.0,2496330500000.0,1409568300000.0
2267.0,1179376400000.0,2486018000000.0,1415987000000.0
2268.0,1183046200000.0,2481902800000.0,1405316900000.0
2269.0,1198279800000.0,2482055000000.0,1405596100000.0
2270.0,1201670200000.0,2493789000000.0,1408186600000.0
2271.0,1201947000000.0,2506498000000.0,1416950600000.0
2272.0,1205168900000.0,2515981600000.0,1413386700000.0
2273.0,1211147600000.0,2510743100000.0,1414308200000.0
2274.0,1209681600000.0,2508392200000.0,1413471800000.0
2275.0,1213443200000.0,2511995100000.0,1424121700000.0
2276.0,1216693400000.0,2506095600000.0,1420305900000.0
2277.0,1212141500000.0,2505409300000.0,1408168200000.0
2278.0,1204251500000.0,2507980700000.0,1399578200000.0
2279.0,1206950700000.0,2501462000000.0,1388764000000.0
2280.0,1230193700000.0,2499806200000.0,1390530700000.0
2281.0,1221468100000.0,2504879800000.0,1382984300000.0
2282.0,1228365000000.0,2508182500000.0,1374385000000.0
2283.0,1222197400000.0,2519372700000.0,1382884800000.0
2284.0,1230948300000.0,2523549400000.0,1375387300000.0
2285.0,1233468700000.0,2530522400000.0,1379430700000.0
2286.0,1233814000000.0,2523543600000.0,1384464300000.0
2287.0,1229482500000.0,2526981400000.0,1381948300000.0
2288.0,1229511300000.0,2545335100000.0,1380491700000.0
2289.0,1222068100000.0,2545904500000.0,1364326400000.0
2290.0,1222575000000.0,2540093800000.0,1355519200000.0
2291.0,1231031900000.0,2547656200000.0,1342265800000.0
2292.0,1257639800000.0,2546542000000.0,1333383800000.0
2293.0,1255150600000.0,2544175700000.0,1329732400000.0
2294.0,1251878200000.0,2542991600000.0,1322998200000.0
2295.0,1255496900000.0,2560151500000.0,1318978000000.0
2296.0,1253293700000.0,2571569700000.0,1308853300000.0
2297.0,1259114000000.0,2578835300000.0,1295127000000.0
2298.0,1249124500000.0,2570219000000.0,1284693200000.0
2299.0,1240381000000.0,2581551000000.0,1282419500000.0
2300.0,1247554600000.0,2597968400000.0,1282098600000.0
