time,NORESM2-MM,IPSL-CM6A-LR,CAMS-CSM1-0,CESM2-WACCM,TAIESM1,ACCESS-ESM1-5,EC-EARTH3,ACCESS-CM2,EC-EARTH3-VEG,INM-CM5-0,INM-CM4-8,BCC-CSM2-MR,FGOALS-F3-L,CANESM5,MRI-ESM2-0,CESM2,GFDL-ESM4,CMCC-CM2-SR5,MPI-ESM1-2-HR
2030.0,64328800000.0,68652438000.0,84510670000.0,71645710000.0,60653765000.0,68839950000.0,55720133000.0,63957910000.0,64684425000.0,57972520000.0,66230145000.0,73345100000.0,67160785000.0,68675334000.0,61561704000.0,71353350000.0,71642055000.0,75858050000.0,72514626000.0
2031.0,62512480000.0,64910803000.0,83742440000.0,68830620000.0,58834706000.0,65448980000.0,52807037000.0,62544093000.0,63963283000.0,55757754000.0,64567525000.0,71675580000.0,64923275000.0,68085363000.0,55664325000.0,69253090000.0,73005780000.0,72501940000.0,70626210000.0
2032.0,59344003000.0,65603355000.0,84614160000.0,63820960000.0,58597150000.0,62652613000.0,50776814000.0,60126917000.0,60535267000.0,54707310000.0,62951990000.0,69218360000.0,63269843000.0,67724500000.0,52677030000.0,70379630000.0,70927650000.0,66741070000.0,69532730000.0
2033.0,54399650000.0,63056840000.0,84632500000.0,62423753000.0,55986352000.0,61016060000.0,46302384000.0,57684013000.0,59385057000.0,53532783000.0,62433665000.0,65782632000.0,60977308000.0,63824085000.0,48367034000.0,66960250000.0,71264400000.0,65099485000.0,68031988000.0
2034.0,51803746000.0,58918090000.0,84186820000.0,61223223000.0,53589450000.0,58268783000.0,45281900000.0,57063817000.0,56990340000.0,52556820000.0,60213846000.0,66421715000.0,57471513000.0,59871520000.0,46832210000.0,64205943000.0,70633090000.0,61543410000.0,65507150000.0
2035.0,51475067000.0,56557707000.0,83988080000.0,61632758000.0,50251158000.0,56823755000.0,44878254000.0,53181200000.0,55331377000.0,48032620000.0,57989820000.0,63578505000.0,55925522000.0,55310705000.0,44975776000.0,62620190000.0,68147868000.0,55684270000.0,65817182000.0
2036.0,49264562000.0,53434884000.0,80930595000.0,59472093000.0,48762683000.0,53136224000.0,41348796000.0,51626295000.0,55393810000.0,46052286000.0,57170090000.0,61141422000.0,52369220000.0,53267070000.0,42277466000.0,57212408000.0,68201525000.0,51794575000.0,62881923000.0
2037.0,46396940000.0,49777426000.0,78598670000.0,57363100000.0,46717915000.0,50027150000.0,40613060000.0,48920293000.0,54413080000.0,42615870000.0,55499820000.0,58425987000.0,49867346000.0,51819946000.0,38185562000.0,53632740000.0,66243125000.0,50449600000.0,63848260000.0
2038.0,44335450000.0,47373558000.0,79674925000.0,54253507000.0,44051710000.0,46833426000.0,37773853000.0,45410177000.0,53199438000.0,40703545000.0,55849628000.0,52282937000.0,47762390000.0,48416477000.0,35562185000.0,52540998000.0,65280170000.0,48729977000.0,60759663000.0
2039.0,42245970000.0,44282237000.0,79665500000.0,50539120000.0,42388720000.0,43248520000.0,36445280000.0,44204080000.0,50592272000.0,38505810000.0,51870850000.0,49271296000.0,46004298000.0,46341616000.0,32321253000.0,51878146000.0,63880827000.0,47457980000.0,58049278000.0
