time,GFDL-CM3,CESM1-CAM5,NORESM1-M,GFDL-ESM2G,CCSM4,GISS-E2-R,CSIRO-MK3-6-0,IPSL-CM5A-LR
2059.0,44650160000000.0,39749377000000.0,41754716000000.0,43177034000000.0,40474153000000.0,41889150000000.0,39901290000000.0,41062090000000.0
2060.0,44638983000000.0,39212000000000.0,41637550000000.0,43174437000000.0,40405177000000.0,41863344000000.0,39724520000000.0,40766634000000.0
2061.0,44584170000000.0,38915070000000.0,41556925000000.0,43123946000000.0,40175650000000.0,41771290000000.0,39448167000000.0,40495233000000.0
2062.0,44669920000000.0,38768630000000.0,41436030000000.0,43104530000000.0,39937722000000.0,41711363000000.0,39267057000000.0,40405194000000.0
2063.0,44637340000000.0,38615030000000.0,41299740000000.0,43029450000000.0,39707510000000.0,41487540000000.0,39079966000000.0,40227940000000.0
2064.0,44737986000000.0,38434752000000.0,41177420000000.0,43005350000000.0,39588697000000.0,41388290000000.0,38843814000000.0,40160616000000.0
2065.0,44760170000000.0,38202350000000.0,41094524000000.0,42930027000000.0,39458125000000.0,41287400000000.0,38627270000000.0,40152960000000.0
2066.0,44810505000000.0,37938600000000.0,40898580000000.0,42815620000000.0,39381553000000.0,41217346000000.0,38312157000000.0,40028734000000.0
2067.0,44810990000000.0,37642687000000.0,40769350000000.0,42731700000000.0,39150896000000.0,41067660000000.0,38090370000000.0,39861596000000.0
2068.0,44858940000000.0,37432255000000.0,40748917000000.0,42615200000000.0,38958474000000.0,41051897000000.0,37871113000000.0,39864260000000.0
2069.0,44785696000000.0,37216470000000.0,40691370000000.0,42572123000000.0,38731540000000.0,41013247000000.0,37681153000000.0,39784345000000.0
2070.0,44709080000000.0,37018227000000.0,40513390000000.0,42442300000000.0,38459460000000.0,40957253000000.0,37381960000000.0,39661430000000.0
2071.0,44704770000000.0,36819490000000.0,40407220000000.0,42370343000000.0,38341395000000.0,40834350000000.0,37091572000000.0,39531560000000.0
2072.0,44688410000000.0,36557956000000.0,40278720000000.0,42331510000000.0,38157730000000.0,40692684000000.0,36837196000000.0,39395190000000.0
2073.0,44629750000000.0,36297746000000.0,40200214000000.0,42131870000000.0,37901000000000.0,40591890000000.0,36657596000000.0,39320577000000.0
2074.0,44506710000000.0,36051540000000.0,39993080000000.0,41984975000000.0,37643237000000.0,40590532000000.0,36409885000000.0,39262890000000.0
2075.0,44477110000000.0,35791493000000.0,39903100000000.0,41897733000000.0,37325795000000.0,40547926000000.0,36074483000000.0,39135037000000.0
2076.0,44522290000000.0,35526190000000.0,39757240000000.0,41775293000000.0,37069737000000.0,40468046000000.0,35817940000000.0,39039890000000.0
2077.0,44548902000000.0,35103284000000.0,39646210000000.0,41574365000000.0,36864254000000.0,40359250000000.0,35504477000000.0,38964774000000.0
2078.0,44535225000000.0,34871310000000.0,39608897000000.0,41493040000000.0,36737317000000.0,40209396000000.0,35239427000000.0,38922170000000.0
2079.0,44504262000000.0,34653916000000.0,39515985000000.0,41369767000000.0,36574760000000.0,40048636000000.0,34957982000000.0,38737860000000.0
2080.0,44466895000000.0,34354252000000.0,39452830000000.0,41288498000000.0,36493607000000.0,40014705000000.0,34590566000000.0,38626876000000.0
2081.0,44490760000000.0,34028617000000.0,39366440000000.0,41263198000000.0,36395940000000.0,39905145000000.0,34246597000000.0,38471430000000.0
2082.0,44446847000000.0,33708982000000.0,39327355000000.0,41154565000000.0,36131460000000.0,39818025000000.0,33935520000000.0,38344273000000.0
2083.0,44465633000000.0,33407042000000.0,39247214000000.0,41045970000000.0,35928844000000.0,39734620000000.0,33585292000000.0,38234400000000.0
2084.0,44417870000000.0,32986311000000.0,39032017000000.0,40992180000000.0,35657406000000.0,39706503000000.0,33347609000000.0,38107940000000.0
2085.0,44392130000000.0,32641517000000.0,38897390000000.0,40972914000000.0,35504250000000.0,39597010000000.0,33007784000000.0,37854700000000.0
2086.0,44420037000000.0,32405033000000.0,38717530000000.0,40935200000000.0,35364413000000.0,39353686000000.0,32611810000000.0,37784627000000.0
2087.0,44435354000000.0,32029446000000.0,38563677000000.0,40825010000000.0,35135800000000.0,39249300000000.0,32198140000000.0,37627336000000.0
2088.0,44449233000000.0,31583046000000.0,38445385000000.0,40744300000000.0,34784060000000.0,39130630000000.0,31797983000000.0,37467980000000.0
2089.0,44383580000000.0,31177230000000.0,38259955000000.0,40698260000000.0,34549703000000.0,39109976000000.0,31473778000000.0,37398220000000.0
2090.0,44370263000000.0,30939229000000.0,38093410000000.0,40679376000000.0,34256087000000.0,39031295000000.0,31011327000000.0,37221780000000.0
2091.0,44308573000000.0,30509923000000.0,37943190000000.0,40640690000000.0,33905570000000.0,38799027000000.0,30533071000000.0,37054190000000.0
2092.0,44137270000000.0,30177963000000.0,37681027000000.0,40564125000000.0,33541690000000.0,38787610000000.0,30192911000000.0,36869643000000.0
2093.0,44098665000000.0,29751280000000.0,37442510000000.0,40498396000000.0,33196287000000.0,38650734000000.0,29811364000000.0,36781660000000.0
2094.0,44043522000000.0,29400335000000.0,37328360000000.0,40414686000000.0,32801942000000.0,38531270000000.0,29456668000000.0,36699254000000.0
2095.0,43951487000000.0,29001480000000.0,37098975000000.0,40392770000000.0,32596306000000.0,38438410000000.0,29156448000000.0,36396593000000.0
2096.0,43886150000000.0,28676618000000.0,36930190000000.0,40350370000000.0,32301981000000.0,38295195000000.0,28856694000000.0,36286287000000.0
2097.0,43837947000000.0,28214340000000.0,36676770000000.0,40234247000000.0,31944836000000.0,38217026000000.0,28550153000000.0,36116288000000.0
2098.0,43834126000000.0,27712714000000.0,36531566000000.0,40117587000000.0,31455013000000.0,38090870000000.0,28166198000000.0,36016110000000.0
2099.0,43777842000000.0,27357996000000.0,36355158000000.0,40006810000000.0,31194945000000.0,37842445000000.0,27779326000000.0,35856585000000.0
2100.0,43724843000000.0,26829287000000.0,36192335000000.0,39888947000000.0,30944190000000.0,37766350000000.0,27433793000000.0,35752776000000.0
