time,GFDL-CM3,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,CCSM4,CSIRO-MK3-6-0,CNRM-CM5,GISS-E2-R,IPSL-CM5A-LR,CANESM2
2047.0,44440287000000.0,42077240000000.0,42256677000000.0,43117454000000.0,40836746000000.0,40908507000000.0,40646027000000.0,42867372000000.0,42422013000000.0,42400303000000.0
2048.0,44356130000000.0,41927664000000.0,42131033000000.0,42997366000000.0,40713350000000.0,40660580000000.0,40400144000000.0,42818900000000.0,42333980000000.0,42245230000000.0
2049.0,44297982000000.0,41809040000000.0,41936912000000.0,42977037000000.0,40507716000000.0,40426296000000.0,40118250000000.0,42751550000000.0,42205820000000.0,42079900000000.0
2050.0,44284720000000.0,41724987000000.0,41850325000000.0,42968310000000.0,40306204000000.0,40264115000000.0,39881700000000.0,42589600000000.0,42058555000000.0,41953907000000.0
2051.0,44305687000000.0,41528316000000.0,41724907000000.0,42890667000000.0,39943250000000.0,40126740000000.0,39601690000000.0,42444897000000.0,41915332000000.0,41864166000000.0
2052.0,44415430000000.0,41438214000000.0,41600755000000.0,42813232000000.0,39742452000000.0,39893010000000.0,39404903000000.0,42339700000000.0,41798265000000.0,41703510000000.0
2053.0,44465033000000.0,41254230000000.0,41466072000000.0,42681657000000.0,39417373000000.0,39663306000000.0,39294966000000.0,42247635000000.0,41713920000000.0,41583873000000.0
2054.0,44444426000000.0,41037972000000.0,41310420000000.0,42629333000000.0,39249570000000.0,39380144000000.0,39054658000000.0,42091757000000.0,41461463000000.0,41337800000000.0
2055.0,44375187000000.0,40980057000000.0,41262212000000.0,42521523000000.0,39020110000000.0,39067186000000.0,38793710000000.0,41998220000000.0,41361960000000.0,41019770000000.0
2056.0,44359490000000.0,40855935000000.0,41284417000000.0,42452200000000.0,38773623000000.0,38728970000000.0,38384806000000.0,41892560000000.0,41120566000000.0,40807400000000.0
2057.0,44313468000000.0,40659840000000.0,41128710000000.0,42395660000000.0,38562510000000.0,38507033000000.0,38006623000000.0,41902010000000.0,40855864000000.0,40575080000000.0
2058.0,44263627000000.0,40537847000000.0,41069467000000.0,42307873000000.0,38220560000000.0,38231560000000.0,37488333000000.0,41760286000000.0,40624360000000.0,40396437000000.0
2059.0,44198630000000.0,40357320000000.0,40980960000000.0,42265234000000.0,37925940000000.0,37941820000000.0,37217754000000.0,41649716000000.0,40372705000000.0,40002327000000.0
2060.0,44244547000000.0,40277160000000.0,40886920000000.0,42259360000000.0,37709767000000.0,37711004000000.0,36838174000000.0,41541300000000.0,40098654000000.0,39784207000000.0
2061.0,44227703000000.0,40101426000000.0,40743666000000.0,42113375000000.0,37451825000000.0,37462185000000.0,36533030000000.0,41431645000000.0,39875613000000.0,39608922000000.0
2062.0,44182560000000.0,39894870000000.0,40613676000000.0,42025830000000.0,37126977000000.0,36958605000000.0,36187478000000.0,41274610000000.0,39686560000000.0,39293430000000.0
2063.0,44172522000000.0,39780427000000.0,40362127000000.0,41915945000000.0,36844473000000.0,36681277000000.0,35879290000000.0,41080137000000.0,39440780000000.0,39088580000000.0
2064.0,44004096000000.0,39559237000000.0,40190094000000.0,41821158000000.0,36518580000000.0,36334520000000.0,35428830000000.0,40917710000000.0,39252277000000.0,38842548000000.0
2065.0,43958870000000.0,39330383000000.0,40063874000000.0,41715264000000.0,36280840000000.0,36003450000000.0,35187077000000.0,40833974000000.0,38896280000000.0,38623315000000.0
2066.0,44025248000000.0,39119750000000.0,39962393000000.0,41510154000000.0,35960290000000.0,35676630000000.0,34832298000000.0,40650900000000.0,38525454000000.0,38381650000000.0
2067.0,44050330000000.0,38985385000000.0,39766120000000.0,41401200000000.0,35672463000000.0,35208343000000.0,34396382000000.0,40515190000000.0,38129717000000.0,38226490000000.0
2068.0,43855460000000.0,38843370000000.0,39583203000000.0,41311634000000.0,35384633000000.0,34796829000000.0,33952279000000.0,40403780000000.0,37898397000000.0,37908620000000.0
2069.0,43772402000000.0,38692106000000.0,39299647000000.0,41214400000000.0,35088980000000.0,34340073000000.0,33382218000000.0,40265587000000.0,37683730000000.0,37542450000000.0
2070.0,43762043000000.0,38547717000000.0,39100240000000.0,41137490000000.0,34717206000000.0,33977720000000.0,32833056000000.0,40184940000000.0,37473920000000.0,37261900000000.0
2071.0,43668300000000.0,38403410000000.0,38920710000000.0,41056700000000.0,34331674000000.0,33477610000000.0,32414747000000.0,40136784000000.0,37265830000000.0,36962912000000.0
2072.0,43531624000000.0,38248310000000.0,38704324000000.0,40980190000000.0,33913280000000.0,33177528000000.0,31996697000000.0,40014500000000.0,36974463000000.0,36699180000000.0
2073.0,43440840000000.0,38097497000000.0,38544270000000.0,40833714000000.0,33657734000000.0,32831349000000.0,31567924000000.0,39775038000000.0,36684444000000.0,36357494000000.0
2074.0,43335167000000.0,37857510000000.0,38393497000000.0,40616250000000.0,33282058000000.0,32516320000000.0,31205586000000.0,39526844000000.0,36424426000000.0,36016447000000.0
2075.0,43243340000000.0,37636300000000.0,38232314000000.0,40453020000000.0,32961894000000.0,32130500000000.0,30943138000000.0,39334700000000.0,36222230000000.0,35544734000000.0
2076.0,43068745000000.0,37383513000000.0,38076170000000.0,40251100000000.0,32483250000000.0,31694405000000.0,30617895000000.0,39216545000000.0,35961644000000.0,35241580000000.0
2077.0,42864826000000.0,37182260000000.0,37857515000000.0,40091560000000.0,32057816000000.0,31214371000000.0,30145940000000.0,39084550000000.0,35686472000000.0,34925166000000.0
2078.0,42750010000000.0,36857803000000.0,37678890000000.0,39984010000000.0,31675545000000.0,30800678000000.0,29723447000000.0,38854367000000.0,35342984000000.0,34581216000000.0
2079.0,42630750000000.0,36602600000000.0,37456213000000.0,39900812000000.0,31254972000000.0,30462047000000.0,29195600000000.0,38619826000000.0,35058117000000.0,34283889000000.0
2080.0,42537943000000.0,36311710000000.0,37174630000000.0,39607480000000.0,30662967000000.0,29953238000000.0,28725916000000.0,38425013000000.0,34760624000000.0,33941990000000.0
2081.0,42401310000000.0,36067300000000.0,36927848000000.0,39382210000000.0,30245620000000.0,29471080000000.0,28266658000000.0,38189247000000.0,34486513000000.0,33568260000000.0
2082.0,42241653000000.0,35898717000000.0,36644393000000.0,39197537000000.0,29715308000000.0,28968881000000.0,27818600000000.0,37969630000000.0,34221893000000.0,33241300000000.0
2083.0,42101996000000.0,35713907000000.0,36282600000000.0,39007620000000.0,29153376000000.0,28487004000000.0,27279583000000.0,37749055000000.0,33962890000000.0,32915096000000.0
2084.0,41922228000000.0,35417080000000.0,36001456000000.0,38784645000000.0,28446948000000.0,28017932000000.0,26723414000000.0,37537767000000.0,33558170000000.0,32462183000000.0
2085.0,41769180000000.0,35086770000000.0,35629656000000.0,38580957000000.0,27832122000000.0,27514911000000.0,26095085000000.0,37394682000000.0,33143682000000.0,32045112000000.0
2086.0,41555356000000.0,34716180000000.0,35402077000000.0,38453803000000.0,27364025000000.0,27037157000000.0,25604506000000.0,37293402000000.0,32713122000000.0,31560563000000.0
2087.0,41320710000000.0,34397112000000.0,35000244000000.0,38266334000000.0,26798042000000.0,26615994000000.0,25086828000000.0,37146630000000.0,32488990000000.0,31087898000000.0
2088.0,41113948000000.0,34065063000000.0,34675878000000.0,38077603000000.0,26343006000000.0,25968605000000.0,24583920000000.0,36941643000000.0,32193137000000.0,30608462000000.0
