time,GISS-E2-R,GFDL-CM3,CESM1-CAM5,GFDL-ESM2G,CCSM4,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0
2091.0,117077861191000.0,99274773736400.0,79113396386600.0,118385712896000.0,102706087659000.0,100540786516400.0,100581252828400.0,107975755866200.0
2092.0,116584940207000.0,98311753330400.0,77873317663700.0,117885579942000.0,101726152039000.0,99740327754700.0,99541726603600.0,107152812056700.0
2093.0,116067566760000.0,97523702178900.0,76704061495000.0,117388018479000.0,100743357033000.0,99115837058500.0,98577830523500.0,106261509564500.0
2094.0,115504754275000.0,96681421203400.0,75545566721400.0,116959338153000.0,99702181952000.0,98378144782200.0,97678973739700.0,105348309190600.0
2095.0,115024825835000.0,95987772690900.0,74275058663600.0,116585608513000.0,98862276120000.0,97596604878500.0,96775366233700.0,104618725654100.0
2096.0,114553251284000.0,95260775667700.0,73177098409600.0,116165599579000.0,97906736142000.0,96920974344300.0,95946620392300.0,103821592979200.0
2097.0,114137166523000.0,94533945250400.0,71872801186700.0,115539682371000.0,96964914970000.0,96318781001200.0,94987829598300.0,103014388646200.0
2098.0,113630356181000.0,93801514659900.0,70521829482700.0,114980693259000.0,95963289824000.0,95698756290700.0,94156851855600.0,101897056153300.0
2099.0,112971609003000.0,93080560225100.0,69300715774900.0,114420267854000.0,95143451706000.0,94931813956200.0,93390937140600.0,101019527933200.0
2100.0,112613167343000.0,92377738872600.0,67951593087700.0,113879143723000.0,94310293610000.0,94313760173400.0,92541927685000.0,100177848720500.0
