time,CANESM2,IPSL-CM5A-LR,CCSM4,GFDL-ESM2G,MPI-ESM-LR,GFDL-CM3,GISS-E2-R,CSIRO-MK3-6-0,CESM1-CAM5,CNRM-CM5,NORESM1-M
2064.0,123046291781000.0,123371955089000.0,128715195560000.0,136829356520000.0,127547884411000.0,119513435783000.0,134352242512000.0,127638921984000.0,113362218963000.0,125504058902000.0,124323437043000.0
2065.0,122566982081000.0,122867473630000.0,128413169916000.0,136599961862000.0,127165108519000.0,118890114118000.0,134138123448000.0,127161909093000.0,112374708609000.0,124794536802000.0,123873660017000.0
2066.0,121748111535000.0,122347523219000.0,128095582381000.0,136455919421000.0,126737207879000.0,118343281979000.0,133883799500000.0,126822503669000.0,111457972691000.0,124282388755000.0,123352120317000.0
2067.0,121144821229000.0,121679302904000.0,127903200240000.0,136409968606000.0,126431436022000.0,117672506223000.0,133577543821000.0,126400705668000.0,110594241861000.0,123646482136000.0,122930741228000.0
2068.0,120405498589000.0,121146521855000.0,127576237170000.0,136075052983000.0,125817369700000.0,116905824033000.0,133245579901000.0,125912312136000.0,109809493557000.0,123089373945000.0,122445969963000.0
2069.0,119866570704000.0,120613661053000.0,127281052582000.0,135922857643000.0,125375571292000.0,116166069170000.0,133064192024000.0,125417910710000.0,108971508695000.0,122497447713000.0,121901174146000.0
2070.0,119358840747000.0,120029494341000.0,126887405920000.0,135625160439000.0,125043990455000.0,115602662980000.0,132949112245000.0,124987779344000.0,108164762678000.0,121927683530000.0,121362192627000.0
2071.0,118807139829000.0,119497663730000.0,126507136490000.0,135530711054000.0,124714069184000.0,114950498188000.0,132658896789000.0,124588974691000.0,107270826983000.0,121189268806000.0,120871994379000.0
2072.0,118449942692000.0,118812408555000.0,125924777505000.0,135517251791000.0,124331251032000.0,114285552105000.0,132326105510000.0,124158010241000.0,106314507505000.0,120509685991000.0,120350001460000.0
2073.0,117889468530000.0,118255909769000.0,125581747492000.0,135357046908000.0,123971230709000.0,113672973352000.0,132235269741000.0,123911212482000.0,105494384656000.0,120039808245000.0,119821574638000.0
2074.0,117486910566000.0,117648051362000.0,125311425098000.0,135203858639000.0,123645524937000.0,112916632348000.0,132083542408000.0,123585432797000.0,104617264992000.0,119539776141000.0,119392946206000.0
2075.0,117173851750000.0,117188153902000.0,124820830652000.0,135281823614000.0,123157796766000.0,112322867455000.0,131845676512000.0,123174788171000.0,103872025876000.0,118957856436000.0,118840434902000.0
2076.0,116790830701000.0,116675382841000.0,124214334611000.0,135119559595000.0,122725333869000.0,111668581119000.0,131485559437000.0,122765969521000.0,103061264832000.0,118407856352000.0,118452169790000.0
2077.0,116373068597000.0,116036346614000.0,123950042138000.0,134976031678000.0,122411001365000.0,111055340510000.0,131190967061000.0,122411449561000.0,102373842266000.0,117754717383000.0,117913503866000.0
2078.0,115989234332000.0,115569841486000.0,123662701172000.0,134875782364000.0,122080480228000.0,110380394493000.0,130837594239000.0,121910041831000.0,101640962219000.0,117152746422000.0,117505770088000.0
2079.0,115529550423000.0,114927762109000.0,123148324027000.0,134607308163000.0,121847030486000.0,109630966592000.0,130567244674000.0,121532244088000.0,100791280213000.0,116475670056000.0,116951709512000.0
2080.0,115006711632000.0,114320365263000.0,122839862477000.0,134376376180000.0,121487900486000.0,109079149000000.0,130437062252000.0,120952323801000.0,99725770973000.0,115931527634000.0,116557185885000.0
2081.0,114507326883000.0,113684720176000.0,122485518756000.0,134249503459000.0,121082441179000.0,108509456353000.0,130130340841000.0,120536864109000.0,99017203495000.0,115395790213000.0,116072834562000.0
2082.0,114188326154000.0,113307048566000.0,122156833990000.0,134203440051000.0,120797505495000.0,107932083338000.0,129894341599000.0,120056377186000.0,98363931779000.0,114891469945000.0,115557274895000.0
2083.0,113657501512000.0,112660462117000.0,121781609874000.0,133988731606000.0,120534838705000.0,107505853788000.0,129600404521000.0,119569833276000.0,97756183870000.0,114297290035000.0,114931751844000.0
2084.0,113189611557000.0,112083887286000.0,121494604366000.0,133796857539000.0,120093096798000.0,107082447478000.0,129510316721000.0,119071445399000.0,97069632535000.0,114081359531000.0,114132419757000.0
2085.0,112730492819000.0,111513974658000.0,121241635411000.0,133734662877000.0,119898874833000.0,106625189658000.0,129223930758000.0,118746574308000.0,96431730524000.0,113550181161000.0,113672537536000.0
2086.0,112117266182000.0,110974378645000.0,121051661590000.0,133510555307000.0,119536845257000.0,106065514214000.0,128938781002000.0,118311308899000.0,95794694780000.0,112895075430000.0,113172958832000.0
2087.0,111617139089000.0,110539605496000.0,120710928362000.0,133397140591000.0,119157700743000.0,105548342299000.0,128654389669000.0,117753058572000.0,95210131256000.0,112304851058000.0,112655766319000.0
2088.0,111300008556000.0,109982269533000.0,120531263480000.0,133324235274000.0,119008409738000.0,105096769686400.0,128452577475000.0,117235989835000.0,94479605869000.0,111871774689000.0,112207832131000.0
2089.0,110873832731000.0,109564928296000.0,120253654332000.0,133278429881000.0,118912853607000.0,104549046650500.0,128109965630000.0,116695794980000.0,93832736155000.0,111176848848000.0,111618453389000.0
2090.0,110396774165000.0,109203904143000.0,119878742148000.0,133097402757000.0,118661647885000.0,104002122133000.0,128005838006000.0,116331427941000.0,93035437437000.0,110661824465000.0,111113964979000.0
2091.0,109756606973000.0,108730624948000.0,119577197241000.0,132985575010000.0,118390602597000.0,103459899621600.0,127871315926000.0,115865131558000.0,92255384160000.0,110092771167000.0,110672467586000.0
2092.0,109294107586000.0,108302523953000.0,119343271675000.0,132782062214000.0,118190387176000.0,102815435918400.0,127711381029000.0,115420297360000.0,91509311889000.0,109682866301000.0,110120301789000.0
2093.0,108786115689000.0,107679996859000.0,118987710160000.0,132582747508000.0,117951359194000.0,102121352095000.0,127482939000000.0,114940594383000.0,90680133180000.0,109257841072000.0,109710487526000.0
2094.0,108331008066000.0,107332993870000.0,118530504111000.0,132504399978000.0,117741909277000.0,101682946041000.0,127322820208000.0,114396650237000.0,89973994662000.0,108749064916000.0,109311046080000.0
2095.0,107913834695000.0,106896373108000.0,118186950233000.0,132454251888000.0,117440309397000.0,101117784428700.0,127202345196000.0,114024149124000.0,89332556897000.0,108081633904000.0,108890253318000.0
2096.0,107467767204000.0,106479652449000.0,117895779744000.0,132381881042000.0,117214046351000.0,100762262448600.0,127065613590000.0,113497887801000.0,88700839380000.0,107537821812000.0,108677540137000.0
2097.0,107048886442000.0,106126522470000.0,117658342300000.0,132354979780000.0,116873108706000.0,100256084889700.0,126737981152000.0,112991486521000.0,88024405641000.0,106980154264000.0,108171239530000.0
2098.0,106624447482000.0,105613991254000.0,117492674166000.0,132394565316000.0,116542259121000.0,99770532936500.0,126525781157000.0,112323592590000.0,87345125557000.0,106479870481000.0,107772951667000.0
2099.0,106173155827000.0,105312946087000.0,117108369194000.0,132324076638000.0,116276410394000.0,99315268672400.0,126275388881000.0,111795829664000.0,86572107683000.0,106105437905000.0,107370555234000.0
2100.0,105696757443000.0,104998662695000.0,116967632365000.0,132139567672000.0,116023418609000.0,98630652522000.0,125987625448000.0,111339939102000.0,85904134264000.0,105727473962000.0,106895150712000.0
