time,GFDL-CM3,GISS-E2-R,IPSL-CM5A-LR,CANESM2,MPI-ESM-LR,CCSM4,GFDL-ESM2G,NORESM1-M,CNRM-CM5,CSIRO-MK3-6-0
2056.0,121452736157400.0,129205106068000.0,121748895866000.0,122452184802000.0,127157307418000.0,125496516326000.0,130232086876000.0,123634405837000.0,123460064375000.0,126861034811000.0
2057.0,120357569565000.0,128664586898000.0,120608399932000.0,121439027879000.0,126281444948000.0,124591099759000.0,129557724862000.0,122611321403000.0,122341337547000.0,126137720195000.0
2058.0,119266318361000.0,128012346850000.0,119501649887000.0,120547828691000.0,125598601150000.0,123540037899000.0,128704983406000.0,121736860667000.0,120789206169000.0,125201196788500.0
2059.0,118137011022400.0,127564716636000.0,118217901215600.0,119351687305400.0,124845243558000.0,122603496389000.0,128024037996000.0,120836248270000.0,119665396591000.0,124387495200500.0
2060.0,117165210149900.0,126838421555000.0,116941607460300.0,118237642715000.0,124080057192000.0,121765901446000.0,127399820040000.0,119974372916000.0,118336212151000.0,123572503734000.0
2061.0,116170305064600.0,126041056612000.0,115731226121000.0,117164596191500.0,123278316962000.0,120943216095000.0,126730799400000.0,119020249524000.0,117210715963000.0,122742066675400.0
2062.0,115153572444500.0,125441151034000.0,114608968524000.0,115964972127000.0,122263325786000.0,119871941720000.0,126089485489000.0,118002713662000.0,115875794043000.0,121566424127600.0
2063.0,114185551195100.0,124673751203000.0,113442961304000.0,114866779419600.0,121271592259000.0,118763972713000.0,125481911432000.0,116997075756000.0,114673988451000.0,120804467621700.0
2064.0,112830143522500.0,123891219268000.0,112095681643500.0,113701013099600.0,120344648453600.0,117580800531400.0,124759183883000.0,115906390129400.0,113225246358000.0,119932726976400.0
2065.0,111804264621700.0,123197248419000.0,110730467885000.0,112657708337700.0,119485014248600.0,116487929849400.0,124152604096000.0,114745321222000.0,112016289778000.0,119024123168900.0
2066.0,110857081599200.0,122353829012000.0,109470831775700.0,111508074361000.0,118643785676000.0,115369356695000.0,123494223459000.0,113727783002000.0,110826012075000.0,118229758120200.0
2067.0,109719019404100.0,121729212035000.0,108142250258600.0,110633274259000.0,117686516125000.0,114455825528400.0,122633854544000.0,112664326950000.0,109520678137000.0,117040426156400.0
2068.0,108465299043200.0,121106360430000.0,106878538980200.0,109344002138000.0,116696006561500.0,113427793029700.0,122070721393000.0,111594710696000.0,108171012521000.0,115967387808700.0
2069.0,107329446447200.0,120390000518000.0,105669700043300.0,107770546001100.0,115578681821000.0,112305446659400.0,121523447942000.0,110324534312300.0,106828577377000.0,114791595124200.0
2070.0,106320432846800.0,119661387478000.0,104624671078200.0,106671636400500.0,114656406620700.0,111173888932600.0,120818331277000.0,109339707688000.0,105425723221000.0,113762029839100.0
2071.0,105118538503100.0,119054477632000.0,103447477476800.0,105488253587000.0,113701162729000.0,109997457280400.0,120210829934000.0,108224204074000.0,104204365094000.0,112585660758700.0
2072.0,103971188350600.0,118492237004000.0,102072556810400.0,104275153196600.0,112676050728000.0,108766227878700.0,119611580604000.0,107077301843000.0,102968295067000.0,111583889914500.0
2073.0,102956440359100.0,117852998735000.0,100812340356500.0,102890942603700.0,111778727266900.0,107728066712000.0,118824994801000.0,105923870134600.0,101588145944000.0,110511406060100.0
2074.0,101994995136600.0,117098740566000.0,99585816046900.0,101631998946000.0,110827876134500.0,106609253846000.0,118131216710600.0,104640794660300.0,100291875367000.0,109412130406000.0
2075.0,100876681615000.0,116325386801000.0,98599706785900.0,100315040723500.0,109806434613500.0,105596784959400.0,117352588923400.0,103455799770000.0,99001314209000.0,108283512789900.0
2076.0,99751537173200.0,115659010031000.0,97315174385000.0,99210398648700.0,108821124166900.0,104225423689000.0,116409412093700.0,102178087770000.0,97705472169000.0,107103617649600.0
2077.0,98595408018800.0,114828593908000.0,96154702673400.0,97928404276100.0,107732941743700.0,103069846271000.0,115551400081000.0,100929629497900.0,96284426408000.0,105980071243360.0
2078.0,97458276319700.0,113978017520000.0,94915573358600.0,96679688215700.0,106771457863000.0,101923802899000.0,114719925611700.0,99715388982900.0,94930945245000.0,104878530609950.0
2079.0,96370028212400.0,113113776207000.0,93811786110500.0,95389182651100.0,105676334556200.0,100604200196600.0,114004286654000.0,98451928960400.0,93376475479000.0,103702600946400.0
2080.0,95253204208650.0,112196033531000.0,92593090364900.0,94013789611300.0,104598186456200.0,98987287528000.0,113044309421500.0,97194441115300.0,91948228844700.0,102334032450900.0
2081.0,94137772547760.0,111394113320000.0,91538305758500.0,92683835840500.0,103614115224200.0,97801002755200.0,112245067152500.0,96162135336300.0,90453025700000.0,101105651582400.0
2082.0,93029837392980.0,110476357137000.0,90498279637500.0,91435817203700.0,102563472812400.0,96398883549500.0,111441283399300.0,95105080265300.0,88956981049000.0,99822054310900.0
2083.0,91931458038400.0,109698049970000.0,89507757176900.0,90225013537600.0,101466819992300.0,95054005786300.0,110711583887500.0,94002286735000.0,87376460034500.0,98646482375640.0
2084.0,90728103735830.0,109015196267700.0,88236912990400.0,88782291426700.0,100287276805400.0,93595251276200.0,109870298235700.0,92735145513700.0,86009288072600.0,97309375470000.0
