time,GISS-E2-R,GFDL-CM3,GFDL-ESM2G,CCSM4,MPI-ESM-LR,CANESM2,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0,CNRM-CM5,CESM1-CAM5
2052.0,134946727617000.0,126648285804000.0,135684814790000.0,134354008185000.0,131585448322000.0,126840719642000.0,127650789361000.0,128905931817000.0,131215188447000.0,131873038820000.0,120155897890000.0
2053.0,134487661151000.0,125936037045000.0,135328364646000.0,133855677284000.0,130855996008000.0,125898024140000.0,126742855635000.0,128113738858000.0,130477344149000.0,131301443765000.0,118992473900000.0
2054.0,133922018226000.0,125058692009000.0,135001683090000.0,133239292599000.0,130064564070000.0,124991739908000.0,126062855265000.0,127269581125000.0,129801466853000.0,130574431426000.0,117795281841000.0
2055.0,133393452140000.0,124173430411000.0,134667072013000.0,132524023233000.0,129551335245000.0,124169882594000.0,125395570857000.0,126608315742000.0,129039111447000.0,129938421755000.0,116551009270000.0
2056.0,132737754067000.0,123242376763400.0,134270959056000.0,132005479549000.0,128923233410000.0,123359170257000.0,124341604544000.0,125895690377000.0,128168245584000.0,129100084815000.0,115147476631000.0
2057.0,132138980585000.0,122341439376000.0,133653456305000.0,131320590936000.0,128105153494000.0,122534500567000.0,123351132641000.0,125110904545000.0,127262697469000.0,128434440035000.0,113718041289000.0
2058.0,131677099559000.0,121184012241000.0,133255091587000.0,130939986817000.0,127472640345000.0,121676311527000.0,122656492083000.0,124297170306000.0,126517637996000.0,127724759080000.0,112550169902000.0
2059.0,131306450836000.0,120382195654000.0,132950868259000.0,130386464037000.0,126832649265000.0,120766478893000.0,121949985364000.0,123430843995000.0,125667728970000.0,126968285898000.0,111355249781000.0
2060.0,130843490193000.0,119561906770600.0,132543145836000.0,129736935784000.0,126059970940000.0,119984886403000.0,121043371896000.0,122823703838000.0,124820857133000.0,126265565324000.0,110133915053000.0
2061.0,130446399918000.0,118606186765000.0,132123498439000.0,129062839275000.0,125372761453000.0,118916371264000.0,120207675207000.0,121957521608000.0,124003903588000.0,125544242537000.0,108967455955000.0
2062.0,130013300383000.0,117653494682000.0,131838141850000.0,128380679397000.0,124757248399000.0,118058632966000.0,119387904079000.0,121289490194000.0,123400041958600.0,124636399346000.0,107797763986000.0
2063.0,129435596501000.0,116763321319600.0,131552943806000.0,127698728753000.0,124245634615000.0,117056596494000.0,118433860835000.0,120540782520000.0,122666144061000.0,123891047908000.0,106734470238000.0
2064.0,128973300773000.0,116019301804400.0,131177097776000.0,126844848037000.0,123624355168000.0,116223844531000.0,117595321205000.0,119751893728000.0,121968872349700.0,123064194663000.0,105484270179000.0
2065.0,128494520978000.0,115454238885700.0,130742921034000.0,126174690836000.0,122949787396000.0,115303480887000.0,116934640074000.0,119074129645000.0,121265498910000.0,122256231255000.0,104361316522000.0
2066.0,127925048188000.0,114694571221000.0,130347015308000.0,125592595342000.0,122411518235000.0,114409897495000.0,116020820006000.0,118083681936000.0,120500564101000.0,121416331492000.0,103333073315000.0
2067.0,127394659201000.0,114006386665100.0,129848460231000.0,125007148375000.0,121827512837000.0,113569634598000.0,115266492877000.0,117311014074000.0,119840724225700.0,120735319469000.0,102179954971000.0
2068.0,126981071780000.0,113394735948500.0,129396692037000.0,124370762190000.0,121211011130000.0,112946534558000.0,114677272307000.0,116604987252000.0,119149988195400.0,120048943337000.0,100659760018000.0
2069.0,126426349052000.0,112668855103300.0,128952533814000.0,123681610988000.0,120552750641000.0,112074097539000.0,113890360837000.0,115831897237000.0,118437587579000.0,119379932902000.0,99440441889000.0
2070.0,125955762013000.0,111880430846300.0,128623653557000.0,122986084803000.0,119928887544000.0,111293722411000.0,113109365020000.0,115101674284000.0,117877019248400.0,118593963970000.0,98153833576000.0
