time,CCSM4,GFDL-CM3,CANESM2,NORESM1-M,IPSL-CM5A-LR,CSIRO-MK3-6-0,GFDL-ESM2G,CNRM-CM5,GISS-E2-R,CESM1-CAM5,MPI-ESM-LR
2080.0,2140836700000.0,1998132700000.0,2133211300000.0,2366023100000.0,1821640200000.0,3160848700000.0,2599724300000.0,2457983800000.0,2601289500000.0,1942767900000.0,2379891600000.0
2081.0,2126829200000.0,1964337900000.0,2117687700000.0,2352295200000.0,1802943000000.0,3165056400000.0,2590018000000.0,2440235600000.0,2601309200000.0,1919656900000.0,2368191300000.0
2082.0,2104579500000.0,1937904400000.0,2093542100000.0,2333025500000.0,1785793900000.0,3173029800000.0,2580542700000.0,2429077200000.0,2591522600000.0,1896396800000.0,2361016500000.0
2083.0,2083892900000.0,1914651800000.0,2068937000000.0,2317574500000.0,1762687800000.0,3171497800000.0,2572701100000.0,2417648500000.0,2581777000000.0,1870065600000.0,2350692200000.0
2084.0,2053925000000.0,1888945400000.0,2061629800000.0,2303363000000.0,1742324600000.0,3163895400000.0,2557441000000.0,2396260700000.0,2567734000000.0,1852118700000.0,2335525600000.0
2085.0,2034895800000.0,1874246400000.0,2047365900000.0,2284039700000.0,1730183300000.0,3163490000000.0,2552982700000.0,2383140400000.0,2565233200000.0,1839477200000.0,2322566700000.0
2086.0,2018977100000.0,1856442500000.0,2023890500000.0,2266843300000.0,1710522600000.0,3168095400000.0,2540603200000.0,2366704700000.0,2559644500000.0,1824007000000.0,2308608600000.0
2087.0,2009783300000.0,1830611300000.0,2008351000000.0,2251832200000.0,1690028300000.0,3162514000000.0,2528329300000.0,2354736500000.0,2555139300000.0,1805190300000.0,2299327200000.0
2088.0,1992548700000.0,1813794100000.0,1981968400000.0,2239336000000.0,1663412900000.0,3169355000000.0,2521377800000.0,2342429000000.0,2556927400000.0,1790137500000.0,2281077200000.0
2089.0,1972689200000.0,1793638100000.0,1955601700000.0,2222958300000.0,1649126000000.0,3152036200000.0,2512230500000.0,2320543000000.0,2547876600000.0,1781712400000.0,2272351200000.0
2090.0,1947329200000.0,1776099900000.0,1930774400000.0,2205450200000.0,1630288600000.0,3151688400000.0,2504188500000.0,2304894800000.0,2543314000000.0,1770553200000.0,2258016000000.0
2091.0,1922306700000.0,1760564500000.0,1916288900000.0,2179588300000.0,1603781800000.0,3145602200000.0,2484246000000.0,2288086200000.0,2546268400000.0,1748284200000.0,2239134200000.0
2092.0,1911072100000.0,1735939700000.0,1889967100000.0,2161334600000.0,1580437700000.0,3136942200000.0,2475664600000.0,2267948000000.0,2540985000000.0,1729832400000.0,2227182000000.0
2093.0,1896245800000.0,1711969100000.0,1878169900000.0,2144384800000.0,1560141100000.0,3129689000000.0,2469795700000.0,2254276100000.0,2535346100000.0,1714635700000.0,2216010700000.0
2094.0,1884136300000.0,1694059200000.0,1853491000000.0,2131522900000.0,1536588600000.0,3121484700000.0,2464458000000.0,2239638000000.0,2526803100000.0,1692165900000.0,2200678000000.0
2095.0,1860958400000.0,1669288600000.0,1831504400000.0,2115538800000.0,1521185300000.0,3113432400000.0,2456460200000.0,2231727800000.0,2515911600000.0,1672893600000.0,2185767300000.0
2096.0,1844688600000.0,1652240200000.0,1801486700000.0,2102172600000.0,1511550000000.0,3102648000000.0,2446042300000.0,2216729800000.0,2495238000000.0,1660010400000.0,2178257100000.0
2097.0,1829498500000.0,1624614900000.0,1782461800000.0,2086716600000.0,1495939700000.0,3114411500000.0,2442513400000.0,2204420500000.0,2484117200000.0,1640912300000.0,2166445300000.0
2098.0,1820900600000.0,1613909700000.0,1769397700000.0,2069900400000.0,1474423600000.0,3121559600000.0,2436716600000.0,2190160000000.0,2465385700000.0,1624195100000.0,2153791900000.0
2099.0,1805964800000.0,1597088500000.0,1749752200000.0,2048724200000.0,1453428000000.0,3124787400000.0,2433117000000.0,2183270800000.0,2454191900000.0,1603506900000.0,2140827500000.0
2100.0,1790940200000.0,1576652500000.0,1735038500000.0,2035696400000.0,1436098200000.0,3139921200000.0,2415290700000.0,2171601000000.0,2443481200000.0,1588023800000.0,2132899000000.0
