time,CCSM4,GFDL-CM3,NORESM1-M,CESM1-CAM5,IPSL-CM5A-LR,CSIRO-MK3-6-0,GISS-E2-R,GFDL-ESM2G
2065.0,2663098000000.0,2543511700000.0,2785762300000.0,2351451600000.0,2163012900000.0,3443627000000.0,2726147700000.0,2982470000000.0
2066.0,2643274200000.0,2522952200000.0,2781337400000.0,2313250400000.0,2129721600000.0,3447254700000.0,2717624000000.0,2963055000000.0
2067.0,2618173000000.0,2499921600000.0,2771897500000.0,2287106300000.0,2101125200000.0,3445779300000.0,2709950300000.0,2944236300000.0
2068.0,2594212200000.0,2476769800000.0,2763083500000.0,2257994600000.0,2060877000000.0,3450087100000.0,2704292400000.0,2914913000000.0
2069.0,2576874000000.0,2447739200000.0,2744472800000.0,2221656500000.0,2035133400000.0,3453330700000.0,2702908000000.0,2894329800000.0
2070.0,2559930300000.0,2423237600000.0,2732382000000.0,2179978900000.0,2016698400000.0,3459466100000.0,2688273600000.0,2889510000000.0
2071.0,2529044000000.0,2405414000000.0,2711141700000.0,2153492800000.0,1990212700000.0,3462040000000.0,2676972800000.0,2882761000000.0
2072.0,2505016900000.0,2382557300000.0,2686322000000.0,2118505300000.0,1966647400000.0,3477077200000.0,2668683000000.0,2870916700000.0
2073.0,2478906000000.0,2360212500000.0,2660326700000.0,2083663600000.0,1940608900000.0,3485034300000.0,2649312700000.0,2858368400000.0
2074.0,2447701400000.0,2341278300000.0,2636002600000.0,2044268200000.0,1915591500000.0,3494860300000.0,2641120200000.0,2844416000000.0
2075.0,2428581700000.0,2324103700000.0,2622911200000.0,2012617000000.0,1886845700000.0,3500711000000.0,2625997600000.0,2829132500000.0
2076.0,2393789700000.0,2295648700000.0,2595433000000.0,1979248500000.0,1865658800000.0,3505765700000.0,2610340800000.0,2817471800000.0
2077.0,2376101000000.0,2268158500000.0,2570145500000.0,1940354200000.0,1838669900000.0,3494531000000.0,2591217400000.0,2800662600000.0
2078.0,2359169600000.0,2239353300000.0,2548720200000.0,1909305900000.0,1812410100000.0,3488340800000.0,2575121800000.0,2782030500000.0
2079.0,2332673400000.0,2211749000000.0,2526346700000.0,1883534300000.0,1789263600000.0,3487659500000.0,2563182200000.0,2760008800000.0
2080.0,2313823500000.0,2182572800000.0,2500341300000.0,1862923700000.0,1759676700000.0,3485607000000.0,2552003800000.0,2736656700000.0
2081.0,2293799800000.0,2155338700000.0,2487766500000.0,1826337200000.0,1731431800000.0,3482915700000.0,2538339600000.0,2721102000000.0
2082.0,2262156700000.0,2127968000000.0,2477585900000.0,1791430800000.0,1712366800000.0,3464321000000.0,2526638800000.0,2708257600000.0
2083.0,2235990300000.0,2092206400000.0,2462450700000.0,1752754300000.0,1686482300000.0,3445862000000.0,2505722300000.0,2689808700000.0
2084.0,2221836900000.0,2072013800000.0,2441591400000.0,1730219500000.0,1663493000000.0,3434340200000.0,2484316700000.0,2674683800000.0
2085.0,2199265200000.0,2036617000000.0,2409321200000.0,1704578600000.0,1637272100000.0,3417945100000.0,2467357800000.0,2665299600000.0
2086.0,2174752000000.0,2012324800000.0,2387000700000.0,1667213300000.0,1615420300000.0,3421982200000.0,2452588300000.0,2649321600000.0
2087.0,2152382000000.0,1984302300000.0,2372439000000.0,1630822500000.0,1591813600000.0,3407142700000.0,2440904800000.0,2636509000000.0
2088.0,2130254600000.0,1954550000000.0,2362716200000.0,1600421200000.0,1569265300000.0,3395245800000.0,2431255600000.0,2624217200000.0
2089.0,2113349900000.0,1930970500000.0,2344603000000.0,1570718200000.0,1546392600000.0,3367906300000.0,2418753100000.0,2617740600000.0
2090.0,2099231600000.0,1900849800000.0,2315873400000.0,1541058000000.0,1528441500000.0,3349877400000.0,2405293600000.0,2606365000000.0
2091.0,2079703200000.0,1876601600000.0,2298628300000.0,1509810900000.0,1504394900000.0,3329500600000.0,2398897800000.0,2593521400000.0
2092.0,2061070200000.0,1862690000000.0,2273106500000.0,1470284700000.0,1487248600000.0,3314439400000.0,2389922000000.0,2581536700000.0
2093.0,2048374700000.0,1836967900000.0,2233242700000.0,1438892700000.0,1469112000000.0,3294908000000.0,2370556700000.0,2564173000000.0
2094.0,2028067900000.0,1802824500000.0,2208933300000.0,1412291600000.0,1456411100000.0,3277745300000.0,2360973500000.0,2547433300000.0
2095.0,2005559300000.0,1778763700000.0,2190060800000.0,1387690100000.0,1440828900000.0,3260042000000.0,2346126100000.0,2532495900000.0
2096.0,1981378700000.0,1753883200000.0,2176779800000.0,1366918600000.0,1423147500000.0,3249552500000.0,2334253000000.0,2525929000000.0
2097.0,1961723700000.0,1723855300000.0,2163279800000.0,1339234300000.0,1408816900000.0,3239016400000.0,2313394300000.0,2508733800000.0
2098.0,1932369500000.0,1700509600000.0,2145249900000.0,1316423900000.0,1390421500000.0,3217976700000.0,2306168800000.0,2493958300000.0
2099.0,1910933000000.0,1677855000000.0,2121110800000.0,1292587400000.0,1374614600000.0,3196621400000.0,2299456700000.0,2481794800000.0
2100.0,1886490700000.0,1656814400000.0,2101632200000.0,1259339800000.0,1357712200000.0,3188890300000.0,2287460700000.0,2466092700000.0
