time,MPI-ESM1-2-HR,UKESM1-0-LL,MRI-ESM2-0,IPSL-CM6A-LR,GFDL-ESM4
2071.0,5441311500000.0,630393730000.0,3912676700000.0,4528455000000.0,5785612000000.0
2072.0,5388873000000.0,546813380000.0,3831284600000.0,4466603000000.0,5733725000000.0
2073.0,5344986700000.0,476549800000.0,3743737700000.0,4400498000000.0,5685716000000.0
2074.0,5306876700000.0,419306300000.0,3620157800000.0,4321118000000.0,5616745000000.0
2075.0,5262865000000.0,363632260000.0,3558281300000.0,4246652600000.0,5548457600000.0
2076.0,5218592400000.0,312837800000.0,3421946800000.0,4177126500000.0,5463932000000.0
2077.0,5158022000000.0,269343700000.0,3297738000000.0,4108902200000.0,5366160000000.0
2078.0,5112258000000.0,236005520000.0,3193038200000.0,4036913800000.0,5290415600000.0
2079.0,5082477000000.0,200719430000.0,3105710000000.0,3960579800000.0,5231154000000.0
2080.0,5052447600000.0,170700060000.0,2990040200000.0,3896150600000.0,5195969300000.0
2081.0,5010893000000.0,140240580000.0,2868577800000.0,3800359000000.0,5113229300000.0
2082.0,4964899400000.0,114334310000.0,2772816600000.0,3738139000000.0,5062906000000.0
2083.0,4930139600000.0,90303324000.0,2671948600000.0,3672821000000.0,4998459600000.0
2084.0,4886967000000.0,69430075000.0,2580036200000.0,3613943000000.0,4932019700000.0
2085.0,4828623000000.0,51999785000.0,2507374000000.0,3528348000000.0,4904670700000.0
2086.0,4754744300000.0,39527318000.0,2419248000000.0,3437783200000.0,4857526000000.0
2087.0,4707638000000.0,29377446000.0,2347318600000.0,3344911800000.0,4805138300000.0
2088.0,4640480400000.0,21477951000.0,2305244800000.0,3253120800000.0,4719866000000.0
2089.0,4588309600000.0,15966727000.0,2235847700000.0,3176901400000.0,4665220500000.0
2090.0,4492550000000.0,11881971000.0,2172753000000.0,3075598500000.0,4604816000000.0
2091.0,4421326000000.0,8170961000.0,2082498000000.0,3002530300000.0,4526272700000.0
2092.0,4361939000000.0,5341088000.0,2022203700000.0,2927290000000.0,4440304600000.0
2093.0,4311598200000.0,3521186300.0,1953462700000.0,2876344000000.0,4378175000000.0
2094.0,4265937700000.0,2389970200.0,1907123800000.0,2803797900000.0,4308451000000.0
2095.0,4224877900000.0,1357204700.0,1871057900000.0,2719053000000.0,4268716200000.0
2096.0,4178538700000.0,579655040.0,1828193800000.0,2648808600000.0,4194588700000.0
2097.0,4136304600000.0,321113470.0,1774758000000.0,2583039800000.0,4160533800000.0
2098.0,4064793600000.0,299175970.0,1712547000000.0,2501351800000.0,4113695000000.0
2099.0,4021650700000.0,279335000.0,1649950500000.0,2441996400000.0,4038541200000.0
2100.0,3960555700000.0,260578130.0,1607950800000.0,2387532800000.0,3999154800000.0
