time,CESM1-CAM5,CCSM4,GISS-E2-R,CNRM-CM5,MPI-ESM-LR,GFDL-ESM2G,CANESM2,CSIRO-MK3-6-0,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR
2066.0,3749797000000.0,6705127600000.0,6207969000000.0,6221001000000.0,6184891000000.0,6419577300000.0,6151644600000.0,6297134600000.0,5855416700000.0,4009664400000.0,5254190000000.0
2067.0,3654450200000.0,6657350300000.0,6170407000000.0,6175581000000.0,6128976500000.0,6395065300000.0,6080271000000.0,6255238000000.0,5764698600000.0,3928618700000.0,5175973000000.0
2068.0,3567043200000.0,6622416500000.0,6130852000000.0,6128562000000.0,6074354000000.0,6359366500000.0,6049578400000.0,6207823700000.0,5701934000000.0,3834773800000.0,5105527600000.0
2069.0,3470896100000.0,6569787000000.0,6070477000000.0,6079666000000.0,6032517000000.0,6323956600000.0,5998423600000.0,6160436000000.0,5633180400000.0,3735487800000.0,5018230500000.0
2070.0,3382366700000.0,6515259000000.0,6031147500000.0,6029740300000.0,6001896000000.0,6284994000000.0,5968865300000.0,6122512000000.0,5565707700000.0,3648560800000.0,4929823000000.0
2071.0,3297190300000.0,6467685400000.0,5981998700000.0,5977777000000.0,5946670000000.0,6252785000000.0,5922697500000.0,6085975000000.0,5492525500000.0,3566358200000.0,4853643000000.0
2072.0,3224083000000.0,6422021500000.0,5937533000000.0,5933518300000.0,5900907000000.0,6222787400000.0,5877869300000.0,6048570000000.0,5414971000000.0,3479395000000.0,4786056300000.0
2073.0,3134121600000.0,6370881000000.0,5885847000000.0,5890635000000.0,5858273500000.0,6164722000000.0,5809663600000.0,5998738000000.0,5360478000000.0,3387996200000.0,4707759000000.0
2074.0,3047353200000.0,6321158500000.0,5842016000000.0,5853627000000.0,5809243000000.0,6138336000000.0,5751640000000.0,5957547000000.0,5295982500000.0,3307764400000.0,4649416000000.0
2075.0,2969804200000.0,6269506700000.0,5793316300000.0,5799508700000.0,5752890000000.0,6097394000000.0,5711852500000.0,5911935500000.0,5230720700000.0,3228247000000.0,4571118700000.0
2076.0,2879872600000.0,6222856600000.0,5748826300000.0,5723530500000.0,5702981000000.0,6057137000000.0,5675026000000.0,5861851000000.0,5155066500000.0,3149924700000.0,4487960000000.0
2077.0,2797173200000.0,6177023300000.0,5698837000000.0,5676795400000.0,5656910000000.0,6024874400000.0,5641818600000.0,5826015700000.0,5078185000000.0,3072935900000.0,4412814000000.0
