time,CANESM2,MPI-ESM-LR,GFDL-ESM2G,GISS-E2-R,CNRM-CM5,CESM1-CAM5,CCSM4,IPSL-CM5A-LR,GFDL-CM3,NORESM1-M,CSIRO-MK3-6-0
2056.0,6743745000000.0,6728571700000.0,7201874000000.0,6856010400000.0,7232118000000.0,5958717700000.0,7088889700000.0,5898211000000.0,5111042000000.0,6230297000000.0,6727168700000.0
2057.0,6697818000000.0,6696159000000.0,7164684400000.0,6832276000000.0,7200387400000.0,5877535000000.0,7074440000000.0,5836604700000.0,5008668000000.0,6180819700000.0,6692166000000.0
2058.0,6655599700000.0,6662272300000.0,7133333600000.0,6784343300000.0,7160325000000.0,5789584000000.0,7050276400000.0,5752405600000.0,4929910500000.0,6114393000000.0,6656590600000.0
2059.0,6606983500000.0,6625460500000.0,7082634400000.0,6748431000000.0,7108294600000.0,5703192300000.0,7027102300000.0,5692493000000.0,4846837000000.0,6048409700000.0,6617171000000.0
2060.0,6562749000000.0,6586717700000.0,7064879400000.0,6697523000000.0,7061201500000.0,5628383700000.0,6988571000000.0,5607621400000.0,4772038000000.0,5993968700000.0,6567681000000.0
2061.0,6529603300000.0,6537444600000.0,7026448500000.0,6669555000000.0,7014197000000.0,5554522000000.0,6966212600000.0,5553469000000.0,4694295400000.0,5919304000000.0,6537905400000.0
2062.0,6484403400000.0,6491426000000.0,6998596000000.0,6638454400000.0,6965732000000.0,5480430700000.0,6938155000000.0,5483684400000.0,4612150500000.0,5844008700000.0,6495229400000.0
2063.0,6450371400000.0,6451818400000.0,6955659700000.0,6599782400000.0,6914406600000.0,5399792000000.0,6909180000000.0,5427520000000.0,4515634000000.0,5776647000000.0,6453418500000.0
2064.0,6410216700000.0,6402880000000.0,6918599000000.0,6567834400000.0,6853981000000.0,5312614000000.0,6869071400000.0,5377802400000.0,4420712000000.0,5718199000000.0,6415285500000.0
2065.0,6363342000000.0,6366579000000.0,6886789000000.0,6517036000000.0,6804608000000.0,5218656300000.0,6840470500000.0,5313888000000.0,4333112000000.0,5650010600000.0,6369498000000.0
2066.0,6312014400000.0,6321679000000.0,6863614000000.0,6461784600000.0,6763472500000.0,5143096000000.0,6804586600000.0,5258495000000.0,4250618800000.0,5581406000000.0,6323040700000.0
2067.0,6271384700000.0,6267985700000.0,6851108300000.0,6420449000000.0,6712839400000.0,5076980600000.0,6772088000000.0,5183023000000.0,4166470600000.0,5523703300000.0,6275191500000.0
2068.0,6229437000000.0,6222934000000.0,6811497300000.0,6400397300000.0,6687707000000.0,5017275000000.0,6754150600000.0,5109115000000.0,4078268000000.0,5463626000000.0,6235710600000.0
2069.0,6190063400000.0,6173184000000.0,6786161000000.0,6376680000000.0,6647940400000.0,4950429000000.0,6727963000000.0,5056517600000.0,3990270000000.0,5419517000000.0,6206770400000.0
2070.0,6127993500000.0,6142211700000.0,6761582000000.0,6363655700000.0,6627835500000.0,4894446600000.0,6690967700000.0,4991567300000.0,3908952000000.0,5361395300000.0,6170080700000.0
2071.0,6074490400000.0,6107538400000.0,6734522400000.0,6346739500000.0,6573872000000.0,4835495600000.0,6646212000000.0,4913261700000.0,3823747700000.0,5298642000000.0,6132373000000.0
2072.0,6041675000000.0,6064431400000.0,6724521600000.0,6324378700000.0,6534376000000.0,4758618000000.0,6590062000000.0,4846337000000.0,3741364300000.0,5231599000000.0,6087399000000.0
2073.0,5999506000000.0,6020989500000.0,6697618000000.0,6297367300000.0,6468305700000.0,4701421600000.0,6549987700000.0,4777349000000.0,3656733700000.0,5171779700000.0,6051548600000.0
2074.0,5952737000000.0,5974558500000.0,6672833600000.0,6303131400000.0,6433211000000.0,4643127600000.0,6506828000000.0,4725391000000.0,3580876000000.0,5131342000000.0,6013161000000.0
2075.0,5903418400000.0,5929036700000.0,6664780500000.0,6288513700000.0,6396734000000.0,4590847700000.0,6474925000000.0,4664273700000.0,3500182900000.0,5079227000000.0,5975791600000.0
2076.0,5859506700000.0,5887087300000.0,6642398000000.0,6264145000000.0,6364587000000.0,4533229500000.0,6421411300000.0,4602276000000.0,3414830000000.0,5034857000000.0,5940375500000.0
2077.0,5819188000000.0,5851925000000.0,6618946700000.0,6236310000000.0,6344748000000.0,4476948700000.0,6397417000000.0,4555904400000.0,3335049700000.0,4982892400000.0,5897463000000.0
2078.0,5767798700000.0,5819587400000.0,6612855000000.0,6197597400000.0,6315067000000.0,4409829000000.0,6372709000000.0,4494317000000.0,3256408900000.0,4926683000000.0,5852931600000.0
2079.0,5720628000000.0,5783824600000.0,6582735000000.0,6157775700000.0,6268941500000.0,4358447800000.0,6326248300000.0,4439530000000.0,3180473000000.0,4864336000000.0,5820304000000.0
2080.0,5666362600000.0,5744152300000.0,6542297000000.0,6136830000000.0,6240494700000.0,4298655000000.0,6291035000000.0,4379149000000.0,3111196300000.0,4797836000000.0,5785365000000.0
2081.0,5612853000000.0,5704060000000.0,6508336600000.0,6108339500000.0,6203564400000.0,4234791400000.0,6263973000000.0,4322841600000.0,3048783200000.0,4735719400000.0,5740359000000.0
2082.0,5573951000000.0,5676247500000.0,6494058000000.0,6064704000000.0,6169867300000.0,4173815000000.0,6228710000000.0,4255537000000.0,2983106000000.0,4669825400000.0,5702094000000.0
2083.0,5525206000000.0,5640132000000.0,6462908000000.0,6045619000000.0,6131692300000.0,4127621000000.0,6195974000000.0,4223859700000.0,2913977200000.0,4610715500000.0,5660171300000.0
2084.0,5468259400000.0,5594866500000.0,6430073600000.0,6027268300000.0,6103252000000.0,4068898000000.0,6159435600000.0,4170961400000.0,2856864400000.0,4551348300000.0,5607787600000.0
2085.0,5410311400000.0,5571403600000.0,6411698300000.0,6005221500000.0,6074391300000.0,4024163600000.0,6119864000000.0,4110509700000.0,2794398700000.0,4507357400000.0,5574657300000.0
2086.0,5369540600000.0,5510741000000.0,6387670000000.0,5983998000000.0,6060060400000.0,3971701500000.0,6086010600000.0,4055449500000.0,2733374200000.0,4450879000000.0,5544431000000.0
