time,CNRM-CM5,GISS-E2-R,CCSM4,CANESM2,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M,CSIRO-MK3-6-0,IPSL-CM5A-LR,GFDL-CM3
2050.0,6588290000000.0,6648011700000.0,6886158500000.0,6650712300000.0,6989629400000.0,6962916400000.0,6408461400000.0,6990236000000.0,6633343700000.0,5616189000000.0
2051.0,6531435700000.0,6590521000000.0,6823715000000.0,6595088000000.0,6939863400000.0,6902569000000.0,6331435600000.0,6953190300000.0,6553742000000.0,5500464000000.0
2052.0,6454205500000.0,6540319000000.0,6767254000000.0,6521985400000.0,6897193000000.0,6847209000000.0,6251527000000.0,6916091000000.0,6471593500000.0,5372893000000.0
2053.0,6380046000000.0,6486507000000.0,6684459000000.0,6441337000000.0,6857172700000.0,6789800000000.0,6182198000000.0,6863599400000.0,6400530000000.0,5249832000000.0
2054.0,6314398300000.0,6419387500000.0,6614097600000.0,6371772700000.0,6817642000000.0,6728777000000.0,6123025300000.0,6817484600000.0,6330845000000.0,5142069000000.0
2055.0,6256997000000.0,6338415400000.0,6568549500000.0,6304207700000.0,6750754300000.0,6669930000000.0,6051991700000.0,6766536400000.0,6245606000000.0,5036487000000.0
2056.0,6188195000000.0,6286807700000.0,6494117400000.0,6225422500000.0,6697870000000.0,6623399000000.0,5975133700000.0,6729414000000.0,6156875500000.0,4911213000000.0
2057.0,6130188700000.0,6247261000000.0,6435463000000.0,6154484700000.0,6636168000000.0,6571246500000.0,5875081700000.0,6681460700000.0,6077010000000.0,4786729500000.0
2058.0,6068602000000.0,6203799000000.0,6368665300000.0,6095896600000.0,6588982600000.0,6504941400000.0,5788880000000.0,6615706000000.0,5974108700000.0,4656642700000.0
2059.0,6005684000000.0,6171938000000.0,6299950000000.0,6010553000000.0,6543572000000.0,6440859700000.0,5697312000000.0,6569574500000.0,5882803400000.0,4531896700000.0
2060.0,5956553400000.0,6114544000000.0,6253615000000.0,5953199500000.0,6489086400000.0,6386490500000.0,5605538000000.0,6514635000000.0,5788549500000.0,4413397700000.0
2061.0,5886136000000.0,6039633000000.0,6169644500000.0,5876993000000.0,6447636000000.0,6346749500000.0,5525944000000.0,6453881000000.0,5690505600000.0,4296455000000.0
2062.0,5803315000000.0,5980763000000.0,6078152000000.0,5792261000000.0,6394882000000.0,6275179500000.0,5445491000000.0,6393067700000.0,5589165000000.0,4183334000000.0
2063.0,5728670000000.0,5925914000000.0,6006435000000.0,5714244000000.0,6346597500000.0,6202800000000.0,5357727400000.0,6331544600000.0,5507644400000.0,4074798300000.0
2064.0,5646745000000.0,5883501000000.0,5923754500000.0,5653396500000.0,6284850000000.0,6145821400000.0,5266925400000.0,6282786000000.0,5402385000000.0,3954802700000.0
2065.0,5575412000000.0,5813557500000.0,5848597300000.0,5579530600000.0,6234665000000.0,6070597600000.0,5163237000000.0,6233390600000.0,5317159600000.0,3842031200000.0
2066.0,5489996000000.0,5739379700000.0,5777484400000.0,5513671600000.0,6207725600000.0,6004394700000.0,5073126000000.0,6174995000000.0,5218607600000.0,3730282000000.0
2067.0,5415887000000.0,5676319400000.0,5733686000000.0,5451580000000.0,6150368000000.0,5941105000000.0,4980623300000.0,6112808500000.0,5111227000000.0,3608506000000.0
2068.0,5338652700000.0,5614243700000.0,5664849500000.0,5360060000000.0,6111665000000.0,5859830000000.0,4879662000000.0,6030052000000.0,5004145500000.0,3499430200000.0
2069.0,5284342000000.0,5548672500000.0,5593847000000.0,5262909400000.0,6076164000000.0,5802075600000.0,4768927000000.0,5961495300000.0,4906835000000.0,3389858300000.0
2070.0,5212140000000.0,5470899700000.0,5531475000000.0,5175354000000.0,6042264000000.0,5749062000000.0,4661126000000.0,5885781000000.0,4811381500000.0,3274680800000.0
2071.0,5149714000000.0,5407715600000.0,5459318700000.0,5093293300000.0,5999483700000.0,5690651000000.0,4563031000000.0,5823955000000.0,4710422500000.0,3167088800000.0
2072.0,5075801000000.0,5354036400000.0,5392271700000.0,5003508000000.0,5935905400000.0,5618267000000.0,4469261000000.0,5752042300000.0,4600112000000.0,3058898000000.0
2073.0,4996653000000.0,5292779600000.0,5326500000000.0,4911558000000.0,5905147000000.0,5537084000000.0,4365050000000.0,5685112700000.0,4508887000000.0,2955968200000.0
2074.0,4913595700000.0,5228256000000.0,5254816500000.0,4812470000000.0,5861595000000.0,5469526000000.0,4258021200000.0,5598425000000.0,4416371400000.0,2857846700000.0
2075.0,4827302600000.0,5153502500000.0,5198046600000.0,4723208400000.0,5807514000000.0,5394759400000.0,4162933200000.0,5517015000000.0,4322751200000.0,2747017200000.0
2076.0,4751756400000.0,5087983000000.0,5131537000000.0,4637495700000.0,5752329000000.0,5323223000000.0,4048940200000.0,5413587000000.0,4203107300000.0,2649027000000.0
2077.0,4672794400000.0,5019994000000.0,5069999700000.0,4542731000000.0,5687053000000.0,5250362000000.0,3942518600000.0,5334533000000.0,4102740200000.0,2556158000000.0
2078.0,4589957400000.0,4938262000000.0,5013616700000.0,4446753000000.0,5613348700000.0,5180894500000.0,3845937000000.0,5238545000000.0,3983937600000.0,2457646100000.0
2079.0,4501702000000.0,4863530400000.0,4946944600000.0,4353087000000.0,5554770000000.0,5116262000000.0,3735416500000.0,5151786500000.0,3885533800000.0,2365819200000.0
2080.0,4408512300000.0,4776022000000.0,4878512000000.0,4256996500000.0,5497791400000.0,5020275000000.0,3621641500000.0,5060195000000.0,3790483200000.0,2263349500000.0
2081.0,4324033800000.0,4719649500000.0,4807247000000.0,4179922300000.0,5436528400000.0,4948078000000.0,3519811000000.0,4977997000000.0,3696497500000.0,2177491000000.0
2082.0,4247832500000.0,4655397500000.0,4733187700000.0,4081852600000.0,5384359000000.0,4873303600000.0,3425973000000.0,4891438000000.0,3597157500000.0,2086292300000.0
2083.0,4157618500000.0,4573499000000.0,4672135000000.0,3999671300000.0,5333888500000.0,4804349000000.0,3331064900000.0,4798848400000.0,3496307900000.0,2003752800000.0
2084.0,4067265300000.0,4515702500000.0,4618222300000.0,3899010600000.0,5298435000000.0,4748841300000.0,3233208900000.0,4699668300000.0,3404397500000.0,1910821500000.0
2085.0,3972740700000.0,4447214000000.0,4530747500000.0,3802468200000.0,5253079500000.0,4661787000000.0,3141699000000.0,4609068000000.0,3301055100000.0,1821966500000.0
2086.0,3893648700000.0,4398614300000.0,4443576700000.0,3708774500000.0,5198023500000.0,4590528400000.0,3050457800000.0,4508004000000.0,3205926700000.0,1742156700000.0
2087.0,3804198000000.0,4341965500000.0,4371901000000.0,3602700000000.0,5130136000000.0,4530297000000.0,2961646000000.0,4420950600000.0,3111886500000.0,1665829700000.0
2088.0,3713754500000.0,4266711800000.0,4298810000000.0,3507424900000.0,5065513000000.0,4459032000000.0,2869866300000.0,4327326000000.0,3014729400000.0,1584665100000.0
2089.0,3624782300000.0,4193910300000.0,4219397700000.0,3421817800000.0,5003964600000.0,4385535000000.0,2770693000000.0,4228094400000.0,2921037300000.0,1508224700000.0
2090.0,3534489600000.0,4104183600000.0,4134645000000.0,3333735000000.0,4941164300000.0,4306173700000.0,2689528800000.0,4136841000000.0,2819467500000.0,1435687000000.0
2091.0,3445023600000.0,4043313800000.0,4044260600000.0,3240265500000.0,4897571300000.0,4241300000000.0,2610673500000.0,4042689300000.0,2729717800000.0,1367074000000.0
2092.0,3372449000000.0,3986467800000.0,3967158600000.0,3148514900000.0,4836277400000.0,4164639300000.0,2524403200000.0,3946840000000.0,2634026800000.0,1300220600000.0
2093.0,3289732600000.0,3911055600000.0,3905146000000.0,3066756900000.0,4769275000000.0,4098448200000.0,2442274000000.0,3847136200000.0,2543718500000.0,1233176400000.0
2094.0,3216634500000.0,3840408800000.0,3804216000000.0,2971522300000.0,4712332500000.0,4037169400000.0,2356102800000.0,3735303000000.0,2453259400000.0,1167336000000.0
2095.0,3122754000000.0,3764238400000.0,3731846900000.0,2886138000000.0,4660198000000.0,3948672500000.0,2272055000000.0,3636024000000.0,2353545300000.0,1101768800000.0
2096.0,3033054300000.0,3703457700000.0,3654539500000.0,2809584700000.0,4594893600000.0,3872355000000.0,2183685500000.0,3544422500000.0,2272236700000.0,1036209700000.0
2097.0,2940363000000.0,3645333600000.0,3585454400000.0,2737675200000.0,4521289000000.0,3803295300000.0,2106586700000.0,3456955800000.0,2179539800000.0,972624560000.0
2098.0,2878383800000.0,3573169500000.0,3506341400000.0,2659619200000.0,4455702500000.0,3735529700000.0,2029635600000.0,3357453300000.0,2090630000000.0,912772040000.0
2099.0,2811139500000.0,3513382900000.0,3430415900000.0,2581965600000.0,4382440800000.0,3658258000000.0,1961378300000.0,3267921200000.0,2006689600000.0,856722400000.0
2100.0,2744572000000.0,3443499000000.0,3339984300000.0,2508658600000.0,4305164000000.0,3575186000000.0,1889797800000.0,3179008800000.0,1926803800000.0,801156900000.0
