time,GISS-E2-R,GFDL-CM3,CESM1-CAM5,GFDL-ESM2G,CCSM4,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0
2088.0,11175017000000.0,9220457000000.0,7559432400000.0,12593293000000.0,10490949000000.0,8862539000000.0,7041277500000.0,10991916000000.0
2089.0,11064358000000.0,9078260000000.0,7413945600000.0,12465641000000.0,10338261000000.0,8715841000000.0,6892497000000.0,10861355000000.0
2090.0,10959803000000.0,8970199000000.0,7241545500000.0,12369547000000.0,10163384000000.0,8566747000000.0,6778031000000.0,10783972000000.0
2091.0,10956526000000.0,8816925000000.0,7058936600000.0,12291638000000.0,9949060000000.0,8356683600000.0,6589851400000.0,10675938000000.0
2092.0,10887906000000.0,8629463300000.0,6932780300000.0,12220082000000.0,9800442000000.0,8183501000000.0,6384358000000.0,10552261000000.0
2093.0,10854114000000.0,8500518000000.0,6821614500000.0,12137322000000.0,9613912000000.0,8055953600000.0,6188536700000.0,10433528000000.0
2094.0,10765201000000.0,8337230400000.0,6665676500000.0,12139030000000.0,9480690000000.0,7959687000000.0,5991449500000.0,10334620000000.0
2095.0,10732301000000.0,8210303400000.0,6474815000000.0,12062895000000.0,9322451000000.0,7868030000000.0,5804003000000.0,10250462000000.0
2096.0,10692624000000.0,8082066000000.0,6342217000000.0,11970073000000.0,9162508000000.0,7741397000000.0,5700077500000.0,10103570000000.0
2097.0,10668408000000.0,7981296500000.0,6238814000000.0,11833607000000.0,9099122000000.0,7632753000000.0,5600487400000.0,10003902000000.0
2098.0,10605972000000.0,7807855000000.0,6080361400000.0,11758265000000.0,8979237000000.0,7539406700000.0,5488881700000.0,9844979000000.0
2099.0,10574680000000.0,7658009000000.0,5882021700000.0,11709673000000.0,8858208000000.0,7361914700000.0,5384461000000.0,9661087000000.0
2100.0,10529716000000.0,7508448500000.0,5771428000000.0,11585174000000.0,8744235700000.0,7253547500000.0,5240350000000.0,9541738000000.0
