time,GFDL-CM3,GISS-E2-R,IPSL-CM5A-LR,CANESM2,MPI-ESM-LR,CCSM4,GFDL-ESM2G,NORESM1-M,CNRM-CM5,CSIRO-MK3-6-0
2070.0,9600441000000.0,13423765000000.0,9211524000000.0,10195957000000.0,11595850000000.0,9412330000000.0,11834113000000.0,9396388000000.0,13099297000000.0,11624235000000.0
2071.0,9396355000000.0,13316457000000.0,9000298000000.0,10003834000000.0,11428752000000.0,9221253000000.0,11719014000000.0,9180746000000.0,12971775000000.0,11480287000000.0
2072.0,9251135000000.0,13159453000000.0,8790674000000.0,9829981000000.0,11254278000000.0,9023792000000.0,11625713000000.0,8920479000000.0,12932768000000.0,11289502000000.0
2073.0,9066184000000.0,13143878000000.0,8600945700000.0,9611385000000.0,11133183000000.0,8849241000000.0,11448610000000.0,8663869700000.0,12796422000000.0,11059549000000.0
2074.0,8921746000000.0,13038658000000.0,8374678000000.0,9436374000000.0,10970045000000.0,8678478000000.0,11404417000000.0,8409545000000.0,12635413000000.0,10926545000000.0
2075.0,8706788000000.0,12854528000000.0,8170688000000.0,9274743000000.0,10813938000000.0,8491389000000.0,11350464000000.0,8134713700000.0,12460005000000.0,10694250000000.0
2076.0,8538366700000.0,12805636000000.0,8004604300000.0,9115018000000.0,10671644000000.0,8292769000000.0,11134669000000.0,7850854700000.0,12325294000000.0,10600327000000.0
2077.0,8340442700000.0,12728473000000.0,7836529600000.0,8951353000000.0,10443446000000.0,8098798400000.0,10947873000000.0,7605609000000.0,12176073000000.0,10472621000000.0
2078.0,8119128700000.0,12668798000000.0,7693632300000.0,8843062000000.0,10269248000000.0,7917796300000.0,10836842000000.0,7394850000000.0,12023573000000.0,10237923000000.0
2079.0,7962066000000.0,12615958000000.0,7463632400000.0,8671230700000.0,9974289000000.0,7705189000000.0,10729420000000.0,7196489300000.0,11906657000000.0,10083969000000.0
2080.0,7754640000000.0,12548713000000.0,7318087400000.0,8452555400000.0,9834236000000.0,7519344300000.0,10578047000000.0,7023398000000.0,11806870000000.0,9890206000000.0
2081.0,7548033000000.0,12407939000000.0,7134824000000.0,8233241000000.0,9737174000000.0,7380719000000.0,10482213000000.0,6876469700000.0,11640887000000.0,9705612000000.0
2082.0,7402572000000.0,12281043000000.0,6931407700000.0,8061726500000.0,9583858000000.0,7182838000000.0,10427536000000.0,6705226700000.0,11442989000000.0,9500004000000.0
2083.0,7199326700000.0,12200334000000.0,6808448500000.0,7880287700000.0,9483205000000.0,6977753700000.0,10376773000000.0,6506166600000.0,11250747000000.0,9367582000000.0
2084.0,6993075000000.0,12176816000000.0,6655531500000.0,7726308000000.0,9258111000000.0,6813374000000.0,10260452000000.0,6311754000000.0,11090313000000.0,9216808000000.0
2085.0,6796761000000.0,12016352000000.0,6421604000000.0,7555503000000.0,9080061000000.0,6637959500000.0,10238536000000.0,6124428000000.0,10937112000000.0,9041166000000.0
2086.0,6671179000000.0,11926833000000.0,6232517600000.0,7408174000000.0,8937189000000.0,6434522000000.0,10201100000000.0,5984413500000.0,10851299000000.0,8821262000000.0
2087.0,6498229000000.0,11843149000000.0,6058446000000.0,7242479300000.0,8800105000000.0,6263635700000.0,10154457000000.0,5794935000000.0,10751604000000.0,8676310000000.0
2088.0,6359540600000.0,11785603000000.0,5876261000000.0,7078751000000.0,8621947000000.0,6046190000000.0,10000734000000.0,5591811500000.0,10650483000000.0,8506261400000.0
2089.0,6199140400000.0,11693506000000.0,5686774000000.0,6946364000000.0,8371973000000.0,5864644000000.0,9901572000000.0,5418748000000.0,10537139000000.0,8344884000000.0
