time,GISS-E2-R,GFDL-CM3,GFDL-ESM2G,CCSM4,MPI-ESM-LR,CANESM2,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0,CNRM-CM5,CESM1-CAM5
2061.0,13884323000000.0,12336376000000.0,13747315000000.0,14429370000000.0,13167412000000.0,12344101000000.0,12955899000000.0,11639507000000.0,12405474000000.0,14367813000000.0,12630322000000.0
2062.0,13798384000000.0,12213817000000.0,13629764000000.0,14286901000000.0,13033173000000.0,12207048000000.0,12802646000000.0,11439088000000.0,12261430000000.0,14241216000000.0,12501561000000.0
2063.0,13712106000000.0,12080951000000.0,13561526000000.0,14113486000000.0,12965859000000.0,12095511000000.0,12607992000000.0,11279970000000.0,12065602000000.0,14153184000000.0,12419735000000.0
2064.0,13593660000000.0,11910145000000.0,13519305000000.0,13965870000000.0,12767231000000.0,11994328000000.0,12437587000000.0,11167156000000.0,11860867000000.0,14097661000000.0,12272863000000.0
2065.0,13513592000000.0,11774563000000.0,13409279000000.0,13861117000000.0,12647014000000.0,11866774000000.0,12362154000000.0,10974088000000.0,11753413000000.0,14036095000000.0,12047126000000.0
2066.0,13442406000000.0,11634078000000.0,13318710000000.0,13756853000000.0,12533846000000.0,11698163000000.0,12220620000000.0,10802751000000.0,11630872000000.0,13878907000000.0,11908970000000.0
2067.0,13389225000000.0,11447301000000.0,13080997000000.0,13648208000000.0,12440828000000.0,11600808000000.0,12118672000000.0,10649792000000.0,11471414000000.0,13757591000000.0,11674980000000.0
2068.0,13311161000000.0,11363660000000.0,12940398000000.0,13543159000000.0,12356238000000.0,11474373000000.0,12061858000000.0,10528906000000.0,11388749000000.0,13722488000000.0,11347138000000.0
2069.0,13193132000000.0,11203765000000.0,12855794000000.0,13449811000000.0,12254871000000.0,11355917000000.0,11958708000000.0,10422943000000.0,11250824000000.0,13656678000000.0,11172944000000.0
2070.0,13087156000000.0,11086935000000.0,12801491000000.0,13325890000000.0,12072675000000.0,11215012000000.0,11791042000000.0,10262583000000.0,11125015000000.0,13555696000000.0,10994354000000.0
2071.0,13032380000000.0,10901736000000.0,12682188000000.0,13177888000000.0,11895994000000.0,11060393000000.0,11668516000000.0,10144626000000.0,10997278000000.0,13511133000000.0,10761716000000.0
2072.0,13004951000000.0,10800059000000.0,12620792000000.0,13103327000000.0,11838762000000.0,10915981000000.0,11554386000000.0,10035146000000.0,10851154000000.0,13479646000000.0,10633318000000.0
2073.0,12940396000000.0,10673438000000.0,12552400000000.0,13001256000000.0,11725640000000.0,10820296000000.0,11458348000000.0,9913035000000.0,10682239000000.0,13327802000000.0,10438024000000.0
2074.0,12854158000000.0,10501357000000.0,12532287000000.0,12917708000000.0,11638872000000.0,10723979000000.0,11416299000000.0,9786635000000.0,10528365000000.0,13252635000000.0,10254432000000.0
2075.0,12761288000000.0,10372624000000.0,12490101000000.0,12821240000000.0,11515213000000.0,10637547000000.0,11256848000000.0,9636226000000.0,10388249000000.0,13153884000000.0,10155949000000.0
2076.0,12677409000000.0,10259674000000.0,12435753000000.0,12664641000000.0,11413683000000.0,10499218000000.0,11178075000000.0,9560920000000.0,10251790000000.0,12979872000000.0,10042081000000.0
2077.0,12607302000000.0,10125201000000.0,12329600000000.0,12571405000000.0,11385951000000.0,10362706000000.0,11024232000000.0,9476557000000.0,10120536000000.0,12910747000000.0,9883720000000.0
2078.0,12527420000000.0,9967276000000.0,12168258000000.0,12445708000000.0,11265128000000.0,10236912000000.0,10905416000000.0,9306578000000.0,9995881000000.0,12792648000000.0,9741830000000.0
2079.0,12468305000000.0,9903040000000.0,12060201000000.0,12386151000000.0,11150269000000.0,10095506000000.0,10775677000000.0,9175873000000.0,9861041000000.0,12696640000000.0,9639459000000.0
2080.0,12392398000000.0,9782146000000.0,12041051000000.0,12259874000000.0,11082767000000.0,10005137000000.0,10621733000000.0,9049820000000.0,9697279000000.0,12610026000000.0,9519305000000.0
2081.0,12348670000000.0,9639982000000.0,11983618000000.0,12175732000000.0,10982733000000.0,9907337000000.0,10476065000000.0,8838946000000.0,9607016000000.0,12523581000000.0,9429159000000.0
2082.0,12249703000000.0,9609935000000.0,11962487000000.0,12071780000000.0,10819557000000.0,9773784000000.0,10319955000000.0,8679040500000.0,9462530000000.0,12432559000000.0,9239220000000.0
2083.0,12200835000000.0,9489323000000.0,11940797000000.0,11939604000000.0,10734778000000.0,9670396000000.0,10221799000000.0,8532103000000.0,9359885000000.0,12371699000000.0,9030372000000.0
2084.0,12112085000000.0,9353880000000.0,11888716000000.0,11843679000000.0,10646370000000.0,9576825000000.0,10077115000000.0,8407896000000.0,9271041000000.0,12254558000000.0,8898880000000.0
2085.0,12047695000000.0,9203106000000.0,11864388000000.0,11748400000000.0,10623134000000.0,9419877000000.0,9997461000000.0,8231080400000.0,9195879000000.0,12125054000000.0,8813495000000.0
2086.0,11930456000000.0,9073283000000.0,11762938000000.0,11627108000000.0,10551980000000.0,9301933000000.0,9921290000000.0,8091178000000.0,9118158000000.0,12119907000000.0,8648869300000.0
2087.0,11877474000000.0,8942592000000.0,11689214000000.0,11548164000000.0,10465495000000.0,9229525000000.0,9853031000000.0,8026843500000.0,9028127000000.0,12099658000000.0,8499776000000.0
2088.0,11769617000000.0,8830826000000.0,11606261000000.0,11504738000000.0,10403986000000.0,9145722000000.0,9769244000000.0,7999890400000.0,8956179000000.0,12029653000000.0,8375951000000.0
2089.0,11691525000000.0,8730547600000.0,11566606000000.0,11367743000000.0,10357442000000.0,9005161000000.0,9687320000000.0,7956934400000.0,8869883000000.0,11979141000000.0,8184173400000.0
2090.0,11658761000000.0,8636047300000.0,11458458000000.0,11233048000000.0,10289570000000.0,8917926000000.0,9553398000000.0,7754148000000.0,8770781000000.0,11961057000000.0,7995716000000.0
2091.0,11634790000000.0,8517461000000.0,11342209000000.0,11089488000000.0,10245383000000.0,8870056000000.0,9432143000000.0,7583295300000.0,8696730500000.0,11893886000000.0,7833296000000.0
2092.0,11548591000000.0,8407063000000.0,11308795000000.0,10976256000000.0,10149482000000.0,8779224000000.0,9344016000000.0,7452965000000.0,8550052500000.0,11825889000000.0,7697716000000.0
2093.0,11546374000000.0,8259027600000.0,11299990000000.0,10886121000000.0,10095906000000.0,8738604300000.0,9189946000000.0,7397835000000.0,8438796500000.0,11775659000000.0,7590928400000.0
2094.0,11476415000000.0,8146994600000.0,11296167000000.0,10720861000000.0,10031153000000.0,8628819500000.0,9077355000000.0,7304825000000.0,8331817600000.0,11670116000000.0,7431831000000.0
2095.0,11431537000000.0,8073488000000.0,11184902000000.0,10584965000000.0,9983487000000.0,8534544000000.0,9002481000000.0,7142570000000.0,8265196400000.0,11606587000000.0,7348432000000.0
2096.0,11347674000000.0,7994623000000.0,11118028000000.0,10477627000000.0,9859297000000.0,8464468000000.0,8955045000000.0,6984426000000.0,8174691000000.0,11524242000000.0,7225521700000.0
2097.0,11233147000000.0,7840836000000.0,11096069000000.0,10314639000000.0,9805367000000.0,8427648000000.0,8836963000000.0,6851605300000.0,8105884600000.0,11439464000000.0,7080891600000.0
2098.0,11188854000000.0,7728393600000.0,11032846000000.0,10196894000000.0,9777925000000.0,8349098000000.0,8670405500000.0,6703220000000.0,8038237300000.0,11328750000000.0,6938612500000.0
2099.0,11099499000000.0,7597672000000.0,11015669000000.0,10117133000000.0,9710517000000.0,8270210700000.0,8577743000000.0,6534038000000.0,7944472600000.0,11250651000000.0,6824816300000.0
2100.0,11080770000000.0,7490605400000.0,10909049000000.0,10010835000000.0,9738365000000.0,8191532300000.0,8462961500000.0,6434480000000.0,7844329400000.0,11220065000000.0,6714515500000.0
