time,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR
2052.0,6004446600000.0,6490292000000.0,6811730000000.0,6663568400000.0,6308433500000.0,6521758000000.0
2053.0,5926894400000.0,6447624000000.0,6751814000000.0,6592181300000.0,6246958600000.0,6463626400000.0
2054.0,5857140000000.0,6396905500000.0,6704982000000.0,6540148000000.0,6183294000000.0,6412086000000.0
2055.0,5770675500000.0,6332508000000.0,6662503000000.0,6476629000000.0,6112404300000.0,6329953400000.0
2056.0,5700408000000.0,6264956400000.0,6632548300000.0,6420070700000.0,6046137000000.0,6262834600000.0
2057.0,5613889000000.0,6228170000000.0,6588169500000.0,6346661000000.0,5981323000000.0,6225572400000.0
2058.0,5537447000000.0,6166445300000.0,6543370000000.0,6285779000000.0,5925018500000.0,6175618000000.0
2059.0,5473724000000.0,6131674000000.0,6488397000000.0,6224793000000.0,5874094400000.0,6113559300000.0
2060.0,5387433500000.0,6073051000000.0,6441319500000.0,6172689000000.0,5816291700000.0,6045222600000.0
2061.0,5303077000000.0,6009494000000.0,6402755500000.0,6114166000000.0,5756933000000.0,5973261000000.0
2062.0,5237977000000.0,5955241000000.0,6371339700000.0,6055525400000.0,5701099000000.0,5909237000000.0
2063.0,5175167700000.0,5893542400000.0,6331705000000.0,5997105500000.0,5616904400000.0,5855296600000.0
2064.0,5120551600000.0,5838632600000.0,6285329000000.0,5954258600000.0,5548430000000.0,5776011700000.0
2065.0,5050683400000.0,5782623500000.0,6243605300000.0,5914343000000.0,5483260300000.0,5717349600000.0
2066.0,4948368600000.0,5740447700000.0,6186268600000.0,5869778000000.0,5413680000000.0,5661708000000.0
2067.0,4859262700000.0,5695521400000.0,6145546000000.0,5799701000000.0,5344849300000.0,5586379300000.0
2068.0,4796615000000.0,5634408000000.0,6103364000000.0,5734557300000.0,5293257000000.0,5514383000000.0
2069.0,4716258000000.0,5592004400000.0,6056358400000.0,5672963400000.0,5231439000000.0,5449041600000.0
2070.0,4658685000000.0,5544304000000.0,6028048500000.0,5608558300000.0,5171561600000.0,5388976500000.0
2071.0,4584513700000.0,5501816400000.0,5995515300000.0,5563393500000.0,5107793500000.0,5326425300000.0
2072.0,4524372000000.0,5460219400000.0,5950598500000.0,5502919000000.0,5053651000000.0,5238464400000.0
2073.0,4455993000000.0,5408568600000.0,5906798000000.0,5445900000000.0,4991462400000.0,5156279000000.0
2074.0,4390158600000.0,5372110700000.0,5868613500000.0,5387061000000.0,4926929000000.0,5073368000000.0
2075.0,4309709500000.0,5327072300000.0,5827446400000.0,5338503300000.0,4875650000000.0,5009080000000.0
2076.0,4233517900000.0,5281542000000.0,5796378700000.0,5285503600000.0,4823495700000.0,4934272500000.0
2077.0,4163522000000.0,5228690700000.0,5746360000000.0,5227768400000.0,4764263000000.0,4848963600000.0
2078.0,4106361500000.0,5185473600000.0,5716917000000.0,5181449700000.0,4720944500000.0,4767250000000.0
2079.0,4034867500000.0,5130121000000.0,5677527000000.0,5115715500000.0,4657219000000.0,4686150000000.0
2080.0,3988104400000.0,5103270500000.0,5639910700000.0,5066783000000.0,4595105400000.0,4603201000000.0
2081.0,3923923400000.0,5068041000000.0,5594869700000.0,4997528400000.0,4552100000000.0,4527033000000.0
2082.0,3865793800000.0,5020520000000.0,5549615000000.0,4942388500000.0,4510383000000.0,4443884500000.0
2083.0,3799855700000.0,4978690000000.0,5511717600000.0,4897389000000.0,4461391000000.0,4387108300000.0
2084.0,3736768300000.0,4933408000000.0,5465606000000.0,4839702000000.0,4407607400000.0,4310554400000.0
2085.0,3671195000000.0,4898266000000.0,5432828000000.0,4795825000000.0,4353621200000.0,4246077200000.0
2086.0,3611262200000.0,4866808000000.0,5392279500000.0,4750202000000.0,4303315800000.0,4167821400000.0
2087.0,3547542600000.0,4823108000000.0,5367497000000.0,4706701000000.0,4231317400000.0,4080533500000.0
2088.0,3492853300000.0,4785858000000.0,5328976500000.0,4649344000000.0,4180298200000.0,4017620000000.0
2089.0,3437977000000.0,4745868600000.0,5285792000000.0,4600258600000.0,4118590000000.0,3948647800000.0
2090.0,3394908000000.0,4716504300000.0,5265747000000.0,4542740600000.0,4067090000000.0,3858603200000.0
2091.0,3329362200000.0,4688287000000.0,5224945700000.0,4485102400000.0,4019066500000.0,3778461000000.0
2092.0,3260590300000.0,4664824700000.0,5192330000000.0,4438983400000.0,3964470800000.0,3713797000000.0
2093.0,3195610600000.0,4620085600000.0,5148372400000.0,4385966000000.0,3924851000000.0,3638827000000.0
2094.0,3141123200000.0,4590573000000.0,5104973400000.0,4318591700000.0,3881606300000.0,3586015000000.0
2095.0,3090209600000.0,4578497500000.0,5057618000000.0,4263980000000.0,3830086400000.0,3528722000000.0
2096.0,3036021300000.0,4544602300000.0,5006576600000.0,4202939800000.0,3787166300000.0,3466820600000.0
2097.0,2982387400000.0,4503999300000.0,4962640700000.0,4139012000000.0,3741492200000.0,3402006800000.0
2098.0,2939515600000.0,4472623000000.0,4932013400000.0,4093612400000.0,3684908700000.0,3336444800000.0
2099.0,2891385000000.0,4444832400000.0,4895504000000.0,4037377000000.0,3637299000000.0,3278985800000.0
2100.0,2838995700000.0,4424275000000.0,4859897000000.0,3987935000000.0,3589965300000.0,3226789700000.0
2101.0,2793124000000.0,4391086600000.0,4812064000000.0,3943712400000.0,3544966800000.0,3179168700000.0
2102.0,2762091500000.0,4347179600000.0,4780827000000.0,3889133800000.0,3493009000000.0,3122278000000.0
2103.0,2723786800000.0,4329969500000.0,4741202000000.0,3840700000000.0,3454796600000.0,3063572000000.0
2104.0,2698936600000.0,4303937600000.0,4689490300000.0,3785398000000.0,3402356200000.0,3003531400000.0
2105.0,2659246000000.0,4275588800000.0,4660985300000.0,3731047600000.0,3350982300000.0,2932795000000.0
2106.0,2613888700000.0,4245510700000.0,4619027600000.0,3669998000000.0,3293793700000.0,2879296600000.0
2107.0,2577448300000.0,4219423000000.0,4592237000000.0,3626249700000.0,3241842800000.0,2836042400000.0
2108.0,2539993200000.0,4182589600000.0,4556563400000.0,3581070300000.0,3189921500000.0,2792518000000.0
2109.0,2509335200000.0,4147856800000.0,4523209000000.0,3529182800000.0,3152387200000.0,2741821500000.0
2110.0,2485931700000.0,4142879200000.0,4505350400000.0,3485835000000.0,3107818300000.0,2694840600000.0
2111.0,2450996900000.0,4123711000000.0,4474676400000.0,3434644000000.0,3065925600000.0,2632162200000.0
2112.0,2416445800000.0,4101023700000.0,4452296700000.0,3393294200000.0,3024756700000.0,2584495300000.0
2113.0,2381137000000.0,4065829600000.0,4424188600000.0,3337744500000.0,2985550700000.0,2545915000000.0
2114.0,2334780300000.0,4049374000000.0,4392132300000.0,3281693000000.0,2934177800000.0,2509634800000.0
2115.0,2303355300000.0,4020895500000.0,4347988800000.0,3244867200000.0,2895821000000.0,2446471700000.0
2116.0,2271329000000.0,4011452000000.0,4315375700000.0,3194620700000.0,2851748000000.0,2405992000000.0
2117.0,2250223000000.0,3987136800000.0,4278780200000.0,3158195000000.0,2803721000000.0,2354521800000.0
2118.0,2215173000000.0,3969715800000.0,4235074500000.0,3120986600000.0,2766964000000.0,2311588200000.0
2119.0,2182995000000.0,3960255800000.0,4206514100000.0,3079252200000.0,2737388400000.0,2257369700000.0
2120.0,2151106900000.0,3954270500000.0,4171350700000.0,3026054800000.0,2693085800000.0,2215717400000.0
2121.0,2129464300000.0,3946698500000.0,4150848000000.0,2977667500000.0,2657474300000.0,2166182200000.0
2122.0,2103166900000.0,3938770700000.0,4121025300000.0,2936012800000.0,2612149600000.0,2116340500000.0
2123.0,2081968900000.0,3927520800000.0,4093063700000.0,2894612000000.0,2563497500000.0,2080913800000.0
2124.0,2053709100000.0,3912945000000.0,4060863800000.0,2844516400000.0,2519845300000.0,2039229300000.0
2125.0,2026133900000.0,3897260000000.0,4042296400000.0,2802898700000.0,2487393700000.0,1998975900000.0
2126.0,1989119400000.0,3891763600000.0,4009991600000.0,2761675500000.0,2455428000000.0,1969697200000.0
2127.0,1965677900000.0,3889275900000.0,3982188300000.0,2724782400000.0,2426264000000.0,1929798900000.0
2128.0,1936317300000.0,3876027600000.0,3953820400000.0,2676810300000.0,2398837300000.0,1893761000000.0
2129.0,1906147300000.0,3864858700000.0,3933293800000.0,2639978300000.0,2367893000000.0,1867460500000.0
2130.0,1880804700000.0,3848014400000.0,3905720700000.0,2597520100000.0,2335846700000.0,1820434000000.0
2131.0,1852067300000.0,3837330700000.0,3883726000000.0,2550267600000.0,2308241400000.0,1786179900000.0
2132.0,1827340800000.0,3817964000000.0,3862229200000.0,2517733200000.0,2265842000000.0,1755716800000.0
2133.0,1786888800000.0,3813647000000.0,3837151200000.0,2479161300000.0,2226003600000.0,1725043600000.0
2134.0,1756267800000.0,3797808000000.0,3815398200000.0,2448098900000.0,2198638400000.0,1696348500000.0
2135.0,1720176100000.0,3785100000000.0,3785563600000.0,2410932900000.0,2161689800000.0,1662563000000.0
2136.0,1695272700000.0,3776116200000.0,3757846800000.0,2378961500000.0,2119591400000.0,1633016300000.0
2137.0,1664088000000.0,3760166800000.0,3721731200000.0,2348806300000.0,2085612200000.0,1605807200000.0
2138.0,1644150900000.0,3761066000000.0,3700274500000.0,2323172000000.0,2052367600000.0,1570040700000.0
2139.0,1620948500000.0,3753313600000.0,3663950000000.0,2289316400000.0,2013156100000.0,1541552600000.0
2140.0,1587057400000.0,3746620800000.0,3628536700000.0,2265150000000.0,1980147400000.0,1514634000000.0
2141.0,1564252800000.0,3736216300000.0,3612416000000.0,2238392800000.0,1951991500000.0,1491928900000.0
2142.0,1544541000000.0,3729096200000.0,3578203000000.0,2213460000000.0,1918906700000.0,1466159900000.0
2143.0,1528368600000.0,3732220100000.0,3556134400000.0,2181507300000.0,1882491700000.0,1439020900000.0
2144.0,1498042200000.0,3722297000000.0,3529766000000.0,2145479300000.0,1846919700000.0,1407080100000.0
2145.0,1472411900000.0,3716084400000.0,3503154800000.0,2118004000000.0,1815411400000.0,1381995400000.0
2146.0,1448678400000.0,3707427400000.0,3480087200000.0,2086092700000.0,1789178000000.0,1358103400000.0
2147.0,1426587500000.0,3704482000000.0,3448731900000.0,2058068700000.0,1765500900000.0,1329986500000.0
2148.0,1407086500000.0,3708489000000.0,3417348000000.0,2027196400000.0,1734139600000.0,1311728000000.0
2149.0,1382562900000.0,3702022700000.0,3398340200000.0,1998805400000.0,1702000600000.0,1289730700000.0
2150.0,1363849400000.0,3702946000000.0,3365489600000.0,1971030600000.0,1671425600000.0,1269932800000.0
2151.0,1342552100000.0,3694893000000.0,3346644300000.0,1944224400000.0,1645365700000.0,1254011400000.0
2152.0,1325791700000.0,3694670600000.0,3323215700000.0,1911419800000.0,1619888600000.0,1238661300000.0
2153.0,1300450800000.0,3694296800000.0,3300084200000.0,1884809000000.0,1600165000000.0,1217616200000.0
2154.0,1281230600000.0,3693225200000.0,3268288000000.0,1854767800000.0,1578793800000.0,1197573500000.0
2155.0,1259367800000.0,3692438500000.0,3247306000000.0,1830022000000.0,1554079500000.0,1177990700000.0
2156.0,1246673400000.0,3710342400000.0,3219214600000.0,1793300200000.0,1536784900000.0,1157626500000.0
2157.0,1227004200000.0,3724933000000.0,3192944900000.0,1772164300000.0,1510520500000.0,1135417100000.0
2158.0,1206048100000.0,3722341000000.0,3179625300000.0,1745578900000.0,1487465500000.0,1118596400000.0
2159.0,1181428900000.0,3725021700000.0,3154617300000.0,1727497800000.0,1468256400000.0,1104921500000.0
2160.0,1169135800000.0,3728320500000.0,3139485800000.0,1703761400000.0,1443780600000.0,1095744750000.0
2161.0,1152894000000.0,3739086200000.0,3119457800000.0,1682549600000.0,1419080800000.0,1080231100000.0
2162.0,1136902400000.0,3747098400000.0,3103293400000.0,1661105700000.0,1400892200000.0,1064759500000.0
2163.0,1122264500000.0,3768436700000.0,3084222700000.0,1641162000000.0,1382369900000.0,1056865900000.0
2164.0,1109099800000.0,3779998000000.0,3061230600000.0,1623516600000.0,1361178000000.0,1042921600000.0
2165.0,1091355800000.0,3797747500000.0,3028466800000.0,1601873900000.0,1341475800000.0,1030683200000.0
2166.0,1077656750000.0,3817174500000.0,3010385100000.0,1582644100000.0,1321536800000.0,1015034200000.0
2167.0,1061895540000.0,3814401000000.0,2983872400000.0,1561264900000.0,1299568400000.0,1003660100000.0
2168.0,1046499400000.0,3828828000000.0,2949440900000.0,1535929500000.0,1279443000000.0,991545400000.0
2169.0,1026694100000.0,3830839800000.0,2920367000000.0,1515145300000.0,1260441600000.0,979463630000.0
2170.0,1015085600000.0,3846449000000.0,2895803000000.0,1489495400000.0,1241620200000.0,964287860000.0
2171.0,1003551650000.0,3858138700000.0,2870370400000.0,1467234300000.0,1224241300000.0,952996130000.0
2172.0,987468330000.0,3864378200000.0,2847794500000.0,1444548300000.0,1203734200000.0,940221600000.0
2173.0,969332600000.0,3867342500000.0,2821119500000.0,1425567900000.0,1185009400000.0,928753300000.0
2174.0,953999950000.0,3871783000000.0,2780169800000.0,1409212600000.0,1167304200000.0,919383600000.0
2175.0,944295400000.0,3866339300000.0,2753158000000.0,1386215900000.0,1151775800000.0,912714000000.0
2176.0,931039600000.0,3880903000000.0,2729552400000.0,1366721000000.0,1134898600000.0,902694240000.0
2177.0,920219600000.0,3875709000000.0,2704038400000.0,1342507600000.0,1119214800000.0,892132850000.0
2178.0,902900100000.0,3880266500000.0,2675108700000.0,1324984600000.0,1107221000000.0,883704600000.0
2179.0,889387200000.0,3876382300000.0,2646635000000.0,1308820500000.0,1089502250000.0,875992800000.0
