time,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4
2251.0,28391598.0,31949574.0,186942130.0
2252.0,28694124.0,32041396.0,188775500.0
2253.0,28323580.0,31991792.0,192130770.0
2254.0,28186784.0,31633982.0,192071580.0
2255.0,28538242.0,31471540.0,197256560.0
2256.0,28301956.0,32141058.0,192942670.0
2257.0,28141250.0,32007316.0,187466020.0
2258.0,28262812.0,31657522.0,181819440.0
2259.0,28133810.0,31966116.0,184013620.0
2260.0,28301300.0,31848256.0,187342940.0
2261.0,27887790.0,31507222.0,186132770.0
2262.0,28032730.0,31682114.0,182752400.0
2263.0,28090628.0,31784808.0,179796450.0
2264.0,28214048.0,31581324.0,173813620.0
2265.0,28196638.0,31596694.0,168453260.0
2266.0,28092770.0,31609862.0,168325630.0
2267.0,28096754.0,31768478.0,169154080.0
2268.0,28146272.0,31675798.0,167141330.0
2269.0,28332226.0,31746138.0,170456220.0
2270.0,28093070.0,31981890.0,169828290.0
2271.0,27785682.0,31669932.0,170915790.0
2272.0,27735860.0,31752434.0,169593390.0
2273.0,28064048.0,31902900.0,176387000.0
2274.0,27888874.0,31661810.0,181083700.0
2275.0,28012740.0,31694312.0,170364780.0
2276.0,27924330.0,31829586.0,165272430.0
2277.0,27594268.0,31695848.0,162694690.0
2278.0,27456604.0,31445430.0,159253500.0
2279.0,27276224.0,31713928.0,156778830.0
2280.0,27368346.0,31858866.0,152088690.0
2281.0,27283064.0,31542286.0,154649520.0
2282.0,27353310.0,31393480.0,157671170.0
2283.0,27333624.0,31464194.0,156028620.0
2284.0,27384050.0,31432018.0,161570080.0
2285.0,27303930.0,31297000.0,158734220.0
2286.0,27482896.0,31708364.0,152978700.0
2287.0,27381516.0,31599700.0,153709630.0
2288.0,27223718.0,31630742.0,153368670.0
2289.0,27081350.0,31514400.0,151676600.0
2290.0,27098326.0,31728972.0,150154990.0
2291.0,27146462.0,31564336.0,144797600.0
2292.0,27122030.0,31246858.0,141712240.0
2293.0,27073668.0,31296380.0,148400270.0
2294.0,27086784.0,31026524.0,150809380.0
2295.0,27010068.0,30852372.0,148466580.0
2296.0,27029394.0,30709250.0,149970160.0
2297.0,27045788.0,30924494.0,151402180.0
2298.0,27288792.0,30716584.0,150095760.0
2299.0,27175316.0,31000394.0,150732780.0
2300.0,27431816.0,31072482.0,148662880.0
