time,MPI-ESM-LR,CESM1-CAM5,GFDL-ESM2G,CANESM2,NORESM1-M,CCSM4,CSIRO-MK3-6-0,CNRM-CM5,GFDL-CM3,IPSL-CM5A-LR,GISS-E2-R
2051.0,2389437800000.0,2191790400000.0,2616565400000.0,2208632400000.0,2267555300000.0,2308876000000.0,2299196600000.0,2355482900000.0,1386607800000.0,2283235000000.0,2422817700000.0
2052.0,2368367500000.0,2179982200000.0,2597619000000.0,2170535000000.0,2241660500000.0,2288000700000.0,2253137400000.0,2330036000000.0,1337714800000.0,2264511500000.0,2407525500000.0
2053.0,2331680700000.0,2159841000000.0,2579680500000.0,2133321000000.0,2228048400000.0,2265823300000.0,2221311300000.0,2308329000000.0,1293081000000.0,2244008700000.0,2402343700000.0
2054.0,2289674700000.0,2122531200000.0,2579756500000.0,2102837200000.0,2193044100000.0,2246518000000.0,2198302800000.0,2287986800000.0,1232885600000.0,2224794400000.0,2383988400000.0
2055.0,2262947000000.0,2080074500000.0,2568700300000.0,2075489200000.0,2170459700000.0,2218378100000.0,2174425200000.0,2263525600000.0,1183974800000.0,2206437500000.0,2375572500000.0
2056.0,2245748900000.0,2052798800000.0,2555848200000.0,2051068000000.0,2148424000000.0,2199633800000.0,2141227800000.0,2249096700000.0,1125051500000.0,2179898500000.0,2358668200000.0
2057.0,2231615000000.0,2043992900000.0,2565736000000.0,2025376800000.0,2136119800000.0,2199788500000.0,2103754000000.0,2239821500000.0,1090542500000.0,2167706700000.0,2342931700000.0
2058.0,2219186000000.0,2009447100000.0,2578644700000.0,1991150100000.0,2116586800000.0,2198480500000.0,2089839000000.0,2212081000000.0,1059917270000.0,2145930400000.0,2341329400000.0
2059.0,2190798200000.0,1980131300000.0,2583400300000.0,1982007900000.0,2095446600000.0,2171882200000.0,2048982800000.0,2195318000000.0,1021387000000.0,2120069300000.0,2331945000000.0
2060.0,2186618000000.0,1961859600000.0,2589717000000.0,1972526900000.0,2084364200000.0,2157305800000.0,2020384800000.0,2167823400000.0,986177600000.0,2084946800000.0,2314242400000.0
2061.0,2161376600000.0,1935908400000.0,2585944700000.0,1938218800000.0,2065038400000.0,2145753500000.0,1997897300000.0,2145348100000.0,955800350000.0,2074216900000.0,2313253300000.0
2062.0,2166480800000.0,1914576800000.0,2579156700000.0,1916307200000.0,2035750100000.0,2137778300000.0,1978863600000.0,2130330600000.0,923176500000.0,2056404300000.0,2301240800000.0
2063.0,2170893800000.0,1898885500000.0,2581610400000.0,1869866200000.0,2020270500000.0,2123907700000.0,1966044000000.0,2111275300000.0,899579450000.0,2029055100000.0,2295686800000.0
