time,CCSM4,CNRM-CM5,CSIRO-MK3-6-0,CANESM2,NORESM1-M,MPI-ESM-LR,CESM1-CAM5,GFDL-ESM2G,IPSL-CM5A-LR,GISS-E2-R,GFDL-CM3
2062.0,1894811600000.0,1952911700000.0,1533077100000.0,1409030000000.0,1650160200000.0,1841587000000.0,1967030500000.0,2285265500000.0,1520469900000.0,1992279500000.0,824064100000.0
2063.0,1868815700000.0,1929786000000.0,1491266800000.0,1366207100000.0,1623537000000.0,1833664200000.0,1923124300000.0,2258107600000.0,1490281600000.0,1966342800000.0,791698600000.0
2064.0,1853739600000.0,1903906400000.0,1459686900000.0,1326687200000.0,1594344600000.0,1813168700000.0,1883432400000.0,2218895600000.0,1456122900000.0,1934254900000.0,758886040000.0
2065.0,1830734400000.0,1883155900000.0,1429627500000.0,1294471500000.0,1562773000000.0,1786714000000.0,1856500100000.0,2227115400000.0,1416896700000.0,1902503000000.0,728266800000.0
2066.0,1801978900000.0,1860860500000.0,1394286700000.0,1261371500000.0,1531412100000.0,1746486400000.0,1846090700000.0,2214216600000.0,1381101500000.0,1859428400000.0,698549500000.0
2067.0,1762619400000.0,1831784800000.0,1358661300000.0,1241911100000.0,1500278300000.0,1718837300000.0,1826941700000.0,2210139700000.0,1347439800000.0,1835563400000.0,667457500000.0
2068.0,1736869400000.0,1809007800000.0,1325047900000.0,1209925600000.0,1477181300000.0,1687990200000.0,1799308800000.0,2197943200000.0,1318017200000.0,1808153600000.0,642296000000.0
2069.0,1721354800000.0,1785904900000.0,1290844000000.0,1171305900000.0,1436580700000.0,1653856900000.0,1770531800000.0,2184474800000.0,1290898400000.0,1782455700000.0,615357100000.0
2070.0,1697591200000.0,1753215400000.0,1258369600000.0,1141703000000.0,1410445700000.0,1646349600000.0,1751068400000.0,2161889200000.0,1267975000000.0,1762275500000.0,593858200000.0
2071.0,1675245800000.0,1743876900000.0,1228679000000.0,1121983800000.0,1384561600000.0,1638149500000.0,1718177100000.0,2159087300000.0,1236338000000.0,1746511700000.0,572469740000.0
2072.0,1655120700000.0,1722544300000.0,1191447500000.0,1105192400000.0,1365625500000.0,1594054500000.0,1689921000000.0,2151361400000.0,1209250500000.0,1719858600000.0,548635600000.0
2073.0,1632515700000.0,1703381000000.0,1171734400000.0,1076089200000.0,1340831000000.0,1571416300000.0,1672028500000.0,2149147600000.0,1175571800000.0,1705079900000.0,529822500000.0
2074.0,1597208400000.0,1677485300000.0,1142724400000.0,1051207600000.0,1317611800000.0,1538218700000.0,1655320300000.0,2155554700000.0,1139670300000.0,1684934200000.0,514432200000.0
2075.0,1575388600000.0,1646631000000.0,1111613000000.0,1027774000000.0,1294808800000.0,1513899800000.0,1631545500000.0,2137903300000.0,1120895900000.0,1661020000000.0,495979460000.0
2076.0,1555630400000.0,1623650200000.0,1091102970000.0,1007001600000.0,1272488000000.0,1478537600000.0,1602807800000.0,2131675200000.0,1099762900000.0,1639233500000.0,480788700000.0
2077.0,1540661700000.0,1591982000000.0,1061086100000.0,986725900000.0,1251757300000.0,1461163900000.0,1571589700000.0,2105456200000.0,1079050000000.0,1621249900000.0,465402600000.0
2078.0,1524575500000.0,1564217400000.0,1041524700000.0,964540500000.0,1221012200000.0,1446890200000.0,1541535600000.0,2095014100000.0,1060750030000.0,1606840200000.0,447741920000.0
2079.0,1507906700000.0,1539792200000.0,1019546900000.0,946197400000.0,1190453000000.0,1435003400000.0,1534433300000.0,2084314500000.0,1043752160000.0,1587349800000.0,429774570000.0
2080.0,1485394800000.0,1517570800000.0,998067000000.0,926321900000.0,1169523000000.0,1413639600000.0,1501269600000.0,2061052700000.0,1023747800000.0,1564106400000.0,415223350000.0
2081.0,1463642200000.0,1499345500000.0,969347370000.0,916787230000.0,1148517700000.0,1399040500000.0,1480593400000.0,2075659300000.0,1006632300000.0,1545192000000.0,403649040000.0
2082.0,1460991300000.0,1475396500000.0,957820500000.0,902063200000.0,1124805900000.0,1400887000000.0,1453028700000.0,2074353000000.0,988556300000.0,1525072000000.0,392721800000.0
2083.0,1440011500000.0,1457638500000.0,947483050000.0,879926000000.0,1098797100000.0,1383761300000.0,1431167400000.0,2045265000000.0,972126900000.0,1498082700000.0,380802920000.0
2084.0,1429782800000.0,1447753200000.0,924845540000.0,866316000000.0,1074099600000.0,1348760900000.0,1411014900000.0,2019817200000.0,956056900000.0,1476017300000.0,369295200000.0
2085.0,1418875400000.0,1421420800000.0,904993900000.0,844792900000.0,1062347300000.0,1339167000000.0,1386942600000.0,2005872100000.0,938362700000.0,1466134700000.0,360295170000.0
2086.0,1410596600000.0,1399982000000.0,891901600000.0,826081000000.0,1039864950000.0,1322747600000.0,1362161400000.0,1998161400000.0,921059460000.0,1451999600000.0,347309700000.0
2087.0,1394201000000.0,1375272200000.0,874181560000.0,813679100000.0,1013361540000.0,1309656600000.0,1339272000000.0,1989068500000.0,905224500000.0,1437784900000.0,339839700000.0
2088.0,1379627700000.0,1359274200000.0,856567050000.0,800449000000.0,994962960000.0,1290489000000.0,1308037000000.0,1985288300000.0,886674750000.0,1428525800000.0,332567700000.0
2089.0,1375147800000.0,1332273200000.0,846472350000.0,782753300000.0,974486000000.0,1279546200000.0,1283262600000.0,1974704300000.0,865762300000.0,1411226000000.0,323461940000.0
