time,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5,IPSL-CM6A-LR,ACCESS-CM2,CESM2-WACCM
2099.0,2664661800000.0,3178700000000.0,3185154200000.0,2959476500000.0,2430850800000.0,2433982000000.0
2100.0,2658828600000.0,3164513800000.0,3161046400000.0,2935812500000.0,2422185400000.0,2400938000000.0
2101.0,2611927000000.0,3161874200000.0,3152056700000.0,2911132500000.0,2412337200000.0,2384692200000.0
2102.0,2585193300000.0,3146428400000.0,3141413000000.0,2898852600000.0,2391837800000.0,2378612300000.0
2103.0,2570625200000.0,3129280300000.0,3131347000000.0,2873125200000.0,2375803700000.0,2354485400000.0
2104.0,2567407000000.0,3132264300000.0,3119265600000.0,2855271400000.0,2355177200000.0,2330772000000.0
2105.0,2568214300000.0,3134242000000.0,3125305400000.0,2861850000000.0,2344732600000.0,2311753600000.0
2106.0,2571909500000.0,3119508600000.0,3117699300000.0,2854477000000.0,2316113800000.0,2286370400000.0
2107.0,2561009300000.0,3101698000000.0,3119717300000.0,2842323800000.0,2297781300000.0,2272150000000.0
2108.0,2553011800000.0,3094109700000.0,3117105300000.0,2830089300000.0,2281111000000.0,2242577000000.0
2109.0,2530021500000.0,3102514000000.0,3107158500000.0,2824853800000.0,2253360500000.0,2224432600000.0
2110.0,2523081700000.0,3099423100000.0,3109912800000.0,2818462400000.0,2243895800000.0,2220647800000.0
2111.0,2517911000000.0,3103679800000.0,3089272000000.0,2807949400000.0,2241294200000.0,2206318000000.0
2112.0,2515517000000.0,3096094200000.0,3079707300000.0,2805825000000.0,2225378400000.0,2191912500000.0
2113.0,2507008000000.0,3086066400000.0,3074335000000.0,2797851000000.0,2204910500000.0,2176551200000.0
2114.0,2491118800000.0,3079297600000.0,3065765700000.0,2776238700000.0,2190520200000.0,2162253900000.0
2115.0,2478915500000.0,3069978600000.0,3055102500000.0,2768504000000.0,2182888000000.0,2169853600000.0
2116.0,2474643300000.0,3061571400000.0,3037424500000.0,2771905700000.0,2174754400000.0,2157799300000.0
2117.0,2463748300000.0,3042504900000.0,3033667000000.0,2770310500000.0,2164237500000.0,2138336000000.0
2118.0,2465155300000.0,3027989200000.0,3019092300000.0,2766397800000.0,2161423800000.0,2130392100000.0
2119.0,2457457100000.0,3004894800000.0,3024121800000.0,2760804700000.0,2154904700000.0,2106622300000.0
2120.0,2455590000000.0,3003837800000.0,3015864700000.0,2769982300000.0,2134898600000.0,2108040700000.0
2121.0,2458523300000.0,3009265500000.0,3004708700000.0,2763798000000.0,2129971500000.0,2094501700000.0
2122.0,2441423400000.0,2999184000000.0,2985470500000.0,2756799000000.0,2121642900000.0,2096223400000.0
2123.0,2437749000000.0,2984536700000.0,2971854700000.0,2760735200000.0,2109074000000.0,2074358800000.0
2124.0,2423594200000.0,2978143300000.0,2955216400000.0,2756327000000.0,2102732500000.0,2070074000000.0
