time,GFDL-CM3,CCSM4,CANESM2,GISS-E2-R,IPSL-CM5A-LR,CSIRO-MK3-6-0,CNRM-CM5,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M
2064.0,21930690000000.0,24677888000000.0,22792972000000.0,23519780000000.0,23414930000000.0,24434958000000.0,22156277000000.0,24036200000000.0,23853344000000.0,23276040000000.0
2065.0,21771804000000.0,24531568000000.0,22657610000000.0,23428545000000.0,23217368000000.0,24396306000000.0,21973950000000.0,23960312000000.0,23713546000000.0,23130729000000.0
2066.0,21602926000000.0,24409640000000.0,22517285000000.0,23231484000000.0,23109260000000.0,24399005000000.0,21816834000000.0,23899377000000.0,23584337000000.0,23064474000000.0
2067.0,21301040000000.0,24357510000000.0,22475323000000.0,23104334000000.0,23066246000000.0,24288042000000.0,21737670000000.0,23799066000000.0,23469150000000.0,22868585000000.0
2068.0,21132491000000.0,24289663000000.0,22310094000000.0,23022778000000.0,22929230000000.0,24185378000000.0,21640044000000.0,23797212000000.0,23334473000000.0,22721929000000.0
2069.0,20951048000000.0,24212505000000.0,21996520000000.0,22839273000000.0,22767282000000.0,24046452000000.0,21514336000000.0,23737095000000.0,23180910000000.0,22549453000000.0
2070.0,20746332000000.0,24111902000000.0,21897568000000.0,22739595000000.0,22687678000000.0,23899301000000.0,21351910000000.0,23719316000000.0,23116347000000.0,22402436000000.0
2071.0,20508026000000.0,24010562000000.0,21791655000000.0,22681676000000.0,22525436000000.0,23790747000000.0,21230292000000.0,23676236000000.0,23020430000000.0,22205715000000.0
2072.0,20285265000000.0,23845256000000.0,21566461000000.0,22613800000000.0,22340553000000.0,23701026000000.0,21065013000000.0,23576543000000.0,22858270000000.0,22075855000000.0
2073.0,20129030000000.0,23765220000000.0,21338318000000.0,22537078000000.0,22146995000000.0,23602259000000.0,20944075000000.0,23516382000000.0,22711321000000.0,21913536000000.0
2074.0,19992068000000.0,23665080000000.0,21128158000000.0,22461368000000.0,21988068000000.0,23469465000000.0,20813980000000.0,23464197000000.0,22613223000000.0,21724427000000.0
