time,NORESM1-M,MPI-ESM-LR,CSIRO-MK3-6-0,CESM1-CAM5
2117.0,31576493000000.0,34586726000000.0,23180155000000.0,20171087000000.0
2118.0,31472489000000.0,34563087000000.0,22961898000000.0,19880940000000.0
2119.0,31276187000000.0,34447340000000.0,22798265000000.0,19471314000000.0
2120.0,31171837000000.0,34342764000000.0,22625730000000.0,19113045000000.0
2121.0,31007506000000.0,34233454000000.0,22424853000000.0,18874334000000.0
2122.0,30890573000000.0,34119241000000.0,22205721000000.0,18727582000000.0
2123.0,30758194000000.0,33991546000000.0,21979474000000.0,18477264000000.0
2124.0,30672612000000.0,33923447000000.0,21779580000000.0,18215978000000.0
2125.0,30546084000000.0,33772510000000.0,21605726000000.0,17995190000000.0
2126.0,30404233000000.0,33613368000000.0,21419633000000.0,17647308000000.0
2127.0,30207208000000.0,33355520000000.0,21225990000000.0,17357303000000.0
2128.0,30062479000000.0,33163592000000.0,21038163000000.0,17162402000000.0
2129.0,29956803000000.0,33072571000000.0,20869130000000.0,16955406000000.0
2130.0,29818924000000.0,33020162000000.0,20673552000000.0,16768232000000.0
2131.0,29745163000000.0,33019866000000.0,20534172000000.0,16543501000000.0
2132.0,29598006000000.0,33008648000000.0,20280120000000.0,16299621000000.0
2133.0,29392317000000.0,32917710000000.0,20090318000000.0,16069688000000.0
2134.0,29255346000000.0,32770140000000.0,19882510000000.0,15926390000000.0
2135.0,29107904000000.0,32633516000000.0,19644495000000.0,15697207000000.0
2136.0,28914640000000.0,32547778000000.0,19471358000000.0,15470390000000.0
2137.0,28765166000000.0,32514557000000.0,19277418000000.0,15255634000000.0
2138.0,28660080000000.0,32426254000000.0,19052165000000.0,15044823000000.0
2139.0,28520540000000.0,32305087000000.0,18874040000000.0,14835265000000.0
2140.0,28472741000000.0,32215025000000.0,18661979000000.0,14661588000000.0
2141.0,28316008000000.0,32189335000000.0,18498519000000.0,14452736000000.0
2142.0,28239246000000.0,32063888000000.0,18281140000000.0,14232993000000.0
2143.0,28150331000000.0,32042218000000.0,18041788000000.0,14067074000000.0
2144.0,28076923000000.0,31959546000000.0,17851742000000.0,13822821000000.0
2145.0,27911462000000.0,31828392000000.0,17676513000000.0,13633522000000.0
2146.0,27784282000000.0,31706134000000.0,17433590000000.0,13419943000000.0
2147.0,27645417000000.0,31658970000000.0,17235237000000.0,13203649000000.0
2148.0,27536174000000.0,31584930000000.0,17029837000000.0,13009657000000.0
2149.0,27423754000000.0,31546270000000.0,16864594000000.0,12824153000000.0
2150.0,27252624000000.0,31455068000000.0,16663341000000.0,12655481000000.0
2151.0,27207340000000.0,31331682000000.0,16480748000000.0,12500685000000.0
2152.0,27173147000000.0,31194438000000.0,16267638000000.0,12360052000000.0
2153.0,27085928000000.0,31115134000000.0,16095432000000.0,12197332000000.0
2154.0,27028010000000.0,30963940000000.0,15945220000000.0,11982722000000.0
2155.0,26931207000000.0,30731024000000.0,15749067000000.0,11753323000000.0
2156.0,26834553000000.0,30607439000000.0,15551732000000.0,11613401000000.0
2157.0,26696896000000.0,30466118000000.0,15381959000000.0,11483258000000.0
2158.0,26586458000000.0,30394976000000.0,15232062000000.0,11311880000000.0
2159.0,26468529000000.0,30298153000000.0,15066343000000.0,11198373000000.0
2160.0,26311435000000.0,30190747000000.0,14946068000000.0,11088777000000.0
2161.0,26191000000000.0,30061395000000.0,14813806000000.0,10931342000000.0
2162.0,26129094000000.0,29998906000000.0,14669310000000.0,10752428000000.0
2163.0,26011303000000.0,29899930000000.0,14463609000000.0,10631542000000.0
2164.0,25863075000000.0,29790795000000.0,14300378000000.0,10505625000000.0
2165.0,25775730000000.0,29667222000000.0,14132532000000.0,10332131000000.0
2166.0,25716144000000.0,29606657000000.0,13976787000000.0,10207420000000.0
2167.0,25624784000000.0,29477298000000.0,13858663000000.0,10037889000000.0
2168.0,25500586000000.0,29404716000000.0,13708233000000.0,9871210000000.0
2169.0,25409396000000.0,29331090000000.0,13553138000000.0,9728162000000.0
2170.0,25287580000000.0,29234160000000.0,13354609000000.0,9560742000000.0
2171.0,25139040000000.0,29168540000000.0,13210827000000.0,9369893000000.0
2172.0,25025487000000.0,29026614000000.0,13090310000000.0,9246990000000.0
2173.0,24935926000000.0,29007588000000.0,12949992000000.0,9103416000000.0
2174.0,24837810000000.0,28854616000000.0,12815974000000.0,8974302000000.0
2175.0,24647775000000.0,28786687000000.0,12680131000000.0,8855097000000.0
2176.0,24573486000000.0,28706934000000.0,12527732000000.0,8731868000000.0
2177.0,24488656000000.0,28615345000000.0,12421742000000.0,8633154000000.0
2178.0,24403310000000.0,28543090000000.0,12268527000000.0,8508527300000.0
2179.0,24247716000000.0,28455188000000.0,12176833000000.0,8356054400000.0
2180.0,24119834000000.0,28414692000000.0,12022561000000.0,8228008000000.0
2181.0,23982022000000.0,28314792000000.0,11896981000000.0,8131998400000.0
2182.0,23883638000000.0,28253950000000.0,11760617000000.0,8010739000000.0
2183.0,23849976000000.0,28158972000000.0,11631302000000.0,7884132300000.0
2184.0,23786519000000.0,28088461000000.0,11480678000000.0,7760397000000.0
2185.0,23748382000000.0,28022126000000.0,11302196000000.0,7664137400000.0
2186.0,23555589000000.0,27970058000000.0,11189763000000.0,7562784000000.0
2187.0,23470272000000.0,27952692000000.0,11083463000000.0,7478253700000.0
2188.0,23392500000000.0,27894387000000.0,10948884000000.0,7325904000000.0
2189.0,23334918000000.0,27805968000000.0,10817015000000.0,7208887600000.0
2190.0,23187807000000.0,27745457000000.0,10706851000000.0,7126342700000.0
2191.0,23091716000000.0,27739283000000.0,10565958000000.0,7032232000000.0
2192.0,22985115000000.0,27685022000000.0,10434425000000.0,6950396000000.0
2193.0,22874583000000.0,27605357000000.0,10326372000000.0,6848165400000.0
2194.0,22715344000000.0,27569223000000.0,10243020000000.0,6745112000000.0
2195.0,22613600000000.0,27445483000000.0,10156933000000.0,6651300000000.0
2196.0,22516307000000.0,27288425000000.0,10059477000000.0,6547154400000.0
2197.0,22390805000000.0,27198092000000.0,9983756000000.0,6436961000000.0
2198.0,22344435000000.0,27037132000000.0,9890029000000.0,6329082600000.0
2199.0,22293820000000.0,26903291000000.0,9794292000000.0,6256457700000.0
2200.0,22189517000000.0,26838260000000.0,9673134000000.0,6180107700000.0
2201.0,22082776000000.0,26783129000000.0,9529667000000.0,6129104500000.0
2202.0,21978782000000.0,26701250000000.0,9416736000000.0,6054301000000.0
2203.0,21912307000000.0,26673328000000.0,9304025000000.0,5988867000000.0
2204.0,21852360000000.0,26607968000000.0,9156585000000.0,5920214500000.0
2205.0,21787205000000.0,26517617000000.0,9072863000000.0,5851030000000.0
2206.0,21705480000000.0,26428680000000.0,8957996000000.0,5768996700000.0
2207.0,21681553000000.0,26281442000000.0,8843026000000.0,5689691000000.0
2208.0,21641516000000.0,26244094000000.0,8746830000000.0,5629120000000.0
2209.0,21581298000000.0,26177566000000.0,8634385000000.0,5544161000000.0
2210.0,21493038000000.0,26081805000000.0,8529081000000.0,5460863000000.0
2211.0,21497070000000.0,25996984000000.0,8416106000000.0,5377143000000.0
2212.0,21457613000000.0,25905600000000.0,8320353600000.0,5308908000000.0
2213.0,21402046000000.0,25793887000000.0,8228027500000.0,5251473000000.0
2214.0,21347814000000.0,25733340000000.0,8124891700000.0,5161470000000.0
2215.0,21263695000000.0,25674673000000.0,8040643000000.0,5072869700000.0
2216.0,21180164000000.0,25623118000000.0,7938104000000.0,4983447600000.0
2217.0,21101870000000.0,25557876000000.0,7859938500000.0,4919279500000.0
2218.0,20973231000000.0,25503650000000.0,7769166400000.0,4850933000000.0
2219.0,20952212000000.0,25390555000000.0,7687738000000.0,4778524400000.0
2220.0,20788400000000.0,25367430000000.0,7613935000000.0,4715323000000.0
2221.0,20663843000000.0,25341972000000.0,7526778000000.0,4645437000000.0
2222.0,20625467000000.0,25254292000000.0,7431456300000.0,4574061500000.0
2223.0,20588337000000.0,25112516000000.0,7321751700000.0,4513055400000.0
2224.0,20534285000000.0,24959437000000.0,7229060000000.0,4427716500000.0
2225.0,20451336000000.0,24851216000000.0,7128842000000.0,4365200400000.0
2226.0,20356499000000.0,24756080000000.0,7031563500000.0,4298891600000.0
2227.0,20324622000000.0,24544799000000.0,6942672600000.0,4246709200000.0
2228.0,20298426000000.0,24437053000000.0,6853243700000.0,4169644600000.0
2229.0,20241720000000.0,24365300000000.0,6750205000000.0,4117363700000.0
2230.0,20236686000000.0,24256233000000.0,6630803000000.0,4049502700000.0
2231.0,20182390000000.0,24214868000000.0,6549734000000.0,3999939000000.0
2232.0,20126122000000.0,24098938000000.0,6449277700000.0,3944416800000.0
2233.0,20082310000000.0,24053291000000.0,6376490000000.0,3884010200000.0
2234.0,19974484000000.0,23979710000000.0,6307616700000.0,3826955000000.0
2235.0,19858805000000.0,23901227000000.0,6240706500000.0,3776395000000.0
2236.0,19813473000000.0,23787968000000.0,6168862000000.0,3722234800000.0
2237.0,19760213000000.0,23725802000000.0,6086478300000.0,3671906000000.0
2238.0,19695476000000.0,23695936000000.0,5981368500000.0,3624233900000.0
2239.0,19560600000000.0,23658618000000.0,5900702600000.0,3572880000000.0
2240.0,19497160000000.0,23545602000000.0,5830945000000.0,3511809000000.0
2241.0,19377357000000.0,23431205000000.0,5773284300000.0,3462232800000.0
2242.0,19294969000000.0,23351169000000.0,5727078000000.0,3412556000000.0
2243.0,19241837000000.0,23257602000000.0,5665324000000.0,3381244700000.0
2244.0,19146956000000.0,23173093000000.0,5584107600000.0,3356811600000.0
2245.0,19112747000000.0,23094601000000.0,5523769000000.0,3309471500000.0
2246.0,19074266000000.0,23004642000000.0,5474130300000.0,3257210000000.0
2247.0,19007420000000.0,22943650000000.0,5430824000000.0,3228774400000.0
2248.0,18957463000000.0,22830895000000.0,5394351000000.0,3204620000000.0
2249.0,18792646000000.0,22719600000000.0,5338395000000.0,3179787600000.0
2250.0,18705840000000.0,22618374000000.0,5293036500000.0,3153843500000.0
2251.0,18643698000000.0,22537843000000.0,5243109600000.0,3118776000000.0
2252.0,18561488000000.0,22429525000000.0,5192312000000.0,3081204700000.0
2253.0,18505668000000.0,22374030000000.0,5152481000000.0,3060018400000.0
2254.0,18433035000000.0,22347690000000.0,5113276500000.0,3030393800000.0
2255.0,18391046000000.0,22262722000000.0,5069764000000.0,3007571600000.0
2256.0,18340165000000.0,22165984000000.0,5028367000000.0,2989641700000.0
2257.0,18232210000000.0,22096739000000.0,4981482600000.0,2965997400000.0
2258.0,18194257000000.0,22047567000000.0,4934652000000.0,2938958000000.0
2259.0,18091740000000.0,21948092000000.0,4865965000000.0,2919532600000.0
2260.0,18030526000000.0,21825004000000.0,4816134700000.0,2900739000000.0
2261.0,17943572000000.0,21698198000000.0,4782803600000.0,2874661000000.0
2262.0,17851608000000.0,21617720000000.0,4738714700000.0,2854548400000.0
2263.0,17808010000000.0,21568263000000.0,4706774000000.0,2821098800000.0
2264.0,17708112000000.0,21473861000000.0,4657590000000.0,2791049000000.0
2265.0,17660545000000.0,21401755000000.0,4622567600000.0,2770461500000.0
2266.0,17608238000000.0,21354129000000.0,4576865400000.0,2737309700000.0
2267.0,17501988000000.0,21285678000000.0,4523376500000.0,2713902600000.0
2268.0,17393652000000.0,21137472000000.0,4488522000000.0,2698117000000.0
2269.0,17347260000000.0,21055899000000.0,4445989500000.0,2689020200000.0
2270.0,17309388000000.0,20998456000000.0,4410560000000.0,2658402600000.0
2271.0,17222822000000.0,20942084000000.0,4364399500000.0,2637927000000.0
2272.0,17179796000000.0,20835767000000.0,4327570100000.0,2600669500000.0
2273.0,17143699000000.0,20779748000000.0,4276497200000.0,2567103300000.0
2274.0,17086768000000.0,20711012000000.0,4225944500000.0,2546200200000.0
2275.0,17028335000000.0,20646394000000.0,4175741300000.0,2527998000000.0
2276.0,16948067000000.0,20592066000000.0,4123010800000.0,2509707100000.0
2277.0,16877838000000.0,20573330000000.0,4079167500000.0,2490271000000.0
2278.0,16836904000000.0,20491645000000.0,4051814300000.0,2480992700000.0
2279.0,16780623000000.0,20448975000000.0,4023506400000.0,2464427800000.0
2280.0,16723900000000.0,20412073000000.0,3992022700000.0,2445385400000.0
2281.0,16675077000000.0,20381545000000.0,3951107200000.0,2427549000000.0
2282.0,16654632000000.0,20320333000000.0,3903972700000.0,2400001700000.0
2283.0,16601726000000.0,20291298000000.0,3870752500000.0,2379449600000.0
2284.0,16514552000000.0,20249607000000.0,3841375600000.0,2354759600000.0
2285.0,16403261000000.0,20212926000000.0,3800562700000.0,2338967000000.0
2286.0,16327413000000.0,20177180000000.0,3767298200000.0,2314174700000.0
2287.0,16207126000000.0,20108808000000.0,3723423600000.0,2296996400000.0
2288.0,16116350000000.0,20074720000000.0,3673924800000.0,2283906800000.0
2289.0,16059069000000.0,19987593000000.0,3650600600000.0,2263060800000.0
2290.0,16031403000000.0,19898468000000.0,3615822700000.0,2248681700000.0
2291.0,15999461000000.0,19796674000000.0,3596748800000.0,2225973000000.0
2292.0,15891463000000.0,19758173000000.0,3571730400000.0,2213454800000.0
2293.0,15803380000000.0,19696735000000.0,3539576600000.0,2186189200000.0
2294.0,15746076000000.0,19598055000000.0,3510598600000.0,2162710300000.0
2295.0,15715667000000.0,19554634000000.0,3476137700000.0,2151695300000.0
2296.0,15662345000000.0,19477236000000.0,3444443700000.0,2137642600000.0
2297.0,15613985000000.0,19361532000000.0,3429597200000.0,2128682300000.0
2298.0,15542134000000.0,19272173000000.0,3406882400000.0,2117702100000.0
2299.0,15446292000000.0,19207882000000.0,3375659700000.0,2106400800000.0
2300.0,15366548000000.0,19145340000000.0,3336912800000.0,2096200000000.0
