time,IPSL-CM6A-LR,CANESM5,CESM2-WACCM,MRI-ESM2-0
2129.0,6937449000000.0,3299706000000.0,10324455000000.0,7084129000000.0
2130.0,6895516500000.0,3243157700000.0,10306883000000.0,7072001000000.0
2131.0,6851590600000.0,3201029000000.0,10294318000000.0,7067588000000.0
2132.0,6809971000000.0,3157994800000.0,10278179000000.0,7060760600000.0
2133.0,6763110700000.0,3112891600000.0,10245457000000.0,7054583400000.0
2134.0,6718972000000.0,3063937500000.0,10234974000000.0,7039922700000.0
2135.0,6671556000000.0,3020058300000.0,10198810000000.0,7042893000000.0
2136.0,6629690000000.0,2979189200000.0,10163219000000.0,7038385500000.0
2137.0,6583502000000.0,2935618000000.0,10129377000000.0,7036539000000.0
2138.0,6521512500000.0,2889788000000.0,10109297000000.0,7024497700000.0
2139.0,6474432000000.0,2842621000000.0,10095293000000.0,7006282000000.0
2140.0,6430909300000.0,2805083700000.0,10073012000000.0,6991040000000.0
2141.0,6397137000000.0,2764971000000.0,10041026000000.0,6982968300000.0
2142.0,6366422000000.0,2725008000000.0,10037362000000.0,6973432000000.0
2143.0,6333085500000.0,2691783500000.0,10002830000000.0,6967953000000.0
2144.0,6288037000000.0,2655184700000.0,9988553000000.0,6958301600000.0
2145.0,6251245700000.0,2618852000000.0,9974300000000.0,6945691000000.0
2146.0,6207751300000.0,2587418200000.0,9934942000000.0,6939802600000.0
2147.0,6159999700000.0,2560623000000.0,9881271000000.0,6930431000000.0
2148.0,6126294300000.0,2530890000000.0,9838306000000.0,6928364700000.0
2149.0,6097983000000.0,2505914700000.0,9820387000000.0,6919790500000.0
2150.0,6060866300000.0,2472406000000.0,9806274000000.0,6912150000000.0
2151.0,6027337000000.0,2441847200000.0,9801194000000.0,6910302500000.0
2152.0,5985136500000.0,2417914800000.0,9790864000000.0,6896538000000.0
2153.0,5949557300000.0,2392553700000.0,9778059000000.0,6897215700000.0
2154.0,5905438000000.0,2365151500000.0,9770874000000.0,6889433700000.0
2155.0,5856769000000.0,2345143000000.0,9752103000000.0,6886296400000.0
2156.0,5824013000000.0,2318281500000.0,9731724000000.0,6876571000000.0
2157.0,5791186700000.0,2291765300000.0,9725532000000.0,6871232500000.0
2158.0,5765988000000.0,2274725700000.0,9712173000000.0,6873538000000.0
2159.0,5733215600000.0,2249997200000.0,9705811000000.0,6860045000000.0
2160.0,5700782000000.0,2225314200000.0,9684549000000.0,6854029600000.0
2161.0,5670629000000.0,2206748400000.0,9673529000000.0,6855488700000.0
2162.0,5636090000000.0,2185814300000.0,9665110000000.0,6858890000000.0
2163.0,5604512400000.0,2166088900000.0,9645274000000.0,6856781600000.0
2164.0,5576067600000.0,2146342300000.0,9644471000000.0,6863287000000.0
2165.0,5554318000000.0,2128931800000.0,9634450000000.0,6864898000000.0
2166.0,5516422000000.0,2111412900000.0,9639707000000.0,6859118300000.0
2167.0,5483960700000.0,2088950300000.0,9628962000000.0,6858492300000.0
2168.0,5443257600000.0,2073780000000.0,9617953000000.0,6864652700000.0
2169.0,5419397300000.0,2054584000000.0,9601019000000.0,6863015400000.0
2170.0,5378626600000.0,2035583700000.0,9602939000000.0,6859679000000.0
2171.0,5353233000000.0,2017358900000.0,9582968000000.0,6867174600000.0
2172.0,5330552000000.0,2003821400000.0,9585037000000.0,6860705400000.0
2173.0,5306523300000.0,1984447900000.0,9557868000000.0,6856533600000.0
2174.0,5278406000000.0,1968431600000.0,9549526000000.0,6857179000000.0
2175.0,5248456300000.0,1950037800000.0,9534140000000.0,6860854300000.0
2176.0,5215759600000.0,1940800100000.0,9523242000000.0,6868760000000.0
2177.0,5188311600000.0,1928200000000.0,9489464000000.0,6860447400000.0
2178.0,5166972500000.0,1911007700000.0,9472990000000.0,6858398000000.0
2179.0,5150565000000.0,1896392000000.0,9457531000000.0,6852305000000.0
2180.0,5130922500000.0,1872703900000.0,9418536000000.0,6846405000000.0
2181.0,5101030700000.0,1854018700000.0,9414491000000.0,6839320700000.0
2182.0,5074634400000.0,1839695400000.0,9361685000000.0,6824768600000.0
2183.0,5054400000000.0,1822728300000.0,9325753000000.0,6827476000000.0
2184.0,5025479300000.0,1801693700000.0,9327508000000.0,6820221000000.0
2185.0,5004791000000.0,1785552600000.0,9310420000000.0,6813096300000.0
2186.0,4985441500000.0,1772266800000.0,9290613000000.0,6802257000000.0
2187.0,4968043000000.0,1762382800000.0,9273833000000.0,6809905500000.0
2188.0,4945663000000.0,1750377800000.0,9262429000000.0,6810887000000.0
2189.0,4923590000000.0,1738406600000.0,9245110000000.0,6808082000000.0
2190.0,4903283000000.0,1724647000000.0,9223799000000.0,6808447500000.0
2191.0,4882870300000.0,1711507100000.0,9218304000000.0,6809662000000.0
2192.0,4854448700000.0,1694137700000.0,9204733000000.0,6804232700000.0
2193.0,4826811000000.0,1682136500000.0,9182336000000.0,6803038400000.0
2194.0,4801407500000.0,1671628000000.0,9182582000000.0,6801696000000.0
2195.0,4774944000000.0,1666542900000.0,9165849000000.0,6804993500000.0
2196.0,4751512600000.0,1651739500000.0,9143841000000.0,6800640000000.0
2197.0,4736904300000.0,1637360000000.0,9134783000000.0,6795220000000.0
2198.0,4716341000000.0,1626757900000.0,9109439000000.0,6786874000000.0
2199.0,4697682000000.0,1615092300000.0,9097711000000.0,6784690000000.0
2200.0,4685433000000.0,1607314800000.0,9072561000000.0,6784312400000.0
2201.0,4664235000000.0,1598074400000.0,9048820000000.0,6785711700000.0
2202.0,4646300500000.0,1590182400000.0,9049228000000.0,6775537400000.0
2203.0,4628829700000.0,1581170000000.0,9027398000000.0,6767650000000.0
2204.0,4604640000000.0,1576663800000.0,9001520000000.0,6749589000000.0
2205.0,4589401700000.0,1572009500000.0,8974605000000.0,6749327000000.0
2206.0,4569760300000.0,1560426600000.0,8967039000000.0,6748148000000.0
2207.0,4553383000000.0,1553278700000.0,8939490000000.0,6742462700000.0
2208.0,4549957400000.0,1546666900000.0,8923135000000.0,6734333600000.0
2209.0,4534806000000.0,1539040100000.0,8913972000000.0,6725999000000.0
2210.0,4522120300000.0,1527346900000.0,8905853000000.0,6723380700000.0
2211.0,4511785500000.0,1519733300000.0,8892318000000.0,6709590000000.0
2212.0,4493595000000.0,1516483400000.0,8871984000000.0,6711000700000.0
2213.0,4476651000000.0,1510480500000.0,8849245000000.0,6701302400000.0
2214.0,4459698600000.0,1505565600000.0,8817746000000.0,6693260400000.0
2215.0,4444244000000.0,1499353700000.0,8796997000000.0,6684041000000.0
2216.0,4429235400000.0,1488102400000.0,8762107600000.0,6678363000000.0
2217.0,4407801000000.0,1475548700000.0,8740565700000.0,6675021000000.0
2218.0,4399318400000.0,1465752200000.0,8715163000000.0,6669757000000.0
2219.0,4385318000000.0,1454389200000.0,8691935300000.0,6662305300000.0
2220.0,4366637500000.0,1447897300000.0,8664160000000.0,6663282000000.0
2221.0,4348484800000.0,1434558800000.0,8647761500000.0,6659159600000.0
2222.0,4344072000000.0,1425327400000.0,8620117000000.0,6657517600000.0
2223.0,4328189600000.0,1414439100000.0,8606894000000.0,6660694000000.0
2224.0,4311200600000.0,1401157500000.0,8583491600000.0,6663201400000.0
2225.0,4302873000000.0,1389868900000.0,8561565000000.0,6661670000000.0
2226.0,4285008000000.0,1381474500000.0,8520554000000.0,6656582000000.0
2227.0,4274003400000.0,1373958200000.0,8497526000000.0,6656240400000.0
2228.0,4257570400000.0,1364333300000.0,8475993000000.0,6654130700000.0
2229.0,4246785500000.0,1351656800000.0,8462037700000.0,6654421600000.0
2230.0,4237858000000.0,1336861400000.0,8455752000000.0,6656294000000.0
2231.0,4225664300000.0,1327791700000.0,8422577000000.0,6666678000000.0
2232.0,4215654600000.0,1319753500000.0,8410417300000.0,6664579000000.0
2233.0,4204381300000.0,1309895700000.0,8401463500000.0,6667402500000.0
2234.0,4191742000000.0,1301169700000.0,8398203000000.0,6667333300000.0
2235.0,4179774400000.0,1295128500000.0,8373104000000.0,6667081000000.0
2236.0,4169985700000.0,1289697600000.0,8351673500000.0,6666555000000.0
2237.0,4151885200000.0,1284817700000.0,8338467000000.0,6664883000000.0
2238.0,4134724000000.0,1276048400000.0,8339650500000.0,6666103000000.0
2239.0,4118319000000.0,1265966900000.0,8334293300000.0,6659242000000.0
2240.0,4097955600000.0,1258471700000.0,8327626000000.0,6664150000000.0
2241.0,4078002000000.0,1248827900000.0,8326758000000.0,6672364000000.0
