time,GFDL-CM3,CCSM4,GISS-E2-R,CESM1-CAM5,CANESM2,NORESM1-M,IPSL-CM5A-LR,MPI-ESM-LR,CNRM-CM5,GFDL-ESM2G,CSIRO-MK3-6-0
2066.0,9778740000000.0,12389853000000.0,13078712000000.0,10711114000000.0,11405240000000.0,12061290000000.0,12103649000000.0,12489823000000.0,11066140000000.0,13192215000000.0,12819036000000.0
2067.0,9712130000000.0,12333136000000.0,13044671000000.0,10622089000000.0,11254341000000.0,12020473000000.0,12069271000000.0,12436969000000.0,10994464000000.0,13177437000000.0,12792047000000.0
2068.0,9633604000000.0,12281678000000.0,13028322000000.0,10511383000000.0,11193912000000.0,11937014000000.0,12006400000000.0,12400410000000.0,10923931000000.0,13169501000000.0,12744232000000.0
2069.0,9548911000000.0,12224656000000.0,13028263000000.0,10418479000000.0,11148651000000.0,11876283000000.0,11947513000000.0,12347502000000.0,10868183000000.0,13139155000000.0,12727880000000.0
2070.0,9460883000000.0,12199040000000.0,13000244000000.0,10329525000000.0,11059952000000.0,11837459000000.0,11875788000000.0,12294972000000.0,10763309000000.0,13129274000000.0,12699192000000.0
2071.0,9318968000000.0,12162568000000.0,12996710000000.0,10197700000000.0,10979735000000.0,11790365000000.0,11830145000000.0,12241978000000.0,10660540000000.0,13109829000000.0,12670803000000.0
2072.0,9189386000000.0,12130756000000.0,12994626000000.0,10097696000000.0,10896042000000.0,11722628000000.0,11785075000000.0,12191710000000.0,10589705000000.0,13089776000000.0,12640506000000.0
2073.0,9037447000000.0,12101670000000.0,12981728000000.0,10005962000000.0,10801939000000.0,11603585000000.0,11681490000000.0,12162817000000.0,10480080000000.0,13079391000000.0,12615201000000.0
2074.0,8889790000000.0,12057933000000.0,12945231000000.0,9866994000000.0,10708306000000.0,11523277000000.0,11638902000000.0,12121072000000.0,10396456000000.0,13058018000000.0,12589954000000.0
2075.0,8736779000000.0,12025070000000.0,12921041000000.0,9761616000000.0,10637664000000.0,11462479000000.0,11574955000000.0,12078950000000.0,10302632000000.0,13051048000000.0,12564579000000.0
2076.0,8588786400000.0,11977012000000.0,12890125000000.0,9645424000000.0,10520138000000.0,11407683000000.0,11542067000000.0,12017123000000.0,10169503000000.0,13036590000000.0,12530842000000.0
2077.0,8459866000000.0,11951722000000.0,12861946000000.0,9543549000000.0,10438075000000.0,11340399000000.0,11470360000000.0,11955670000000.0,10071193000000.0,13010755000000.0,12498259000000.0
2078.0,8329753500000.0,11901740000000.0,12846123000000.0,9445329000000.0,10331835000000.0,11282603000000.0,11384610000000.0,11903842000000.0,9986899000000.0,12980956000000.0,12475202000000.0
2079.0,8219581000000.0,11812372000000.0,12820517000000.0,9340588000000.0,10208332000000.0,11235958000000.0,11275585000000.0,11855569000000.0,9898576000000.0,12938195000000.0,12455922000000.0
2080.0,8145530000000.0,11722481000000.0,12775072000000.0,9257919000000.0,10113653000000.0,11187931000000.0,11245471000000.0,11814446000000.0,9808782000000.0,12895049000000.0,12436347000000.0
2081.0,8058384700000.0,11626845000000.0,12740652000000.0,9166093000000.0,9989332000000.0,11140195000000.0,11208590000000.0,11784831000000.0,9698234000000.0,12864143000000.0,12425911000000.0
2082.0,7998498000000.0,11586954000000.0,12712454000000.0,9088266000000.0,9944855000000.0,11088928000000.0,11146584000000.0,11740983000000.0,9604880000000.0,12851423000000.0,12384689000000.0
2083.0,7945025000000.0,11530619000000.0,12698800000000.0,8980795000000.0,9860317000000.0,11050248000000.0,11100938000000.0,11699489000000.0,9520100000000.0,12832704000000.0,12342900000000.0
2084.0,7868933000000.0,11490222000000.0,12682114000000.0,8869149000000.0,9750514000000.0,11017029000000.0,11068037000000.0,11645199000000.0,9440280000000.0,12815118000000.0,12325338000000.0
2085.0,7791953600000.0,11446369000000.0,12664610000000.0,8769927400000.0,9681513000000.0,10945012000000.0,11007191000000.0,11614286000000.0,9362202000000.0,12786606000000.0,12304310000000.0
2086.0,7686761500000.0,11406463000000.0,12660112000000.0,8685935000000.0,9605644000000.0,10865599000000.0,10970389000000.0,11572525000000.0,9280184000000.0,12745957000000.0,12272894000000.0
2087.0,7553276700000.0,11377441000000.0,12640469000000.0,8592393500000.0,9506491000000.0,10803709000000.0,10915195000000.0,11552673000000.0,9170476000000.0,12708769000000.0,12235410000000.0
2088.0,7428159000000.0,11348056000000.0,12618786000000.0,8492790000000.0,9407904000000.0,10760462000000.0,10874722000000.0,11528890000000.0,9076087000000.0,12680030000000.0,12210453000000.0
2089.0,7296200500000.0,11286402000000.0,12590824000000.0,8412298500000.0,9328177000000.0,10702293000000.0,10816692000000.0,11470487000000.0,9007054000000.0,12657765000000.0,12197604000000.0
2090.0,7173644000000.0,11234654000000.0,12565782000000.0,8304551500000.0,9196454000000.0,10649955000000.0,10763149000000.0,11431846000000.0,8914458000000.0,12625486000000.0,12153523000000.0
2091.0,7047353000000.0,11184125000000.0,12538888000000.0,8214003300000.0,9123388000000.0,10559996000000.0,10723187000000.0,11385901000000.0,8832936000000.0,12595817000000.0,12122315000000.0
2092.0,6940793500000.0,11160109000000.0,12507052000000.0,8123955300000.0,9033611000000.0,10480902000000.0,10704325000000.0,11341346000000.0,8756231400000.0,12575020000000.0,12090098000000.0
2093.0,6849716000000.0,11129523000000.0,12482243000000.0,8014816000000.0,8930532000000.0,10399631000000.0,10697536000000.0,11295636000000.0,8651359000000.0,12540717000000.0,12060933000000.0
2094.0,6759205300000.0,11091568000000.0,12456577000000.0,7907060500000.0,8808567000000.0,10320682000000.0,10651865000000.0,11257918000000.0,8582009500000.0,12529902000000.0,12036284000000.0
2095.0,6683007400000.0,11054787000000.0,12429558000000.0,7798068000000.0,8750944500000.0,10242716000000.0,10604773000000.0,11221055000000.0,8517272500000.0,12520009000000.0,11999353000000.0
2096.0,6606840400000.0,10998295000000.0,12409410000000.0,7688780500000.0,8662940000000.0,10165325000000.0,10528972000000.0,11178270000000.0,8429294300000.0,12505356000000.0,11965212000000.0
2097.0,6531866000000.0,10954303000000.0,12390205000000.0,7579481000000.0,8583717600000.0,10094818000000.0,10470354000000.0,11123254000000.0,8318630000000.0,12472391000000.0,11936415000000.0
2098.0,6453212500000.0,10880640000000.0,12380202000000.0,7487685000000.0,8473916000000.0,9975576000000.0,10424520000000.0,11074357000000.0,8220345600000.0,12457827000000.0,11912333000000.0
2099.0,6365492000000.0,10826039000000.0,12348116000000.0,7406953000000.0,8406585300000.0,9913195000000.0,10330629000000.0,11023965000000.0,8130442000000.0,12436384000000.0,11882228000000.0
2100.0,6254870000000.0,10773662000000.0,12327328000000.0,7329123700000.0,8314694000000.0,9844211000000.0,10287188000000.0,10977041000000.0,8043868000000.0,12424255000000.0,11862927000000.0
