time,GISS-E2-R,CCSM4,GFDL-CM3,NORESM1-M,CANESM2,CSIRO-MK3-6-0,GFDL-ESM2G,MPI-ESM-LR,IPSL-CM5A-LR,CNRM-CM5
2074.0,12294082000000.0,11803875000000.0,8919414000000.0,10585006000000.0,9775432000000.0,12004560000000.0,11364118000000.0,11038314000000.0,10895261000000.0,9095760000000.0
2075.0,12270684000000.0,11732925000000.0,8774920700000.0,10523071000000.0,9657237000000.0,11945373000000.0,11294864000000.0,10954428000000.0,10794794000000.0,8934503000000.0
2076.0,12208548000000.0,11651983000000.0,8627101400000.0,10449450000000.0,9529957000000.0,11874154000000.0,11234986000000.0,10845718000000.0,10655178000000.0,8758784000000.0
2077.0,12177851000000.0,11572976000000.0,8462944000000.0,10343080000000.0,9361893000000.0,11829377000000.0,11164976000000.0,10752616000000.0,10531197000000.0,8613336000000.0
2078.0,12165838000000.0,11485028000000.0,8312001000000.0,10229165000000.0,9248826000000.0,11786815000000.0,11099223000000.0,10679480000000.0,10461931000000.0,8440422000000.0
2079.0,12087118000000.0,11391808000000.0,8164189700000.0,10109941000000.0,9088954000000.0,11735073000000.0,11001873000000.0,10608744000000.0,10374920000000.0,8236540000000.0
2080.0,12028344000000.0,11254035000000.0,8014681600000.0,10018052000000.0,8944622000000.0,11680566000000.0,10940280000000.0,10511363000000.0,10253002000000.0,8080416300000.0
2081.0,12002902000000.0,11148013000000.0,7851018000000.0,9911800000000.0,8813418000000.0,11599158000000.0,10884572000000.0,10441199000000.0,10135601000000.0,7903487500000.0
2082.0,11949995000000.0,11030131000000.0,7696004000000.0,9841652000000.0,8716913500000.0,11556925000000.0,10828512000000.0,10342779000000.0,10042664000000.0,7714446000000.0
2083.0,11909222000000.0,10922737000000.0,7549789700000.0,9748060000000.0,8593859000000.0,11508807000000.0,10722937000000.0,10231726000000.0,9916231000000.0,7565384600000.0
2084.0,11826267000000.0,10798053000000.0,7408429000000.0,9658749000000.0,8445911600000.0,11448978000000.0,10637687000000.0,10113106000000.0,9738930000000.0,7439643600000.0
2085.0,11739670000000.0,10705332000000.0,7249276700000.0,9565981000000.0,8330941000000.0,11393033000000.0,10568755000000.0,9996748000000.0,9622824000000.0,7294035700000.0
2086.0,11698130000000.0,10603851000000.0,7069884000000.0,9467916000000.0,8192709000000.0,11329452000000.0,10516795000000.0,9912171000000.0,9460297000000.0,7150976000000.0
2087.0,11642198000000.0,10484228000000.0,6909613000000.0,9362716000000.0,8057620000000.0,11271410000000.0,10426919000000.0,9797764000000.0,9329053000000.0,6998874000000.0
2088.0,11614578000000.0,10353213000000.0,6753651500000.0,9261065000000.0,7888201300000.0,11205854000000.0,10330595000000.0,9690735000000.0,9221632000000.0,6851246700000.0
2089.0,11579185000000.0,10231068000000.0,6603829000000.0,9157451000000.0,7747760000000.0,11141241000000.0,10254239000000.0,9603807000000.0,9119743000000.0,6689732000000.0
2090.0,11523471000000.0,10099048000000.0,6449767000000.0,9066949000000.0,7585372600000.0,11075054000000.0,10162228000000.0,9518889000000.0,9012298000000.0,6563119500000.0
2091.0,11482348000000.0,9987212000000.0,6273968000000.0,8981639000000.0,7443466000000.0,11003292000000.0,10035161000000.0,9427473000000.0,8900416000000.0,6398739000000.0
2092.0,11426047000000.0,9851850000000.0,6117353000000.0,8848918000000.0,7275290300000.0,10942040000000.0,9943740000000.0,9336530000000.0,8768404000000.0,6216701000000.0
2093.0,11363277000000.0,9697074000000.0,5966165000000.0,8753120000000.0,7085507500000.0,10880209000000.0,9863088000000.0,9243212000000.0,8659022600000.0,6072933300000.0
2094.0,11316670000000.0,9565468000000.0,5814606600000.0,8651678400000.0,6901667000000.0,10819347000000.0,9735694000000.0,9150759000000.0,8576790000000.0,5939428600000.0
2095.0,11279139000000.0,9470354000000.0,5652874000000.0,8538472600000.0,6719909000000.0,10771432000000.0,9648373000000.0,9040232000000.0,8485479600000.0,5799001700000.0
2096.0,11228996000000.0,9326209000000.0,5518945400000.0,8433570400000.0,6553453700000.0,10709777000000.0,9570327000000.0,8935202000000.0,8400778300000.0,5668029300000.0
2097.0,11164469000000.0,9188511000000.0,5369588400000.0,8333391000000.0,6381495000000.0,10648490000000.0,9482076000000.0,8839237000000.0,8305392500000.0,5520208000000.0
2098.0,11134178000000.0,9080003000000.0,5223050400000.0,8197614600000.0,6211785700000.0,10572178000000.0,9381708000000.0,8757653300000.0,8178116300000.0,5385395000000.0
2099.0,11082099000000.0,8923703000000.0,5070690700000.0,8067344000000.0,6034354000000.0,10505830000000.0,9306316000000.0,8657962500000.0,8097294700000.0,5243125000000.0
2100.0,11024302000000.0,8802203000000.0,4910646000000.0,7955606400000.0,5838013000000.0,10416871000000.0,9218296000000.0,8577171000000.0,7981810000000.0,5092797300000.0
